store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"117|28006","Grinders | Polishers|Flat Angle Grinder Wheels",93189,"61000",,"1/4&quot; Grinding Wheels for Steel and Cast Iron","1/4&quot; Grinding Wheels for Steel and Cast Iron","1/4&quot; Grinding Wheels for Steel and Cast Iron","",/\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,/\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,http://www.48ws.com/images/product/6/1/Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,Pferd-14-Grinding-Wheels-for-Steel-and-Cast-Iron,Pferd-14-Grinding-Wheels-for-Steel-and-Cast-Iron,,No layout updates.,Block after Info Column,,"1/4&quot; Grinding Wheels for Steel and Cast Iron","1/4&quot; Grinding Wheels for Steel and Cast Iron",Use config,"http://www.pferdusa.com/products/206a/206a01/206a0101P.html",0,,,0,"Pferd",601,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","General purpose grinding wheel for use on all metals. Smooth grinding action and fast removal rates with minimal contact pressure.<br><br>
<li><b>Abrasive:</b> Aluminum Oxide</li>
<li><b>INOX:</b> Manufactured without addition of ferrous, sulphurous or chlorinated fillers.</li>
<li><b>Application:</b> Surface grinding, edge grinding</li>
<li><b>Recommendation for Use:</b> Recommended for angle grinders of all power output levels.</li>","","","4&quot; - 5/8 A.H. - 15,300 Max RPM","1/4&quot; Grinding Wheels for Steel and Cast Iron",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"117|28006","Grinders | Polishers|Flat Angle Grinder Wheels",93193,"61002",,"4-1/2&quot; - 7/8 A.H. - 13,300 Max RPM","1/4&quot; Grinding Wheels for Steel and Cast Iron","4-1/2&quot; - 7/8 A.H. - 13,300 Max RPM","",/\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,/\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,http://www.48ws.com/images/product/6/1/Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,4-12-78-AH-13300-Max-RPM,4-12-78-AH-13300-Max-RPM,,No layout updates.,Block after Info Column,,"4-1/2&quot; - 7/8 A.H. - 13,300 Max RPM","4-1/2&quot; - 7/8 A.H. - 13,300 Max RPM",Use config,"http://www.pferdusa.com/products/206a/206a01/206a0101P.html",0,,,0,"Pferd",601,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"4-1/2&quot; - 7/8 A.H. - 13,300 Max RPM","General purpose grinding wheel for use on all metals. Smooth grinding action and fast removal rates with minimal contact pressure.<br><br>
<li><b>Abrasive:</b> Aluminum Oxide</li>
<li><b>INOX:</b> Manufactured without addition of ferrous, sulphurous or chlorinated fillers.</li>
<li><b>Application:</b> Surface grinding, edge grinding</li>
<li><b>Recommendation for Use:</b> Recommended for angle grinders of all power output levels.</li>","","","4-1/2&quot; - 7/8 A.H. - 13,300 Max RPM","4-1/2&quot; - 7/8 A.H. - 13,300 Max RPM",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"117|28006","Grinders | Polishers|Flat Angle Grinder Wheels",93194,"61001",,"4-1/2&quot; - 5/8-11 Thread - 13,300 Max RPM","1/4&quot; Grinding Wheels for Steel and Cast Iron","4-1/2&quot; - 5/8-11 Thread - 13,300 Max RPM","",/\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,/\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,http://www.48ws.com/images/product/6/1/Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,4-12-58-11-Thread-13300-Max-RPM,4-12-58-11-Thread-13300-Max-RPM,,No layout updates.,Block after Info Column,,"4-1/2&quot; - 5/8-11 Thread - 13,300 Max RPM","4-1/2&quot; - 5/8-11 Thread - 13,300 Max RPM",Use config,"http://www.pferdusa.com/products/206a/206a01/206a0101P.html",0,,,0,"Pferd",601,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"4-1/2&quot; - 5/8-11 Thread - 13,300 Max RPM","General purpose grinding wheel for use on all metals. Smooth grinding action and fast removal rates with minimal contact pressure.<br><br>
<li><b>Abrasive:</b> Aluminum Oxide</li>
<li><b>INOX:</b> Manufactured without addition of ferrous, sulphurous or chlorinated fillers.</li>
<li><b>Application:</b> Surface grinding, edge grinding</li>
<li><b>Recommendation for Use:</b> Recommended for angle grinders of all power output levels.</li>","","","4-1/2&quot; - 5/8-11 Thread - 13,300 Max RPM","4-1/2&quot; - 5/8-11 Thread - 13,300 Max RPM",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"117|28006","Grinders | Polishers|Flat Angle Grinder Wheels",93196,"61003",,"5&quot; - 7/8 A.H. - 12,200 Max RPM","1/4&quot; Grinding Wheels for Steel and Cast Iron","5&quot; - 7/8 A.H. - 12,200 Max RPM","",/\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,/\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,http://www.48ws.com/images/product/6/1/Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,5-78-AH-12200-Max-RPM,5-78-AH-12200-Max-RPM,,No layout updates.,Block after Info Column,,"5&quot; - 7/8 A.H. - 12,200 Max RPM","5&quot; - 7/8 A.H. - 12,200 Max RPM",Use config,"http://www.pferdusa.com/products/206a/206a01/206a0101P.html",0,,,0,"Pferd",601,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"5&quot; - 7/8 A.H. - 12,200 Max RPM","General purpose grinding wheel for use on all metals. Smooth grinding action and fast removal rates with minimal contact pressure.<br><br>
<li><b>Abrasive:</b> Aluminum Oxide</li>
<li><b>INOX:</b> Manufactured without addition of ferrous, sulphurous or chlorinated fillers.</li>
<li><b>Application:</b> Surface grinding, edge grinding</li>
<li><b>Recommendation for Use:</b> Recommended for angle grinders of all power output levels.</li>","","","5&quot; - 7/8 A.H. - 12,200 Max RPM","5&quot; - 7/8 A.H. - 12,200 Max RPM",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"117|28006","Grinders | Polishers|Flat Angle Grinder Wheels",93197,"61008",,"5&quot; - 5/8-11 Thread - 12,200 Max RPM","1/4&quot; Grinding Wheels for Steel and Cast Iron","5&quot; - 5/8-11 Thread - 12,200 Max RPM","",/\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,/\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,http://www.48ws.com/images/product/6/1/Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,5-58-11-Thread-12200-Max-RPM,5-58-11-Thread-12200-Max-RPM,,No layout updates.,Block after Info Column,,"5&quot; - 5/8-11 Thread - 12,200 Max RPM","5&quot; - 5/8-11 Thread - 12,200 Max RPM",Use config,"http://www.pferdusa.com/products/206a/206a01/206a0101P.html",0,,,0,"Pferd",601,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"5&quot; - 5/8-11 Thread - 12,200 Max RPM","General purpose grinding wheel for use on all metals. Smooth grinding action and fast removal rates with minimal contact pressure.<br><br>
<li><b>Abrasive:</b> Aluminum Oxide</li>
<li><b>INOX:</b> Manufactured without addition of ferrous, sulphurous or chlorinated fillers.</li>
<li><b>Application:</b> Surface grinding, edge grinding</li>
<li><b>Recommendation for Use:</b> Recommended for angle grinders of all power output levels.</li>","","","5&quot; - 5/8-11 Thread - 12,200 Max RPM","5&quot; - 5/8-11 Thread - 12,200 Max RPM",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"117|28006","Grinders | Polishers|Flat Angle Grinder Wheels",93199,"61011",,"6&quot; - 7/8 A.H. - 10,200 Max RPM","1/4&quot; Grinding Wheels for Steel and Cast Iron","6&quot; - 7/8 A.H. - 10,200 Max RPM","",/\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,/\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,http://www.48ws.com/images/product/6/1/Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,6-78-AH-10200-Max-RPM,6-78-AH-10200-Max-RPM,,No layout updates.,Block after Info Column,,"6&quot; - 7/8 A.H. - 10,200 Max RPM","6&quot; - 7/8 A.H. - 10,200 Max RPM",Use config,"http://www.pferdusa.com/products/206a/206a01/206a0101P.html",0,,,0,"Pferd",601,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"6&quot; - 7/8 A.H. - 10,200 Max RPM","General purpose grinding wheel for use on all metals. Smooth grinding action and fast removal rates with minimal contact pressure.<br><br>
<li><b>Abrasive:</b> Aluminum Oxide</li>
<li><b>INOX:</b> Manufactured without addition of ferrous, sulphurous or chlorinated fillers.</li>
<li><b>Application:</b> Surface grinding, edge grinding</li>
<li><b>Recommendation for Use:</b> Recommended for angle grinders of all power output levels.</li>","","","6&quot; - 7/8 A.H. - 10,200 Max RPM","6&quot; - 7/8 A.H. - 10,200 Max RPM",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"117|28006","Grinders | Polishers|Flat Angle Grinder Wheels",93200,"61012",,"6&quot; - 5/8-11 Thread - 10,200 Max RPM","1/4&quot; Grinding Wheels for Steel and Cast Iron","6&quot; - 5/8-11 Thread - 10,200 Max RPM","",/\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,/\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,http://www.48ws.com/images/product/6/1/Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,6-58-11-Thread-10200-Max-RPM,6-58-11-Thread-10200-Max-RPM,,No layout updates.,Block after Info Column,,"6&quot; - 5/8-11 Thread - 10,200 Max RPM","6&quot; - 5/8-11 Thread - 10,200 Max RPM",Use config,"http://www.pferdusa.com/products/206a/206a01/206a0101P.html",0,,,0,"Pferd",601,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"6&quot; - 5/8-11 Thread - 10,200 Max RPM","General purpose grinding wheel for use on all metals. Smooth grinding action and fast removal rates with minimal contact pressure.<br><br>
<li><b>Abrasive:</b> Aluminum Oxide</li>
<li><b>INOX:</b> Manufactured without addition of ferrous, sulphurous or chlorinated fillers.</li>
<li><b>Application:</b> Surface grinding, edge grinding</li>
<li><b>Recommendation for Use:</b> Recommended for angle grinders of all power output levels.</li>","","","6&quot; - 5/8-11 Thread - 10,200 Max RPM","6&quot; - 5/8-11 Thread - 10,200 Max RPM",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"117|28006","Grinders | Polishers|Flat Angle Grinder Wheels",93203,"61004",,"7&quot; - 7/8 A.H. - 8,600 Max RPM","1/4&quot; Grinding Wheels for Steel and Cast Iron","7&quot; - 7/8 A.H. - 8,600 Max RPM","",/\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,/\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,http://www.48ws.com/images/product/6/1/Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,7-78-AH-8600-Max-RPM,7-78-AH-8600-Max-RPM,,No layout updates.,Block after Info Column,,"7&quot; - 7/8 A.H. - 8,600 Max RPM","7&quot; - 7/8 A.H. - 8,600 Max RPM",Use config,"http://www.pferdusa.com/products/206a/206a01/206a0101P.html",0,,,0,"Pferd",601,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"7&quot; - 7/8 A.H. - 8,600 Max RPM","General purpose grinding wheel for use on all metals. Smooth grinding action and fast removal rates with minimal contact pressure.<br><br>
<li><b>Abrasive:</b> Aluminum Oxide</li>
<li><b>INOX:</b> Manufactured without addition of ferrous, sulphurous or chlorinated fillers.</li>
<li><b>Application:</b> Surface grinding, edge grinding</li>
<li><b>Recommendation for Use:</b> Recommended for angle grinders of all power output levels.</li>","","","7&quot; - 7/8 A.H. - 8,600 Max RPM","7&quot; - 7/8 A.H. - 8,600 Max RPM",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"117|28006","Grinders | Polishers|Flat Angle Grinder Wheels",93204,"61006",,"7&quot; - 5/8-11 Thread - 8,600 Max RPM","1/4&quot; Grinding Wheels for Steel and Cast Iron","7&quot; - 5/8-11 Thread - 8,600 Max RPM","",/\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,/\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,http://www.48ws.com/images/product/6/1/Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,7-58-11-Thread-8600-Max-RPM,7-58-11-Thread-8600-Max-RPM,,No layout updates.,Block after Info Column,,"7&quot; - 5/8-11 Thread - 8,600 Max RPM","7&quot; - 5/8-11 Thread - 8,600 Max RPM",Use config,"http://www.pferdusa.com/products/206a/206a01/206a0101P.html",0,,,0,"Pferd",601,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"7&quot; - 5/8-11 Thread - 8,600 Max RPM","General purpose grinding wheel for use on all metals. Smooth grinding action and fast removal rates with minimal contact pressure.<br><br>
<li><b>Abrasive:</b> Aluminum Oxide</li>
<li><b>INOX:</b> Manufactured without addition of ferrous, sulphurous or chlorinated fillers.</li>
<li><b>Application:</b> Surface grinding, edge grinding</li>
<li><b>Recommendation for Use:</b> Recommended for angle grinders of all power output levels.</li>","","","7&quot; - 5/8-11 Thread - 8,600 Max RPM","7&quot; - 5/8-11 Thread - 8,600 Max RPM",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"117|28006","Grinders | Polishers|Flat Angle Grinder Wheels",93206,"61005",,"9&quot; - 7/8 A.H. - 6,600 Max RPM","1/4&quot; Grinding Wheels for Steel and Cast Iron","9&quot; - 7/8 A.H. - 6,600 Max RPM","",/\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,/\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,http://www.48ws.com/images/product/6/1/Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,9-78-AH-6600-Max-RPM,9-78-AH-6600-Max-RPM,,No layout updates.,Block after Info Column,,"9&quot; - 7/8 A.H. - 6,600 Max RPM","9&quot; - 7/8 A.H. - 6,600 Max RPM",Use config,"http://www.pferdusa.com/products/206a/206a01/206a0101P.html",0,,,0,"Pferd",601,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"9&quot; - 7/8 A.H. - 6,600 Max RPM","General purpose grinding wheel for use on all metals. Smooth grinding action and fast removal rates with minimal contact pressure.<br><br>
<li><b>Abrasive:</b> Aluminum Oxide</li>
<li><b>INOX:</b> Manufactured without addition of ferrous, sulphurous or chlorinated fillers.</li>
<li><b>Application:</b> Surface grinding, edge grinding</li>
<li><b>Recommendation for Use:</b> Recommended for angle grinders of all power output levels.</li>","","","9&quot; - 7/8 A.H. - 6,600 Max RPM","9&quot; - 7/8 A.H. - 6,600 Max RPM",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"117|28006","Grinders | Polishers|Flat Angle Grinder Wheels",93207,"61007",,"9&quot; - 5/8-11 Thread - 6,600 Max RPM","1/4&quot; Grinding Wheels for Steel and Cast Iron","9&quot; - 5/8-11 Thread - 6,600 Max RPM","",/\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,/\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,http://www.48ws.com/images/product/6/1/Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,9-58-11-Thread-6600-Max-RPM,9-58-11-Thread-6600-Max-RPM,,No layout updates.,Block after Info Column,,"9&quot; - 5/8-11 Thread - 6,600 Max RPM","9&quot; - 5/8-11 Thread - 6,600 Max RPM",Use config,"http://www.pferdusa.com/products/206a/206a01/206a0101P.html",0,,,0,"Pferd",601,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"9&quot; - 5/8-11 Thread - 6,600 Max RPM","General purpose grinding wheel for use on all metals. Smooth grinding action and fast removal rates with minimal contact pressure.<br><br>
<li><b>Abrasive:</b> Aluminum Oxide</li>
<li><b>INOX:</b> Manufactured without addition of ferrous, sulphurous or chlorinated fillers.</li>
<li><b>Application:</b> Surface grinding, edge grinding</li>
<li><b>Recommendation for Use:</b> Recommended for angle grinders of all power output levels.</li>","","","9&quot; - 5/8-11 Thread - 6,600 Max RPM","9&quot; - 5/8-11 Thread - 6,600 Max RPM",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"117|19454","Grinders | Polishers|Depressed Center Grinding Wheels",93215,"61018",,"SG-Elastic Type 27 Depressed Center Grinding Wheels for Steel and Cast Iron","SG-Elastic Type 27 Depressed Center Grinding Wheels for Steel and Cast Iron","SG-Elastic Type 27 Depressed Center Grinding Wheels for Steel and Cast Iron","",/\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,/\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,http://www.48ws.com/images/product/6/1/Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels-for-Steel-and-Cast-Iron,Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels-for-Steel-and-Cast-Iron,,No layout updates.,Block after Info Column,,"SG-Elastic Type 27 Depressed Center Grinding Wheels for Steel and Cast Iron","SG-Elastic Type 27 Depressed Center Grinding Wheels for Steel and Cast Iron",Use config,"http://www.pferdusa.com/products/206a/206a01/206a010201P.html",0,,,0,"Pferd",601,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc).<br><br>
<li><b>Abrasive:</b> Aluminum Oxide</li>
<li><b>Application:</b> Weld grinding, edge grinding</li>
<li><b>Recommended for Use:</b> Achieves optimum grinding results on high-powered angle grinders.</li>
<li>5/16&quot; thick discs provide additional strength and service life for heavy-duty applications.</li>","","","2-3/4&quot; x 1/4&quot; - 3/8 A.H. - 21,800 Max RPM","SG-Elastic Type 27 Depressed Center Grinding Wheels for Steel and Cast Iron",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"117|28006","Grinders | Polishers|Flat Angle Grinder Wheels",93218,"61020",,"3&quot; x 1/4&quot; - 3/8 A.H. - 20,900 Max RPM","SG-Elastic Type 27 Depressed Center Grinding Wheels for Steel and Cast Iron","3&quot; x 1/4&quot; - 3/8 A.H. - 20,900 Max RPM","",/\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,/\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,http://www.48ws.com/images/product/6/1/Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,3-x-14-38-AH-20900-Max-RPM,3-x-14-38-AH-20900-Max-RPM,,No layout updates.,Block after Info Column,,"3&quot; x 1/4&quot; - 3/8 A.H. - 20,900 Max RPM","3&quot; x 1/4&quot; - 3/8 A.H. - 20,900 Max RPM",Use config,"http://www.pferdusa.com/products/206a/206a01/206a010201P.html",0,,,0,"Pferd",601,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"3&quot; x 1/4&quot; - 3/8 A.H. - 20,900 Max RPM","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc).<br><br>
<li><b>Abrasive:</b> Aluminum Oxide</li>
<li><b>Application:</b> Weld grinding, edge grinding</li>
<li><b>Recommended for Use:</b> Achieves optimum grinding results on high-powered angle grinders.</li>
<li>5/16&quot; thick discs provide additional strength and service life for heavy-duty applications.</li>","","","3&quot; x 1/4&quot; - 3/8 A.H. - 20,900 Max RPM","3&quot; x 1/4&quot; - 3/8 A.H. - 20,900 Max RPM",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"117|28006","Grinders | Polishers|Flat Angle Grinder Wheels",93221,"61022",,"4&quot; x 1/4&quot; - 3/8 A.H. - 15,300 Max RPM","SG-Elastic Type 27 Depressed Center Grinding Wheels for Steel and Cast Iron","4&quot; x 1/4&quot; - 3/8 A.H. - 15,300 Max RPM","",/\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,/\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,http://www.48ws.com/images/product/6/1/Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,4-x-14-38-AH-15300-Max-RPM,4-x-14-38-AH-15300-Max-RPM,,No layout updates.,Block after Info Column,,"4&quot; x 1/4&quot; - 3/8 A.H. - 15,300 Max RPM","4&quot; x 1/4&quot; - 3/8 A.H. - 15,300 Max RPM",Use config,"http://www.pferdusa.com/products/206a/206a01/206a010201P.html",0,,,0,"Pferd",601,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"4&quot; x 1/4&quot; - 3/8 A.H. - 15,300 Max RPM","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc).<br><br>
<li><b>Abrasive:</b> Aluminum Oxide</li>
<li><b>Application:</b> Weld grinding, edge grinding</li>
<li><b>Recommended for Use:</b> Achieves optimum grinding results on high-powered angle grinders.</li>
<li>5/16&quot; thick discs provide additional strength and service life for heavy-duty applications.</li>","","","4&quot; x 1/4&quot; - 3/8 A.H. - 15,300 Max RPM","4&quot; x 1/4&quot; - 3/8 A.H. - 15,300 Max RPM",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"117|28006","Grinders | Polishers|Flat Angle Grinder Wheels",93224,"61024",,"4&quot; x 1/4&quot; - 5/8 A.H. - 15,300 Max RPM","SG-Elastic Type 27 Depressed Center Grinding Wheels for Steel and Cast Iron","4&quot; x 1/4&quot; - 5/8 A.H. - 15,300 Max RPM","",/\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,/\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,http://www.48ws.com/images/product/6/1/Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,4-x-14-58-AH-15300-Max-RPM,4-x-14-58-AH-15300-Max-RPM,,No layout updates.,Block after Info Column,,"4&quot; x 1/4&quot; - 5/8 A.H. - 15,300 Max RPM","4&quot; x 1/4&quot; - 5/8 A.H. - 15,300 Max RPM",Use config,"http://www.pferdusa.com/products/206a/206a01/206a010201P.html",0,,,0,"Pferd",601,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"4&quot; x 1/4&quot; - 5/8 A.H. - 15,300 Max RPM","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc).<br><br>
<li><b>Abrasive:</b> Aluminum Oxide</li>
<li><b>Application:</b> Weld grinding, edge grinding</li>
<li><b>Recommended for Use:</b> Achieves optimum grinding results on high-powered angle grinders.</li>
<li>5/16&quot; thick discs provide additional strength and service life for heavy-duty applications.</li>","","","4&quot; x 1/4&quot; - 5/8 A.H. - 15,300 Max RPM","4&quot; x 1/4&quot; - 5/8 A.H. - 15,300 Max RPM",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"117|28006","Grinders | Polishers|Flat Angle Grinder Wheels",93225,"61025",,"4-1/2&quot; x 1/8&quot; - 7/8 A.H. - 13,300 Max RPM","SG-Elastic Type 27 Depressed Center Grinding Wheels for Steel and Cast Iron","4-1/2&quot; x 1/8&quot; - 7/8 A.H. - 13,300 Max RPM","",/\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,/\6\1\Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,http://www.48ws.com/images/product/6/1/Pferd-SG-Elastic-Type-27-Depressed-Center-Grinding-Wheels.jpg,4-12-x-18-78-AH-13300-Max-RPM,4-12-x-18-78-AH-13300-Max-RPM,,No layout updates.,Block after Info Column,,"4-1/2&quot; x 1/8&quot; - 7/8 A.H. - 13,300 Max RPM","4-1/2&quot; x 1/8&quot; - 7/8 A.H. - 13,300 Max RPM",Use config,"http://www.pferdusa.com/products/206a/206a01/206a010201P.html",0,,,0,"Pferd",601,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"4-1/2&quot; x 1/8&quot; - 7/8 A.H. - 13,300 Max RPM","Performance grinding wheel provides good removal rates and long service life for reduced wheel changes. Particularly recommended for use in severe, high pressure grinding applications (e.g. edge grinding, beveling, etc).<br><br>
<li><b>Abrasive:</b> Aluminum Oxide</li>
<li><b>Application:</b> Weld grinding, edge grinding</li>
<li><b>Recommended for Use:</b> Achieves optimum grinding results on high-powered angle grinders.</li>
<li>5/16&quot; thick discs provide additional strength and service life for heavy-duty applications.</li>","","","4-1/2&quot; x 1/8&quot; - 7/8 A.H. - 13,300 Max RPM","4-1/2&quot; x 1/8&quot; - 7/8 A.H. - 13,300 Max RPM",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
