store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"21749","Chalk Line Reels",421988,"CR201SPD",,"Chalk Rite Ii Chalk Box Tajima","Chalk Rite Ii Chalk Box Tajima","Chalk Rite Ii Chalk Box Tajima","",/\C\R\tajima-cr201spd-chalk-rite-ii-chalk-box-tajima.jpg,/\C\R\tajima-cr201spd-chalk-rite-ii-chalk-box-tajima.jpg,http://www.48ws.com/images/product/C/R/tajima-cr201spd-chalk-rite-ii-chalk-box-tajima.jpg,tajima-CR201SPD-chalk-rite-ii-chalk-box-tajima,tajima-CR201SPD-chalk-rite-ii-chalk-box-tajima,,No layout updates.,Block after Info Column,,"Chalk Rite Ii Chalk Box Tajima","Chalk Rite Ii Chalk Box Tajima",Use config,"http://www.tajimatool.com/products/inkchalk/chalk_rite/view.php?page=all",0,,,0,"Tajima",1393,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Chalk-Rite Ii","<li>Contractor-grade chalk snap-lines with 100 ft. (30M) of extra bold premium-grade braided line.</li><br><li>Smooth gear-drive winding, up to 3 times faster than standard snap-lines.</li><br><li>Compact, fits comfortably in the palm of your hand yet hol","","","100 Ft. Snap Line","Chalk Rite Ii Chalk Box Tajima",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21753","Marking Chalk and Refills",422434,"PLC2B900",,"Chalk Micro ","Chalk Micro ","Chalk Micro ","",/\P\L\tajima-plc2b900-chalk-micro.jpg,/\P\L\tajima-plc2b900-chalk-micro.jpg,http://www.48ws.com/images/product/P/L/tajima-plc2b900-chalk-micro.jpg,tajima-PLC2B900-chalk-micro,tajima-PLC2B900-chalk-micro,,No layout updates.,Block after Info Column,,"Chalk Micro ","Chalk Micro ",Use config,"http://www.acetoolonline.com/Tajima-PLC2-B900-Chalk-Refill-p/taj-plc2-b900.htm",0,,,0,"Tajima",1393,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Ultra-fine powdered chalk with micro particles evenly cling to the snap-line</li>
<br><li>Fade-resistant, makes a sharp and extremely bold marking line</li>
<br><li>Cleans up more quickly and more thoroughly than standard chalk</li>","","","Color: Blue; Size: 32Oz ","Chalk Micro ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21753","Marking Chalk and Refills",422435,"PLC2R900",,"Chalk Micro ","Chalk Micro ","Chalk Micro ","",/\P\L\tajima-plc2r900-chalk-micro.jpg,/\P\L\tajima-plc2r900-chalk-micro.jpg,http://www.48ws.com/images/product/P/L/tajima-plc2r900-chalk-micro.jpg,tajima-PLC2R900-chalk-micro,tajima-PLC2R900-chalk-micro,,No layout updates.,Block after Info Column,,"Chalk Micro ","Chalk Micro ",Use config,"http://www.acetoolonline.com/Tajima-PLC2-B900-Chalk-Refill-p/taj-plc2-b900.htm",0,,,0,"Tajima",1393,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Ultra-fine powdered chalk with micro particles evenly cling to the snap-line</li>
<br><li>Fade-resistant, makes a sharp and extremely bold marking line</li>
<br><li>Cleans up more quickly and more thoroughly than standard chalk</li>","","","Color: Red; Size: 32Oz ","Chalk Micro ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21753","Marking Chalk and Refills",422436,"PLCB300",,"Chalk Micro ","Chalk Micro ","Chalk Micro ","",/\P\L\tajima-plcb300-chalk-micro.jpg,/\P\L\tajima-plcb300-chalk-micro.jpg,http://www.48ws.com/images/product/P/L/tajima-plcb300-chalk-micro.jpg,tajima-PLCB300-chalk-micro,tajima-PLCB300-chalk-micro,,No layout updates.,Block after Info Column,,"Chalk Micro ","Chalk Micro ",Use config,"http://www.acetoolonline.com/Tajima-PLC2-B900-Chalk-Refill-p/taj-plc2-b900.htm",0,,,0,"Tajima",1393,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Ultra-fine powdered chalk with micro particles evenly cling to the snap-line</li>
<br><li>Fade-resistant, makes a sharp and extremely bold marking line</li>
<br><li>Cleans up more quickly and more thoroughly than standard chalk</li>","","","Color: Blue; Size: 10.5Oz ","Chalk Micro ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21753","Marking Chalk and Refills",422437,"PLCR300",,"Chalk Micro ","Chalk Micro ","Chalk Micro ","",/\P\L\tajima-plcr300-chalk-micro.jpg,/\P\L\tajima-plcr300-chalk-micro.jpg,http://www.48ws.com/images/product/P/L/tajima-plcr300-chalk-micro.jpg,tajima-PLCR300-chalk-micro,tajima-PLCR300-chalk-micro,,No layout updates.,Block after Info Column,,"Chalk Micro ","Chalk Micro ",Use config,"http://www.acetoolonline.com/Tajima-PLC2-B900-Chalk-Refill-p/taj-plc2-b900.htm",0,,,0,"Tajima",1393,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li>Ultra-fine powdered chalk with micro particles evenly cling to the snap-line</li>
<br><li>Fade-resistant, makes a sharp and extremely bold marking line</li>
<br><li>Cleans up more quickly and more thoroughly than standard chalk</li>","","","Color: Red; Size: 10.5Oz ","Chalk Micro ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21749","Chalk Line Reels",493228,"PC-ITOL",,"Plumb-Rite™ Replacement Plumb Line","","Plumb-Rite™ Replacement Plumb Line","",/\P\C\tajima-pc-itol-plumb-rite-replacement-plumb-line.jpg,/\P\C\tajima-pc-itol-plumb-rite-replacement-plumb-line.jpg,http://www.48ws.com/images/product/P/C/tajima-pc-itol-plumb-rite-replacement-plumb-line.jpg,tajima-PC-ITOL-plumb-rite-replacement-plumb-line,tajima-PC-ITOL-plumb-rite-replacement-plumb-line,,No layout updates.,Block after Info Column,,"Plumb-Rite™ Replacement Plumb Line","Plumb-Rite™ Replacement Plumb Line",Use config,"http://www.tajimatool.com/products/bladeacc/accessories/view.php?page=all",0,,,0,"Tajima",1393,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Heavy Gauge 0.05 inch (1.2 mm) thick braided nylon plumb line, 49 ft. (15 m)","<span class=&quot;headproduct&quot;>Plumb-Rite™ Replacement Plumb Line</span><br>
      	<ul class=&quot;square&quot;>
            <li>OEM replacement plumb line for Tajima Plumb-Rite™ Series plumb bob setters and bobs</li>
            <li>0.05 inch (1.2 mm) thick braided nylon snap-line, 49 ft. (15 m) spool</li>
         <br>
			<span class=&quot;huse_red&quot;> </span>

 </ul>","","","Plumb-Rite™ Replacement Plumb Line",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21749","Chalk Line Reels",493229,"PS-ITOS",,"Ink-Rite® Replacement Snap-Line","","Ink-Rite® Replacement Snap-Line","",/\P\S\tajima-ps-itos-ink-rite-replacement-snap-line.jpg,/\P\S\tajima-ps-itos-ink-rite-replacement-snap-line.jpg,http://www.48ws.com/images/product/P/S/tajima-ps-itos-ink-rite-replacement-snap-line.jpg,tajima-PS-ITOS-ink-rite-replacement-snap-line,tajima-PS-ITOS-ink-rite-replacement-snap-line,,No layout updates.,Block after Info Column,,"Ink-Rite® Replacement Snap-Line","Ink-Rite® Replacement Snap-Line",Use config,"http://www.tajimatool.com/products/bladeacc/accessories/view.php?page=all",0,,,0,"Tajima",1393,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Thin gauge 0.024 inch (0.6 mm) braided nylon line, 130 ft. (40 m)","<span class=&quot;headproduct&quot;>Ink-Rite® Replacement Snap-Line</span><br>
      	<ul class=&quot;square&quot;>
            <li>OME replacement snap-line for Tajima Ink-Rite™ ink snap-line tool </li>
            <li>Thin gauge 0.024 inch (0.6 mm) braided nylon snap-line, 130 ft. (40 m) spool </li>
         
			
					
      </ul>","","","Ink-Rite® Replacement Snap-Line",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21749","Chalk Line Reels",493230,"PLC3-BK300",,"Tajima Snap-Line Dye Semi-Permanent Snap-Line Chalk","","Tajima Snap-Line Dye Semi-Permanent Snap-Line Chalk","",/\P\L\tajima-plc3-bk300-tajima-snap-line-dye-semi-permanent-snap-line-chalk.jpg,/\P\L\tajima-plc3-bk300-tajima-snap-line-dye-semi-permanent-snap-line-chalk.jpg,http://www.48ws.com/images/product/P/L/tajima-plc3-bk300-tajima-snap-line-dye-semi-permanent-snap-line-chalk.jpg,tajima-PLC3-BK300-tajima-snap-line-dye-semi-permanent-snap-line-chalk,tajima-PLC3-BK300-tajima-snap-line-dye-semi-permanent-snap-line-chalk,,No layout updates.,Block after Info Column,,"Tajima Snap-Line Dye Semi-Permanent Snap-Line Chalk","Tajima Snap-Line Dye Semi-Permanent Snap-Line Chalk",Use config,"http://www.tajimatool.com/products/bladeacc/accessories/view.php?page=all",0,,,0,"Tajima",1393,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Black semi-permanent  snap-line chalk, 10.5 oz (300g)","<span class=&quot;headproduct&quot;>Tajima Snap-Line Dye Semi-Permanent Snap-Line Chalk</span><br>
      	<ul class=&quot;square&quot;>
			<li>Wind resistant, water repellent, extra-strong chalk for long lasting marking lines</li> 
			<li>Fade resistant, makes a sharp and extremely bold marking line</li>
			<li>Formulated to prevent caking and clumping on the line</li>
			<li>Available in black and dark color options</li>
			<li>Easy-pour, moisture-proof bottles with screw-cap  nozzles, 10.5oz.(300g) or 32oz.(907g)<br>
	  </li>
   	  </ul>","","","Tajima Snap-Line Dye Semi-Permanent Snap-Line Chalk",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21749","Chalk Line Reels",493231,"PLC2-W300",,"Tajima Micro Chalk Ultra-Fine Snap-Line Chalk","","Tajima Micro Chalk Ultra-Fine Snap-Line Chalk","",/\P\L\tajima-plc2-w300-tajima-micro-chalk-ultra-fine-snap-line-chalk.jpg,/\P\L\tajima-plc2-w300-tajima-micro-chalk-ultra-fine-snap-line-chalk.jpg,http://www.48ws.com/images/product/P/L/tajima-plc2-w300-tajima-micro-chalk-ultra-fine-snap-line-chalk.jpg,tajima-PLC2-W300-tajima-micro-chalk-ultra-fine-snap-line-chalk,tajima-PLC2-W300-tajima-micro-chalk-ultra-fine-snap-line-chalk,,No layout updates.,Block after Info Column,,"Tajima Micro Chalk Ultra-Fine Snap-Line Chalk","Tajima Micro Chalk Ultra-Fine Snap-Line Chalk",Use config,"http://www.tajimatool.com/products/bladeacc/accessories/view.php?page=all",0,,,0,"Tajima",1393,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","White ultra-fine powdered chalk, 10.5 oz (300g)","<span class=&quot;headproduct&quot;>Tajima Micro Chalk Ultra-Fine Snap-Line Chalk</span><br>
      	<ul class=&quot;square&quot;>
            <li>Ultra-fine powdered chalk with micro particles evenly cling to the snap-line</li>
            <li>Fade-resistant, makes a sharp and extremely bold marking line</li>
            <li>Cleans up more quickly and more thoroughly than standard chalk</li>
            <li>Available in white, yellow, blue and red color options</li>
			  <li>Easy-pour, moisture-proof bottles with screw-cap nozzles, 10.5oz.(300g) or 32oz.(907g)</li>
			<br>

			<span class=&quot;use_red&quot;></span>
	  </ul>","","","Tajima Micro Chalk Ultra-Fine Snap-Line Chalk",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21749","Chalk Line Reels",493232,"PSB2-180",,"Ink-Rite® Quick Dry Snap-Line Ink","","Ink-Rite® Quick Dry Snap-Line Ink","",/\P\S\tajima-psb2-180-ink-rite-quick-dry-snap-line-ink.jpg,/\P\S\tajima-psb2-180-ink-rite-quick-dry-snap-line-ink.jpg,http://www.48ws.com/images/product/P/S/tajima-psb2-180-ink-rite-quick-dry-snap-line-ink.jpg,tajima-PSB2-180-ink-rite-quick-dry-snap-line-ink,tajima-PSB2-180-ink-rite-quick-dry-snap-line-ink,,No layout updates.,Block after Info Column,,"Ink-Rite® Quick Dry Snap-Line Ink","Ink-Rite® Quick Dry Snap-Line Ink",Use config,"http://www.tajimatool.com/products/bladeacc/accessories/view.php?page=all",0,,,0,"Tajima",1393,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Black quick dry ink, 6 oz. (180 ml)","<span class=&quot;headproduct&quot;>Ink-Rite® Quick Dry Snap-Line Ink</span><br>
      	<ul class=&quot;square&quot;>
            <li>Quick drying ink makes an extremely bold, easy-to-follow marking line</li>
            <li>Semi -Permanent marking line, scuff and smudge resistant, won't wash away</li>
            <li>Available in black, red, white, and blue color options</li>
			<li>Easy-pour bottles with screw-cap nozzles, 6 oz. (180 ml)</li><br>
<span class=&quot;use_red&quot;>For Tajima Ink-Rite™ Series snap-lines</span>
 </ul>","","","Ink-Rite® Quick Dry Snap-Line Ink",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21749","Chalk Line Reels",493233,"CR101S-0",,"Chalk-Rite® Auto-Wind","","Chalk-Rite® Auto-Wind","",/\C\R\tajima-cr101s-0-chalk-rite-auto-wind.jpg,/\C\R\tajima-cr101s-0-chalk-rite-auto-wind.jpg,http://www.48ws.com/images/product/C/R/tajima-cr101s-0-chalk-rite-auto-wind.jpg,tajima-CR101S-0-chalk-rite-auto-wind,tajima-CR101S-0-chalk-rite-auto-wind,,No layout updates.,Block after Info Column,,"Chalk-Rite® Auto-Wind","Chalk-Rite® Auto-Wind",Use config,"http://www.tajimatool.com/products/inkchalk/chalk_rite_auto_wind/view.php?page=all",0,,,0,"Tajima",1393,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Extra Bold marking, auto-rewind chalk snap-line, 32 ft. line","<span class=&quot;headproduct&quot;>Chalk-Rite® Auto-Wind</span><br>
      	<ul class=&quot;square&quot;>
            <li>Unique, auto-rewind chalk snap-line with extra bold premium-grade braided snap-line</li>
            <li>Auto rewinds up to 23 ft., manual rewind for line extensions up to 32 ft.</li>
            <li>Felt-lined metering sleeve evenly and thoroughly coats the snap-line with chalk </li>
            <li>At-a-glance transparent chalk canister holds up to 1.4 oz (40 g) of chalk</li>
			<li>Stainless steel mixing ball to prevent caking and keep chalk in prime condition</li>
			<li>Compact design, fits comfortably in the palm of your hand</li>
			<li>Also features a thumb line hold, easy-fill spout and a tool to facilitate line replacement</li><br>


			<span class=&quot;use_red&quot;>Use Tajima Micro Chalk or Snap-Line Dye</span>
	  </ul>","","","Chalk-Rite® Auto-Wind",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21749","Chalk Line Reels",493234,"PL-ITOL",,"Chalk-Rite® Replacement Snap-Line","","Chalk-Rite® Replacement Snap-Line","",/\P\L\tajima-pl-itol-chalk-rite-replacement-snap-line.jpg,/\P\L\tajima-pl-itol-chalk-rite-replacement-snap-line.jpg,http://www.48ws.com/images/product/P/L/tajima-pl-itol-chalk-rite-replacement-snap-line.jpg,tajima-PL-ITOL-chalk-rite-replacement-snap-line,tajima-PL-ITOL-chalk-rite-replacement-snap-line,,No layout updates.,Block after Info Column,,"Chalk-Rite® Replacement Snap-Line","Chalk-Rite® Replacement Snap-Line",Use config,"http://www.tajimatool.com/products/inkchalk/chalk_rite_dura/view.php?page=all",0,,,0,"Tajima",1393,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Extra Bold 1.0 mm braided line, 100 ft. (30 m) spool","<span class=&quot;headproduct&quot;>Chalk-Rite® Replacement Snap-Line</span><br>
      	<ul class=&quot;square&quot;>
            <li>OEM replacement snap-line for Tajima Chalk-Rite® Series snap-line tools </li>
            <li>Extra Bold 1.0 mm braided nylon / polyester snap-line, 100 ft. (30 m) spool </li>

 </ul>","","","Chalk-Rite® Replacement Snap-Line",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21749","Chalk Line Reels",493235,"CR401S",,"Chalk-Rite® Dura Chalk Snap Line","","Chalk-Rite® Dura Chalk Snap Line","",/\C\R\tajima-cr401s-chalk-rite-dura-chalk-snap-line.jpg,/\C\R\tajima-cr401s-chalk-rite-dura-chalk-snap-line.jpg,http://www.48ws.com/images/product/C/R/tajima-cr401s-chalk-rite-dura-chalk-snap-line.jpg,tajima-CR401S-chalk-rite-dura-chalk-snap-line,tajima-CR401S-chalk-rite-dura-chalk-snap-line,,No layout updates.,Block after Info Column,,"Chalk-Rite® Dura Chalk Snap Line","Chalk-Rite® Dura Chalk Snap Line",Use config,"http://www.tajimatool.com/products/inkchalk/chalk_rite_dura/view.php?page=all",0,,,0,"Tajima",1393,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Extra bold marking, ultra-fast wind chalk snap line, 100 ft. line","<span class=&quot;headproduct&quot;>Chalk-Rite® Dura Chalk Snap Line</span><br>
      	<ul class=&quot;square&quot;>
            <li>Extra rugged die-cast aluminum case, thick tempered steel handle assembly, and handle stay. </li>
            <li>Integrated Handle Release ™ to disengage the line spool when extending the line. </li>
            <li>Ultra-fast rewind through a dependable 3-gear drive system.</li>
            <li>1.0 mm premium braided nylon / polyester line with matching felt applicator.</li>
			<li>Large fill neck with positive locking cap that also features an end hook stay.</li>
			<li>Integrated gasket seal and protective elastomer non-slip grip.</li>
			<br>


			<span class=&quot;use_red&quot;>Use Tajima Micro Chalk or Snap Line Dye</span>
	  </ul>","","","Chalk-Rite® Dura Chalk Snap Line",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21749","Chalk Line Reels",493236,"PL-ITOS",,"Chalk-Rite® Replacement Snap-Line","","Chalk-Rite® Replacement Snap-Line","",/\P\L\tajima-pl-itos-chalk-rite-replacement-snap-line.jpg,/\P\L\tajima-pl-itos-chalk-rite-replacement-snap-line.jpg,http://www.48ws.com/images/product/P/L/tajima-pl-itos-chalk-rite-replacement-snap-line.jpg,tajima-PL-ITOS-chalk-rite-replacement-snap-line,tajima-PL-ITOS-chalk-rite-replacement-snap-line,,No layout updates.,Block after Info Column,,"Chalk-Rite® Replacement Snap-Line","Chalk-Rite® Replacement Snap-Line",Use config,"http://www.tajimatool.com/products/inkchalk/chalk_rite/view.php?page=all",0,,,0,"Tajima",1393,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Ultra Thin 0.019 inch (0.5 mm) braided line, 100 ft. (30 m) spool","<span class=&quot;headproduct&quot;>Chalk-Rite® Replacement Snap-Line</span><br>
      	<ul class=&quot;square&quot;>
            <li>OEM replacement snap-line for Tajima Chalk-Rite™ Series snap-line tools</li>
            <li>Ultra Thin 0.019 inch (0.5 mm) braided snap-line, 100 ft. (30 m) spool</li>
            <li>Extra Bold 0.0047 inch (1.2 mm) braided snap-line, 100 ft. (30 m) spool</li>
 </ul>","","","Chalk-Rite® Replacement Snap-Line",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21749","Chalk Line Reels",493237,"CR201R-PR",,"Chalk-Rite® II GearDrive Extra Bold","","Chalk-Rite® II GearDrive Extra Bold","",/\C\R\tajima-cr201r-pr-chalk-rite-ii-geardrive-extra-bold.jpg,/\C\R\tajima-cr201r-pr-chalk-rite-ii-geardrive-extra-bold.jpg,http://www.48ws.com/images/product/C/R/tajima-cr201r-pr-chalk-rite-ii-geardrive-extra-bold.jpg,tajima-CR201R-PR-chalk-rite-ii-geardrive-extra-bold,tajima-CR201R-PR-chalk-rite-ii-geardrive-extra-bold,,No layout updates.,Block after Info Column,,"Chalk-Rite® II GearDrive Extra Bold","Chalk-Rite® II GearDrive Extra Bold",Use config,"http://www.tajimatool.com/products/inkchalk/chalk_rite/view.php?page=all",0,,,0,"Tajima",1393,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Extra Bold marking, fast wind chalk snap-line, 100 ft. line, dark red Snap-Line Dye, red","<span class=&quot;headproduct&quot;>Chalk-Rite® II GearDrive Extra Bold</span><br>
      	<ul class=&quot;square&quot;>
            <li>Contractor-grade chalk snap-lines with 100 ft. (30M) of extra bold premium-grade braided line. </li>
            <li>Smooth gear-drive winding, up to 3 times faster than standard snap-lines. </li>
            <li>Compact, fits comfortably in the palm of your hand yet holds up to 1.6 oz. (45 g) of chalk.</li>
            <li>Durable, heavy-gauge die-cast aluminum case sealed with an elastomer gasket.</li>
			<li>Positive gear-lock line hold, automatically releases during rewind.</li>
			<li>Also features folding cranks, easy-fill spouts, and tools to facilitate line replacement.</li>
			<li>Includes trial-size bottles of Snap-Line Dye.</li>
			<br>


			<span class=&quot;use_red&quot;>Use Tajima Micro Chalk or Snap-Line Dye</span>
	  </ul>","","","Chalk-Rite® II GearDrive Extra Bold",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21749","Chalk Line Reels",493238,"CR202B-P",,"Chalk-Rite® II  GearDrive Ultra Thin","","Chalk-Rite® II  GearDrive Ultra Thin","",/\C\R\tajima-cr202b-p-chalk-rite-ii-geardrive-ultra-thin.jpg,/\C\R\tajima-cr202b-p-chalk-rite-ii-geardrive-ultra-thin.jpg,http://www.48ws.com/images/product/C/R/tajima-cr202b-p-chalk-rite-ii-geardrive-ultra-thin.jpg,tajima-CR202B-P-chalk-rite-ii-geardrive-ultra-thin,tajima-CR202B-P-chalk-rite-ii-geardrive-ultra-thin,,No layout updates.,Block after Info Column,,"Chalk-Rite® II  GearDrive Ultra Thin","Chalk-Rite® II  GearDrive Ultra Thin",Use config,"http://www.tajimatool.com/products/inkchalk/chalk_rite/view.php?page=all",0,,,0,"Tajima",1393,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Ultra Thin marking, fast wind chalk snap-line, 100 ft. line, with blue Micro Chalk","<span class=&quot;headproduct&quot;>Chalk-Rite® II  GearDrive Ultra Thin</span><br>
      	<ul class=&quot;square&quot;>
            <li>Contractor-grade chalk snap-line with 100 ft. (30M) of ultra thin premium-grade braided line.</li>
            <li>Smooth gear-drive winding, up to 3 times faster than standard snap-lines. </li>
            <li>Compact, fits comfortably in the palm of your hand yet holds up to 1.6 oz. (45 g) of chalk.</li>
            <li>Durable, heavy-gauge die-cast aluminum case sealed with an elastomer gasket.</li>
			<li>Positive gear-lock line hold, automatically releases during rewind.</li>
			<li>Also features a folding crank, easy-fill spout, and a tool to facilitate line replacement.</li>
			<li>Includes a trial-size bottle of Micro Chalk.</li><br>

			<span class=&quot;use_red&quot;>Use Tajima Micro Chalk or Snap-Line Dye</span>
      </ul>","","","Chalk-Rite® II  GearDrive Ultra Thin",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21749","Chalk Line Reels",493239,"CR301JF",,"Chalk-Rite® Jam Free","","Chalk-Rite® Jam Free","",/\C\R\tajima-cr301jf-chalk-rite-jam-free.jpg,/\C\R\tajima-cr301jf-chalk-rite-jam-free.jpg,http://www.48ws.com/images/product/C/R/tajima-cr301jf-chalk-rite-jam-free.jpg,tajima-CR301JF-chalk-rite-jam-free,tajima-CR301JF-chalk-rite-jam-free,,No layout updates.,Block after Info Column,,"Chalk-Rite® Jam Free","Chalk-Rite® Jam Free",Use config,"http://www.tajimatool.com/products/inkchalk/chalk_rite_jam_free/view.php?page=all",0,,,0,"Tajima",1393,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Extra bold marking, fast wind chalk snap-line, 100 ft. line","<span class=&quot;headproduct&quot;>Chalk-Rite® Jam Free </span><br>
      	<ul class=&quot;square&quot;>
            <li>Fast-wind chalk snap-line with 100 ft. (30M) of extra bold 1.0 mm premium-grade braided line </li>
            <li>Smooth 5-gear rewinds, up to 4 times faster than standard snap-lines.  </li>
            <li>Compact, fits comfortably in the palm of your hand yet holds up to 3.5 oz. (100 g) of chalk</li>
            <li>Durable, translucent ABS case with protective, sure-grip elastomer cover</li>
			<li>Positive gear-lock line hold, automatically releases during rewind</li>
			<li>Also features a folding crank, large fill neck, and a tool to facilitate line replacement</li><br>


			<span class=&quot;use_red&quot;>Use Tajima Micro Chalk or Snap-Line Dye </span>
	  </ul>","","","Chalk-Rite® Jam Free",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21684","Drywall Specialty Tool Accessories",493240,"TBYD-180",,"Combination Drywall Rasp","","Combination Drywall Rasp","",/\T\B\tajima-tbyd-180-combination-drywall-rasp.jpg,/\T\B\tajima-tbyd-180-combination-drywall-rasp.jpg,http://www.48ws.com/images/product/T/B/tajima-tbyd-180-combination-drywall-rasp.jpg,tajima-TBYD-180-combination-drywall-rasp,tajima-TBYD-180-combination-drywall-rasp,,No layout updates.,Block after Info Column,,"Combination Drywall Rasp","Combination Drywall Rasp",Use config,"http://www.tajimatool.com/products/scrapers/rasp/view.php?page=all",0,,,0,"Tajima",1393,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Combination Drywall Rasp, bi-directional with 3 grinding sections","<span class=&quot;headproduct&quot;>Combination Drywall Rasp</span><br>
      	<ul class=&quot;square&quot;>
            <li>Unique Tetra-Teeth™ are clog-free and grind in both directions.</li>
			<li>Three separate grinding sections for quick shaping and trimming, beveling or finishing, and spot grinding.</li>
			<li>Recessed Coarse Teeth contain the drywall edge, and the staggered teeth design prevents clogging and allows dust to collect in the handle for controlled disposal.</li>
			<li>Raised Fine Teeth are ideal for beveling or smoothing the drywall edge, and Siderail Teeth allow notching and detailed work.</li>
			<li>Sleek design, 7 inches long for fewer strokes to achieve the same results.</li>
			<li>Embedded elastomer grip on each side of the handle for sure-grip performance.</li>
			<li>Chrome-plated Tetra-Teeth™ for superior durability.</li>
            <br>
<span class=&quot;use_red&quot;></span>
	  </ul>","","","Combination Drywall Rasp",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
