store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"2717|21838","Rulers & Straight Edges|Rules and Straight Edges",38496,"1066D",,"6&quot; Engineers Folding Wood Ruler","","6&quot; Engineers Folding Wood Ruler","Red foot figures; regular outside markings in feet and inches. Decimal points on engineer's scale prevent reading errors. Graduated in feet, 1/10ths and 1/100ths of feet.",/\0\6\066D-Lufkin-6-Engineers-Folding-Wood.jpg,/\0\6\066D-Lufkin-6-Engineers-Folding-Wood.jpg,http://www.48ws.com/images/product/0/6/066D-Lufkin-6-Engineers-Folding-Wood.jpg,066D-Lufkin-6-Engineers-Folding-Wood-Ruler,066D-Lufkin-6-Engineers-Folding-Wood-Ruler,,No layout updates.,Block after Info Column,,"6&quot; Engineers Folding Wood Ruler","6&quot; Engineers Folding Wood Ruler",Use config,"",0,,,0,"Lufkin",448,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Red foot figures; regular outside markings in feet and inches. Decimal points on engineer's scale prevent reading errors. Graduated in feet, 1/10ths and 1/100ths of feet.","<li>WOOD -W/SCALE</li>
<li>Wdth In x Lgth Ft=5/8 x 6</li>","","","066D Lufkin 6&quot; Engineers Folding Wood Ruler","6&quot; Engineers Folding Wood Ruler",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2716|27969","Tape Measure|Tape Measures",87552,"HW100",,"100' Tape Rule","","100' Tape Rule","",/\H\W\HW100-Lufkin-100-Tape.jpg,/\H\W\HW100-Lufkin-100-Tape.jpg,http://www.48ws.com/images/product/H/W/HW100-Lufkin-100-Tape.jpg,HW100-Lufkin-100-Tape-Rule,HW100-Lufkin-100-Tape-Rule,,No layout updates.,Block after Info Column,,"100' Tape Rule","100' Tape Rule",Use config,"",0,,,0,"Lufkin",448,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Vinyl covered steel case with yellow clad blade .005&quot; thick blade. Large easy action winding drum with friction washers. Fitted with a folding hook ring. Graduated feet and inches to 1/8ths with instantaneous readings; 16&quot; centers indicated by a diamond.","<li>Steel Case</li>
<li>Size - 3/8&quot; x 100'</li>
<li>Blade Style - B1</li>","","HW100 Lufkin 100' Tape Rule","100' Tape Rule",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2716|27969","Tape Measure|Tape Measures",87587,"PS3435",,"35' x 1&quot; Pro Tape Rule","","35' x 1&quot; Pro Tape Rule","Rubber cushion shell protects tape from impact and improves grip while Ny-Clad blade coating extends blade life. Removable belt clip. End hook lasts longer than ordinary end hooks and non-slip toggle lock allows complete control of power tape blade.",/\P\S\PS3435-Lufkin-35-x-1-Pro-Tape.jpg,/\P\S\PS3435-Lufkin-35-x-1-Pro-Tape.jpg,http://www.48ws.com/images/product/P/S/PS3435-Lufkin-35-x-1-Pro-Tape.jpg,PS3435-Lufkin-35-x-1-Pro-Tape-Rule,PS3435-Lufkin-35-x-1-Pro-Tape-Rule,,No layout updates.,Block after Info Column,,"35' x 1&quot; Pro Tape Rule","35' x 1&quot; Pro Tape Rule",Use config,"",0,,,0,"Lufkin",448,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Rubber cushion shell protects tape from impact and improves grip while Ny-Clad blade coating extends blade life. Removable belt clip. End hook lasts longer than ordinary end hooks and non-slip toggle lock allows complete control of power tape blade.","<li>Rubber Case</li>
<li>Pro Series 3000</li>
<li>Power Return</li>
<li>Blade Size: 1&quot; x 35'</li>
<li>Blade Style: A5</li>","","","PS3435 Lufkin 35' x 1&quot; Pro Tape Rule","35' x 1&quot; Pro Tape Rule",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2716|27969","Tape Measure|Tape Measures",99663,"HW50",,"3/8&quot; x 50' Yellow Tape","","3/8&quot; x 50' Yellow Tape","",/\H\W\Lufkin-HW50-38-x-50-Yellow.jpg,/\H\W\Lufkin-HW50-38-x-50-Yellow.jpg,http://www.48ws.com/images/product/H/W/Lufkin-HW50-38-x-50-Yellow.jpg,Lufkin-HW50-38-x-50-Yellow-Tape,Lufkin-HW50-38-x-50-Yellow-Tape,,No layout updates.,Block after Info Column,,"3/8&quot; x 50' Yellow Tape","3/8&quot; x 50' Yellow Tape",Use config,"",0,,,0,"Lufkin",448,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Professional tradesman's quality</li><li>
Rugged, vinyl-covered steel case</li><li>
Yellow clad tape; 3/8&quot;/10mm wide and .008&quot;/0.2mm thick</li><li>
Large easy action winding drum and friction washers</li><li>
Nylon rollers guide the tape smoothly in and out of case</li>","","","Lufkin HW50 3/8&quot; x 50' Yellow Tape","3/8&quot; x 50' Yellow Tape",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"27969","Tape Measures",630777,"100L",,"LUFKIN 100L 3/8X100 TAPE MEASURE LONG UNIVERSAL","Universal Tape Measure","LUFKIN 100L 3/8X100 TAPE MEASURE LONG UNIVERSAL","",/\1\0\lufkin-100l-lufkin-100l-38x100-tape-measure-long-universal.jpg,/\1\0\lufkin-100l-lufkin-100l-38x100-tape-measure-long-universal.jpg,http://www.48ws.com/images/product/1/0/lufkin-100l-lufkin-100l-38x100-tape-measure-long-universal.jpg,lufkin-100L-lufkin-100l-38x100-tape-measure-long-universal,lufkin-100L-lufkin-100l-38x100-tape-measure-long-universal,,No layout updates.,Block after Info Column,,"LUFKIN 100L 3/8X100 TAPE MEASURE LONG UNIVERSAL","LUFKIN 100L 3/8X100 TAPE MEASURE LONG UNIVERSAL",Use config,"https://www.crescenttool.com/brands?brand_id=76762&brand_name=Crescent%20Lufkin",0,,,0,"Lufkin",448,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"This LUFKIN long tape measure has a high-impact Hi-Viz® orange case that’s easy to locate on the jobsite. The 2-sided end hook allows use with either scale, plus it stores in the contoured mouth of the case for ready access. Model includes a removable belt clip.","The Lufkin Universal tape is great for general purpose long distance measuring. The yellow clad steel blade and the signature Hi-Viz orange case can be easily found on nearly any job site.","<ul>
<li>High-impact polystyrene case for increased durability</li>
<li>Easy-wind nylon drum for quick retraction</li>
</ul>","3710345100","<ul>
<li>3/8”W x 100’L, .005” thick Hi-Viz® orange case, yellow clad blade</li>
<li>Easy-to-read black and red markings</li>
<li>Hook ring is retained neatly in the contoured mouth of the case</li>
<li>Removable belt clip</li>
<li>B1 blade: 8ths</li>
</ul","LUFKIN 100L 3/8X100 TAPE MEASURE LONG UNIVERSAL",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21838","Rules and Straight Edges",630778,"1066DN",,"LUFKIN 1066DN 6 ENGINEERS FOLDING WOOD RULE 5/8X6 RED END","Wood Rule","LUFKIN 1066DN 6 ENGINEERS FOLDING WOOD RULE 5/8X6 RED END","",/\1\0\lufkin-1066dn-lufkin-1066dn-6-engineers-folding-wood-rule-58x6-red-end.jpg,/\1\0\lufkin-1066dn-lufkin-1066dn-6-engineers-folding-wood-rule-58x6-red-end.jpg,http://www.48ws.com/images/product/1/0/lufkin-1066dn-lufkin-1066dn-6-engineers-folding-wood-rule-58x6-red-end.jpg,lufkin-1066DN-lufkin-1066dn-6-engineers-folding-wood-rule-58x6-red-end,lufkin-1066DN-lufkin-1066dn-6-engineers-folding-wood-rule-58x6-red-end,,No layout updates.,Block after Info Column,,"LUFKIN 1066DN 6 ENGINEERS FOLDING WOOD RULE 5/8X6 RED END","LUFKIN 1066DN 6 ENGINEERS FOLDING WOOD RULE 5/8X6 RED END",Use config,"https://www.crescenttool.com/brands?brand_id=76762&brand_name=Crescent%20Lufkin",0,,,0,"Lufkin",448,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Since 1869, Crescent Lufkin® has stood at the forefront of measuring tools and equipment, with industy-leading quality and innovation. We enable the consumer or professional user with reliable, precise, durable lines of products, including our wooden measuring rules. Since patenting the Lufkin Folding Rule in 1919, we've been manufacturing top-quality tools, like this rule which features brass joints, clear graduation markings, and highly visible red root figures.","","<ul>
<li>5/8&quot; X 6' Red End® Engineer's Scale Wood Rule</li>
<li>Graduated in Feet, 1/10Ths and 1/100Ths of Feet</li>
<li>Red Foot Figures</li>
<li>Regular Outside Markings in Feet, Inches and 1/16Ths</li>
<li>Decimal Points on Engineers Scale Prevent Reading Errors</li>
<li>Prop 65 compliant</li>
</ul>","3710326551","","LUFKIN 1066DN 6 ENGINEERS FOLDING WOOD RULE 5/8X6 RED END",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"","",630779,"2024CME",,"LUFKIN 2024CME TAPE 1/2x12 (13MMX4M) SERIES 2000","","LUFKIN 2024CME TAPE 1/2x12 (13MMX4M) SERIES 2000","",/,/,/,,,,No layout updates.,Block after Info Column,,"LUFKIN 2024CME TAPE 1/2x12 (13MMX4M) SERIES 2000","LUFKIN 2024CME TAPE 1/2x12 (13MMX4M) SERIES 2000",Use config,"https://www.crescenttool.com/brands?brand_id=76762&brand_name=Crescent%20Lufkin",0,,,0,"Lufkin",448,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Lufkin® Tape Measure, Series: 2000, Measuring System: Imperial/Metric, 13 ft Blade Length, 1/2 in Blade Width, Steel Blade, Graduations: 1/16ths, 1 mm, Black/Red Markings, Automatic Rewind, Toggle Locking, Quad Hook® with 4 Rivets Hook, Closed Case, Chrome Case","","<ul>
<li>Case Designed to Fit Perfectly in the Hand</li>
<li>Lightweight, High Strength Chrome Finished Case</li>
<li>Fits Easily Into Most Tape Holsters</li>
<li>Bright Yellow Blade Has Clear Easy-To-Read Numerals</li>
<li>Toggle Lock Positioned for Convenient Operation, Holds Blade Securely</li>
<li>Cushioned Blade Return</li>
<li>Removable Belt Clip</li>
<li>All Shelf Pack Power Tapes Are Carded</li>
<li>Blade Style: A13</li>
</ul>","3710310399","","LUFKIN 2024CME TAPE 1/2x12 (13MMX4M) SERIES 2000",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"27969","Tape Measures",630780,"50",,"LUFKIN 50 3/8X50 TAPE MEASURE LONG UNIVERSAL","Universal Tape Measure","LUFKIN 50 3/8X50 TAPE MEASURE LONG UNIVERSAL","",/\5\0\lufkin-50-lufkin-50-38x50-tape-measure-long-universal.jpg,/\5\0\lufkin-50-lufkin-50-38x50-tape-measure-long-universal.jpg,http://www.48ws.com/images/product/5/0/lufkin-50-lufkin-50-38x50-tape-measure-long-universal.jpg,lufkin-50-lufkin-50-38x50-tape-measure-long-universal,lufkin-50-lufkin-50-38x50-tape-measure-long-universal,,No layout updates.,Block after Info Column,,"LUFKIN 50 3/8X50 TAPE MEASURE LONG UNIVERSAL","LUFKIN 50 3/8X50 TAPE MEASURE LONG UNIVERSAL",Use config,"https://www.crescenttool.com/brands?brand_id=76762&brand_name=Crescent%20Lufkin",0,,,0,"Lufkin",448,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The Lufkin Universal Lightweight tape is great for general purpose long distance measuring. The yellow clad steel blade has easy-to-read black and red measurement markings. The signature Hi-Viz orange case can be easily found on nearly any job site.","The Lufkin Universal tape is great for general purpose long distance measuring. The yellow clad steel blade and the signature Hi-Viz orange case can be easily found on nearly any job site.","<ul>
<li>High-impact polystyrene case for increased durability</li>
<li>Easy-wind nylon drum for quick retraction</li>
</ul>","3710345068","<ul>
<li>3/8&quot; x 50' Hi-Viz® Orange Universal Lightweight Yellow Clad Tape Measure</li>
<li>Contoured case stores hook ring for protection during storage</li>
<li>Clear coat blade protection prolongs blade life</li>
<li>Tuck away handle for protection duri","LUFKIN 50 3/8X50 TAPE MEASURE LONG UNIVERSAL",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21838","Rules and Straight Edges",630781,"636",,"LUFKIN 636 WOOD RULE BRICK MASON 5/8X6","Wood Rule","LUFKIN 636 WOOD RULE BRICK MASON 5/8X6","",/\6\3\lufkin-636-lufkin-636-wood-rule-brick-mason-58x6.jpg,/\6\3\lufkin-636-lufkin-636-wood-rule-brick-mason-58x6.jpg,http://www.48ws.com/images/product/6/3/lufkin-636-lufkin-636-wood-rule-brick-mason-58x6.jpg,lufkin-636-lufkin-636-wood-rule-brick-mason-58x6,lufkin-636-lufkin-636-wood-rule-brick-mason-58x6,,No layout updates.,Block after Info Column,,"LUFKIN 636 WOOD RULE BRICK MASON 5/8X6","LUFKIN 636 WOOD RULE BRICK MASON 5/8X6",Use config,"https://www.crescenttool.com/brands?brand_id=76762&brand_name=Crescent%20Lufkin",0,,,0,"Lufkin",448,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Ten different brick spacing scales on one side;-Inches, 8ths and 16ths on the other side. Course counter quickly tells you how many courses you have marked off or laid up.","","<ul>
<li>Lufkin, 6' Red End Rugged Brick Masons Wood Rule For Spacing Brick Courses.</li>
<li>Graduated vertical inches to 1/16ths, both edges</li>
<li>Brick Mason's scale on inside, red course counters numbered consecutively</li>
<li>Regular outside markings in black</li>
<li>Using the LufkinÂ® &quot; Red End&quot; 636 Brick Mason's Rule is easy and fast</li>
<li>Length 6 ft  </li>
<li>Width 5/8 in  </li>
<li>Increment @ Scale 1/16 in @ 1 in  </li>
<li>No. of Scales 2  </li>
<li>Specialty Scales Standard Brick  </li>
<li>Material Wood  </li>
<li>Finish Lacquer  </li>
<li>Measuring System Inch  </li>
<li>Type Folding Rule</li>
</ul>","3710345344","","LUFKIN 636 WOOD RULE BRICK MASON 5/8X6",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21838","Rules and Straight Edges",630782,"646L",,"LUFKIN 646L FOLDING RULE 6 MODULAR SPACING MASONRY","Wood Rule","LUFKIN 646L FOLDING RULE 6 MODULAR SPACING MASONRY","",/\6\4\lufkin-646l-lufkin-646l-folding-rule-6-modular-spacing-masonry.jpg,/\6\4\lufkin-646l-lufkin-646l-folding-rule-6-modular-spacing-masonry.jpg,http://www.48ws.com/images/product/6/4/lufkin-646l-lufkin-646l-folding-rule-6-modular-spacing-masonry.jpg,lufkin-646L-lufkin-646l-folding-rule-6-modular-spacing-masonry,lufkin-646L-lufkin-646l-folding-rule-6-modular-spacing-masonry,,No layout updates.,Block after Info Column,,"LUFKIN 646L FOLDING RULE 6 MODULAR SPACING MASONRY","LUFKIN 646L FOLDING RULE 6 MODULAR SPACING MASONRY",Use config,"https://www.crescenttool.com/brands?brand_id=76762&brand_name=Crescent%20Lufkin",0,,,0,"Lufkin",448,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Six different scales on one side;-Inches, 8ths and 16ths on the other. Every joint opens on even numbers. Fine for 6 or 12-Inch glass blocks.","","<ul>
<li>All sections have square ends</li>
<li>Every joint opens on even number</li>
<li>Inside marked with 6 scales in a 16&quot; module</li>
<li>Outside is graduated on both edges to 1/16ths</li>
<li>The first end section is a short section</li>
<li>Permits butting the rule on the first 16&quot; module</li>
</ul>","3710345345","","LUFKIN 646L FOLDING RULE 6 MODULAR SPACING MASONRY",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21838","Rules and Straight Edges",630783,"966N",,"LUFKIN 966N 6 FOLDING WOOD RULE TWO-WAY","Wood Rule","LUFKIN 966N 6 FOLDING WOOD RULE TWO-WAY","",/\9\6\lufkin-966n-lufkin-966n-6-folding-wood-rule-two-way.jpg,/\9\6\lufkin-966n-lufkin-966n-6-folding-wood-rule-two-way.jpg,http://www.48ws.com/images/product/9/6/lufkin-966n-lufkin-966n-6-folding-wood-rule-two-way.jpg,lufkin-966N-lufkin-966n-6-folding-wood-rule-two-way,lufkin-966N-lufkin-966n-6-folding-wood-rule-two-way,,No layout updates.,Block after Info Column,,"LUFKIN 966N 6 FOLDING WOOD RULE TWO-WAY","LUFKIN 966N 6 FOLDING WOOD RULE TWO-WAY",Use config,"https://www.crescenttool.com/brands?brand_id=76762&brand_name=Crescent%20Lufkin",0,,,0,"Lufkin",448,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Since 1869, Crescent Lufkin® has stood at the forefront of measuring tools and equipment, with industry-leading quality and innovation. We enable the consumer or professional user with reliable, precise, durable lines of products, including our wooden measuring rules. Since patenting the Lufkin Folding Rule in 1919, we've been manufacturing top-quality tools, like this rule which features brass joints, clear graduation markings that measure in both directions, and flat inside markings.","","<ul>
<li>5/8&quot; x 6' Red End® Two Way® Wood Rule</li>
<li>For Measuring Left to Right and Right to Left</li>
<li>Marked on both sides for versatile use</li>
<li>Graduations in feet, inches and 1/16ths on both edges of both sides</li>
<li>Flat inside markings lie close to the work</li>
<li>Durable construction with strong, brass plated joints and brass end caps to prevent ends from splintering</li>
</ul>","3710326556","","LUFKIN 966N 6 FOLDING WOOD RULE TWO-WAY",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
