store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"720|24964","Circular Saw Blades|Circular Saw Blades",169649,"AC-10036",,"Alumi-Cut Series","Alumi-Cut Series","Alumi-Cut Series","TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.",/\A\C\Alumi-Cut.jpg,/\A\C\Alumi-Cut.jpg,http://www.48ws.com/images/product/A/C/Alumi-Cut.jpg,AC-10036-Tenryu-America-Inc-Alumi-Cut-Series,AC-10036-Tenryu-America-Inc-Alumi-Cut-Series,,No layout updates.,Block after Info Column,,"Alumi-Cut Series","Alumi-Cut Series",Use config,"http://www.tenryu.com/ac.html",0,,,0,"Tenryu America, Inc.",1122,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.","<p>The Alumi-Cut Series offers true quality and affordability.</p>

<p>These blades are available in a wide variety of sizes to fit most popular job site and shop saws. Excellent results in aluminum, copper, brass, bronze and other non-ferrous metals. Even works well in many plastics. Also good for woodworking and plastic cutting when needed. Resharpenable for long life, the Alumi-Cut blades will help you improve your bottom line!</p>

<p>These blades are also an excellent choice for cutting laminated flooring (i.e.: PergoR, etc.) with slide-miters or table saws.</p>

<ul><b>EACH BLADE FEATURES:</b>
<li>Fully-hardened, expertly-tensioned tool steel bodies for true and accurate cuts.</li>
<li>Appropriate triple-chip grind pattern for non-ferrous metals.</li>
<li>Quality carbide ground to precision.</li>
</ul>","","","Dia.: 4&quot;, Teeth: 36, Arbor: 20mm, Grind: ATB","Alumi-Cut Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"720|24964","Circular Saw Blades|Circular Saw Blades",169650,"AC-18560D",,"Alumi-Cut Series","Alumi-Cut Series","Alumi-Cut Series","TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.",/\A\C\Alumi-Cut.jpg,/\A\C\Alumi-Cut.jpg,http://www.48ws.com/images/product/A/C/Alumi-Cut.jpg,Alumi-Cut-Series,Alumi-Cut-Series,,No layout updates.,Block after Info Column,,"Alumi-Cut Series","Alumi-Cut Series",Use config,"http://www.tenryu.com/ac.html",0,,,0,"Tenryu America, Inc.",1122,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Alumi-Cut Series","<p>The Alumi-Cut Series offers true quality and affordability.</p>

<p>These blades are available in a wide variety of sizes to fit most popular job site and shop saws. Excellent results in aluminum, copper, brass, bronze and other non-ferrous metals. Even works well in many plastics. Also good for woodworking and plastic cutting when needed. Resharpenable for long life, the Alumi-Cut blades will help you improve your bottom line!</p>

<p>These blades are also an excellent choice for cutting laminated flooring (i.e.: PergoR, etc.) with slide-miters or table saws.</p>

<ul><b>EACH BLADE FEATURES:</b>
<li>Fully-hardened, expertly-tensioned tool steel bodies for true and accurate cuts.</li>
<li>Appropriate triple-chip grind pattern for non-ferrous metals.</li>
<li>Quality carbide ground to precision.</li>
</ul>","","","Dia.: 71/4&quot;, Teeth: 60, Arbor: 5/8&quot;KO, Grind: TCG","Alumi-Cut Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"720|24964","Circular Saw Blades|Circular Saw Blades",169651,"AC-20360DN",,"Alumi-Cut Series","Alumi-Cut Series","Alumi-Cut Series","TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.",/\A\C\Alumi-Cut.jpg,/\A\C\Alumi-Cut.jpg,http://www.48ws.com/images/product/A/C/Alumi-Cut.jpg,Alumi-Cut-Series,Alumi-Cut-Series,,No layout updates.,Block after Info Column,,"Alumi-Cut Series","Alumi-Cut Series",Use config,"http://www.tenryu.com/ac.html",0,,,0,"Tenryu America, Inc.",1122,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Alumi-Cut Series","<p>The Alumi-Cut Series offers true quality and affordability.</p>

<p>These blades are available in a wide variety of sizes to fit most popular job site and shop saws. Excellent results in aluminum, copper, brass, bronze and other non-ferrous metals. Even works well in many plastics. Also good for woodworking and plastic cutting when needed. Resharpenable for long life, the Alumi-Cut blades will help you improve your bottom line!</p>

<p>These blades are also an excellent choice for cutting laminated flooring (i.e.: PergoR, etc.) with slide-miters or table saws.</p>

<ul><b>EACH BLADE FEATURES:</b>
<li>Fully-hardened, expertly-tensioned tool steel bodies for true and accurate cuts.</li>
<li>Appropriate triple-chip grind pattern for non-ferrous metals.</li>
<li>Quality carbide ground to precision.</li>
</ul>","","","Dia.: 8&quot;, Teeth: 60, Arbor: 5/8&quot;, Grind: TCG","Alumi-Cut Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"720|24964","Circular Saw Blades|Circular Saw Blades",169652,"AC-21060DN",,"Alumi-Cut Series","Alumi-Cut Series","Alumi-Cut Series","TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.",/\A\C\Alumi-Cut.jpg,/\A\C\Alumi-Cut.jpg,http://www.48ws.com/images/product/A/C/Alumi-Cut.jpg,Alumi-Cut-Series,Alumi-Cut-Series,,No layout updates.,Block after Info Column,,"Alumi-Cut Series","Alumi-Cut Series",Use config,"http://www.tenryu.com/ac.html",0,,,0,"Tenryu America, Inc.",1122,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Alumi-Cut Series","<p>The Alumi-Cut Series offers true quality and affordability.</p>

<p>These blades are available in a wide variety of sizes to fit most popular job site and shop saws. Excellent results in aluminum, copper, brass, bronze and other non-ferrous metals. Even works well in many plastics. Also good for woodworking and plastic cutting when needed. Resharpenable for long life, the Alumi-Cut blades will help you improve your bottom line!</p>

<p>These blades are also an excellent choice for cutting laminated flooring (i.e.: PergoR, etc.) with slide-miters or table saws.</p>

<ul><b>EACH BLADE FEATURES:</b>
<li>Fully-hardened, expertly-tensioned tool steel bodies for true and accurate cuts.</li>
<li>Appropriate triple-chip grind pattern for non-ferrous metals.</li>
<li>Quality carbide ground to precision.</li>
</ul>","","","Dia.: 8-1/4&quot;, Teeth: 60, Arbor: 5/8&quot;KO, Grind: TCG","Alumi-Cut Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"720|24964","Circular Saw Blades|Circular Saw Blades",169653,"AC-21660DN",,"Alumi-Cut Series","Alumi-Cut Series","Alumi-Cut Series","TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.",/\A\C\Alumi-Cut.jpg,/\A\C\Alumi-Cut.jpg,http://www.48ws.com/images/product/A/C/Alumi-Cut.jpg,Alumi-Cut-Series,Alumi-Cut-Series,,No layout updates.,Block after Info Column,,"Alumi-Cut Series","Alumi-Cut Series",Use config,"http://www.tenryu.com/ac.html",0,,,0,"Tenryu America, Inc.",1122,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Alumi-Cut Series","<p>The Alumi-Cut Series offers true quality and affordability.</p>

<p>These blades are available in a wide variety of sizes to fit most popular job site and shop saws. Excellent results in aluminum, copper, brass, bronze and other non-ferrous metals. Even works well in many plastics. Also good for woodworking and plastic cutting when needed. Resharpenable for long life, the Alumi-Cut blades will help you improve your bottom line!</p>

<p>These blades are also an excellent choice for cutting laminated flooring (i.e.: PergoR, etc.) with slide-miters or table saws.</p>

<ul><b>EACH BLADE FEATURES:</b>
<li>Fully-hardened, expertly-tensioned tool steel bodies for true and accurate cuts.</li>
<li>Appropriate triple-chip grind pattern for non-ferrous metals.</li>
<li>Quality carbide ground to precision.</li>
</ul>","","","Dia.: 8-1/2&quot;, Teeth: 60, Arbor: 5/8&quot;, Grind: TCG","Alumi-Cut Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"720|24964","Circular Saw Blades|Circular Saw Blades",169654,"AC-25560DN",,"Alumi-Cut Series","Alumi-Cut Series","Alumi-Cut Series","TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.",/\A\C\Alumi-Cut.jpg,/\A\C\Alumi-Cut.jpg,http://www.48ws.com/images/product/A/C/Alumi-Cut.jpg,Alumi-Cut-Series,Alumi-Cut-Series,,No layout updates.,Block after Info Column,,"Alumi-Cut Series","Alumi-Cut Series",Use config,"http://www.tenryu.com/ac.html",0,,,0,"Tenryu America, Inc.",1122,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Alumi-Cut Series","<p>The Alumi-Cut Series offers true quality and affordability.</p>

<p>These blades are available in a wide variety of sizes to fit most popular job site and shop saws. Excellent results in aluminum, copper, brass, bronze and other non-ferrous metals. Even works well in many plastics. Also good for woodworking and plastic cutting when needed. Resharpenable for long life, the Alumi-Cut blades will help you improve your bottom line!</p>

<p>These blades are also an excellent choice for cutting laminated flooring (i.e.: PergoR, etc.) with slide-miters or table saws.</p>

<ul><b>EACH BLADE FEATURES:</b>
<li>Fully-hardened, expertly-tensioned tool steel bodies for true and accurate cuts.</li>
<li>Appropriate triple-chip grind pattern for non-ferrous metals.</li>
<li>Quality carbide ground to precision.</li>
</ul>","","","Dia.: 10&quot;, Teeth: 60, Arbor: 5/8&quot;, Grind: TCG","Alumi-Cut Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"720|24964","Circular Saw Blades|Circular Saw Blades",169655,"AC-25580DN",,"Alumi-Cut Series","Alumi-Cut Series","Alumi-Cut Series","TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.",/\A\C\Alumi-Cut.jpg,/\A\C\Alumi-Cut.jpg,http://www.48ws.com/images/product/A/C/Alumi-Cut.jpg,Alumi-Cut-Series,Alumi-Cut-Series,,No layout updates.,Block after Info Column,,"Alumi-Cut Series","Alumi-Cut Series",Use config,"http://www.tenryu.com/ac.html",0,,,0,"Tenryu America, Inc.",1122,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Alumi-Cut Series","<p>The Alumi-Cut Series offers true quality and affordability.</p>

<p>These blades are available in a wide variety of sizes to fit most popular job site and shop saws. Excellent results in aluminum, copper, brass, bronze and other non-ferrous metals. Even works well in many plastics. Also good for woodworking and plastic cutting when needed. Resharpenable for long life, the Alumi-Cut blades will help you improve your bottom line!</p>

<p>These blades are also an excellent choice for cutting laminated flooring (i.e.: PergoR, etc.) with slide-miters or table saws.</p>

<ul><b>EACH BLADE FEATURES:</b>
<li>Fully-hardened, expertly-tensioned tool steel bodies for true and accurate cuts.</li>
<li>Appropriate triple-chip grind pattern for non-ferrous metals.</li>
<li>Quality carbide ground to precision.</li>
</ul>","","","Dia.: 10&quot;, Teeth: 80, Arbor: 5/8&quot;, Grind: TCG","Alumi-Cut Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"720|24964","Circular Saw Blades|Circular Saw Blades",169656,"AC-255100DN",,"Alumi-Cut Series","Alumi-Cut Series","Alumi-Cut Series","TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.",/\A\C\Alumi-Cut.jpg,/\A\C\Alumi-Cut.jpg,http://www.48ws.com/images/product/A/C/Alumi-Cut.jpg,Alumi-Cut-Series,Alumi-Cut-Series,,No layout updates.,Block after Info Column,,"Alumi-Cut Series","Alumi-Cut Series",Use config,"http://www.tenryu.com/ac.html",0,,,0,"Tenryu America, Inc.",1122,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Alumi-Cut Series","<p>The Alumi-Cut Series offers true quality and affordability.</p>

<p>These blades are available in a wide variety of sizes to fit most popular job site and shop saws. Excellent results in aluminum, copper, brass, bronze and other non-ferrous metals. Even works well in many plastics. Also good for woodworking and plastic cutting when needed. Resharpenable for long life, the Alumi-Cut blades will help you improve your bottom line!</p>

<p>These blades are also an excellent choice for cutting laminated flooring (i.e.: PergoR, etc.) with slide-miters or table saws.</p>

<ul><b>EACH BLADE FEATURES:</b>
<li>Fully-hardened, expertly-tensioned tool steel bodies for true and accurate cuts.</li>
<li>Appropriate triple-chip grind pattern for non-ferrous metals.</li>
<li>Quality carbide ground to precision.</li>
</ul>","","","Dia.: 10&quot;, Teeth: 100, Arbor: 5/8&quot;, Grind: TCG","Alumi-Cut Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"720|24964","Circular Saw Blades|Circular Saw Blades",169657,"AC-30580DN",,"Alumi-Cut Series","Alumi-Cut Series","Alumi-Cut Series","TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.",/\A\C\Alumi-Cut.jpg,/\A\C\Alumi-Cut.jpg,http://www.48ws.com/images/product/A/C/Alumi-Cut.jpg,Alumi-Cut-Series,Alumi-Cut-Series,,No layout updates.,Block after Info Column,,"Alumi-Cut Series","Alumi-Cut Series",Use config,"http://www.tenryu.com/ac.html",0,,,0,"Tenryu America, Inc.",1122,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Alumi-Cut Series","<p>The Alumi-Cut Series offers true quality and affordability.</p>

<p>These blades are available in a wide variety of sizes to fit most popular job site and shop saws. Excellent results in aluminum, copper, brass, bronze and other non-ferrous metals. Even works well in many plastics. Also good for woodworking and plastic cutting when needed. Resharpenable for long life, the Alumi-Cut blades will help you improve your bottom line!</p>

<p>These blades are also an excellent choice for cutting laminated flooring (i.e.: PergoR, etc.) with slide-miters or table saws.</p>

<ul><b>EACH BLADE FEATURES:</b>
<li>Fully-hardened, expertly-tensioned tool steel bodies for true and accurate cuts.</li>
<li>Appropriate triple-chip grind pattern for non-ferrous metals.</li>
<li>Quality carbide ground to precision.</li>
</ul>","","","Dia.: 12&quot;, Teeth: 80, Arbor: 1&quot;, Grind: TCG","Alumi-Cut Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"720|24964","Circular Saw Blades|Circular Saw Blades",169658,"AC-305100DN",,"Alumi-Cut Series","Alumi-Cut Series","Alumi-Cut Series","TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.",/\A\C\Alumi-Cut.jpg,/\A\C\Alumi-Cut.jpg,http://www.48ws.com/images/product/A/C/Alumi-Cut.jpg,Alumi-Cut-Series,Alumi-Cut-Series,,No layout updates.,Block after Info Column,,"Alumi-Cut Series","Alumi-Cut Series",Use config,"http://www.tenryu.com/ac.html",0,,,0,"Tenryu America, Inc.",1122,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Alumi-Cut Series","<p>The Alumi-Cut Series offers true quality and affordability.</p>

<p>These blades are available in a wide variety of sizes to fit most popular job site and shop saws. Excellent results in aluminum, copper, brass, bronze and other non-ferrous metals. Even works well in many plastics. Also good for woodworking and plastic cutting when needed. Resharpenable for long life, the Alumi-Cut blades will help you improve your bottom line!</p>

<p>These blades are also an excellent choice for cutting laminated flooring (i.e.: PergoR, etc.) with slide-miters or table saws.</p>

<ul><b>EACH BLADE FEATURES:</b>
<li>Fully-hardened, expertly-tensioned tool steel bodies for true and accurate cuts.</li>
<li>Appropriate triple-chip grind pattern for non-ferrous metals.</li>
<li>Quality carbide ground to precision.</li>
</ul>","","","Dia.: 12&quot;, Teeth: 100, Arbor: 1&quot;, Grind: TCG","Alumi-Cut Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"720|24964","Circular Saw Blades|Circular Saw Blades",169659,"AC-355100DN",,"Alumi-Cut Series","Alumi-Cut Series","Alumi-Cut Series","TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.",/\A\C\Alumi-Cut.jpg,/\A\C\Alumi-Cut.jpg,http://www.48ws.com/images/product/A/C/Alumi-Cut.jpg,Alumi-Cut-Series,Alumi-Cut-Series,,No layout updates.,Block after Info Column,,"Alumi-Cut Series","Alumi-Cut Series",Use config,"http://www.tenryu.com/ac.html",0,,,0,"Tenryu America, Inc.",1122,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Alumi-Cut Series","<p>The Alumi-Cut Series offers true quality and affordability.</p>

<p>These blades are available in a wide variety of sizes to fit most popular job site and shop saws. Excellent results in aluminum, copper, brass, bronze and other non-ferrous metals. Even works well in many plastics. Also good for woodworking and plastic cutting when needed. Resharpenable for long life, the Alumi-Cut blades will help you improve your bottom line!</p>

<p>These blades are also an excellent choice for cutting laminated flooring (i.e.: PergoR, etc.) with slide-miters or table saws.</p>

<ul><b>EACH BLADE FEATURES:</b>
<li>Fully-hardened, expertly-tensioned tool steel bodies for true and accurate cuts.</li>
<li>Appropriate triple-chip grind pattern for non-ferrous metals.</li>
<li>Quality carbide ground to precision.</li>
</ul>","","","Dia.: 14&quot;, Teeth: 100, Arbor: 1&quot;, Grind: TCG","Alumi-Cut Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"720|24964","Circular Saw Blades|Circular Saw Blades",169660,"AC-380100DN",,"Alumi-Cut Series","Alumi-Cut Series","Alumi-Cut Series","TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.",/\A\C\Alumi-Cut.jpg,/\A\C\Alumi-Cut.jpg,http://www.48ws.com/images/product/A/C/Alumi-Cut.jpg,Alumi-Cut-Series,Alumi-Cut-Series,,No layout updates.,Block after Info Column,,"Alumi-Cut Series","Alumi-Cut Series",Use config,"http://www.tenryu.com/ac.html",0,,,0,"Tenryu America, Inc.",1122,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Alumi-Cut Series","<p>The Alumi-Cut Series offers true quality and affordability.</p>

<p>These blades are available in a wide variety of sizes to fit most popular job site and shop saws. Excellent results in aluminum, copper, brass, bronze and other non-ferrous metals. Even works well in many plastics. Also good for woodworking and plastic cutting when needed. Resharpenable for long life, the Alumi-Cut blades will help you improve your bottom line!</p>

<p>These blades are also an excellent choice for cutting laminated flooring (i.e.: PergoR, etc.) with slide-miters or table saws.</p>

<ul><b>EACH BLADE FEATURES:</b>
<li>Fully-hardened, expertly-tensioned tool steel bodies for true and accurate cuts.</li>
<li>Appropriate triple-chip grind pattern for non-ferrous metals.</li>
<li>Quality carbide ground to precision.</li>
</ul>","","","Dia.: 15&quot;, Teeth: 100, Arbor: 1&quot;, Grind: TCG","Alumi-Cut Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"720|24964","Circular Saw Blades|Circular Saw Blades",169661,"AC-405120DN",,"Alumi-Cut Series","Alumi-Cut Series","Alumi-Cut Series","TENRYU'S best value for your non-ferrous metal cutting needs. Thin Kerf. Very Economical.",/\A\C\Alumi-Cut.jpg,/\A\C\Alumi-Cut.jpg,http://www.48ws.com/images/product/A/C/Alumi-Cut.jpg,Alumi-Cut-Series,Alumi-Cut-Series,,No layout updates.,Block after Info Column,,"Alumi-Cut Series","Alumi-Cut Series",Use config,"http://www.tenryu.com/ac.html",0,,,0,"Tenryu America, Inc.",1122,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Alumi-Cut Series","<p>The Alumi-Cut Series offers true quality and affordability.</p>

<p>These blades are available in a wide variety of sizes to fit most popular job site and shop saws. Excellent results in aluminum, copper, brass, bronze and other non-ferrous metals. Even works well in many plastics. Also good for woodworking and plastic cutting when needed. Resharpenable for long life, the Alumi-Cut blades will help you improve your bottom line!</p>

<p>These blades are also an excellent choice for cutting laminated flooring (i.e.: PergoR, etc.) with slide-miters or table saws.</p>

<ul><b>EACH BLADE FEATURES:</b>
<li>Fully-hardened, expertly-tensioned tool steel bodies for true and accurate cuts.</li>
<li>Appropriate triple-chip grind pattern for non-ferrous metals.</li>
<li>Quality carbide ground to precision.</li>
</ul>","","","Dia.: 16&quot;, Teeth: 120, Arbor: 1&quot;, Grind: TCG","Alumi-Cut Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"720|24964","Circular Saw Blades|Circular Saw Blades",174685,"BP-18505",,"Board-Pro Plus Series","Board-Pro Plus Series","Board-Pro Plus Series","",/\B\P\tenryu-america-inc-bp-18505-board-pro-plus-series.jpg,/\B\P\tenryu-america-inc-bp-18505-board-pro-plus-series.jpg,http://www.48ws.com/images/product/B/P/tenryu-america-inc-bp-18505-board-pro-plus-series.jpg,tenryu-america-inc-BP-18505-board-pro-plus-series,tenryu-america-inc-BP-18505-board-pro-plus-series,,No layout updates.,Block after Info Column,,"Board-Pro Plus Series","Board-Pro Plus Series",Use config,"http://www.tenryu.com/bp.html",0,,,0,"Tenryu America, Inc.",1122,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Poly-Crystalline Diamond Faced Tips","<p>Fiber-Cement Board is a very abrasive material that wears down normal carbide very quickly. The TENRYU BOARD-PRO incorporates special grade carbide tips for longer life.</p><li>Perfectly-tensioned, hardened-tool steel plates for flat, true run.</li><li>Selected quality PCD (Poly-Crystalline Diamond) faced tips for longer life.</li><li>Extra long blade life.</li><li>LOWER COST PER CUT!</li><li>LESS DUST than traditional blades produce.</li>","Application: Single/Stacked Sheets.","","Dia.: 7-1/4&quot;, Teeth: 5, Arbor: 5/8&quot;KO, Kerf: .091&quot;, Grind: FTG","Board-Pro Plus Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"720|24964","Circular Saw Blades|Circular Saw Blades",174686,"BP-25506",,"Board-Pro Plus Series","Board-Pro Plus Series","Board-Pro Plus Series","",/\B\P\tenryu-america-inc-bp-25506-board-pro-plus-series.jpg,/\B\P\tenryu-america-inc-bp-25506-board-pro-plus-series.jpg,http://www.48ws.com/images/product/B/P/tenryu-america-inc-bp-25506-board-pro-plus-series.jpg,tenryu-america-inc-BP-25506-board-pro-plus-series,tenryu-america-inc-BP-25506-board-pro-plus-series,,No layout updates.,Block after Info Column,,"Board-Pro Plus Series","Board-Pro Plus Series",Use config,"http://www.tenryu.com/bp.html",0,,,0,"Tenryu America, Inc.",1122,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Poly-Crystalline Diamond Faced Tips","<p>Fiber-Cement Board is a very abrasive material that wears down normal carbide very quickly. The TENRYU BOARD-PRO incorporates special grade carbide tips for longer life.</p><li>Perfectly-tensioned, hardened-tool steel plates for flat, true run.</li><li>Selected quality PCD (Poly-Crystalline Diamond) faced tips for longer life.</li><li>Extra long blade life.</li><li>LOWER COST PER CUT!</li><li>LESS DUST than traditional blades produce.</li>","Application: Single/Stacked Sheets.","","Dia.: 10&quot;, Teeth: 6, Arbor: 5/8&quot;, Kerf: .098&quot;, Grind: FTG","Board-Pro Plus Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"720|24964","Circular Saw Blades|Circular Saw Blades",174687,"BP-30508",,"Board-Pro Plus Series","Board-Pro Plus Series","Board-Pro Plus Series","",/\B\P\tenryu-america-inc-bp-30508-board-pro-plus-series.jpg,/\B\P\tenryu-america-inc-bp-30508-board-pro-plus-series.jpg,http://www.48ws.com/images/product/B/P/tenryu-america-inc-bp-30508-board-pro-plus-series.jpg,tenryu-america-inc-BP-30508-board-pro-plus-series,tenryu-america-inc-BP-30508-board-pro-plus-series,,No layout updates.,Block after Info Column,,"Board-Pro Plus Series","Board-Pro Plus Series",Use config,"http://www.tenryu.com/bp.html",0,,,0,"Tenryu America, Inc.",1122,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Poly-Crystalline Diamond Faced Tips","<p>Fiber-Cement Board is a very abrasive material that wears down normal carbide very quickly. The TENRYU BOARD-PRO incorporates special grade carbide tips for longer life.</p><li>Perfectly-tensioned, hardened-tool steel plates for flat, true run.</li><li>Selected quality PCD (Poly-Crystalline Diamond) faced tips for longer life.</li><li>Extra long blade life.</li><li>LOWER COST PER CUT!</li><li>LESS DUST than traditional blades produce.</li>","Application: Single/Stacked Sheets.","","Dia.: 12&quot;, Teeth: 8, Arbor: 1&quot;, Kerf: .098&quot;, Grind: FTG","Board-Pro Plus Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"720|24964","Circular Saw Blades|Circular Saw Blades",174688,"CF-08520",,"Cord-Free Series for Wood Materials","Cord-Free Series for Wood Materials","Cord-Free Series for Wood Materials","",/\C\F\tenryu-america-inc-cf-08520-cord-free-series-for-wood-materials.jpg,/\C\F\tenryu-america-inc-cf-08520-cord-free-series-for-wood-materials.jpg,http://www.48ws.com/images/product/C/F/tenryu-america-inc-cf-08520-cord-free-series-for-wood-materials.jpg,tenryu-america-inc-CF-08520-cord-free-series-for-wood-materials,tenryu-america-inc-CF-08520-cord-free-series-for-wood-materials,,No layout updates.,Block after Info Column,,"Cord-Free Series for Wood Materials","Cord-Free Series for Wood Materials",Use config,"http://www.tenryu.com/cf.html",0,,,0,"Tenryu America, Inc.",1122,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<p>The growth in the cordless saw industry has created a void when it comes to accessory blades. TENRYU has filled the void.</p><li>Ultra-thin, perfectly tensioned steel plates for true run. This saves precious battery power and life.</li><li>Precision honed, high-grade carbide for easy, smooth cuts and long life.</li><li>Tooth configurations to meet specific cutting material and thickness applications.</li>","","","Dia.: 3-3/8&quot;, Teeth: 20, Arbor: 15mm, Kerf: ATB, Grind: .039&quot;","Cord-Free Series for Wood Materials",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
