store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"609|19527","Cement | Concrete Mix|Concrete Mix",11056,"Quikrete Concrete Mix",,"Concrete Mix","","Concrete Mix","QUIKRETE® Concrete Mix (No. 1101) is the original 4000 psi average compressive strength blend of portland cement, sand, and gravel or stone. Just add water. Use for any general concrete work.",/\c\o\Quikrete-Concrete.jpg,/\c\o\Quikrete-Concrete.jpg,http://www.48ws.com/images/product/c/o/Quikrete-Concrete.jpg,Quikrete-Concrete-Mix,Quikrete-Concrete-Mix,,No layout updates.,Block after Info Column,,"Concrete Mix","Concrete Mix",Use config,"http://www.quikrete.com/ProductLines/ConcreteMix.asp",0,,,0,"Quikrete",87,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Quikrete Concrete Mix","Available in the following sizes :<li>40 lb. bags</li><li>60 lb. bags</li><li>80 lb. bags</li><br>Use For Construction & Repair of Brick, Block & Stone:<li>Sidewalks</li><li>Floors</li><li>Steps</li><li>Patios</li><li>Curbs</li><li>Downspout Troughs</li>","QUIKRETE&reg; Concrete Mix (No. 1101) is the original 4000 psi average compressive strength blend of portland cement, sand, and gravel or stone. Just add water. Use for any general concrete work.","","Quikrete Concrete Mix","Concrete Mix",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"610|26076","Sand | Gravel|Stormwater Management",11057,"Quikrete Gravel - All-Purpose",,"Gravel - All-Purpose","","Gravel - All-Purpose","QUIKRETE® All-Purpose Gravel (No. 1151) is a multi-use product for a variety of decorative and landscaping applications. Also for making concrete.",/\g\r\Quikrete-Gravel-All.jpg,/\g\r\Quikrete-Gravel-All.jpg,http://www.48ws.com/images/product/g/r/Quikrete-Gravel-All.jpg,Quikrete-Gravel-All-Purpose,Quikrete-Gravel-All-Purpose,,No layout updates.,Block after Info Column,,"Gravel - All-Purpose","Gravel - All-Purpose",Use config,"http://www.quikrete.com/ProductLines/GravelAllPurpose.asp",0,,,0,"Quikrete",87,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Quikrete Gravel - All-Purpose","Available in the following size :<li>50 lb. bags</li><br>Use For:<li>Landscaping, Gardening, Patios, Tree Wells, Walks, Rooftops, Fish Ponds and Aquariums</li><li>As a Decorative Extension to Stucco Wallcoating</li><li>Mixing with Portland Cement and All Purpose Sand to Make Concrete</li>","QUIKRETE&reg; All-Purpose Gravel (No. 1151) is a multi-use product for a variety of decorative and landscaping applications. Also for making concrete.","","Quikrete Gravel - All-Purpose","Gravel - All-Purpose",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"299","Fast Set",11058,"Quikrete Hydraulic Water-Stop Cement",,"Hydraulic Water-Stop Cement","","Hydraulic Water-Stop Cement","QUIKRETE® Hydraulic Water-Stop Cement (no. 1126) is a rapid setting, high strength repair material designed to plug leaks instantly in concrete and masonry. Sets in 3-5 minutes and can be used above and below grade.<br><br>Designed to block running water ",/\h\y\Quikrete-Hydraulic-Water-Stop.jpg,/\h\y\Quikrete-Hydraulic-Water-Stop.jpg,http://www.48ws.com/images/product/h/y/Quikrete-Hydraulic-Water-Stop.jpg,Quikrete-Hydraulic-Water-Stop-Cement,Quikrete-Hydraulic-Water-Stop-Cement,,No layout updates.,Block after Info Column,,"Hydraulic Water-Stop Cement","Hydraulic Water-Stop Cement",Use config,"http://www.quikrete.com/ProductLines/HydraulicWaterStopCement.asp",0,,,0,"Quikrete",87,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Quikrete Hydraulic Water-Stop Cement","Available in the following sizes :<li>10 lb. pails</li><li>20 lb. pails</li><li>50 lb. pails</li><br>Use For:<li>Swimming pools</li><li>Foundations</li><li>Sealing around concrete pipe</li>","QUIKRETE&reg; Hydraulic Water-Stop Cement (no. 1126) is a rapid setting, high strength repair material designed to plug leaks instantly in concrete and masonry. Sets in 3-5 minutes and can be used above and below grade.<br><br>Designed to block running water or leaks in cracked masonry or concrete surfaces.","","Quikrete Hydraulic Water-Stop Cement","Hydraulic Water-Stop Cement",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"609|19527","Cement | Concrete Mix|Concrete Mix",11059,"Quikrete Mortar Mix",,"Mortar Mix","","Mortar Mix","QUIKRETE® Mortar Mix (No. 1102) is a blend of masonry cement and graded sand , designed to meet ASTM C 270 for Type N Mortar. Just add water.",/\m\o\Quikrete-Mortar.jpg,/\m\o\Quikrete-Mortar.jpg,http://www.48ws.com/images/product/m/o/Quikrete-Mortar.jpg,Quikrete-Mortar-Mix,Quikrete-Mortar-Mix,,No layout updates.,Block after Info Column,,"Mortar Mix","Mortar Mix",Use config,"http://www.quikrete.com/ProductLines/MortarMix.asp",0,,,0,"Quikrete",87,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Quikrete Mortar Mix","Available in the following sizes :<li>40 lb. bags - 80 per pallet</li><li>60 lb. bags - 56 per pallet</li><li>80 lb. bags - 42 per pallet</li><br>Use For Construction & Repair of Brick, Block & Stone:Use For Construction & Repair of Brick, Block & Stone:<li>Barbecues</li><li>Pillars</li><li>Walls</li><li>Tuck-pointing mortar joints</li><li>Planters</li>","QUIKRETE&reg; Mortar Mix (No. 1102) is a blend of masonry cement and graded sand , designed to meet ASTM C 270 for Type N Mortar. Just add water.","","Quikrete Mortar Mix","Mortar Mix",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"609|19527","Cement | Concrete Mix|Concrete Mix",11060,"Quikrete Plastic Cement",,"Plastic Cement","","Plastic Cement","QUIKRETE® Plastic Cement (No. 2121) complies with ASTM C 1328 Type M and S. Blended cement specifically designed for use with plaster sand to make Base Coat Stucco. Available Regionally.",/\p\l\Quikrete-Plastic.jpg,/\p\l\Quikrete-Plastic.jpg,http://www.48ws.com/images/product/p/l/Quikrete-Plastic.jpg,Quikrete-Plastic-Cement,Quikrete-Plastic-Cement,,No layout updates.,Block after Info Column,,"Plastic Cement","Plastic Cement",Use config,"http://www.quikrete.com/ProductLines/PlasticCement.asp",0,,,0,"Quikrete",87,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Quikrete Plastic Cement","Available in the following size :<li>94lb. bags - 35 per pallet</li><br>To make Scratch and Base Coat Stucco Mix:<li>3 to 4 parts Plaster Sand</li><li>1 part Plastic Cement (by volume)</li>","QUIKRETE&reg; Plastic Cement (No. 2121) complies with ASTM C 1328 Type M and S. Blended cement specifically designed for use with plaster sand to make Base Coat Stucco. Available Regionally.","","Quikrete Plastic Cement","Plastic Cement",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"609|19527","Cement | Concrete Mix|Concrete Mix",11061,"Quikrete Portland Cement",,"Portland Cement","","Portland Cement","QUIKRETE® Portland Cement (No. 1124) complies with current ASTM C150 and Federal Specifications for portland cement. Can be mixed with aggregate and other ingredients to make concrete mix, mortar mix, and base coat stucco. Available in Type I, Type I/II a",/\p\o\Quikrete-Portland.jpg,/\p\o\Quikrete-Portland.jpg,http://www.48ws.com/images/product/p/o/Quikrete-Portland.jpg,Quikrete-Portland-Cement,Quikrete-Portland-Cement,,No layout updates.,Block after Info Column,,"Portland Cement","Portland Cement",Use config,"http://www.quikrete.com/ProductLines/PortlandCement.asp",0,,,0,"Quikrete",87,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Quikrete Portland Cement","Available in the following sizes :<li>47lb. bags - 63 per pallet</li><li>94lb. bags - 35 per pallet</li><br>To make Concrete Mix:<li>3 parts All-Purpose Gravel (No. 1151)</li><li>2 parts All-Purpose Sand (No. 1152)</li><li>1 part Portland Cement (by volume)</li><br>To make Type S Mortar Mix:<li>3 1/2 to 4 1/2 parts Mason Sand (No. 1952)</li><li>1/2 part Hydrated Lime</li><li>1 part Portland Cement (by volume)</li>","QUIKRETE&reg; Portland Cement (No. 1124) complies with current ASTM C150 and Federal Specifications for portland cement. Can be mixed with aggregate and other ingredients to make concrete mix, mortar mix, and base coat stucco. Available in Type I, Type I/II and Type III.","","Quikrete Portland Cement","Portland Cement",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"610|24006","Sand | Gravel|Ice Melting Compounds",11062,"Quikrete Rock Salt",,"Rock Salt","","Rock Salt","QUIKRETE® Rock Salt (No. 9002) is perfect for melting snow on stairs, sidewalks and driveways or virtually any outside surface.",/\r\o\Quikrete-Rock.jpg,/\r\o\Quikrete-Rock.jpg,http://www.48ws.com/images/product/r/o/Quikrete-Rock.jpg,Quikrete-Rock-Salt,Quikrete-Rock-Salt,,No layout updates.,Block after Info Column,,"Rock Salt","Rock Salt",Use config,"http://www.quikrete.com/ProductLines/RockSalt.asp",0,,,0,"Quikrete",87,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Quikrete Rock Salt","Available in the following sizes :<li>25 lb. bags</li><li>80 lb. bags</li>","QUIKRETE&reg; Rock Salt (No. 9002) is perfect for melting snow on stairs, sidewalks and driveways or virtually any outside surface.","","Quikrete Rock Salt","Rock Salt",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"610|26076","Sand | Gravel|Stormwater Management",11063,"Quikrete Sand - All-Purpose 50",,"Sand - All-Purpose","Sand - All-Purpose","Sand - All-Purpose","QUIKRETE® All-Purpose Sand (No. 1152) is a washed, properly graded coarse sand with multi-purpose uses. Meets ASTM C 33 specifications.",/\s\a\Quikrete-Sand-All.jpg,/\s\a\Quikrete-Sand-All.jpg,http://www.48ws.com/images/product/s/a/Quikrete-Sand-All.jpg,Quikrete-Sand-All-Purpose,Quikrete-Sand-All-Purpose,,No layout updates.,Block after Info Column,,"Sand - All-Purpose","Sand - All-Purpose",Use config,"http://www.quikrete.com/ProductLines/SandAllPurpose.asp",0,,,0,"Quikrete",87,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Quikrete Sand - All-Purpose","Available in the following sizes :<li>50 lb. bags</li><li>70 lb. bags</li><br>Use For:<li>Underlayment for Brick Pavers</li><li>Mixing with portland cement and gravel to make concrete</li><li>Traction on Snow and Ice</li><li>Mixing with potting soil</li>","<li>QUIKRETE&reg; All-Purpose Sand (No. 1152) is a washed, properly graded coarse sand with multi-purpose uses. Meets ASTM C 33 specifications.</li>","","50 lb bag","Sand - All-Purpose",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"609|19527","Cement | Concrete Mix|Concrete Mix",11064,"Quikrete Thin Set Multi-Purpose",,"Thin Set Multi-Purpose","","Thin Set Multi-Purpose","QUIKRETE® Thin Set™ Multi-Purpose (No. 1550) is a blend of portland cement, sand and special polymer additives for the installation of tiles over a variety of surfaces, including properly prepared exterior grade plywood. Requires no additional latex or fo",/\t\h\Quikrete-Thin-Set-Multi.jpg,/\t\h\Quikrete-Thin-Set-Multi.jpg,http://www.48ws.com/images/product/t/h/Quikrete-Thin-Set-Multi.jpg,Quikrete-Thin-Set-Multi-Purpose,Quikrete-Thin-Set-Multi-Purpose,,No layout updates.,Block after Info Column,,"Thin Set Multi-Purpose","Thin Set Multi-Purpose",Use config,"http://www.quikrete.com/ProductLines/ThinSetMultiPurpose.asp",0,,,0,"Quikrete",87,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Quikrete Thin Set Multi-Purpose","Available in the following sizes :<li>7 lb. pails</li><li>25 lb. bags</li><li>50 lb. bags</li><br>Apply over:<li>Plywood</li><li>Concrete</li><li>Concrete block</li><li>Cementicious backer units</li><li>Wall board</li><li>Portland Cement Plaster</li>","QUIKRETE&reg; Thin Set&trade; Multi-Purpose (No. 1550) is a blend of portland cement, sand and special polymer additives for the installation of tiles over a variety of surfaces, including properly prepared exterior grade plywood. Requires no additional latex or fortifiers.<br><br>Available in gray and white.","","Quikrete Thin Set Multi-Purpose","Thin Set Multi-Purpose",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"609|19527","Cement | Concrete Mix|Concrete Mix",13199,"BHM 5000 PSI CON",,"80 Lb Concrete Mix .66 Cu Ft","","80 Lb Concrete Mix .66 Cu Ft","5000 PSI High Strength",/\B\H\Quikrete-80-Lb-Concrete-Mix-66-Cu.jpg,/\B\H\Quikrete-80-Lb-Concrete-Mix-66-Cu.jpg,http://www.48ws.com/images/product/B/H/Quikrete-80-Lb-Concrete-Mix-66-Cu.jpg,Quikrete-80-Lb-Concrete-Mix-66-Cu-Ft,Quikrete-80-Lb-Concrete-Mix-66-Cu-Ft,,No layout updates.,Block after Info Column,,"80 Lb Concrete Mix .66 Cu Ft","80 Lb Concrete Mix .66 Cu Ft",Use config,"http://www.quikrete.com/ProductLines/Quikrete5000ConcreteMix.asp",0,,,0,"Quikrete",87,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"5000 PSI High Strength","80 lb. bags - 42 per pallet<br></br
<b>Use For</b><br>
	<li>Driveway aprons</li><li>
	Deck supports</li><li>
	Patios</li><li>
	Sign footings</li><li>
	Concrete projects 2&quot; thick or more that require high strength</li>","QUIKRETE&reg; 5000 Concrete Mix (No. 1007) is a commercial grade blend of stone or gravel, sand and cement specially designed for higher early strength. Ideal for cold weather application.
Achieves 5000 psi after 28 days.","","Quikrete BHM 5000 PSI CON 80 Lb Concrete Mix .66 Cu Ft","80 Lb Concrete Mix .66 Cu Ft",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"610|26794","Sand | Gravel|Sand and Gravel",13201,"BHM COM SAND",,"50-Lb Bag #4 Commercial Grade Sand 1961 Fine Silica Sand","","50-Lb Bag #4 Commercial Grade Sand 1961 Fine Silica Sand","QUIKRETE® Commercial Grade Sand (No. 1961 Fine)",/\B\H\Quikrete-BHM-COM-SAND-50-Lb-Bag-4-Commercial-Grade-Sand.jpg,/\B\H\Quikrete-BHM-COM-SAND-50-Lb-Bag-4-Commercial-Grade-Sand.jpg,http://www.48ws.com/images/product/B/H/Quikrete-BHM-COM-SAND-50-Lb-Bag-4-Commercial-Grade-Sand.jpg,Quikrete-BHM-COM-SAND-50-Lb-Bag-4-Commercial-Grade-Sand-1961-Fine-Silica-Sand,Quikrete-BHM-COM-SAND-50-Lb-Bag-4-Commercial-Grade-Sand-1961-Fine-Silica-Sand,,No layout updates.,Block after Info Column,,"50-Lb Bag #4 Commercial Grade Sand 1961 Fine Silica Sand","50-Lb Bag #4 Commercial Grade Sand 1961 Fine Silica Sand",Use config,"http://www.quikrete.com/ProductLines/SandCommercialGrade.asp",0,,,0,"Quikrete",87,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"QUIKRETE&reg; Commercial Grade Sand (No. 1961 Fine)","<b>Use For</b><br>
	<li>Underlayment for Patios/Walks</li><li>
	Epoxy systems & industrial coatings</li><li>
	Specialized cement mixtures</li><li>
	Landscaping</li>","QUIKRETE&reg; Commercial Grade Sand (No. 1961-1963) is a consistently graded, washed and kiln dried sand used for industrial and construction applications.
","","Quikrete BHM COM SAND 50-Lb Bag #4 Commercial Grade Sand 1961 Fine Silica Sand","50-Lb Bag #4 Commercial Grade Sand 1961 Fine Silica Sand",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19525","Concrete and Asphalt Patching and Repairing Compounds",13202,"BHM CON PATCH",,"40-lb Vinyl Concrete Patcher .36 Cu Ft","","40-lb Vinyl Concrete Patcher .36 Cu Ft","	
QUIKRETE® Vinyl Concrete Patcher (No. 1133)",/\B\H\Quikrete-40-lb-Vinyl-Concrete-Patcher-36-Cu.jpg,/\B\H\Quikrete-40-lb-Vinyl-Concrete-Patcher-36-Cu.jpg,http://www.48ws.com/images/product/B/H/Quikrete-40-lb-Vinyl-Concrete-Patcher-36-Cu.jpg,quikrete-BHM-CON-PATCH-,quikrete-BHM-CON-PATCH-,,No layout updates.,Block after Info Column,,"40-lb Vinyl Concrete Patcher .36 Cu Ft","40-lb Vinyl Concrete Patcher .36 Cu Ft",Use config,"http://www.quikrete.com/ProductLines/VinylConcretePatcher.asp",0,,,0,"Quikrete",87,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"	
QUIKRETE&reg; Vinyl Concrete Patcher (No. 1133)","40 lb. bags - 64 per pallet
<br>Available in gray and white.
<br></br>
<b>Use For:</b><br>
<li>
Making smooth repairs to cracked or chipped concrete floors, sidewalks or steps
</li>","QUIKRETE&reg; Vinyl Concrete Patcher (No. 1133) is a multi-purpose concrete repair material with strong adhesive properties. Trowels to a feather edge of 1/16&quot; (1.6 mm). Made of a special blend of exterior grade vinyl resin, fine sand, and portland cement. Just add water. Available in gray and white.
","","Quikrete BHM CON PATCH 40-lb Vinyl Concrete Patcher .36 Cu Ft","40-lb Vinyl Concrete Patcher .36 Cu Ft",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"609|19527","Cement | Concrete Mix|Concrete Mix",13203,"BHM CONCRETE",,"80 Lb Concrete Mix .66 Cu Ft 4000 PSI","","80 Lb Concrete Mix .66 Cu Ft 4000 PSI","Quikrete BHM CONCRETE 80 Lb Concrete Mix .66 Cu Ft 4000 PSI",/\B\H\Quikrete-80-Lb-Concrete-Mix-66-Cu-Ft-4000.jpg,/\B\H\Quikrete-80-Lb-Concrete-Mix-66-Cu-Ft-4000.jpg,http://www.48ws.com/images/product/B/H/Quikrete-80-Lb-Concrete-Mix-66-Cu-Ft-4000.jpg,Quikrete-80-Lb-Concrete-Mix-66-Cu-Ft-4000-PSI,Quikrete-80-Lb-Concrete-Mix-66-Cu-Ft-4000-PSI,,No layout updates.,Block after Info Column,,"80 Lb Concrete Mix .66 Cu Ft 4000 PSI","80 Lb Concrete Mix .66 Cu Ft 4000 PSI",Use config,"http://www.quikrete.com/ProductLines/ConcreteMix.asp",0,,,0,"Quikrete",87,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Quikrete BHM CONCRETE 80 Lb Concrete Mix .66 Cu Ft 4000 PSI","Use For Construction & Repair of Brick, Block & Stone:<li>Sidewalks</li><li>Floors</li><li>Steps</li><li>Patios</li><li>Curbs</li><li>Downspout Troughs</li>","QUIKRETE&reg; Concrete Mix (No. 1101) is the original 4000 psi average compressive strength blend of portland cement, sand, and gravel or stone. Just add water. Use for any general concrete work.","","Quikrete BHM CONCRETE 80 Lb Concrete Mix .66 Cu Ft 4000 PSI","80 Lb Concrete Mix .66 Cu Ft 4000 PSI",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"609|19527","Cement | Concrete Mix|Concrete Mix",13204,"BHM FAST SET",,"Fast Set Concrete Mix 50 lb","","Fast Set Concrete Mix 50 lb","	
QUIKRETE® Fast-Setting Concrete Mix (No. 1004)",/\B\H\Quikrete-Fast-Set-Concrete-Mix-50.jpg,/\B\H\Quikrete-Fast-Set-Concrete-Mix-50.jpg,http://www.48ws.com/images/product/B/H/Quikrete-Fast-Set-Concrete-Mix-50.jpg,Quikrete-Fast-Set-Concrete-Mix-50-lb,Quikrete-Fast-Set-Concrete-Mix-50-lb,,No layout updates.,Block after Info Column,,"Fast Set Concrete Mix 50 lb","Fast Set Concrete Mix 50 lb",Use config,"http://www.quikrete.com/ProductLines/FastSettingConcreteMix.asp",0,,,0,"Quikrete",87,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"	
QUIKRETE&reg; Fast-Setting Concrete Mix (No. 1004)","50 lb. bags - 64 per pallet
<b>Use for Setting:</b><br>
	<li>Fence posts</li><li>
	Mailbox posts</li><li>
	Basketball posts</li><li>
	Deck posts</li><li>
	Lamp posts</li><li>
	Swing sets</li><br></br>

<b>Use for Building:</b><br>
	
<li>Steps</li><li>
	Sidewalks</li><li>
	Concrete appliance pads</li>","	
QUIKRETE&reg; Fast-Setting Concrete Mix (No. 1004) is a special blend of fast-setting cements, sand and gravel designed to set hard in approx. 20 to 40 minutes. Sets posts without mixing. Pour dry mix into hole and soak with water.","","Quikrete BHM FAST SET Fast Set Concrete Mix 50 lb","Fast Set Concrete Mix 50 lb",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1721|26845","Mortar Mix|Mortar Mixes",13205,"BHM MASON MIX S",,"80 lb Mason Mix Type S Premix with Sand","","80 lb Mason Mix Type S Premix with Sand","	
QUIKRETE® Mason Mix (No. 1136)",/\B\H\Quikrete-BHM-MASON-MIX-S-80-lb-Mason-Mix-Type-S-Premix-with.jpg,/\B\H\Quikrete-BHM-MASON-MIX-S-80-lb-Mason-Mix-Type-S-Premix-with.jpg,http://www.48ws.com/images/product/B/H/Quikrete-BHM-MASON-MIX-S-80-lb-Mason-Mix-Type-S-Premix-with.jpg,Quikrete-BHM-MASON-MIX-S-80-lb-Mason-Mix-Type-S-Premix-with-Sand,Quikrete-BHM-MASON-MIX-S-80-lb-Mason-Mix-Type-S-Premix-with-Sand,,No layout updates.,Block after Info Column,,"80 lb Mason Mix Type S Premix with Sand","80 lb Mason Mix Type S Premix with Sand",Use config,"http://www.quikrete.com/ProductLines/MasonMix.asp",0,,,0,"Quikrete",87,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"	
QUIKRETE&reg; Mason Mix (No. 1136)","<b>Use for Structural Masonry Applications both Above and Below Grade</b><br>
	<li>Walls</li><li>
	Tuck-Pointing</li><li>
	Columns</li><li>
	Brick/Stone Veneers</li>","QUIKRETE&reg; Mason Mix (No. 1136) is a high strength Commercial Grade dry pre-blended mixture of sand and cements specially selected for masonry applications. Meets N, S, M requirements as specified in ASTM C270. Just add water.
Add color with QUIKRETE&reg; Stucco & Mortar Color (No. 1317).","","Quikrete BHM MASON MIX S 80 lb Mason Mix Type S Premix with Sand","80 lb Mason Mix Type S Premix with Sand",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1721|26845","Mortar Mix|Mortar Mixes",13206,"BHM MASONRY S",,"70 lb Masonry Cement","","70 lb Masonry Cement","	
QUIKRETE® Masonry Cement (No. 1125)",/\B\H\Quikrete-BHM-MASONRY-S-70-lb-Masonry.jpg,/\B\H\Quikrete-BHM-MASONRY-S-70-lb-Masonry.jpg,http://www.48ws.com/images/product/B/H/Quikrete-BHM-MASONRY-S-70-lb-Masonry.jpg,Quikrete-BHM-MASONRY-S-70-lb-Masonry-Cement,Quikrete-BHM-MASONRY-S-70-lb-Masonry-Cement,,No layout updates.,Block after Info Column,,"70 lb Masonry Cement","70 lb Masonry Cement",Use config,"http://www.quikrete.com/ProductLines/MasonryCement.asp",0,,,0,"Quikrete",87,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"	
QUIKRETE&reg; Masonry Cement (No. 1125)","70lb. bags - 40 per pallet","QUIKRETE&reg; Masonry Cement (No. 1125) complies with current ASTM C91 and Federal Specifications from masonry cement. Available in Type S.","","Quikrete BHM MASONRY S 70 lb Masonry Cement","70 lb Masonry Cement",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"610|26794","Sand | Gravel|Sand and Gravel",13207,"BHM PLAY SAND",,"50 lb Play Sand","","50 lb Play Sand","Quikrete BHM PLAY SAND 50 lb Play Sand",/\B\H\Quikrete-BHM-PLAY-SAND-50-lb-Play.jpg,/\B\H\Quikrete-BHM-PLAY-SAND-50-lb-Play.jpg,http://www.48ws.com/images/product/B/H/Quikrete-BHM-PLAY-SAND-50-lb-Play.jpg,Quikrete-BHM-PLAY-SAND-50-lb-Play-Sand,Quikrete-BHM-PLAY-SAND-50-lb-Play-Sand,,No layout updates.,Block after Info Column,,"50 lb Play Sand","50 lb Play Sand",Use config,"http://www.quikrete.com/ProductLines/SandPremiumPlay.asp",0,,,0,"Quikrete",87,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Quikrete BHM PLAY SAND 50 lb Play Sand","50 lb bags","QUIKRETE&reg; Premium Play Sand&reg; (No. 1113) is a specially graded washed sand that has been dried and screened, for children's sand boxes.
","","Quikrete BHM PLAY SAND 50 lb Play Sand","50 lb Play Sand",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"610|26794","Sand | Gravel|Sand and Gravel",92396,"1152",,"All Purpose Sand","Sand - All-Purpose","All Purpose Sand","QUIKRETE® All-Purpose Sand (No. 1152) is a washed, properly graded coarse sand with multi-purpose uses. Meets ASTM C 33 specifications.",/\s\a\Quikrete-Sand-All.jpg,/\s\a\Quikrete-Sand-All.jpg,http://www.48ws.com/images/product/s/a/Quikrete-Sand-All.jpg,Quikrete-All-Purpose-Sand,Quikrete-All-Purpose-Sand,,No layout updates.,Block after Info Column,,"All Purpose Sand","All Purpose Sand",Use config,"http://www.quikrete.com/ProductLines/SandAllPurpose.asp",0,,,0,"Quikrete",87,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Quikrete All Purpose Sand","Available in the following sizes :<li>50 lb. bags</li><li>70 lb. bags</li><li>80 lb. bags</li><br>Use For:<li>Underlayment for Brick Pavers</li><li>Mixing with portland cement and gravel to make concrete</li><li>Traction on Snow and Ice</li><li>Mixing with potting soil</li>","<li>QUIKRETE&reg; All-Purpose Sand (No. 1152) is a washed, properly graded coarse sand with multi-purpose uses. Meets ASTM C 33 specifications.</li>","","80 lb bag","All Purpose Sand",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
