store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",90548,"1513ML",,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime","ML Kishigo Mfg. Co. Class 2 Black Series Heavy Duty Vest","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime","",/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,http://www.48ws.com/images/product/1/5/ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,ml-kishigo-1513ML-,ml-kishigo-1513ML-,,No layout updates.,Block after Info Column,,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime",Use config,"",0,,,0,"ML Kishigo",581,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Performance Features:
<li>Sizes: M-5X</li>
<li>Ultra-Cool polyester mesh</li>
<li>Zipper front closure with durable webbing reinforcement</li>
<li>2&quot; wide silver reflective materials with 3&quot; breathable contrasting color</li>
<li>Reflective trim around arms and piping down sides for added low light visibility</li> 
<li>Black sides provides contrast and adds a sporty look</li>
Pockets:
<li>Two lower outside cargo pockets with adjustable flaps and grommets</li> 
<li>Right chest 2-tier pencil pocket</li>
<li>Left chest heavy duty gusseted radio/utility pocketwith reflective piping</li> 
<li>Two inside patch pockets</li>
","","","Medium, Lime","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",90549,"1513LL",,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime","ML Kishigo Mfg. Co. Class 2 Black Series Heavy Duty Vest","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime","",/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,http://www.48ws.com/images/product/1/5/ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,ml-kishigo-1513LL-,ml-kishigo-1513LL-,,No layout updates.,Block after Info Column,,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime",Use config,"",0,,,0,"ML Kishigo",581,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ML Kishigo Mfg. Co. 1513LL Class 2 Black Series Heavy Duty Vest-Lime","Performance Features:
<li>Sizes: M-5X</li>
<li>Ultra-Cool polyester mesh</li>
<li>Zipper front closure with durable webbing reinforcement</li>
<li>2&quot; wide silver reflective materials with 3&quot; breathable contrasting color</li>
<li>Reflective trim around arms and piping down sides for added low light visibility</li> 
<li>Black sides provides contrast and adds a sporty look</li>
Pockets:
<li>Two lower outside cargo pockets with adjustable flaps and grommets</li> 
<li>Right chest 2-tier pencil pocket</li>
<li>Left chest heavy duty gusseted radio/utility pocketwith reflective piping</li> 
<li>Two inside patch pockets</li>
","","","Large, Lime","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",90551,"1513XLL",,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime","ML Kishigo Mfg. Co. Class 2 Black Series Heavy Duty Vest","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime","",/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,http://www.48ws.com/images/product/1/5/ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,ml-kishigo-1513XLL-,ml-kishigo-1513XLL-,,No layout updates.,Block after Info Column,,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime",Use config,"",0,,,0,"ML Kishigo",581,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ML Kishigo Mfg. Co. 1513XLL Class 2 Black Series Heavy Duty Vest-Lime","Performance Features:
<li>Sizes: M-5X</li>
<li>Ultra-Cool polyester mesh</li>
<li>Zipper front closure with durable webbing reinforcement</li>
<li>2&quot; wide silver reflective materials with 3&quot; breathable contrasting color</li>
<li>Reflective trim around arms and piping down sides for added low light visibility</li> 
<li>Black sides provides contrast and adds a sporty look</li>
Pockets:
<li>Two lower outside cargo pockets with adjustable flaps and grommets</li> 
<li>Right chest 2-tier pencil pocket</li>
<li>Left chest heavy duty gusseted radio/utility pocketwith reflective piping</li> 
<li>Two inside patch pockets</li>
","","","X Large, Lime","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",90552,"15132XLL",,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime","ML Kishigo Mfg. Co. Class 2 Black Series Heavy Duty Vest","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime","",/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,http://www.48ws.com/images/product/1/5/ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,ml-kishigo-15132XLL-,ml-kishigo-15132XLL-,,No layout updates.,Block after Info Column,,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime",Use config,"",0,,,0,"ML Kishigo",581,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ML Kishigo Mfg. Co. 15132XLL Class 2 Black Series Heavy Duty Vest-Lime","Performance Features:
<li>Sizes: M-5X</li>
<li>Ultra-Cool polyester mesh</li>
<li>Zipper front closure with durable webbing reinforcement</li>
<li>2&quot; wide silver reflective materials with 3&quot; breathable contrasting color</li>
<li>Reflective trim around arms and piping down sides for added low light visibility</li> 
<li>Black sides provides contrast and adds a sporty look</li>
Pockets:
<li>Two lower outside cargo pockets with adjustable flaps and grommets</li> 
<li>Right chest 2-tier pencil pocket</li>
<li>Left chest heavy duty gusseted radio/utility pocketwith reflective piping</li> 
<li>Two inside patch pockets</li>
","","","2X Large, Lime","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",90553,"15133XLL",,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime","ML Kishigo Mfg. Co. Class 2 Black Series Heavy Duty Vest","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime","",/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,http://www.48ws.com/images/product/1/5/ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,ml-kishigo-15133XLL-,ml-kishigo-15133XLL-,,No layout updates.,Block after Info Column,,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime",Use config,"",0,,,0,"ML Kishigo",581,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ML Kishigo Mfg. Co. 15133XLL Class 2 Black Series Heavy Duty Vest-Lime","Performance Features:
<li>Sizes: M-5X</li>
<li>Ultra-Cool polyester mesh</li>
<li>Zipper front closure with durable webbing reinforcement</li>
<li>2&quot; wide silver reflective materials with 3&quot; breathable contrasting color</li>
<li>Reflective trim around arms and piping down sides for added low light visibility</li> 
<li>Black sides provides contrast and adds a sporty look</li>
Pockets:
<li>Two lower outside cargo pockets with adjustable flaps and grommets</li> 
<li>Right chest 2-tier pencil pocket</li>
<li>Left chest heavy duty gusseted radio/utility pocketwith reflective piping</li> 
<li>Two inside patch pockets</li>
","","","3X Large, Lime","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",90554,"15134XLL",,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime","ML Kishigo Mfg. Co. Class 2 Black Series Heavy Duty Vest","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime","",/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,http://www.48ws.com/images/product/1/5/ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,ml-kishigo-15134XLL-,ml-kishigo-15134XLL-,,No layout updates.,Block after Info Column,,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime",Use config,"",0,,,0,"ML Kishigo",581,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ML Kishigo Mfg. Co. 15134XLL Class 2 Black Series Heavy Duty Vest-Lime","Performance Features:
<li>Sizes: M-5X</li>
<li>Ultra-Cool polyester mesh</li>
<li>Zipper front closure with durable webbing reinforcement</li>
<li>2&quot; wide silver reflective materials with 3&quot; breathable contrasting color</li>
<li>Reflective trim around arms and piping down sides for added low light visibility</li> 
<li>Black sides provides contrast and adds a sporty look</li>
Pockets:
<li>Two lower outside cargo pockets with adjustable flaps and grommets</li> 
<li>Right chest 2-tier pencil pocket</li>
<li>Left chest heavy duty gusseted radio/utility pocketwith reflective piping</li> 
<li>Two inside patch pockets</li>
","","","4X Large, Lime","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",90556,"15135XLL",,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime","ML Kishigo Mfg. Co. Class 2 Black Series Heavy Duty Vest","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime","",/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,http://www.48ws.com/images/product/1/5/ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,ml-kishigo-15135XLL-,ml-kishigo-15135XLL-,,No layout updates.,Block after Info Column,,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime",Use config,"",0,,,0,"ML Kishigo",581,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ML Kishigo Mfg. Co. 15135XLL Class 2 Black Series Heavy Duty Vest-Lime","Performance Features:
<li>Sizes: M-5X</li>
<li>Ultra-Cool polyester mesh</li>
<li>Zipper front closure with durable webbing reinforcement</li>
<li>2&quot; wide silver reflective materials with 3&quot; breathable contrasting color</li>
<li>Reflective trim around arms and piping down sides for added low light visibility</li> 
<li>Black sides provides contrast and adds a sporty look</li>
Pockets:
<li>Two lower outside cargo pockets with adjustable flaps and grommets</li> 
<li>Right chest 2-tier pencil pocket</li>
<li>Left chest heavy duty gusseted radio/utility pocketwith reflective piping</li> 
<li>Two inside patch pockets</li>
","","","5X Large, Lime","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",90557,"1514OM",,"Class 2 Black Series Heavy Duty Vest-Orange","ML Kishigo Mfg. Co. Class 2 Black Series Heavy Duty Vest","Class 2 Black Series Heavy Duty Vest-Orange","",/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,http://www.48ws.com/images/product/1/5/ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,Ml-Kishigo-Mfg-Co-1514OM-Class-2-Black-Series-Heavy-Duty-Vest-Orange,Ml-Kishigo-Mfg-Co-1514OM-Class-2-Black-Series-Heavy-Duty-Vest-Orange,,No layout updates.,Block after Info Column,,"Class 2 Black Series Heavy Duty Vest-Orange","Class 2 Black Series Heavy Duty Vest-Orange",Use config,"",0,,,0,"ML Kishigo",581,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Ml Kishigo Mfg. Co. 1514OM Class 2 Black Series Heavy Duty Vest-Orange","Performance Features:
<li>Sizes: M-5X</li>
<li>Ultra-Cool polyester mesh</li>
<li>Zipper front closure with durable webbing reinforcement</li>
<li>2&quot; wide silver reflective materials with 3&quot; breathable contrasting color</li>
<li>Reflective trim around arms and piping down sides for added low light visibility</li> 
<li>Black sides provides contrast and adds a sporty look</li>
Pockets:
<li>Two lower outside cargo pockets with adjustable flaps and grommets</li> 
<li>Right chest 2-tier pencil pocket</li>
<li>Left chest heavy duty gusseted radio/utility pocketwith reflective piping</li> 
<li>Two inside patch pockets</li>
","","","Medium, Orange","Class 2 Black Series Heavy Duty Vest-Orange",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",90558,"1514OL",,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange","ML Kishigo Mfg. Co. Class 2 Black Series Heavy Duty Vest","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange","",/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,http://www.48ws.com/images/product/1/5/ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,ml-kishigo-1514OL-,ml-kishigo-1514OL-,,No layout updates.,Block after Info Column,,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange",Use config,"",0,,,0,"ML Kishigo",581,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ML Kishigo Mfg. Co. 1514OL Class 2 Black Series Heavy Duty Vest-Orange","Performance Features:
<li>Sizes: M-5X</li>
<li>Ultra-Cool polyester mesh</li>
<li>Zipper front closure with durable webbing reinforcement</li>
<li>2&quot; wide silver reflective materials with 3&quot; breathable contrasting color</li>
<li>Reflective trim around arms and piping down sides for added low light visibility</li> 
<li>Black sides provides contrast and adds a sporty look</li>
Pockets:
<li>Two lower outside cargo pockets with adjustable flaps and grommets</li> 
<li>Right chest 2-tier pencil pocket</li>
<li>Left chest heavy duty gusseted radio/utility pocketwith reflective piping</li> 
<li>Two inside patch pockets</li>
","","","Large, Orange","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",90559,"1514OXL",,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange","ML Kishigo Mfg. Co. Class 2 Black Series Heavy Duty Vest","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange","",/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,http://www.48ws.com/images/product/1/5/ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,ml-kishigo-1514OXL-,ml-kishigo-1514OXL-,,No layout updates.,Block after Info Column,,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange",Use config,"",0,,,0,"ML Kishigo",581,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ML Kishigo Mfg. Co. 1514OXL Class 2 Black Series Heavy Duty Vest-Orange","Performance Features:
<li>Sizes: M-5X</li>
<li>Ultra-Cool polyester mesh</li>
<li>Zipper front closure with durable webbing reinforcement</li>
<li>2&quot; wide silver reflective materials with 3&quot; breathable contrasting color</li>
<li>Reflective trim around arms and piping down sides for added low light visibility</li> 
<li>Black sides provides contrast and adds a sporty look</li>
Pockets:
<li>Two lower outside cargo pockets with adjustable flaps and grommets</li> 
<li>Right chest 2-tier pencil pocket</li>
<li>Left chest heavy duty gusseted radio/utility pocketwith reflective piping</li> 
<li>Two inside patch pockets</li>
","","","X Large, Orange","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",90560,"1514O2XL",,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange","ML Kishigo Mfg. Co. Class 2 Black Series Heavy Duty Vest","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange","",/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,http://www.48ws.com/images/product/1/5/ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,ml-kishigo-1514O2XL-,ml-kishigo-1514O2XL-,,No layout updates.,Block after Info Column,,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange",Use config,"",0,,,0,"ML Kishigo",581,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ML Kishigo Mfg. Co. 1514O2XL Class 2 Black Series Heavy Duty Vest-Orange","Performance Features:
<li>Sizes: M-5X</li>
<li>Ultra-Cool polyester mesh</li>
<li>Zipper front closure with durable webbing reinforcement</li>
<li>2&quot; wide silver reflective materials with 3&quot; breathable contrasting color</li>
<li>Reflective trim around arms and piping down sides for added low light visibility</li> 
<li>Black sides provides contrast and adds a sporty look</li>
Pockets:
<li>Two lower outside cargo pockets with adjustable flaps and grommets</li> 
<li>Right chest 2-tier pencil pocket</li>
<li>Left chest heavy duty gusseted radio/utility pocketwith reflective piping</li> 
<li>Two inside patch pockets</li>
","","","2X Large, Orange","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",90561,"1514O3XL",,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange","ML Kishigo Mfg. Co. Class 2 Black Series Heavy Duty Vest","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange","",/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,http://www.48ws.com/images/product/1/5/ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,ml-kishigo-1514O3XL-,ml-kishigo-1514O3XL-,,No layout updates.,Block after Info Column,,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange",Use config,"",0,,,0,"ML Kishigo",581,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ML Kishigo Mfg. Co. 1514O3XL Class 2 Black Series Heavy Duty Vest-Orange","Performance Features:
<li>Sizes: M-5X</li>
<li>Ultra-Cool polyester mesh</li>
<li>Zipper front closure with durable webbing reinforcement</li>
<li>2&quot; wide silver reflective materials with 3&quot; breathable contrasting color</li>
<li>Reflective trim around arms and piping down sides for added low light visibility</li> 
<li>Black sides provides contrast and adds a sporty look</li>
Pockets:
<li>Two lower outside cargo pockets with adjustable flaps and grommets</li> 
<li>Right chest 2-tier pencil pocket</li>
<li>Left chest heavy duty gusseted radio/utility pocketwith reflective piping</li> 
<li>Two inside patch pockets</li>
","","","3X Large, Orange","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",90562,"1514O4XL",,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange","ML Kishigo Mfg. Co. Class 2 Black Series Heavy Duty Vest","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange","",/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,http://www.48ws.com/images/product/1/5/ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,ml-kishigo-1514O4XL-,ml-kishigo-1514O4XL-,,No layout updates.,Block after Info Column,,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange",Use config,"",0,,,0,"ML Kishigo",581,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ML Kishigo Mfg. Co. 1514O4XL Class 2 Black Series Heavy Duty Vest-Orange","Performance Features:
<li>Sizes: M-5X</li>
<li>Ultra-Cool polyester mesh</li>
<li>Zipper front closure with durable webbing reinforcement</li>
<li>2&quot; wide silver reflective materials with 3&quot; breathable contrasting color</li>
<li>Reflective trim around arms and piping down sides for added low light visibility</li> 
<li>Black sides provides contrast and adds a sporty look</li>
Pockets:
<li>Two lower outside cargo pockets with adjustable flaps and grommets</li> 
<li>Right chest 2-tier pencil pocket</li>
<li>Left chest heavy duty gusseted radio/utility pocketwith reflective piping</li> 
<li>Two inside patch pockets</li>
","","","4X Large, Orange","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",90563,"1514O5XL",,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange","ML Kishigo Mfg. Co. Class 2 Black Series Heavy Duty Vest","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange","",/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,/\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,http://www.48ws.com/images/product/1/5/ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,ml-kishigo-1514O5XL-,ml-kishigo-1514O5XL-,,No layout updates.,Block after Info Column,,"Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange",Use config,"",0,,,0,"ML Kishigo",581,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"ML Kishigo Mfg. Co. 1514O5XL Class 2 Black Series Heavy Duty Vest-Orange","Performance Features:
<li>Sizes: M-5X</li>
<li>Ultra-Cool polyester mesh</li>
<li>Zipper front closure with durable webbing reinforcement</li>
<li>2&quot; wide silver reflective materials with 3&quot; breathable contrasting color</li>
<li>Reflective trim around arms and piping down sides for added low light visibility</li> 
<li>Black sides provides contrast and adds a sporty look</li>
Pockets:
<li>Two lower outside cargo pockets with adjustable flaps and grommets</li> 
<li>Right chest 2-tier pencil pocket</li>
<li>Left chest heavy duty gusseted radio/utility pocketwith reflective piping</li> 
<li>Two inside patch pockets</li>
","","","5X Large, Orange","Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26141","High Visibility & Cooling Vests",90564,"1510ML",,"Class 2 Brilliant Series Heavy Duty Vest-Lime","Ml Kishigo Mfg, Co. Class 2 Brilliant Series Heavy Duty Vest","Class 2 Brilliant Series Heavy Duty Vest-Lime","",/\1\5\Ml-Kishigo-Mfg-Co-1510ML-Class-2-Brilliant-Series-Heavy.png,/\1\5\Ml-Kishigo-Mfg-Co-1510ML-Class-2-Brilliant-Series-Heavy.png,http://www.48ws.com/images/product/1/5/Ml-Kishigo-Mfg-Co-1510ML-Class-2-Brilliant-Series-Heavy.png,Ml-Kishigo-Mfg-Co-1510ML-Class-2-Brilliant-Series-Heavy-Duty-Vest-Lime,Ml-Kishigo-Mfg-Co-1510ML-Class-2-Brilliant-Series-Heavy-Duty-Vest-Lime,,No layout updates.,Block after Info Column,,"Class 2 Brilliant Series Heavy Duty Vest-Lime","Class 2 Brilliant Series Heavy Duty Vest-Lime",Use config,"",0,,,0,"ML Kishigo",581,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Performance Features: 
<li>Sizes: M-5XL</li>
<li>Ultra-Cool 100% Polyester Mesh</li>
<li>Zipper front closure with durable webbing reinforcement</li>
<li>Brilliant Trim reflective edging considerably improves low light visibility</li>
<li>2&quot; wide VizLite Reflective Materials with 3&quot; breathable contrasting color</li>
Pockets:
<li>Two lower outside cargo pockets with adjustable flaps</li>
<li>Right chest 2-tier pencil pockets</li>
<li>Left chest radio pocket</li>
<li>Two inside patch pockets</li>
","","","Medium, Lime","Class 2 Brilliant Series Heavy Duty Vest-Lime",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
