store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"44|24933|28319","Rebar Equipment|Electric Rebar Cutters and Benders|Rental Reinforcement",12713,"DCC-1618",,"Cordless Rebar Cutter","","Cordless Rebar Cutter","Benner-Nawman DCC-1618 Cordless Rebar Cutter",/\D\C\Benner-Nauman-DCC-1618-Cordless-Rebar.jpg,/\D\C\Benner-Nauman-DCC-1618-Cordless-Rebar.jpg,http://www.48ws.com/images/product/D/C/Benner-Nauman-DCC-1618-Cordless-Rebar.jpg,Benner-Nawman-DCC-1618-Cordless-Rebar-Cutter,Benner-Nawman-DCC-1618-Cordless-Rebar-Cutter,,No layout updates.,Block after Info Column,,"Cordless Rebar Cutter","Cordless Rebar Cutter",Use config,"http://www.bnproducts.com",0,,,0,"Benner-Nawman",173,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Benner-Nawman DCC-1618 Cordless Rebar Cutter","<li>Maximum Cutting Diameter:	5/8&quot;  #5 Rebar (16mm) Grade 60</li><li>
Cuts per battery /Cutting speed:	75  cuts on full charge / 7 seconds</li><li>
NiCad Battery (EB12B)/Charger (UC14YFA): 12 Volt DC, 2000 mAh /
120 Volt  60 Hz Charger</li><li>
Tool Weight:	12.4 lbs.(5.6 kg) with battery</li><li>
Dimensions (w/o side handle) L x W x H:	12.9&quot;(330mm) x 3.6&quot;(93mm) x 
10.9&quot;(280mm)</li>","The DCC-1618 cordless rebar cutter will safely and cleanly cut rebar up to 5/8&quot;diameter grade 60.  This self-contained electric/hydraulic unit will also cut other items like chain, bolts, and rod.  The DCC-1618 can be used in rescue operations, cut in close proximity to a trapped victim, does not throw sparks or heat.  The cutting head quickly rotates up to 345 degrees for using in vertical, horizontal, or difficult applications.   A safety relief valve for retracting the piston and a cutting guard are standard features.  This tool ships complete with (2) each 18 volt DC batteries, 30-60 minute fast battery charger, removable side handle, plastic carrying case, and a tool kit. ","","Benner-Nawman DCC-1618 Cordless Rebar Cutter","Cordless Rebar Cutter",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"44|24933|28319","Rebar Equipment|Electric Rebar Cutters and Benders|Rental Reinforcement",12714,"DC-16LZ",,"Medium-Duty Rebar Cutter","","Medium-Duty Rebar Cutter","Benner-Nawman DC-16LZ Medium-Duty Rebar Cutter",/\D\C\Benner-Nawman-DC-16LZ-Medium-Duty-Rebar.jpg,/\D\C\Benner-Nawman-DC-16LZ-Medium-Duty-Rebar.jpg,http://www.48ws.com/images/product/D/C/Benner-Nawman-DC-16LZ-Medium-Duty-Rebar.jpg,Benner-Nawman-DC-16LZ-Medium-Duty-Rebar-Cutter,Benner-Nawman-DC-16LZ-Medium-Duty-Rebar-Cutter,,No layout updates.,Block after Info Column,,"Medium-Duty Rebar Cutter","Medium-Duty Rebar Cutter",Use config,"http://www.bnproducts.com",0,,,0,"Benner-Nawman",173,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Benner-Nawman DC-16LZ Medium-Duty Rebar Cutter","<li>Maximum Cutting Diameter:	5/8&quot;  #5 Rebar (16mm) Grade 60</li><li>
Cuts per battery /Cutting speed:	2 seconds</li><li>
NiCad Battery (EB12B)/Charger (UC14YFA): 115V 50/60Hz 9 Amps</li><li>
Tool Weight:	15 lbs.(6.8 kg) with battery</li><li>
Dimensions L x W x H:	14.8&quot;(380mm) x 6.8&quot;(175mm) x 
4.1&quot;(105mm)</li>","	
The DC-16LZ is a medium-duty rebar cutter that will safely, efficiently, and cleanly cut rebar up to #5 (5/8&quot;) diameter grade 60.  This self-contained electric/hydraulic unit will also cut other items like chain, bolts and rod but is specifically designed for rebar.  The DC-16LZ is intended for effortless medium-duty applications on vertical and horizontal rebar cutting applications.  This tool would be a great asset for swimming pool, masonry, and ICF contractors.  The DC-16LZ is a cold-cutting shear, unlike saws with abrasive blades and cutting torches, there are no sparks or flame. A safety relief valve for retracting the piston and a cutting guard are standard features.  Ships complete in a carrying case with hydraulic oil and a tool kit.","","Benner-Nawman DC-16LZ Medium-Duty Rebar Cutter","Medium-Duty Rebar Cutter",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"44|24933|28319","Rebar Equipment|Electric Rebar Cutters and Benders|Rental Reinforcement",12715,"DC-16W",,"Portable Heavy-Duty Rebar Cutter","","Portable Heavy-Duty Rebar Cutter","Benner-Nawman DC-16W Portable Heavy-Duty Rebar Cutter",/\D\C\Benner-Nawman-DC-16W-Portable-Heavy-Duty-Rebar.jpg,/\D\C\Benner-Nawman-DC-16W-Portable-Heavy-Duty-Rebar.jpg,http://www.48ws.com/images/product/D/C/Benner-Nawman-DC-16W-Portable-Heavy-Duty-Rebar.jpg,Benner-Nawman-DC-16W-Portable-Heavy-Duty-Rebar-Cutter,Benner-Nawman-DC-16W-Portable-Heavy-Duty-Rebar-Cutter,,No layout updates.,Block after Info Column,,"Portable Heavy-Duty Rebar Cutter","Portable Heavy-Duty Rebar Cutter",Use config,"http://www.bnproducts.com",0,,,0,"Benner-Nawman",173,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Benner-Nawman DC-16W Portable Heavy-Duty Rebar Cutter","<b>Maximum Cutting Diameter:</b>	5/8&quot; #5 Rebar (16mm) Grade 60<br>
<b>Cuts per battery /Cutting speed:</b>	2.5 Seconds<br>
<b>Voltage/Amperage:</b>	115V 50/60Hz / 10 amps<br>
<b>Tool Weight:</b>	17.6 lbs (8 kg)<br>
<b>Dimensions (w/ side handle) L x W x H:</b>	18&quot; (460mm) x 10.5&quot; (270mm) x 4.5&quot; (115mm)","The DC-16W portable heavy-duty rebar cutter will safely, efficiently, and cleanly cut rebar up to #5 (5/8&quot;) diameter grade 60.  This self-contained electric/hydraulic unit will also cut other items like chain, bolts and rod but is specifically designed for rebar. The DC-16W cutter is designed for effortless vertical and horizontal cutting applications.  The DC-16W is a cold-cutting shear unlike saws with abrasive blades and cutting torches.  There are no sparks or flame and no trailing hoses to snare equipment or worker' feet.  A safety relief valve for retracting the piston and a cutting guard are standard features.  Ships complete in a carrying case with hydraulic oil and a tool kit.","","Benner-Nawman DC-16W Portable Heavy-Duty Rebar Cutter","Portable Heavy-Duty Rebar Cutter",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"44|24933|28319","Rebar Equipment|Electric Rebar Cutters and Benders|Rental Reinforcement",12717,"DC-20WH",,"Portable Heavy-Duty Rebar Cutter","","Portable Heavy-Duty Rebar Cutter","Benner-Nawman DC-20WH Portable Heavy-Duty Rebar Cutter",/\D\C\Benner-Nawman-DC-20WH-Portable-Heavy-Duty-Rebar.jpg,/\D\C\Benner-Nawman-DC-20WH-Portable-Heavy-Duty-Rebar.jpg,http://www.48ws.com/images/product/D/C/Benner-Nawman-DC-20WH-Portable-Heavy-Duty-Rebar.jpg,Benner-Nawman-DC-20WH-Portable-Heavy-Duty-Rebar-Cutter,Benner-Nawman-DC-20WH-Portable-Heavy-Duty-Rebar-Cutter,,No layout updates.,Block after Info Column,,"Portable Heavy-Duty Rebar Cutter","Portable Heavy-Duty Rebar Cutter",Use config,"http://www.bnproducts.com",0,,,0,"Benner-Nawman",173,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Benner-Nawman DC-20WH Portable Heavy-Duty Rebar Cutter","<b>Maximum Cutting Diameter:</b>	3/4&quot; #6 Rebar (169mm) Grade 60<br>
<b>Cuts per battery /Cutting speed:</b>	3 Seconds<br>
<b>Voltage/Amperage:</b>	115V 50/60Hz / 10 amps<br>
<b>Tool Weight:</b>	25.4 lbs (11.5 kg)<br>
<b>Dimensions (w/ side handle) L x W x H:</b>	16&quot; (410mm) x 4.3&quot; (110mm) x 8.2&quot; (210mm)","The DC-20WH portable heavy-duty rebar cutter will safely, efficiently, and cleanly cut rebar up to #6 (3/4&quot;) diameter grade 60.  DIAMOND originated this concept in 1972; continuous development has led to higher output, lower weight, and even greater toughness and durability.  The DC-20WH is a cold-cutting shear unlike saws with abrasive blades and cutting torches.  There are no sparks or flame and no trailing hoses to snare equipment or worker' feet.  Ideal for cutting epoxy-coated rebar.  Fastest, safest, and most economical way to cut rebar on the job.  A safety relief valve for retracting the piston and a cutting guard are standard features.    Ships complete in a carrying case with hydraulic oil and a tool kit.
","","Benner-Nawman DC-20WH Portable Heavy-Duty Rebar Cutter","Portable Heavy-Duty Rebar Cutter",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"24933","Electric Rebar Cutters and Benders",12718,"DC-25X",,"Portable Heavy-Duty Rebar Cutter","","Portable Heavy-Duty Rebar Cutter","Benner-Nawman DC-25X Portable Heavy-Duty Rebar Cutter",/\D\C\Benner-Nawman-DC-25X-Portable-Heavy-Duty-Rebar.jpg,/\D\C\Benner-Nawman-DC-25X-Portable-Heavy-Duty-Rebar.jpg,http://www.48ws.com/images/product/D/C/Benner-Nawman-DC-25X-Portable-Heavy-Duty-Rebar.jpg,Benner-Nawman-DC-25X-Portable-Heavy-Duty-Rebar-Cutter,Benner-Nawman-DC-25X-Portable-Heavy-Duty-Rebar-Cutter,,No layout updates.,Block after Info Column,,"Portable Heavy-Duty Rebar Cutter","Portable Heavy-Duty Rebar Cutter",Use config,"http://www.bnproducts.com",0,,,0,"Benner-Nawman",173,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Benner-Nawman DC-25X Portable Heavy-Duty Rebar Cutter","<b>Maximum Cutting Diameter:</b>	1&quot; #8 Rebar (25mm) Grade 60<br>
<b>Cuts per battery /Cutting speed:</b>	5 Seconds<br>
<b>Voltage/Amperage:</b>	115V 50/60Hz / 12 amps<br>
<b>Tool Weight:</b>	49.6 lbs (22.5 kg)<br>
<b>Dimensions (w/ side handle) L x W x H:</b>	20&quot; (515mm) x 5.9&quot; (150mm) x 9.8&quot; (250mm)","The DC-25X portable heavy-duty rebar cutter will safely, efficiently, and cleanly cut rebar up to #8 (1&quot;) diameter grade 60.  The DC-25X cutter is ideal for a small fabrication shop, especially if used with our CWS-2025 WorkStation.  Because our rebar cutters feature a locking trigger switch, the cutter can be operated with a foot pedal switch and our GFI protected electrical outlet.  There are no sparks or flame so it also works great on epoxy-coated rebar.  It's the fastest, safest, and most economical way to cut rebar on the job.  A safety relief valve for retracting the piston and a cutting guard are standard features.  Ships complete in a steel carrying case with hydraulic oil and a tool kit. ","","Benner-Nawman DC-25X Portable Heavy-Duty Rebar Cutter","Portable Heavy-Duty Rebar Cutter",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"44|24933|28319","Rebar Equipment|Electric Rebar Cutters and Benders|Rental Reinforcement",12719,"DC-32WH",,"Portable Heavy-Duty Rebar Cutter","","Portable Heavy-Duty Rebar Cutter","Benner-Nawman DC-32WH Portable Heavy-Duty Rebar Cutter",/\D\C\Benner-Nawman-DC-32WH-Portable-Heavy-Duty-Rebar.jpg,/\D\C\Benner-Nawman-DC-32WH-Portable-Heavy-Duty-Rebar.jpg,http://www.48ws.com/images/product/D/C/Benner-Nawman-DC-32WH-Portable-Heavy-Duty-Rebar.jpg,Benner-Nawman-DC-32WH-Portable-Heavy-Duty-Rebar-Cutter,Benner-Nawman-DC-32WH-Portable-Heavy-Duty-Rebar-Cutter,,No layout updates.,Block after Info Column,,"Portable Heavy-Duty Rebar Cutter","Portable Heavy-Duty Rebar Cutter",Use config,"http://www.bnproducts.com",0,,,0,"Benner-Nawman",173,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Benner-Nawman DC-32WH Portable Heavy-Duty Rebar Cutter","<b>Maximum Cutting Diameter:</b>	1-1/4&quot; #10 Rebar (32mm) Grade 60<br>
<b>Cuts per battery /Cutting speed:</b>	7 Seconds<br>
<b>Voltage/Amperage:</b>	115V 50/60Hz / 18 amps<br>
<b>Tool Weight:</b>	79 lbs (8 kg)<br>
<b>Dimensions (w/ side handle) L x W x H:</b>	23.1&quot; (591mm) x 7&quot; (180mm) x 10.6&quot; (272mm)","The DC-32WH portable heavy-duty rebar cutter will safely, efficiently, and cleanly cut rebar up to #10 (1 ¼&quot;) diameter grade 60.  The DC-32WH cutter is ideal for bridge and highway work, and in small rebar fabrication shops.  This unit is available in combination with a DBD-32X bender on a stand, in a WorkStation table and on a trailer.  There are no sparks or flame so it also works great on epoxy-coated rebar.  It's the fastest, safest, and most economical way to cut rebar on the job.  A safety relief valve for retracting the piston and a cutting guard are standard features.  Ships complete in a wooden carrying case with hydraulic oil and a tool kit.","","Benner-Nawman DC-32WH Portable Heavy-Duty Rebar Cutter","Portable Heavy-Duty Rebar Cutter",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"44|24933|28319","Rebar Equipment|Electric Rebar Cutters and Benders|Rental Reinforcement",12720,"HB-16W",,"Portable Heavy-Duty Electric/Hydraulic Rebar Bender","","Portable Heavy-Duty Electric/Hydraulic Rebar Bender","Benner-Nawman HB-16W Portable Heavy-Duty Electric/Hydraulic Rebar Bender",/\H\B\Benner-Nawman-HB-16W-Portable-Heavy-Duty-ElectricHydraulic.jpg,/\H\B\Benner-Nawman-HB-16W-Portable-Heavy-Duty-ElectricHydraulic.jpg,http://www.48ws.com/images/product/H/B/Benner-Nawman-HB-16W-Portable-Heavy-Duty-ElectricHydraulic.jpg,Benner-Nawman-HB-16W-Portable-Heavy-Duty-ElectricHydraulic-Rebar-Bender,Benner-Nawman-HB-16W-Portable-Heavy-Duty-ElectricHydraulic-Rebar-Bender,,No layout updates.,Block after Info Column,,"Portable Heavy-Duty Electric/Hydraulic Rebar Bender","Portable Heavy-Duty Electric/Hydraulic Rebar Bender",Use config,"http://www.bnproducts.com",0,,,0,"Benner-Nawman",173,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Benner-Nawman HB-16W Portable Heavy-Duty Electric/Hydraulic Rebar Bender","<b>Maximum Bending Diameter:</b>	5/8&quot; #5 Rebar (16mm) Grade 60<br>
<b>Bending Angle/Speed:</b>	0-135 degrees / 8 Seconds<br>
<b>Voltage/Amperage:</b>	115V 50/60Hz / 10 amps<br>
<b>Tool Weight:</b>	33 lbs (15 kg)<br>
<b>Dimensions L x W x H:</b>	22.8&quot; (585mm) x 7.6&quot; (195mm) x 8&quot; (205mm)","The HB-16W portable heavy-duty electric/hydraulic rebar bender helps save valuable man-hours by bending rebar up to 5/8&quot; (#5) grade 60 from 0-135 degrees in-place at the job site.  Other features include a double insulated electric motor and a removable bending guide for repeating the same angle bend.  The optional 90 degree bending shoe and collar make it simple to repeat 90 degree bends without a guide.  The optional bending collar increases the bending radius and minimizes rebar breakage, especially on #5 grade 60.  This portable electric/ hydraulic rebar bender ships complete in a steel carrying case with hydraulic oil and a tool kit.  Solves bending applications other tools can't even attempt.","","Benner-Nawman HB-16W Portable Heavy-Duty Electric/Hydraulic Rebar Bender","Portable Heavy-Duty Electric/Hydraulic Rebar Bender",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"44|24933|28319","Rebar Equipment|Electric Rebar Cutters and Benders|Rental Reinforcement",12721,"DBR-25WH",,"Portable Heavy-Duty Electric/Hydraulic Rebar Bender and Straightener","","Portable Heavy-Duty Electric/Hydraulic Rebar Bender and Straightener","Benner-Nawman DBR-25WH Portable Heavy-Duty Electric/Hydraulic Rebar Bender and Straightener",/\D\B\Benner-Nawman-DBR-25WH-Portable-Heavy-Duty.jpg,/\D\B\Benner-Nawman-DBR-25WH-Portable-Heavy-Duty.jpg,http://www.48ws.com/images/product/D/B/Benner-Nawman-DBR-25WH-Portable-Heavy-Duty.jpg,Benner-Nawman-DBR-25WH-Portable-Heavy-Duty-ElectricHydraulic-Rebar-Bender-and-Straightener,Benner-Nawman-DBR-25WH-Portable-Heavy-Duty-ElectricHydraulic-Rebar-Bender-and-Straightener,,No layout updates.,Block after Info Column,,"Portable Heavy-Duty Electric/Hydraulic Rebar Bender and Straightener","Portable Heavy-Duty Electric/Hydraulic Rebar Bender and Straightener",Use config,"http://www.bnproducts.com",0,,,0,"Benner-Nawman",173,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Benner-Nawman DBR-25WH Portable Heavy-Duty Electric/Hydraulic Rebar Bender and Straightener","<b>Maximum Bending Diameter:</b>	1&quot; #8 Rebar (25mm) Grade 60<br>
<b>Bending Angle:</b>	0-94 degrees (1/2&quot;) - 0-90 degrees (1&quot;)<br>
<b>Voltage/Amperage:</b>	115V 50/60Hz / 12 amps<br>
<b>Tool Weight:</b>	57.3 lbs (26 kg)<br>
<b>Dimensions L x W x H:</b>	25.75&quot; (660mm) x 10.5&quot; (270mm) x 7.8&quot; (200mm)","The DBR-25WH is a portable heavy-duty electric/hydraulic rebar bender and straightener.  It helps save valuable man-hours by cleanly and efficiently bending or straightening bent rebar.  It functions as a simple 90-degree portable electric rebar bender.  The interchangeable bending hook covers rebar diameters from #4 to #8 grade 60.  Maximum pressure for bending and straightening ranges from 8.5 to 11 tons.  It's portable and versatile enough to bend or straighten rebar in-place with its push/pull hydraulic capabilities.  It will bend a 90-degree angle in only (4) seconds.  The bending head also rotates 360 degrees.  Ships complete in a wooden carrying case with hydraulic oil and a tool kit.  Solves bending applications other tools can't even attempt.","","Benner-Nawman DBR-25WH Portable Heavy-Duty Electric/Hydraulic Rebar Bender and Straightener","Portable Heavy-Duty Electric/Hydraulic Rebar Bender and Straightener",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"44|24933|28319","Rebar Equipment|Electric Rebar Cutters and Benders|Rental Reinforcement",12722,"DBD-16X",,"Heavy-Duty Portable Rebar Bender","","Heavy-Duty Portable Rebar Bender","Benner-Nawman DBD-16X Heavy-Duty Portable Rebar Bender",/\D\B\Benner-Nawman-DBD-16X-Heavy-Duty-Portable-Rebar.jpg,/\D\B\Benner-Nawman-DBD-16X-Heavy-Duty-Portable-Rebar.jpg,http://www.48ws.com/images/product/D/B/Benner-Nawman-DBD-16X-Heavy-Duty-Portable-Rebar.jpg,Benner-Nawman-DBD-16X-Heavy-Duty-Portable-Rebar-Bender,Benner-Nawman-DBD-16X-Heavy-Duty-Portable-Rebar-Bender,,No layout updates.,Block after Info Column,,"Heavy-Duty Portable Rebar Bender","Heavy-Duty Portable Rebar Bender",Use config,"http://www.bnproducts.com",0,,,0,"Benner-Nawman",173,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Benner-Nawman DBD-16X Heavy-Duty Portable Rebar Bender","<b>Maximum Bending Diameter:</b>	5/8&quot; #5 Rebar (16mm) Grade 60<br>
<b>Bending Angle/Speed:</b>	Up to 180 degrees / 8 Seconds<br>
<b>Voltage/Amperage:</b>	115V 50/60Hz / 10 amps<br>
<b>Tool Weight:</b>	90 lbs (40.8 kg)<br>
<b>Dimensions L x W x H:</b>	16.6&quot; (425mm) x 12.5&quot; (320mm) x 16.2&quot; (415mm)","The DBD-16X heavy-duty portable rebar bender helps save valuable man-hours by bending rebar up to #5 (5/8&quot;) grade 60 at the job site or in your shop.  This strong electrical-mechanical bender has two preset angle locks for repeating the same angle bend.  The dial-type angle selector can be set to accurately bend any angle from 0-180 degrees.  Bends (3) each #3 rebar or (2) each #4 rebar or (1) each #5 rebar at one time.  An emergency stop switch and two side lifting handles are standard features.  Ships complete with set of (6) bending rollers in a steel carrying case, a tool kit, and a standard foot pedal control switch for hands-free bending.","","Benner-Nawman DBD-16X Heavy-Duty Portable Rebar Bender","Heavy-Duty Portable Rebar Bender",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"44|24933|28319","Rebar Equipment|Electric Rebar Cutters and Benders|Rental Reinforcement",12723,"DBD-20X",,"Heavy-Duty Portable Rebar Bender","","Heavy-Duty Portable Rebar Bender","Benner-Nawman DBD-20X Heavy-Duty Portable Rebar Bender",/\D\B\Benner-Nawman-DBD-20X-Heavy-Duty-Portable-Rebar.jpg,/\D\B\Benner-Nawman-DBD-20X-Heavy-Duty-Portable-Rebar.jpg,http://www.48ws.com/images/product/D/B/Benner-Nawman-DBD-20X-Heavy-Duty-Portable-Rebar.jpg,Benner-Nawman-DBD-20X-Heavy-Duty-Portable-Rebar-Bender,Benner-Nawman-DBD-20X-Heavy-Duty-Portable-Rebar-Bender,,No layout updates.,Block after Info Column,,"Heavy-Duty Portable Rebar Bender","Heavy-Duty Portable Rebar Bender",Use config,"http://www.bnproducts.com",0,,,0,"Benner-Nawman",173,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Benner-Nawman DBD-20X Heavy-Duty Portable Rebar Bender","<b>Maximum Bending Diameter:</b>	3/4&quot; #6 Rebar (19mm) Grade 60<br>
<b>Bending Angle/Speed:</b>	Up to 180 degrees / 7 Seconds<br>
<b>Voltage/Amperage:</b>	115V 50/60Hz / 15 amps<br>
<b>Tool Weight:</b>	134.5 lbs (61 kg)<br>
<b>Dimensions L x W x H:</b>	16.4&quot; (420mm) x 18&quot; (462mm) x 16.2&quot; (415mm)","The DBD-20X heavy-duty portable rebar bender helps save valuable man-hours by bending rebar up to #6 (3/4&quot;) grade 60 at the job site or in your shop. This strong electrical-mechanical bender has two preset angle locks for repeating the same angle bend. The dial-type angle selector can be set to accurately bend any angle from 0-180 degrees. An emergency stop switch and two side lifting handles are standard features. The DBD-20X portable rebar bender comes complete with set of (6) bending rollers in a steel carrying case, a tool kit, and a standard foot pedal control switch for hands-free bending.","","Benner-Nawman DBD-20X Heavy-Duty Portable Rebar Bender","Heavy-Duty Portable Rebar Bender",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"44|24933|28319","Rebar Equipment|Electric Rebar Cutters and Benders|Rental Reinforcement",12724,"DBD-25X",,"Heavy-Duty Portable Rebar Bender","","Heavy-Duty Portable Rebar Bender","Benner-Nawman DBD-25X Heavy-Duty Portable Rebar Bender",/\D\B\Benner-Nawman-DBD-25X-Heavy-Duty-Portable-Rebar.jpg,/\D\B\Benner-Nawman-DBD-25X-Heavy-Duty-Portable-Rebar.jpg,http://www.48ws.com/images/product/D/B/Benner-Nawman-DBD-25X-Heavy-Duty-Portable-Rebar.jpg,Benner-Nawman-DBD-25X-Heavy-Duty-Portable-Rebar-Bender,Benner-Nawman-DBD-25X-Heavy-Duty-Portable-Rebar-Bender,,No layout updates.,Block after Info Column,,"Heavy-Duty Portable Rebar Bender","Heavy-Duty Portable Rebar Bender",Use config,"http://www.bnproducts.com",0,,,0,"Benner-Nawman",173,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Benner-Nawman DBD-25X Heavy-Duty Portable Rebar Bender","<b>Maximum Bending Diameter:</b>	7/8&quot; #7 Rebar (22mm) Grade 60<br>
<b>Bending Angle/Speed:</b>	Up to 180 degrees / 6 Seconds<br>
<b>Voltage/Amperage:</b>	115V 50/60Hz / 12 amps<br>
<b>Tool Weight:</b>	190 lbs (86 kg)<br>
<b>Dimensions L x W x H:</b>	19&quot; (490mm) x 21.5&quot; (550mm) x 17.2&quot; (440mm)","The DBD-25X heavy-duty portable rebar bender helps save valuable man-hours by bending rebar up to #7 (7/8&quot;) grade 60 at the job site or in your shop.  This strong electrical-mechanical bender has two preset angle locks for repeating the same angle bend.  The lever-type angle selector can be set to accurately bend any angle from 0-180 degrees.  An emergency stop switch and two lifting handles are standard features.  The DBD-25X portable rebar bender comes complete with a set of (6) bending rollers in a steel carrying case, a tool kit, a bender cover, and a standard foot pedal control switch for hands-free bending.  Optional stands, circular pattern rollers, and a highway trailer unit are available.","","Benner-Nawman DBD-25X Heavy-Duty Portable Rebar Bender","Heavy-Duty Portable Rebar Bender",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"44|24933|28319","Rebar Equipment|Electric Rebar Cutters and Benders|Rental Reinforcement",12725,"DBD-32X",,"Heavy-Duty Portable Rebar Bender","","Heavy-Duty Portable Rebar Bender","Benner-Nawman DBD-32X Heavy-Duty Portable Rebar Bender",/\D\B\Benner-Nawman-DBD-32X-Heavy-Duty-Portable-Rebar.jpg,/\D\B\Benner-Nawman-DBD-32X-Heavy-Duty-Portable-Rebar.jpg,http://www.48ws.com/images/product/D/B/Benner-Nawman-DBD-32X-Heavy-Duty-Portable-Rebar.jpg,Benner-Nawman-DBD-32X-Heavy-Duty-Portable-Rebar-Bender,Benner-Nawman-DBD-32X-Heavy-Duty-Portable-Rebar-Bender,,No layout updates.,Block after Info Column,,"Heavy-Duty Portable Rebar Bender","Heavy-Duty Portable Rebar Bender",Use config,"http://www.bnproducts.com",0,,,0,"Benner-Nawman",173,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Benner-Nawman DBD-32X Heavy-Duty Portable Rebar Bender","<b>Maximum Bending Diameter:</b>	1-1/8&quot; #9 Rebar (29mm) Grade 60<br>
<b>Bending Angle/Speed:</b>	Up to 180 degrees / 8 Seconds<br>
<b>Voltage/Amperage:</b>	115V 50/60Hz / 12 amps<br>
<b>Tool Weight:</b>	397 lbs (180 kg)<br>
<b>Dimensions L x W x H:</b>	23&quot; (590mm) x 24.2&quot; (620mm) x 18.7&quot; (480mm)","The DBD-32X heavy-duty portable rebar bender helps save valuable man-hours by bending rebar up to #9 (1-1/8&quot;) grade 60 at the job site or in your shop.  This strong electrical-mechanical bender has two preset angle locks for repeating the same angle bend.  The lever-type angle selector can be set to accurately bend any angle from 0-180 degrees.  A bend counter with reset, a voltage meter, and two lifting handles are standard features.  The DBD-32X portable rebar bender comes complete with set of (7) bending rollers in two steel carrying cases, a tool kit, a bender plastic cover, and a standard foot pedal control switch for hands-free bending.  Optional stands and a highway trailer unit are available. ","","Benner-Nawman DBD-32X Heavy-Duty Portable Rebar Bender","Heavy-Duty Portable Rebar Bender",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
