store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"26254","Padlocks",13430,"3",,"1-9/16in (40mm) Wide Laminated Steel Pin Tumbler Padlock","Laminated Padlocks No. 3","1-9/16in (40mm) Wide Laminated Steel Pin Tumbler Padlock","Master Lock Laminated Padlocks No. 3",/\3\\Master-Lock-Laminated-Padlocks-No.jpg,/\3\\Master-Lock-Laminated-Padlocks-No.jpg,http://www.48ws.com/images/product/3//Master-Lock-Laminated-Padlocks-No.jpg,master-lock-3-1-916in-40mm-wide-laminated-steel-pin-tumbler-padlock,master-lock-3-1-916in-40mm-wide-laminated-steel-pin-tumbler-padlock,,No layout updates.,Block after Info Column,,"1-9/16in (40mm) Wide Laminated Steel Pin Tumbler Padlock","1-9/16in (40mm) Wide Laminated Steel Pin Tumbler Padlock",Use config,"http://www.masterlock.com/products/product_details.jsp?category=MLCOM_LaminatedPadlocks&modelNumber=MLCOM_PRODUCT_3&showquiz=0#Specifications",0,,,0,"Master Lock",258,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<p>												The Master Lock No. 3 Laminated Steel Padlock features a 1-9/16in (40mm) wide reinforced laminated steel lock body providing extra strength and a 3/4in (19mm) tall, 9/32in (7mm) diameter hardened steel shackle for excellent cut resistance. Dual locking levers provide extra pry resistance making it ideal for industrial applications and the non-rekeyable, 4-pin W1 cylinder helps prevent picking.</p><h3>Product Features</h3>
					<ul>
						
							<li>Commercial grade padlock features superior protection from drilling and prying</li>
						
							<li>1-9/16in (40mm) wide laminated steel body for superior strength</li>
						
							<li>3/4in (19mm) tall, 9/32in (7mm) diameter hardened steel shackle for superior cut resistance</li>
						
							<li>Dual locking levers provide extra pry resistance</li>
						
							<li>Non-rekeyable, 4-pin W1 cylinder helps prevent picking</li>
						
					</ul>","<ul>
<b><u>Best Used For</u> :</b><br><br>
<li>Industrial, Storefront & Business Gates</li>
<li>Tool Cribs</li>
<li>Construction Sites & Equipment</li>
<li>Vending Machines</li>
</ul>","","Base Model","1-9/16in (40mm) Wide Laminated Steel Pin Tumbler Padlock",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26254","Padlocks",13434,"5",,"2in (51mm) Wide Laminated Steel Pin Tumbler Padlock","Laminated Padlocks No. 5","2in (51mm) Wide Laminated Steel Pin Tumbler Padlock","Master Lock Laminated Padlocks No. 5",/\5\\Master-Lock-Laminated-Padlocks-No.jpg,/\5\\Master-Lock-Laminated-Padlocks-No.jpg,http://www.48ws.com/images/product/5//Master-Lock-Laminated-Padlocks-No.jpg,master-lock-5-2in-51mm-wide-laminated-steel-pin-tumbler-padlock,master-lock-5-2in-51mm-wide-laminated-steel-pin-tumbler-padlock,,No layout updates.,Block after Info Column,,"2in (51mm) Wide Laminated Steel Pin Tumbler Padlock","2in (51mm) Wide Laminated Steel Pin Tumbler Padlock",Use config,"http://www.masterlock.com/product_details/LaminatedPadlocks_251mmWideBody_PinTumblerLocking_No.5LaminatedPadlocks/5",0,,,0,"Master Lock",258,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<p>												The Master Lock No. 5 Laminated Steel Padlock features a 2in (51mm) wide reinforced laminated steel lock body providing extra strength and a 1in (25mm) tall, 3/8in (10mm) diameter hardened steel shackle for excellent cut resistance. Dual locking levers provide extra pry resistance making it ideal for industrial applications and the non-rekeyable, 4-pin W1 cylinder helps prevent picking.</p><h3>Product Features</h3>
					<ul>
						
							<li>Commercial grade padlock features superior protection from drilling and prying</li>
						
							<li>2in (51mm) wide laminated steel body for superior strength</li>
						
							<li>1in (25mm) tall, 3/8in (10mm) diameter hardened boron alloy shackle for superior cut resistance</li>
						
							<li>Dual locking levers provide extra pry resistance</li>
						
							<li>Non-rekeyable, 4-pin W1 cylinder helps prevent picking</li>
						
					</ul>","<ul>
<b><u>Best Used For</u> :</u></b><br><br>
<li>Industrial, Storefront & Business Gates</li>
<li>Tool Cribs</li>
<li>Construction Sites & Equipment</li>
<li>Job Boxes & Gang Boxes</li>
</ul>","","Base Model","2in (51mm) Wide Laminated Steel Pin Tumbler Padlock",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26254","Padlocks",13435,"15",,"2-1/2in (64mm) Wide Laminated Steel Pin Tumbler Padlock","","2-1/2in (64mm) Wide Laminated Steel Pin Tumbler Padlock","Master Lock Laminated Padlocks No. 15",/\1\5\Master-Lock-Laminated-Padlocks-No.jpg,/\1\5\Master-Lock-Laminated-Padlocks-No.jpg,http://www.48ws.com/images/product/1/5/Master-Lock-Laminated-Padlocks-No.jpg,master-lock-15-2-12in-64mm-wide-laminated-steel-pin-tumbler-padlock,master-lock-15-2-12in-64mm-wide-laminated-steel-pin-tumbler-padlock,,No layout updates.,Block after Info Column,,"2-1/2in (64mm) Wide Laminated Steel Pin Tumbler Padlock","2-1/2in (64mm) Wide Laminated Steel Pin Tumbler Padlock",Use config,"http://www.masterlock.com/products/product_details.jsp?category=MLCOM_LaminatedPadlocks&modelNumber=MLCOM_PRODUCT_15&showquiz=0",0,,,0,"Master Lock",258,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<p>												The Master Lock No. 15 Laminated Steel Padlock features a 2-1/2in (64mm) wide reinforced laminated steel lock body providing extra strength and a 1-1/4in (32mm) tall, 7/16in (11mm) diameter hardened boron alloy shackle for superior cut resistance. Dual locking levers provide extra pry resistance making it ideal for industrial applications and the non-rekeyable, 5-pin W15 cylinder helps prevent picking.</p><h3>Product Features</h3>
					<ul>
						
							<li>Commercial grade padlock features superior protection from drilling and prying</li>
						
							<li>2-1/2in (64mm) wide laminated steel body for superior strength</li>
						
							<li>1-1/4in (32mm) hardened boron alloy shackle for superior cut resistance</li>
						
							<li>Dual locking levers provide extra pry resistance</li>
						
							<li>Non-rekeyable, 5-pin W15 cylinder helps prevent picking</li>
						
					</ul>","<ul>
<b><u>Best Used For</u> :</b><br><br>
<li>Industrial, Storefront & Business Gates</li>
<li>Tool Cribs</li>
<li>Construction Sites & Equipment</li>
<li>Vending Machines</li>
</ul>","","Master Lock Laminated Padlocks No. 15","2-1/2in (64mm) Wide Laminated Steel Pin Tumbler Padlock",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26254","Padlocks",13436,"6121",,"2-1/8in (54mm) Wide ProSeries® Weather Tough® Laminated Steel Rekeyable Pin Tumbler Padlock","","2-1/8in (54mm) Wide ProSeries® Weather Tough® Laminated Steel Rekeyable Pin Tumbler Padlock","Master Lock Pro Series Weather Tough Padlocks No. 6121",/\6\1\Master-Lock-Pro-Series-Weather-Tough-Padlocks-No.jpg,/\6\1\Master-Lock-Pro-Series-Weather-Tough-Padlocks-No.jpg,http://www.48ws.com/images/product/6/1/Master-Lock-Pro-Series-Weather-Tough-Padlocks-No.jpg,master-lock-6121-2-18in-54mm-wide-proseries-weather-tough-laminated-steel-rekeyable-pin-tumbler-padl,master-lock-6121-2-18in-54mm-wide-proseries-weather-tough-laminated-steel-rekeyable-pin-tumbler-padl,,No layout updates.,Block after Info Column,,"2-1/8in (54mm) Wide ProSeries® Weather Tough® Laminated Steel Rekeyable Pin Tumbler Padlock","2-1/8in (54mm) Wide ProSeries® Weather Tough® Laminated Steel Rekeyable Pin Tumbler Padlock",Use config,"http://www.masterlock.com/product_details/CoveredLaminatedPadlocks_2-1854mmWideBody_PinTumblerLocking_No.6121ProSeriesWeatherToughPadlocks/6121",0,,,0,"Master Lock",258,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<p>												The Master Lock No. 6121 ProSeries® Weather Tough® Covered Laminated Padlock features a 2-1/8in (54mm) wide heavy steel body to withstand physical attack and a 1-1/8in (29mm) tall, 5/16in (8mm) diameter hardened boron alloy shackle for superior cut resistance. The exclusive cover protects this padlock from harsh elements & a high security, rekeyable 5-pin cylinder with spool pins is virtually impossible to pick.</p><h3>Product Features</h3>
					<ul>
						
							<li>Ideal for harsh outdoor conditions - exclusive Weather Tough<sup>®</sup> cover protects lock from water, ice, dirt and grime</li>
						
							<li>ProSeries<sup>®</sup> Padlocks are designed for Commercial/Industrial applications</li>
						
							<li>2-1/8in (54mm) heavy steel body withstands physical attack</li>
						
							<li>1-1/8in (29mm) tall, 5/16in (8mm) diameter hardened boron alloy shackle for superior cut resistance</li>
						
							<li>Dual ball locking mechanism resists pulling and prying</li>
						
							<li>High security, rekeyable 5-pin cylinder with spool pins is virtually impossible to pick</li>
						
					</ul>","<ul>
<b><u>Best Used For</u> :</b><br><br>
<li>Truck Doors</li>
<li>Trailers, Vans & Moving Trucks</li>
<li>Manufacturing Environments</li>
<li>Industrial, Storefront & Business Gates</li>
</ul>","","Master Lock Pro Series Weather Tough Padlocks No. 6121","2-1/8in (54mm) Wide ProSeries® Weather Tough® Laminated Steel Rekeyable Pin Tumbler Padlock",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26254","Padlocks",13437,"6321",,"2-1/8in (54mm) Wide ProSeries® Shrouded Laminated Steel Rekeyable Pin Tumbler Padlock","Master Lock Shrouded Padlocks No. 6321","2-1/8in (54mm) Wide ProSeries® Shrouded Laminated Steel Rekeyable Pin Tumbler Padlock","Master Lock Shrouded Padlocks No. 6321",/\6\3\Master-Lock-Shrouded-Padlocks-No.jpg,/\6\3\Master-Lock-Shrouded-Padlocks-No.jpg,http://www.48ws.com/images/product/6/3/Master-Lock-Shrouded-Padlocks-No.jpg,master-lock-6321-2-18in-54mm-wide-proseries-shrouded-laminated-steel-rekeyable-pin-tumbler-padlock,master-lock-6321-2-18in-54mm-wide-proseries-shrouded-laminated-steel-rekeyable-pin-tumbler-padlock,,No layout updates.,Block after Info Column,,"2-1/8in (54mm) Wide ProSeries® Shrouded Laminated Steel Rekeyable Pin Tumbler Padlock","2-1/8in (54mm) Wide ProSeries® Shrouded Laminated Steel Rekeyable Pin Tumbler Padlock",Use config,"http://www.masterlock.com/products/product_details.jsp?category=MLCOM_ShroudedPadlocks&modelNumber=MLCOM_PRODUCT_6321&showquiz=0",0,,,0,"Master Lock",258,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Master Lock 6321 Shrouded Padlock","<p>												The Master Lock No. 6321 ProSeries® Shrouded Padlock features a 2-1/8in (54mm) heavy steel body that withstands physical attack and a 3/4in (19mm) tall, 5/16in (8mm) diameter hardened boron alloy shackle for superior cut resistance. Ideal for transportation and industrial applications, the iron shroud protects the shackle from bolt cutters and a dual ball locking mechanism resists pulling and prying.  The high security, rekeyable 5-pin cylinder with spool pins is virtually impossible to pick.</p><h3>Product Features</h3>
					<ul>
						
							<li>Iron shroud protects shackle from bolt cutters</li>
						
							<li>ProSeries<sup>®</sup> Padlocks are designed for Commercial/Industrial applications</li>
						
							<li>2-1/8in (54mm) heavy steel body withstands physical attack</li>
						
							<li>3/4in (19mm) tall, 5/16in (8mm) diameter hardened boron alloy shackle for superior cut resistance</li>
						
							<li>Dual ball locking mechanism resists pulling and prying</li>
						
							<li>High security, rekeyable 5-pin cylinder with spool pins is virtually impossible to pick</li>
						
					</ul>","<ul>
<b><u>Best Used For</u> :</b><br><br>
<li>Truck Doors</li>
<li>Trailers, Vans & Moving Trucks</li>
<li>Manufacturing Environments</li>
<li>Industrial, Storefront & Business Gates</li>
</ul>","","Shrouded Padlock","2-1/8in (54mm) Wide ProSeries® Shrouded Laminated Steel Rekeyable Pin Tumbler Padlock",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1835|26254","Key Padlocks|Padlocks",13438,"5LJ",,"Laminated Padlocks No. 5LJ","","Laminated Padlocks No. 5LJ","Master Lock Laminated Padlocks No. 5LJ",/\5\L\Master-Lock-Shrouded-Padlocks-No.jpg,/\5\L\Master-Lock-Shrouded-Padlocks-No.jpg,http://www.48ws.com/images/product/5/L/Master-Lock-Shrouded-Padlocks-No.jpg,Master-Lock-Laminated-Padlocks-No-5LJ,Master-Lock-Laminated-Padlocks-No-5LJ,,No layout updates.,Block after Info Column,,"Laminated Padlocks No. 5LJ","Laminated Padlocks No. 5LJ",Use config,"http://www.masterlock.com/products/product_details.jsp?category=MLCOM_LaminatedPadlocks&modelNumber=MLCOM_PRODUCT_5LJ&showquiz=0",0,,,0,"Master Lock",258,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Product Features</u></b><br><br>
<li>Commercial grade padlock features superior protection from drilling and prying</li>
<li>2&quot; (51mm) wide laminated steel body for superior strength</li>
<li>2-1/2&quot; (64mm) tall, 3/8&quot; (10mm) diameter hardened boron alloy shackle for superior cut resistance</li>
<li>Dual locking levers provide extra pry resistance</li>
<li>Non-rekeyable, 4-pin W1 cylinder helps prevent picking</li>
<li>Thousands of key changes for maximum pick resistance</li><br>","<b><u>Best Used For</u> :</b><br><br>
<li>Industrial, Storefront & Business Gates</li>
<li>Tool Cribs</li>
<li>Construction Sites & Equipment</li>
<li>Job Boxes & Gang Boxes</li>","","Master Lock Laminated Padlocks No. 5LJ","Laminated Padlocks No. 5LJ",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1836|26234","Hasp Locks|Hasp Locks & Hardware",13439,"703D",,"Hasps / Hasplocks No. 703D","","Hasps / Hasplocks No. 703D","Master Lock Hasps / Hasplocks No. 703D",/\7\0\Master-Lock-Hasps-Hasplocks-No.jpg,/\7\0\Master-Lock-Hasps-Hasplocks-No.jpg,http://www.48ws.com/images/product/7/0/Master-Lock-Hasps-Hasplocks-No.jpg,Master-Lock-Hasps-Hasplocks-No-703D,Master-Lock-Hasps-Hasplocks-No-703D,,No layout updates.,Block after Info Column,,"Hasps / Hasplocks No. 703D","Hasps / Hasplocks No. 703D",Use config,"http://www.masterlock.com/products/product_details.jsp?category=MLCOM_HaspsandHasplocks&modelNumber=MLCOM_PRODUCT_703D&showquiz=0",0,,,0,"Master Lock",258,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Product Features</u></b><br><br>
<li>3-1/2&quot;(89mm) hard wrought steel body</li>
<li>Accepts shackle diameter up to 11/32&quot; (9mm)</li>
<li>Hardened steel staple resist cutting and sawing</li>
<li>Hardened steel locking eye for strong cut resistance</li>
<li>Tamper proof hinge help resist prying</li>
<li>Mounting hardware included</li><br>","<ul>
<b><u>Best Used For</u> :</b><br><br>
<li>Residential Gates & Fences</li>
<li>Sheds, Workshops & Garages</li>
<li>Tool Chests & Tool Boxes</li>
<li>Cabinets</li>
</ul>","","Master Lock Hasps / Hasplocks No. 703D","Hasps / Hasplocks No. 703D",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1836|26234","Hasp Locks|Hasp Locks & Hardware",13440,"704DPF",,"Hasps / Hasplocks No. 704DPF","","Hasps / Hasplocks No. 704DPF","Master Lock Hasps / Hasplocks No. 704DPF",/\7\0\Master-Lock-Hasps-Hasplocks-No- 1.jpg,/\7\0\Master-Lock-Hasps-Hasplocks-No- 1.jpg,http://www.48ws.com/images/product/7/0/Master-Lock-Hasps-Hasplocks-No- 1.jpg,Master-Lock-Hasps-Hasplocks-No-704DPF,Master-Lock-Hasps-Hasplocks-No-704DPF,,No layout updates.,Block after Info Column,,"Hasps / Hasplocks No. 704DPF","Hasps / Hasplocks No. 704DPF",Use config,"http://www.masterlock.com/products/product_details.jsp?category=MLCOM_HaspsandHasplocks&modelNumber=MLCOM_PRODUCT_704DPF&showquiz=0",0,,,0,"Master Lock",258,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Product Features</u></b><br><br>
<li>4-1/2&quot;(11cm) hard wrought steel body</li>
<li>Accepts shackle diameter up to 1/2&quot; (13mm)</li>
<li>Hardened steel staple resist cutting and sawing</li>
<li>Hardened steel locking eye for strong cut resistance</li>
<li>Tamper proof hinge help resist prying</li>
<li>Mounting hardware included</li><br>","<ul>
<b><u>Best Used For</u> :</b><br><br>
<li>Residential Gates & Fences</li>
<li>Sheds, Workshops & Garages</li>
<li>Tool Chests & Tool Boxes</li>
<li>Cabinets</li>
</ul>","","Master Lock Hasps / Hasplocks No. 704DPF","Hasps / Hasplocks No. 704DPF",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1836|26234","Hasp Locks|Hasp Locks & Hardware",13441,"706D",,"Hasps / Hasplocks No. 706D","","Hasps / Hasplocks No. 706D","Master Lock Hasps / Hasplocks No. 706D",/\7\0\Master-Lock-Hasps-Hasplocks-No- 2.jpg,/\7\0\Master-Lock-Hasps-Hasplocks-No- 2.jpg,http://www.48ws.com/images/product/7/0/Master-Lock-Hasps-Hasplocks-No- 2.jpg,Master-Lock-Hasps-Hasplocks-No-706D,Master-Lock-Hasps-Hasplocks-No-706D,,No layout updates.,Block after Info Column,,"Hasps / Hasplocks No. 706D","Hasps / Hasplocks No. 706D",Use config,"http://www.masterlock.com/products/product_details.jsp?category=MLCOM_HaspsandHasplocks&modelNumber=MLCOM_PRODUCT_706D&showquiz=0",0,,,0,"Master Lock",258,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Product Features</u></b><br><br>
<li>6&quot;(15cm) hard wrought steel body</li>
<li>Accepts shackle diameter up to 9/16&quot; (14mm)</li>
<li>Hardened steel staple resist cutting and sawing</li>
<li>Hardened steel locking eye for strong cut resistance</li>
<li>Tamper proof hinge help resist prying</li>
<li>Mounting hardware included</li><br>","<ul>
<b><u>Best Used For</u> :</b><br><br>
<li>Residential Gates & Fences</li>
<li>Sheds, Workshops & Garages</li>
<li>Tool Chests & Tool Boxes</li>
<li>Cabinets</li>
</ul>","","Master Lock Hasps / Hasplocks No. 706D","Hasps / Hasplocks No. 706D",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26219","Breakaway Shackle Padlocks",13442,"8413DPF",,"6' ADJUSTABLE LOCKING CA KEYED DIFFERENT","","6' ADJUSTABLE LOCKING CA KEYED DIFFERENT","Master Lock Adjustable Locking Cables No. 8413DP",/\8\4\Master-Lock-Adjustable-Locking-Cables-No.jpg,/\8\4\Master-Lock-Adjustable-Locking-Cables-No.jpg,http://www.48ws.com/images/product/8/4/Master-Lock-Adjustable-Locking-Cables-No.jpg,master-lock-8413DPF-6-adjustable-locking-ca-keyed-different,master-lock-8413DPF-6-adjustable-locking-ca-keyed-different,,No layout updates.,Block after Info Column,,"6' ADJUSTABLE LOCKING CA KEYED DIFFERENT","6' ADJUSTABLE LOCKING CA KEYED DIFFERENT",Use config,"http://www.masterlock.com/product_details/AdjustableLockingCables/8413DPF",0,,,0,"Master Lock",258,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","6-foot adjustable locking cable
Multipurpose lock for bikes, grills, trailers, ladders, chain-link applications
Patented locking mechanism adjusts from 1 to 6 feet and holds steel cable tight
Re-keyable cylinders for keyed alike convenience
3/8-inch cable; lifetime warranty","<ul>
<b><u>Best Used For</u> :</b><br><br>
<li>Bicycles</li>
<li>ATVs & All Terrain Equipment</li>
<li>Grills & Lawnmowers</li>
<li>Tools & Ladders</li>
</ul>","","Master Lock Adjustable Locking Cables No. 8413DP","6' ADJUSTABLE LOCKING CA KEYED DIFFERENT",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26254","Padlocks",89427,"6321KA",,"Shrouded Padlocks Keyed Alike","Master Lock Shrouded Padlocks No. 6321","Shrouded Padlocks Keyed Alike","Master Lock Shrouded Padlocks No. 6321",/\6\3\Master-Lock-Shrouded-Padlocks-No.jpg,/\6\3\Master-Lock-Shrouded-Padlocks-No.jpg,http://www.48ws.com/images/product/6/3/Master-Lock-Shrouded-Padlocks-No.jpg,Master-Lock-6321KA-Shrouded-Padlocks-Keyed-Alike,Master-Lock-6321KA-Shrouded-Padlocks-Keyed-Alike,,No layout updates.,Block after Info Column,,"Shrouded Padlocks Keyed Alike","Shrouded Padlocks Keyed Alike",Use config,"http://www.masterlock.com/products/product_details.jsp?category=MLCOM_ShroudedPadlocks&modelNumber=MLCOM_PRODUCT_6321&showquiz=0",0,,,0,"Master Lock",258,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Master Lock 6321KA Shrouded Padlocks Keyed Alike","<b><u>Product Features</u></b><br><br>
<li>Iron shroud protects shackle from bolt cutters</li>
<li>ProSeries&reg; Padlocks are designed for Commercial/Industrial applications</li>
<li>2-1/8&quot; (54mm) heavy steel body withstands physical attack</li>
<li>3/4&quot; (19mm) tall, 5/16&quot; (8mm) diameter hardened boron alloy shackle for superior cut resistance</li>
<li>Dual ball locking mechanism resists pulling and prying</li>
<li>High security, rekeyable 5-pin cylinder with spool pins is virtually impossible to pick</li><br>","<ul>
<b><u>Best Used For</u> :</b><br><br>
<li>Truck Doors</li>
<li>Trailers, Vans & Moving Trucks</li>
<li>Manufacturing Environments</li>
<li>Industrial, Storefront & Business Gates</li>
</ul>","","Keyed Alike Shrouded Padlocks","Shrouded Padlocks Keyed Alike",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1835|26254","Key Padlocks|Padlocks",120502,"410BLK",,"Zenex Safety Padlock","Zenex Safety Padlock","Zenex Safety Padlock","",/\4\1\Zenex-Safety.jpg,/\4\1\Zenex-Safety.jpg,http://www.48ws.com/images/product/4/1/Zenex-Safety.jpg,410BLK-Master-Lock-Zenex-Safety-Padlock,410BLK-Master-Lock-Zenex-Safety-Padlock,,No layout updates.,Block after Info Column,,"Zenex Safety Padlock","Zenex Safety Padlock",Use config,"http://www.safetyseries.com/products/index.jsp?id=26827",0,,,0,"Master Lock",258,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br><li><b>Additional Colors:</b> Blue, Green, Orange, Purple, Red, Teal, and Yellow. (Also sold as an assortment).</li><br>
<li>1-1/2&quot; (3.8cm) wide 1-3/4&quot; (4.4cm) tall Zenex™ black body, shackle w/1-1/2&quot; (3.8cm) clearance</li><br>
<li>Designed exclusively for Lockout/Tagout applications</li><br>
<li>Durable, lightweight, non-conductive Zenex™ lock body</li><br>
<li>Customize on-site with permanent, write-on labels</li><br>
<li>Compliance with OSHA &quot;one employee, one lock, one key&quot; directive</li><br>
<li>High security, reserved-for-safety cylinder</li><br>
<li>Key retaining-ensures that padlock is not left unlocked</li><br>
<li>Commercial boxed packaging, shelf pack qty 6, master carton qty 36</li>","","","Type: Keyed Different 6-pin Tumbler Cylinder","Zenex Safety Padlock",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1835|26254","Key Padlocks|Padlocks",120508,"410KABLK",,"Zenex Safety Padlock","Zenex Safety Padlock","Zenex Safety Padlock","",/\4\1\Zenex-Safety.jpg,/\4\1\Zenex-Safety.jpg,http://www.48ws.com/images/product/4/1/Zenex-Safety.jpg,Zenex-Safety-Padlock,Zenex-Safety-Padlock,,No layout updates.,Block after Info Column,,"Zenex Safety Padlock","Zenex Safety Padlock",Use config,"http://www.safetyseries.com/products/items.jsp?id=27637:27635&sids=26827%7C26851",0,,,0,"Master Lock",258,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Zenex Safety Padlock","<br><li>1-1/2&quot; (3.8cm) wide 1-3/4&quot; (4.4cm) tall Zenex™ black body, shackle w/1-1/2&quot; (3.8cm) clearance</li><br>
<li>Designed exclusively for Lockout/Tagout applications</li><br>
<li>Durable, lightweight, non-conductive Zenex™ lock body</li><br>
<li>Customize on-site with permanent, write-on labels</li><br>
<li>Compliance with OSHA &quot;one employee, one lock, one key&quot; directive</li><br>
<li>High security, reserved-for-safety cylinder</li><br>
<li>Key retaining-ensures that padlock is not left unlocked</li><br>
<li>Commercial boxed packaging, shelf pack qty 6, master carton qty 36</li>","","","Type: Keyed Alike 6-pin Tumbler Cylinder","Zenex Safety Padlock",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1835|26254","Key Padlocks|Padlocks",120509,"410MKW417BLK",,"Zenex Safety Padlock","Zenex Safety Padlock","Zenex Safety Padlock","",/\4\1\Zenex-Safety.jpg,/\4\1\Zenex-Safety.jpg,http://www.48ws.com/images/product/4/1/Zenex-Safety.jpg,Zenex-Safety-Padlock,Zenex-Safety-Padlock,,No layout updates.,Block after Info Column,,"Zenex Safety Padlock","Zenex Safety Padlock",Use config,"http://www.safetyseries.com/products/items.jsp?id=27637:27635&sids=26827%7C26851",0,,,0,"Master Lock",258,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Zenex Safety Padlock","<br><li>1-1/2&quot; (3.8cm) wide 1-3/4&quot; (4.4cm) tall Zenex™ black body, shackle w/1-1/2&quot; (3.8cm) clearance</li><br>
<li>Designed exclusively for Lockout/Tagout applications</li><br>
<li>Durable, lightweight, non-conductive Zenex™ lock body</li><br>
<li>Customize on-site with permanent, write-on labels</li><br>
<li>Compliance with OSHA &quot;one employee, one lock, one key&quot; directive</li><br>
<li>High security, reserved-for-safety cylinder</li><br>
<li>Key retaining-ensures that padlock is not left unlocked</li><br>
<li>Commercial boxed packaging, shelf pack qty 6, master carton qty 36</li>","","","Type: Master Keyed 6-pin Tumbler Cylinder","Zenex Safety Padlock",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
