store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"1773|26887","Rebar Caps|Rebar Caps",12650,"14640-4",,"OSHA Rebar Caps","","OSHA Rebar Caps","Mutual Industries OSHA Rebar Caps",/\1\4\Mutual-Industries-OSHA-Rebar.jpg,/\1\4\Mutual-Industries-OSHA-Rebar.jpg,http://www.48ws.com/images/product/1/4/Mutual-Industries-OSHA-Rebar.jpg,Mutual-Industries-OSHA-Rebar-Caps,Mutual-Industries-OSHA-Rebar-Caps,,No layout updates.,Block after Info Column,,"OSHA Rebar Caps","OSHA Rebar Caps",Use config,"http://www.mutualindustries.com/",0,,,0,"Mutual Industries",162,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Mutual Industries OSHA Rebar Caps","Meets new OSHA Requirement 344.90.","Mutual's OSHA rebar caps are made of space age high density polymer to protect against impalement injuries. These high quality caps are bright orange and fit rebar #4 - #8.","","Mutual Industries OSHA Rebar Caps","OSHA Rebar Caps",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1773|26887","Rebar Caps|Rebar Caps",12651,"14640-3",,"Standard Rebar Caps","","Standard Rebar Caps","Mutual Industries Standard Rebar Caps",/\1\4\Mutual-Industries-Standard-Rebar.jpg,/\1\4\Mutual-Industries-Standard-Rebar.jpg,http://www.48ws.com/images/product/1/4/Mutual-Industries-Standard-Rebar.jpg,Mutual-Industries-Standard-Rebar-Caps,Mutual-Industries-Standard-Rebar-Caps,,No layout updates.,Block after Info Column,,"Standard Rebar Caps","Standard Rebar Caps",Use config,"http://www.mutualindustries.com/",0,,,0,"Mutual Industries",162,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Mutual Industries Standard Rebar Caps","Mushroom caps are of use where the danger of impalement is not present.","Mutual's Mushroom style rebar safety caps provide the protection you need from protruding rebar at your construction sites. These high-quality mushroom style caps are brilliant orange for excellent visibility, and are available in standard for rebar #3 - #9, large for rebar up to 2&quot; diameter.","","Mutual Industries Standard Rebar Caps","Standard Rebar Caps",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1773|26887","Rebar Caps|Rebar Caps",12652,"14640-138-4",,"Lime OSHA Rebar Caps","","Lime OSHA Rebar Caps","Mutual Industries Lime OSHA Rebar Caps",/\1\4\Mutual-Industries-Lime-OSHA-Rebar.jpg,/\1\4\Mutual-Industries-Lime-OSHA-Rebar.jpg,http://www.48ws.com/images/product/1/4/Mutual-Industries-Lime-OSHA-Rebar.jpg,Mutual-Industries-Lime-OSHA-Rebar-Caps,Mutual-Industries-Lime-OSHA-Rebar-Caps,,No layout updates.,Block after Info Column,,"Lime OSHA Rebar Caps","Lime OSHA Rebar Caps",Use config,"http://www.mutualindustries.com/",0,,,0,"Mutual Industries",162,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Mutual Industries Lime OSHA Rebar Caps","Meets new OSHA Requirement 344.90.","Mutual's OSHA rebar caps are made of space age high density polymer to protect against impalement injuries. These high quality caps are bright lime and fit rebar #4-#8.","","Mutual Industries Lime OSHA Rebar Caps","Lime OSHA Rebar Caps",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1773|26887","Rebar Caps|Rebar Caps",12653,"14640-138-3",,"Lime Standard Rebar Caps","","Lime Standard Rebar Caps","Mutual Industries Lime Standard Rebar Caps",/\1\4\Mutual-Industries-Lime-Standard-Rebar.jpg,/\1\4\Mutual-Industries-Lime-Standard-Rebar.jpg,http://www.48ws.com/images/product/1/4/Mutual-Industries-Lime-Standard-Rebar.jpg,Mutual-Industries-Lime-Standard-Rebar-Caps,Mutual-Industries-Lime-Standard-Rebar-Caps,,No layout updates.,Block after Info Column,,"Lime Standard Rebar Caps","Lime Standard Rebar Caps",Use config,"http://www.mutualindustries.com/",0,,,0,"Mutual Industries",162,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Mutual Industries Lime Standard Rebar Caps","","Mushroom style rebar safety caps provide the protection you need from protruding rebar at your construction sites. These high-quality mushroom style caps are brilliant lime for excellent visibility.","","Mutual Industries Lime Standard Rebar Caps","Lime Standard Rebar Caps",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1035|28225","Surveying Supplies (INACTIVE)|Surveying",37391,"15900 Blue",,"Blue 6&quot; Stake Whiskers","15900 6&quot; Stake Whiskers","Blue 6&quot; Stake Whiskers","Mutual Industries 15900 6&quot; Stake Whiskers",/\1\5\Mutual-Industries-15900-6-Stake.jpg,/\1\5\Mutual-Industries-15900-6-Stake.jpg,http://www.48ws.com/images/product/1/5/Mutual-Industries-15900-6-Stake.jpg,Mutual-Industries-15900-6-Stake-Whiskers,Mutual-Industries-15900-6-Stake-Whiskers,,No layout updates.,Block after Info Column,,"Blue 6&quot; Stake Whiskers","Blue 6&quot; Stake Whiskers",Use config,"http://www.mutualindustries.com/",0,,,0,"Mutual Industries",162,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Mutual Industries 15900 6&quot; Stake Whiskers","Available colors are blue, red, orange, yellow, white, green, glo-pink, and glo-orange.","Mutual's Stake Whiskers are unique marking devices for many types of surface applications. Brightly colored, durable and resilient, they are easily and conveniently attached to wooden stakes or to 60-penny nails. These extraordinary markers are ideal for highway and road construction, grade stakes, hubs, reference points, bench marks, center lines, utility line paths, forestry, agriculture, exploration and seismographic applications.","","Blue 6&quot; Stake Whiskers","Blue 6&quot; Stake Whiskers",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"717|22770","Caution Tape | Safety Barrier|Taps",37393,"17774 Blue",,"Blue Water 3&quot; x 1000'","17774 Underground Detectable Tape","Blue Water 3&quot; x 1000'","Mutual Industries 17774 Underground Detectable Tape, 17774-24-3000, 17774-41-3000, 17774-79-3000",/\1\7\Mutual-Industries-17774-Underground-Detectable.jpg,/\1\7\Mutual-Industries-17774-Underground-Detectable.jpg,http://www.48ws.com/images/product/1/7/Mutual-Industries-17774-Underground-Detectable.jpg,Mutual-Industries-17774-Underground-Detectable-Tape,Mutual-Industries-17774-Underground-Detectable-Tape,,No layout updates.,Block after Info Column,,"Blue Water 3&quot; x 1000'","Blue Water 3&quot; x 1000'",Use config,"http://www.mutualindustries.com/",0,,,0,"Mutual Industries",162,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Mutual Industries 17774 Underground Detectable Tape","Mutual's 5-mil double-laminated, permanently bold, black-lettered underground detectable tape comes in 8 APWA color-coded legends:<br></br>

<li>Red-Electric</li><li>
Blue-Water</li><li>
Yellow-Gas</li><li>
Green-Sewer</li><li>
Green-Storm Drain</li><li>
Orange-Telephone/Fiber Optic</li><li>
Brown-Force Main</li><li>
Purple-Reclaimed Water Line</li>","The tapes provide the ultimate protection in preventing costly &quot;Dig-Ins&quot;. This tape is available in 2&quot; x 1000', 3&quot; x 1000' and 6&quot; x 1000' rolls. ","","Blue Water 3&quot; x 1000'","Blue Water 3&quot; x 1000'",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23867","Barrier and Safety Fence",38417,"14988",,"Diamond Link Fence","","Diamond Link Fence","Mutual Industries 14988 Diamond Link Fence",/\1\4\Mutual-Industries-14988-Diamond-Link.jpg,/\1\4\Mutual-Industries-14988-Diamond-Link.jpg,http://www.48ws.com/images/product/1/4/Mutual-Industries-14988-Diamond-Link.jpg,mutual-industries-14988-diamond-link-fence,mutual-industries-14988-diamond-link-fence,,No layout updates.,Block after Info Column,,"Diamond Link Fence","Diamond Link Fence",Use config,"http://www.mutualindustries.com/",0,,,0,"Mutual Industries",162,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"These high density polyethylene (HDPE) fences are very rigid and very strong. They look and feel like chain link but are all plastic. Available in OSHA orange for traditional construction applications, as well as 4 other colors, they are used in sporting events, for crowd control, parades, golf tournaments and stadiums. Diamond link fence is available in 4´ x 50´ rolls (Only Orange is available in 4'x100' lengths).
","Diamond link fence is available in 4' heights in 50' lengths.","These high density polyethylene (HDPE) fences are very rigid and very strong. They look and feel like chain link but are all plastic. Available in OSHA orange for traditional construction applications, as well as 5 other colors, they are used in sporting events, for crowd control, parades, golf tournaments and stadiums. ","","Mutual Industries 14988 Diamond Link Fence","Diamond Link Fence",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23867","Barrier and Safety Fence",38418,"14900",,"Safe T Edge Fence","","Safe T Edge Fence","Mutual Industries 14900 Safe-T-Edge Fence",/\1\4\Mutual-Industries-14900-Safe-T-Edge.jpg,/\1\4\Mutual-Industries-14900-Safe-T-Edge.jpg,http://www.48ws.com/images/product/1/4/Mutual-Industries-14900-Safe-T-Edge.jpg,mutual-industries-14900-safe-t-edge-fence,mutual-industries-14900-safe-t-edge-fence,,No layout updates.,Block after Info Column,,"Safe T Edge Fence","Safe T Edge Fence",Use config,"http://www.mutualindustries.com/",0,,,0,"Mutual Industries",162,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"A variation of Diamond Link Fence, Our Safety Edge fence features a no-snag smooth top. This HDPE fence is also very rigid and strong. It is available in 4´ x 50´ and 4´ x 100´ Orange, and 4´ x 50´ Green."," It is available in 4' x 50' and 4' x 100' Orange, and 4' x 50' Green.","A variation of Square Mesh Fence, Mutual's Safety Edge fence features a no-snag smooth top. This HDPE fence is also very rigid and strong.","","Mutual Industries 14900 Safe-T-Edge Fence","Safe T Edge Fence",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"717|23867","Caution Tape | Safety Barrier|Barrier and Safety Fence",38419,"14993",,"Warning Barrier Fence","","Warning Barrier Fence","Mutual Industries 14993 Warning Barrier Fence",/\1\4\Mutual-Industries-14993-Warning-Barrier.jpg,/\1\4\Mutual-Industries-14993-Warning-Barrier.jpg,http://www.48ws.com/images/product/1/4/Mutual-Industries-14993-Warning-Barrier.jpg,Mutual-Industries-14993-Warning-Barrier-Fence,Mutual-Industries-14993-Warning-Barrier-Fence,,No layout updates.,Block after Info Column,,"Warning Barrier Fence","Warning Barrier Fence",Use config,"http://www.mutualindustries.com/",0,,,0,"Mutual Industries",162,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Mutual Industries 14993 Warning Barrier Fence","In lightweight 4' x 100' rolls, 4' x 50' rolls, flexible warning barrier fence is easy to handle as well as install."," Mutual's warning barrier fence is an extremely versatile and economical plastic construction site safety fence. This fence is highly visible and is ideal for all construction applications as well as Haz Mat, crowd control, and many other uses.","","Mutual Industries 14993 Warning Barrier Fence","Warning Barrier Fence",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"717|23867","Caution Tape | Safety Barrier|Barrier and Safety Fence",38420,"14993-38",,"Green Warning Barrier Fence","","Green Warning Barrier Fence","Mutual Industries 14993-38 Green Warning Barrier Fence",/\1\4\Mutual-Industries-14993-38-Green-Warning-Barrier.jpg,/\1\4\Mutual-Industries-14993-38-Green-Warning-Barrier.jpg,http://www.48ws.com/images/product/1/4/Mutual-Industries-14993-38-Green-Warning-Barrier.jpg,Mutual-Industries-14993-38-Green-Warning-Barrier-Fence,Mutual-Industries-14993-38-Green-Warning-Barrier-Fence,,No layout updates.,Block after Info Column,,"Green Warning Barrier Fence","Green Warning Barrier Fence",Use config,"http://www.mutualindustries.com/",0,,,0,"Mutual Industries",162,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Mutual Industries 14993-38 Green Warning Barrier Fence","4' x 50' rolls.","Mutual's Warning Barrier fence is an
extremely versatile and economical
plastic construction site safety fence
which is now also available in green.","","Mutual Industries 14993-38 Green Warning Barrier Fence","Green Warning Barrier Fence",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"717|23867","Caution Tape | Safety Barrier|Barrier and Safety Fence",38421,"14973",,"Heavy-Duty Warning Barrier","","Heavy-Duty Warning Barrier","Mutual Industires 14973 Heavy-Duty Warning Barrier",/\1\4\Mutual-Industires-14973-Heavy-Duty-Warning- 1.jpg,/\1\4\Mutual-Industires-14973-Heavy-Duty-Warning- 1.jpg,http://www.48ws.com/images/product/1/4/Mutual-Industires-14973-Heavy-Duty-Warning- 1.jpg,Mutual-Industires-14973-Heavy-Duty-Warning-Barrier,Mutual-Industires-14973-Heavy-Duty-Warning-Barrier,,No layout updates.,Block after Info Column,,"Heavy-Duty Warning Barrier","Heavy-Duty Warning Barrier",Use config,"http://www.mutualindustries.com/",0,,,0,"Mutual Industries",162,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Mutual Industires 14973 Heavy-Duty Warning Barrier","","A heavier version of Mutual's 14993 Warning barrier. Ideal for temporary snow and sand control, or for any application where a more durable warning barrier fence is desired.","","Mutual Industires 14973 Heavy-Duty Warning Barrier","Heavy-Duty Warning Barrier",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23867","Barrier and Safety Fence",38422,"14997",,"Barricade Safety Fabric","","Barricade Safety Fabric","Mutual Industries 14997 Barricade Safety Fence",/\1\4\Mutual-Industries-14997-Barricade-Safety.jpg,/\1\4\Mutual-Industries-14997-Barricade-Safety.jpg,http://www.48ws.com/images/product/1/4/Mutual-Industries-14997-Barricade-Safety.jpg,mutual-industries-14997-barricade-safety-fabric,mutual-industries-14997-barricade-safety-fabric,,No layout updates.,Block after Info Column,,"Barricade Safety Fabric","Barricade Safety Fabric",Use config,"http://www.mutualindustries.com/",0,,,0,"Mutual Industries",162,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Our revolutionary woven polypropylene fabric fence is flexible and lightweight, yet very strong. Thirteen extruded solid bands make this fence highly visible and resilient. The lightweight fabric (only 16lbs. for a 4´ x 150´ roll) makes it easy to install even on irregularly contoured land or over existing obstacles. Available in high-visibility orange in 4´ x 150´ rolls without posts. Pre-posted fence is available in 4´ x 100´ rolls with eleven 1” x 2” x 5´ posts pre-attached."," Available in high-visibility orange in 4' x 150' rolls without posts. Pre-posted fence is available in 4' x 100' rolls with eleven 1&quot; x 2&quot; x 5' posts pre-attached.","Mutual's revolutionary woven polypropylene fabric fence is flexible and lightweight, yet very strong. Thirteen extruded solid bands make this fence highly visible and resilient. The lightweight fabric (only 14lbs. for a 4' x 150' roll) makes it easy 
to install even on irregularly contoured land or over existing obstacles. ","","Mutual Industries 14997 Barricade Safety Fence","Barricade Safety Fabric",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"23867","Barrier and Safety Fence",38423,"14915",,"Flame Retardant Debris Netting","","Flame Retardant Debris Netting","Mutual Industries 14915 Flame Retardant Orange Debris Netting",/\1\4\Mutual-Industries-14915-Flame-Retardant-Orange-Debris.jpg,/\1\4\Mutual-Industries-14915-Flame-Retardant-Orange-Debris.jpg,http://www.48ws.com/images/product/1/4/Mutual-Industries-14915-Flame-Retardant-Orange-Debris.jpg,mutual-industries-14915-flame-retardant-debris-netting,mutual-industries-14915-flame-retardant-debris-netting,,No layout updates.,Block after Info Column,,"Flame Retardant Debris Netting","Flame Retardant Debris Netting",Use config,"http://www.mutualindustries.com/",0,,,0,"Mutual Industries",162,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Our Flame Retardant Debris Netting is constructed of lightweight material with reinforced borders that stays flexible in cold weather.  
The 48&quot; x 150' debris netting is made of knitted polyethylene threads with a hole opening measuring 1/4&quot; x 1/4&quot;. 
The 92&quot;x150' debris netting comes in black and is made of U.V. treated high density polyethylene 
 
 
","<li>Made of knitted polyethylene threeads with reinforced border</li><li>
Fire Retardant</li><li>
Lightweight, stays flexible in cold weather</li><li>
Economical and cost-effective</li><li>
Meets NYC Local Law 61 and OSHA specifications</li><li>
Hole opening 1/4&quot;</li>","Our 4'x150' Flame Retardant Organe Debris Netting satisfies OSHA regulations for debris containment, perimeter safety, overhead protection, and the all-inclusive &quot;general duty&quot; clause.","","Mutual Industries 14915 Flame Retardant Orange Debris Netting","Flame Retardant Debris Netting",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1035|28225","Surveying Supplies (INACTIVE)|Surveying",89431,"15900 Pink",,"Pink 6&quot; Stake Whiskers","15900 6&quot; Stake Whiskers","Pink 6&quot; Stake Whiskers","Mutual Industries 15900 6&quot; Stake Whiskers",/\1\5\Mutual-Industries-15900-6-Stake.jpg,/\1\5\Mutual-Industries-15900-6-Stake.jpg,http://www.48ws.com/images/product/1/5/Mutual-Industries-15900-6-Stake.jpg,Pink-6-Stake-Whiskers,Pink-6-Stake-Whiskers,,No layout updates.,Block after Info Column,,"Pink 6&quot; Stake Whiskers","Pink 6&quot; Stake Whiskers",Use config,"http://www.mutualindustries.com/",0,,,0,"Mutual Industries",162,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Pink 6&quot; Stake Whiskers","Available colors are blue, red, orange, yellow, white, green, glo-pink, and glo-orange.","Mutual's Stake Whiskers are unique marking devices for many types of surface applications. Brightly colored, durable and resilient, they are easily and conveniently attached to wooden stakes or to 60-penny nails. These extraordinary markers are ideal for highway and road construction, grade stakes, hubs, reference points, bench marks, center lines, utility line paths, forestry, agriculture, exploration and seismographic applications.","","Pink 6&quot; Stake Whiskers","Pink 6&quot; Stake Whiskers",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"717|22770","Caution Tape | Safety Barrier|Taps",89432,"17774 Yellow",,"Yellow Gas 3&quot; x 1000'","17774 Underground Detectable Tape","Yellow Gas 3&quot; x 1000'","Mutual Industries 17774 Underground Detectable Tape, 17774-24-3000, 17774-41-3000, 17774-79-3000",/\1\7\Mutual-Industries-17774-Underground-Detectable.jpg,/\1\7\Mutual-Industries-17774-Underground-Detectable.jpg,http://www.48ws.com/images/product/1/7/Mutual-Industries-17774-Underground-Detectable.jpg,Yellow-Gas-3-x-1000,Yellow-Gas-3-x-1000,,No layout updates.,Block after Info Column,,"Yellow Gas 3&quot; x 1000'","Yellow Gas 3&quot; x 1000'",Use config,"http://www.mutualindustries.com/",0,,,0,"Mutual Industries",162,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Yellow Gas 3&quot; x 1000'","Mutual's 5-mil double-laminated, permanently bold, black-lettered underground detectable tape comes in 8 APWA color-coded legends:<br></br>

<li>Red-Electric</li><li>
Blue-Water</li><li>
Yellow-Gas</li><li>
Green-Sewer</li><li>
Green-Storm Drain</li><li>
Orange-Telephone/Fiber Optic</li><li>
Brown-Force Main</li><li>
Purple-Reclaimed Water Line</li>","The tapes provide the ultimate protection in preventing costly &quot;Dig-Ins&quot;. This tape is available in 2&quot; x 1000', 3&quot; x 1000' and 6&quot; x 1000' rolls. ","","Yellow Gas 3&quot; x 1000'","Yellow Gas 3&quot; x 1000'",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"717|22770","Caution Tape | Safety Barrier|Taps",89433,"17774 Red",,"Red Electrical 3&quot; x 1000'","17774 Underground Detectable Tape","Red Electrical 3&quot; x 1000'","Mutual Industries 17774 Underground Detectable Tape, 17774-24-3000, 17774-41-3000, 17774-79-3000",/\1\7\Mutual-Industries-17774-Underground-Detectable.jpg,/\1\7\Mutual-Industries-17774-Underground-Detectable.jpg,http://www.48ws.com/images/product/1/7/Mutual-Industries-17774-Underground-Detectable.jpg,Red-Electrical-3-x-1000,Red-Electrical-3-x-1000,,No layout updates.,Block after Info Column,,"Red Electrical 3&quot; x 1000'","Red Electrical 3&quot; x 1000'",Use config,"http://www.mutualindustries.com/",0,,,0,"Mutual Industries",162,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Red Electrical 3&quot; x 1000'","Mutual's 5-mil double-laminated, permanently bold, black-lettered underground detectable tape comes in 8 APWA color-coded legends:<br></br>

<li>Red-Electric</li><li>
Blue-Water</li><li>
Yellow-Gas</li><li>
Green-Sewer</li><li>
Green-Storm Drain</li><li>
Orange-Telephone/Fiber Optic</li><li>
Brown-Force Main</li><li>
Purple-Reclaimed Water Line</li>","The tapes provide the ultimate protection in preventing costly &quot;Dig-Ins&quot;. This tape is available in 2&quot; x 1000', 3&quot; x 1000' and 6&quot; x 1000' rolls. ","","Red Electrical 3&quot; x 1000'","Red Electrical 3&quot; x 1000'",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1744|25773","Boots|Winter Boots",224549,"14501-6-5",,"5 Buckle Arctic Boots","5 Buckle Arctic Boots","5 Buckle Arctic Boots","5 Buckle Arctic Boots",/\1\4\5-Buckle-Arctic.jpg,/\1\4\5-Buckle-Arctic.jpg,http://www.48ws.com/images/product/1/4/5-Buckle-Arctic.jpg,14501-6-5-Mutual-Industries-5-Buckle-Arctic-Boots,14501-6-5-Mutual-Industries-5-Buckle-Arctic-Boots,,No layout updates.,Block after Info Column,,"5 Buckle Arctic Boots","5 Buckle Arctic Boots",Use config,"http://www.mutualindustries.com/product/5-buckle-arctic-boots",0,,,0,"Mutual Industries",162,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"5 Buckle Arctic Boots","</br>
<li>14” High Over-the-Shoe 5-Buckle Arctic Boots</li>
<li>Self-Draining Gussets</li>
<li>Comes in Black with a Maroon Sole</li>
<li>Sizes 6-16</li>","","","Size 6","5 Buckle Arctic Boots",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1744|25773","Boots|Winter Boots",224550,"14501-7-5",,"5 Buckle Arctic Boots","5 Buckle Arctic Boots","5 Buckle Arctic Boots","5 Buckle Arctic Boots",/\1\4\5-Buckle-Arctic.jpg,/\1\4\5-Buckle-Arctic.jpg,http://www.48ws.com/images/product/1/4/5-Buckle-Arctic.jpg,5-Buckle-Arctic-Boots,5-Buckle-Arctic-Boots,,No layout updates.,Block after Info Column,,"5 Buckle Arctic Boots","5 Buckle Arctic Boots",Use config,"http://www.mutualindustries.com/product/5-buckle-arctic-boots",0,,,0,"Mutual Industries",162,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"5 Buckle Arctic Boots","</br>
<li>14” High Over-the-Shoe 5-Buckle Arctic Boots</li>
<li>Self-Draining Gussets</li>
<li>Comes in Black with a Maroon Sole</li>
<li>Sizes 6-16</li>","","","Size 7","5 Buckle Arctic Boots",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1744|25773","Boots|Winter Boots",224551,"14501-8-5 ",,"5 Buckle Arctic Boots","5 Buckle Arctic Boots","5 Buckle Arctic Boots","5 Buckle Arctic Boots",/\1\4\5-Buckle-Arctic.jpg,/\1\4\5-Buckle-Arctic.jpg,http://www.48ws.com/images/product/1/4/5-Buckle-Arctic.jpg,5-Buckle-Arctic-Boots,5-Buckle-Arctic-Boots,,No layout updates.,Block after Info Column,,"5 Buckle Arctic Boots","5 Buckle Arctic Boots",Use config,"http://www.mutualindustries.com/product/5-buckle-arctic-boots",0,,,0,"Mutual Industries",162,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"5 Buckle Arctic Boots","</br>
<li>14” High Over-the-Shoe 5-Buckle Arctic Boots</li>
<li>Self-Draining Gussets</li>
<li>Comes in Black with a Maroon Sole</li>
<li>Sizes 6-16</li>","","","Size 8","5 Buckle Arctic Boots",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1744|25773","Boots|Winter Boots",224552,"14501-9-5",,"5 Buckle Arctic Boots","5 Buckle Arctic Boots","5 Buckle Arctic Boots","5 Buckle Arctic Boots",/\1\4\5-Buckle-Arctic.jpg,/\1\4\5-Buckle-Arctic.jpg,http://www.48ws.com/images/product/1/4/5-Buckle-Arctic.jpg,5-Buckle-Arctic-Boots,5-Buckle-Arctic-Boots,,No layout updates.,Block after Info Column,,"5 Buckle Arctic Boots","5 Buckle Arctic Boots",Use config,"http://www.mutualindustries.com/product/5-buckle-arctic-boots",0,,,0,"Mutual Industries",162,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"5 Buckle Arctic Boots","</br>
<li>14” High Over-the-Shoe 5-Buckle Arctic Boots</li>
<li>Self-Draining Gussets</li>
<li>Comes in Black with a Maroon Sole</li>
<li>Sizes 6-16</li>","","","Size 9","5 Buckle Arctic Boots",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1744|25773","Boots|Winter Boots",224553,"14501-10-5",,"5 Buckle Arctic Boots","5 Buckle Arctic Boots","5 Buckle Arctic Boots","5 Buckle Arctic Boots",/\1\4\5-Buckle-Arctic.jpg,/\1\4\5-Buckle-Arctic.jpg,http://www.48ws.com/images/product/1/4/5-Buckle-Arctic.jpg,5-Buckle-Arctic-Boots,5-Buckle-Arctic-Boots,,No layout updates.,Block after Info Column,,"5 Buckle Arctic Boots","5 Buckle Arctic Boots",Use config,"http://www.mutualindustries.com/product/5-buckle-arctic-boots",0,,,0,"Mutual Industries",162,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"5 Buckle Arctic Boots","</br>
<li>14” High Over-the-Shoe 5-Buckle Arctic Boots</li>
<li>Self-Draining Gussets</li>
<li>Comes in Black with a Maroon Sole</li>
<li>Sizes 6-16</li>","","","Size 10","5 Buckle Arctic Boots",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
