store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"1687|26898","Access Door|Access Doors",90173,"DSC-214M06x06",,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.",/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,http://www.48ws.com/images/product/D/S/Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,Karp-DSC-214M06x06-Flush-Access-Door-for-All-Surfaces,Karp-DSC-214M06x06-Flush-Access-Door-for-All-Surfaces,,No layout updates.,Block after Info Column,,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces",Use config,"",0,,,0,"KARP Associates, Inc.",281,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.","<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>
<table>
	<tr>
		<td valign=&quot;top&quot;>
			<img src=&quot;/images/35/Karp/Karp-DSC-214M.jpg&quot;>			
		</td>

	</tr>
</table>","","Door Size: 6&quot;x6&quot;, Wall/Ceiling Opening: 6-3/8&quot;x6-3/8&quot;","Flush Access Door for All Surfaces",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1687|26898","Access Door|Access Doors",90176,"DSC-214M08x08",,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.",/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,http://www.48ws.com/images/product/D/S/Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,Karp-DSC-214M08x08-Flush-Access-Door-for-All-Surfaces,Karp-DSC-214M08x08-Flush-Access-Door-for-All-Surfaces,,No layout updates.,Block after Info Column,,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces",Use config,"",0,,,0,"KARP Associates, Inc.",281,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Karp DSC-214M08x08 Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.","<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>
<table>
	<tr>
		<td valign=&quot;top&quot;>
			<img src=&quot;/images/35/Karp/Karp-DSC-214M.jpg&quot;>			
		</td>

	</tr>
</table>","","Door Size: 8&quot;x8&quot;, Wall/Ceiling Opening: 8-3/8&quot;x8-3/8&quot;","Flush Access Door for All Surfaces",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1687|26898","Access Door|Access Doors",90184,"DSC-214M10x10",,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.",/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,http://www.48ws.com/images/product/D/S/Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,Karp-DSC-214M10x10-Flush-Access-Door-for-All-Surfaces,Karp-DSC-214M10x10-Flush-Access-Door-for-All-Surfaces,,No layout updates.,Block after Info Column,,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces",Use config,"",0,,,0,"KARP Associates, Inc.",281,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Karp DSC-214M10x10 Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.","<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>
<table>
	<tr>
		<td valign=&quot;top&quot;>
			<img src=&quot;/images/35/Karp/Karp-DSC-214M.jpg&quot;>			
		</td>

	</tr>
</table>","","Door Size: 10&quot;x10&quot;, Wall/Ceiling Opening: 10-3/8&quot;x10-3/8&quot;","Flush Access Door for All Surfaces",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1687|26898","Access Door|Access Doors",90186,"DSC-214M12x8",,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.",/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,http://www.48ws.com/images/product/D/S/Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,Karp-DSC-214M12x8-Flush-Access-Door-for-All-Surfaces,Karp-DSC-214M12x8-Flush-Access-Door-for-All-Surfaces,,No layout updates.,Block after Info Column,,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces",Use config,"",0,,,0,"KARP Associates, Inc.",281,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Karp DSC-214M12x8 Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.","<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>
<table>
	<tr>
		<td valign=&quot;top&quot;>
			<img src=&quot;/images/35/Karp/Karp-DSC-214M.jpg&quot;>			
		</td>

	</tr>
</table>","","Door Size: 12&quot;x8&quot;, Wall/Ceiling Opening: 12-3/8&quot;x8-3/8&quot;","Flush Access Door for All Surfaces",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1687|26898","Access Door|Access Doors",90188,"DSC-214M12x12",,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.",/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,http://www.48ws.com/images/product/D/S/Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,Karp-DSC-214M12x12-Flush-Access-Door-for-All-Surfaces,Karp-DSC-214M12x12-Flush-Access-Door-for-All-Surfaces,,No layout updates.,Block after Info Column,,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces",Use config,"",0,,,0,"KARP Associates, Inc.",281,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Karp DSC-214M12x12 Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.","<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>
<table>
	<tr>
		<td valign=&quot;top&quot;>
			<img src=&quot;/images/35/Karp/Karp-DSC-214M.jpg&quot;>			
		</td>

	</tr>
</table>","","Door Size: 12&quot;x12&quot;, Wall/Ceiling Opening: 12-3/8&quot;x12-3/8&quot;","Flush Access Door for All Surfaces",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1687|26898","Access Door|Access Doors",90189,"DSC-214M14x14",,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.",/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,http://www.48ws.com/images/product/D/S/Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,Karp-DSC-214M14x14-Flush-Access-Door-for-All-Surfaces,Karp-DSC-214M14x14-Flush-Access-Door-for-All-Surfaces,,No layout updates.,Block after Info Column,,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces",Use config,"",0,,,0,"KARP Associates, Inc.",281,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Karp DSC-214M14x14 Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.","<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>
<table>
	<tr>
		<td valign=&quot;top&quot;>
			<img src=&quot;/images/35/Karp/Karp-DSC-214M.jpg&quot;>			
		</td>

	</tr>
</table>","","Door Size: 14&quot;x14&quot;, Wall/Ceiling Opening: 14-3/8&quot;x14-3/8&quot;","Flush Access Door for All Surfaces",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1687|26898","Access Door|Access Doors",90190,"DSC-214M16x12",,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.",/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,http://www.48ws.com/images/product/D/S/Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,Karp-DSC-214M16x12-Flush-Access-Door-for-All-Surfaces,Karp-DSC-214M16x12-Flush-Access-Door-for-All-Surfaces,,No layout updates.,Block after Info Column,,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces",Use config,"",0,,,0,"KARP Associates, Inc.",281,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Karp DSC-214M16x12 Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.","<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>
<table>
	<tr>
		<td valign=&quot;top&quot;>
			<img src=&quot;/images/35/Karp/Karp-DSC-214M.jpg&quot;>			
		</td>

	</tr>
</table>","","Door Size: 16&quot;x12&quot;, Wall/Ceiling Opening: 16-3/8&quot;x12-3/8&quot;","Flush Access Door for All Surfaces",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1687|26898","Access Door|Access Doors",90192,"DSC-214M16x16",,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.",/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,http://www.48ws.com/images/product/D/S/Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,Karp-DSC-214M16x16-Flush-Access-Door-for-All-Surfaces,Karp-DSC-214M16x16-Flush-Access-Door-for-All-Surfaces,,No layout updates.,Block after Info Column,,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces",Use config,"",0,,,0,"KARP Associates, Inc.",281,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Karp DSC-214M16x16 Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.","<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>
<table>
	<tr>
		<td valign=&quot;top&quot;>
			<img src=&quot;/images/35/Karp/Karp-DSC-214M.jpg&quot;>			
		</td>

	</tr>
</table>","","Door Size: 16&quot;x16&quot;, Wall/Ceiling Opening: 16-3/8&quot;x16-3/8&quot;","Flush Access Door for All Surfaces",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1687|26898","Access Door|Access Doors",90194,"DSC-214M18x12",,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.",/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,http://www.48ws.com/images/product/D/S/Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,Karp-DSC-214M18x12-Flush-Access-Door-for-All-Surfaces,Karp-DSC-214M18x12-Flush-Access-Door-for-All-Surfaces,,No layout updates.,Block after Info Column,,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces",Use config,"",0,,,0,"KARP Associates, Inc.",281,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Karp DSC-214M18x12 Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.","<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>
<table>
	<tr>
		<td valign=&quot;top&quot;>
			<img src=&quot;/images/35/Karp/Karp-DSC-214M.jpg&quot;>			
		</td>

	</tr>
</table>","","Door Size: 18&quot;x12&quot;, Wall/Ceiling Opening: 18-3/8&quot;x12-3/8&quot;","Flush Access Door for All Surfaces",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1687|26898","Access Door|Access Doors",90199,"DSC-214M18x18",,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.",/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,http://www.48ws.com/images/product/D/S/Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,Karp-DSC-214M18x18-Flush-Access-Door-for-All-Surfaces,Karp-DSC-214M18x18-Flush-Access-Door-for-All-Surfaces,,No layout updates.,Block after Info Column,,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces",Use config,"",0,,,0,"KARP Associates, Inc.",281,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Karp DSC-214M18x18 Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.","<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>
<table>
	<tr>
		<td valign=&quot;top&quot;>
			<img src=&quot;/images/35/Karp/Karp-DSC-214M.jpg&quot;>			
		</td>

	</tr>
</table>","","Door Size: 18&quot;x18&quot;, Wall/Ceiling Opening: 18-3/8&quot;x18-3/8&quot;","Flush Access Door for All Surfaces",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1687|26898","Access Door|Access Doors",90200,"DSC-214M20x16",,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.",/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,http://www.48ws.com/images/product/D/S/Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,Karp-DSC-214M20x16-Flush-Access-Door-for-All-Surfaces,Karp-DSC-214M20x16-Flush-Access-Door-for-All-Surfaces,,No layout updates.,Block after Info Column,,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces",Use config,"",0,,,0,"KARP Associates, Inc.",281,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Karp DSC-214M20x16 Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.","<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>
<table>
	<tr>
		<td valign=&quot;top&quot;>
			<img src=&quot;/images/35/Karp/Karp-DSC-214M.jpg&quot;>			
		</td>

	</tr>
</table>","","Door Size: 20&quot;x16&quot;, Wall/Ceiling Opening: 20-3/8&quot;x16-3/8&quot;","Flush Access Door for All Surfaces",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1687|26898","Access Door|Access Doors",90201,"DSC-214M22x22",,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.",/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,http://www.48ws.com/images/product/D/S/Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,Karp-DSC-214M22x22-Flush-Access-Door-for-All-Surfaces,Karp-DSC-214M22x22-Flush-Access-Door-for-All-Surfaces,,No layout updates.,Block after Info Column,,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces",Use config,"",0,,,0,"KARP Associates, Inc.",281,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Karp DSC-214M22x22 Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.","<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>
<table>
	<tr>
		<td valign=&quot;top&quot;>
			<img src=&quot;/images/35/Karp/Karp-DSC-214M.jpg&quot;>			
		</td>

	</tr>
</table>","","Door Size: 22&quot;x22&quot;, Wall/Ceiling Opening: 22-3/8&quot;x22-3/8&quot;","Flush Access Door for All Surfaces",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1687|26898","Access Door|Access Doors",90202,"DSC-214M24x12",,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.",/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,http://www.48ws.com/images/product/D/S/Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,Karp-DSC-214M24x12-Flush-Access-Door-for-All-Surfaces,Karp-DSC-214M24x12-Flush-Access-Door-for-All-Surfaces,,No layout updates.,Block after Info Column,,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces",Use config,"",0,,,0,"KARP Associates, Inc.",281,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Karp DSC-214M24x12 Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.","<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>
<table>
	<tr>
		<td valign=&quot;top&quot;>
			<img src=&quot;/images/35/Karp/Karp-DSC-214M.jpg&quot;>			
		</td>

	</tr>
</table>","","Door Size: 24&quot;x12&quot;, Wall/Ceiling Opening: 24-3/8&quot;x12-3/8&quot;","Flush Access Door for All Surfaces",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1687|26898","Access Door|Access Doors",90203,"DSC-214M24x18",,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.",/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,http://www.48ws.com/images/product/D/S/Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,Karp-DSC-214M24x18-Flush-Access-Door-for-All-Surfaces,Karp-DSC-214M24x18-Flush-Access-Door-for-All-Surfaces,,No layout updates.,Block after Info Column,,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces",Use config,"",0,,,0,"KARP Associates, Inc.",281,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Karp DSC-214M24x18 Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.","<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>
<table>
	<tr>
		<td valign=&quot;top&quot;>
			<img src=&quot;/images/35/Karp/Karp-DSC-214M.jpg&quot;>			
		</td>

	</tr>
</table>","","Door Size: 24&quot;x18&quot;, Wall/Ceiling Opening: 24-3/8&quot;x18-3/8&quot;","Flush Access Door for All Surfaces",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1687|26898","Access Door|Access Doors",90204,"DSC-214M24x20",,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.",/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,http://www.48ws.com/images/product/D/S/Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,Karp-DSC-214M24x20-Flush-Access-Door-for-All-Surfaces,Karp-DSC-214M24x20-Flush-Access-Door-for-All-Surfaces,,No layout updates.,Block after Info Column,,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces",Use config,"",0,,,0,"KARP Associates, Inc.",281,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Karp DSC-214M24x20 Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.","<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>
<table>
	<tr>
		<td valign=&quot;top&quot;>
			<img src=&quot;/images/35/Karp/Karp-DSC-214M.jpg&quot;>			
		</td>

	</tr>
</table>","","Door Size: 24&quot;x20&quot;, Wall/Ceiling Opening: 24-3/8&quot;x20-3/8&quot;","Flush Access Door for All Surfaces",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1687|26898","Access Door|Access Doors",90205,"DSC-214M24x24",,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.",/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,/\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,http://www.48ws.com/images/product/D/S/Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,Karp-DSC-214M24x24-Flush-Access-Door-for-All-Surfaces,Karp-DSC-214M24x24-Flush-Access-Door-for-All-Surfaces,,No layout updates.,Block after Info Column,,"Flush Access Door for All Surfaces","Flush Access Door for All Surfaces",Use config,"",0,,,0,"KARP Associates, Inc.",281,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Karp DSC-214M24x24 Flush Access Door for All Surfaces","The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.","<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>
<table>
	<tr>
		<td valign=&quot;top&quot;>
			<img src=&quot;/images/35/Karp/Karp-DSC-214M.jpg&quot;>			
		</td>

	</tr>
</table>","","Door Size: 24&quot;x24&quot;, Wall/Ceiling Opening: 24-3/8&quot;x24-3/8&quot;","Flush Access Door for All Surfaces",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
