store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"19799","Squeegee Replacement Blades and Refills",38174,"16478",,"Wooden Scrapper","","Wooden Scrapper","Strong socket-design construction. Tough, seal-coated hardwood handle for strength and durability. Ideal for scraping ice and debris from flat surfaces.",/\1\6\16478-Orgill-Wooden.jpg,/\1\6\16478-Orgill-Wooden.jpg,http://www.48ws.com/images/product/1/6/16478-Orgill-Wooden.jpg,ames-true-temper-inc-16478-wooden-scrapper,ames-true-temper-inc-16478-wooden-scrapper,,No layout updates.,Block after Info Column,,"Wooden Scrapper","Wooden Scrapper",Use config,"",0,,,0,"True Temper",397,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Strong socket-design construction. Tough, seal-coated hardwood handle for strength and durability. Ideal for scraping ice and debris from flat surfaces.","<li>Width: 11 in.</li>
<li>Height: 3 in.</li>
<li>Length: 54 in.</li>
<li>Weight: 1.16 lbs.</li>","","","16478 Ames True Temper Inc Wooden Scrapper","Wooden Scrapper",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2617|24002","Standard Shovels|Trenching Shovels",38281,"47024",,"Ames True Temper 4 Inch Wood Handle Trench Shovel","","Ames True Temper 4 Inch Wood Handle Trench Shovel","Trenching shovels professional closed back razor back 54 inch ash wood handle blade ins.=4 by 11.5 color=orange",/\4\7\47024-Ames-True-Temper-4-Inch-Wood-Handle-Trench.jpg,/\4\7\47024-Ames-True-Temper-4-Inch-Wood-Handle-Trench.jpg,http://www.48ws.com/images/product/4/7/47024-Ames-True-Temper-4-Inch-Wood-Handle-Trench.jpg,47024-Ames-True-Temper-4-Inch-Wood-Handle-Trench-Shovel,47024-Ames-True-Temper-4-Inch-Wood-Handle-Trench-Shovel,,No layout updates.,Block after Info Column,,"Ames True Temper 4 Inch Wood Handle Trench Shovel","Ames True Temper 4 Inch Wood Handle Trench Shovel",Use config,"",0,,,0,"True Temper",397,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Trenching shovels professional closed back razor back 54 inch ash wood handle blade ins.=4 by 11.5 color=orange","Best for digging and cleaning out trenches. Forward-turned step, industrial gauge steel blade designed to dig narrow trenches faster and easier. Extra-long Ash handle with 10-1/2 inch socket for deep trench clean out.","","","47024 Ames True Temper 4 Inch Wood Handle Trench Shovel","Ames True Temper 4 Inch Wood Handle Trench Shovel",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2617|27943","Standard Shovels|Square Point Shovels",38282,"54246",,"Ames True Temper 13.5x14.5 Square Coal Shovel","","Ames True Temper 13.5x14.5 Square Coal Shovel","Ideal for scooping grain, snow, mulch or general purpose clean up. Wide flared tempered steel blade for durability. White Ash handle for strength. 28&quot; blade lift. Size No.2 blade.",/\5\4\54246-Ames-True-Temper-135x145-Square-Coal.jpg,/\5\4\54246-Ames-True-Temper-135x145-Square-Coal.jpg,http://www.48ws.com/images/product/5/4/54246-Ames-True-Temper-135x145-Square-Coal.jpg,54246-Ames-True-Temper-135x145-Square-Coal-Shovel,54246-Ames-True-Temper-135x145-Square-Coal-Shovel,,No layout updates.,Block after Info Column,,"Ames True Temper 13.5x14.5 Square Coal Shovel","Ames True Temper 13.5x14.5 Square Coal Shovel",Use config,"",0,,,0,"True Temper",397,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Ideal for scooping grain, snow, mulch or general purpose clean up. Wide flared tempered steel blade for durability. White Ash handle for strength. 28&quot; blade lift. Size No.2 blade.","<li>Width: 14 in.</li>
<li>Height: 10 in.</li>
<li>Length: 60 in.</li>
<li>Weight: 6 lbs.</li>","","","54246 Ames True Temper 13.5x14.5 Square Coal Shovel","Ames True Temper 13.5x14.5 Square Coal Shovel",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"822|23985|28295","Forks and Rakes|Road and Asphalt Rakes|Rental Forks and Rakes",38283,"63125",,"16x4&quot; Asphalt/Tar Rake","","16x4&quot; Asphalt/Tar Rake","Use for spreading and leveling asphalt and tar. 14 tines with one-piece forged head, long steel shank to protect handle from heat.
<li>14 Tines</li>
<li>Ash Wood Handle</li>",/\6\3\63125-Ames-True-Temper-Inc-16x4-AsphaltTar.jpg,/\6\3\63125-Ames-True-Temper-Inc-16x4-AsphaltTar.jpg,http://www.48ws.com/images/product/6/3/63125-Ames-True-Temper-Inc-16x4-AsphaltTar.jpg,63125-Ames-True-Temper-Inc-16x4-AsphaltTar-Rake,63125-Ames-True-Temper-Inc-16x4-AsphaltTar-Rake,,No layout updates.,Block after Info Column,,"16x4&quot; Asphalt/Tar Rake","16x4&quot; Asphalt/Tar Rake",Use config,"",0,,,0,"True Temper",397,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Use for spreading and leveling asphalt and tar. 14 tines with one-piece forged head, long steel shank to protect handle from heat.
<li>14 Tines</li>
<li>Ash Wood Handle</li>","<li>Width: 17 in.</li>
<li>Height: 7 in.</li>
<li>Length: 79 in.</li>
<li>Weight: 5.4 lbs</li>","","","63125 Ames True Temper Inc 16x4&quot; Asphalt/Tar Rake","16x4&quot; Asphalt/Tar Rake",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2045|24010","Snow Shovels|Snow Shovels and Snow Pushers",38485,"1327800",,"Coal/Snow Shovel","","Coal/Snow Shovel","Ideal for scooping grain, snow, mulch or general purpose clean up. Wide flared tempered steel blade for durability. White Ash handle for strength. 28&quot; blade lift. Size No.2 blade. Use repair handle No.870.",/\1\3\1327800-Ames-True-Temper-Inc-CoalSnow.jpg,/\1\3\1327800-Ames-True-Temper-Inc-CoalSnow.jpg,http://www.48ws.com/images/product/1/3/1327800-Ames-True-Temper-Inc-CoalSnow.jpg,1327800-Ames-True-Temper-Inc-CoalSnow-Shovel,1327800-Ames-True-Temper-Inc-CoalSnow-Shovel,,No layout updates.,Block after Info Column,,"Coal/Snow Shovel","Coal/Snow Shovel",Use config,"",0,,,0,"True Temper",397,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Ideal for scooping grain, snow, mulch or general purpose clean up. Wide flared tempered steel blade for durability. White Ash handle for strength. 28&quot; blade lift. Size No.2 blade. Use repair handle No.870.","<li>STEEL/WOOD HANDLE</li>
<li>Blade In=13-1/2 x 14-1/2</li>
<li>Handle Lgth= 48in</li>","","","1327800 Ames True Temper Inc Coal/Snow Shovel","Coal/Snow Shovel",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"2617|24000","Standard Shovels|Spade Shovels",88685,"354789",,"Ames True Temper Chrome Ceremonial Shovel","","Ames True Temper Chrome Ceremonial Shovel","Ceremonial Round Point Shovel, Blade Width 9 In, Blade Length 11 1/2 In, Blade Material Steel, Blade Type Forward Step, Handle Type D, Handle Material Hardwood, Handle Length 27 In, Color Chrome",/\3\5\354789-Ames-True-Temper-Chrome-Ceremonial.jpg,/\3\5\354789-Ames-True-Temper-Chrome-Ceremonial.jpg,http://www.48ws.com/images/product/3/5/354789-Ames-True-Temper-Chrome-Ceremonial.jpg,354789-Ames-True-Temper-Chrome-Ceremonial-Shovel,354789-Ames-True-Temper-Chrome-Ceremonial-Shovel,,No layout updates.,Block after Info Column,,"Ames True Temper Chrome Ceremonial Shovel","Ames True Temper Chrome Ceremonial Shovel",Use config,"",0,,,0,"True Temper",397,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Ceremonial Round Point Shovel, Blade Width 9 In, Blade Length 11 1/2 In, Blade Material Steel, Blade Type Forward Step, Handle Type D, Handle Material Hardwood, Handle Length 27 In, Color Chrome","<li>Ceremonial Round-Point Shovel</li>
<li>Has a steel blade and D-grip hardwood handle.</li>
<li>Blade length: 11-1/2&quot;</li>
<li>Blade Material: Steel</li>
<li>Blade Width: 9&quot;</li>
<li>Handle Length: 27&quot;</li>
<li>Handle Material: Hardwood</li>
<li>Handle Type: D Handle</li>","","","354789 Ames True Temper Chrome Ceremonial Shovel","Ames True Temper Chrome Ceremonial Shovel",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"817|19544","Epoxy|Epoxy",99595,"3010600",,"Epoxy Kit for Replacement Handles","","Epoxy Kit for Replacement Handles","",/\3\0\Ames-True-Temper-Inc-3010600-Epoxy-Kit-for-Replacement.jpg,/\3\0\Ames-True-Temper-Inc-3010600-Epoxy-Kit-for-Replacement.jpg,http://www.48ws.com/images/product/3/0/Ames-True-Temper-Inc-3010600-Epoxy-Kit-for-Replacement.jpg,Ames-True-Temper-Inc-3010600-Epoxy-Kit-for-Replacement-Handles,Ames-True-Temper-Inc-3010600-Epoxy-Kit-for-Replacement-Handles,,No layout updates.,Block after Info Column,,"Epoxy Kit for Replacement Handles","Epoxy Kit for Replacement Handles",Use config,"http://www.amestruetemper.com/products/detail.aspx?ProductId=116&FamilyId=54&LineId=53",0,,,0,"True Temper",397,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Contains two materials to mix together</li><li>
Mix thoroughly to ensure a complete seal between head and handle</li><li>
Improperly mixed epoxy will not cure correctly</li><li>
Instructions included</li>","The epoxy kit is especially designed for installation of fiberglass or wooden tool handles. Can be used for sledge and other hammers, axes and splitting mauls. Follow included instructions correctly to replace handle.
","","Ames True Temper Inc 3010600 Epoxy Kit for Replacement Handles","Epoxy Kit for Replacement Handles",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"825|21886|28298","Bars|Nail Pullers, Wrecking and Pry Bars|Rental Bars",106801,"1168800",,". 48 in. Stripping Bar","",". 48 in. Stripping Bar","",/\1\1\Ames-True-Temper-Inc-1168800-48-in-Stripping.jpg,/\1\1\Ames-True-Temper-Inc-1168800-48-in-Stripping.jpg,http://www.48ws.com/images/product/1/1/Ames-True-Temper-Inc-1168800-48-in-Stripping.jpg,Ames-True-Temper-Inc-1168800-48-in-Stripping-Bar,Ames-True-Temper-Inc-1168800-48-in-Stripping-Bar,,No layout updates.,Block after Info Column,,". 48 in. Stripping Bar",". 48 in. Stripping Bar",Use config,"http://www.amestruetemper.com/products/detail.aspx?ProductId=1262&FamilyId=167&LineId=95",0,,,0,"True Temper",397,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>
<li>The 48-inch Stripping Bar with claw is quality heated steel for superior strength during prying. Hexagon steel construction for enhanced strength and durability. Double claw stripping bar, one chisel claw and one offset right angle claw for tearing and removing floor tile and walls.</li>","","","Ames True Temper Inc. 1168800 48 in. Stripping Bar ",". 48 in. Stripping Bar",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"825|21886|28298","Bars|Nail Pullers, Wrecking and Pry Bars|Rental Bars",106802,"1168600",,". 36 In. Stripping Bar","",". 36 In. Stripping Bar","",/\1\1\Ames-True-Temper-Inc-1168600-36-In-Stripping.jpg,/\1\1\Ames-True-Temper-Inc-1168600-36-In-Stripping.jpg,http://www.48ws.com/images/product/1/1/Ames-True-Temper-Inc-1168600-36-In-Stripping.jpg,Ames-True-Temper-Inc-1168600-36-In-Stripping-Bar,Ames-True-Temper-Inc-1168600-36-In-Stripping-Bar,,No layout updates.,Block after Info Column,,". 36 In. Stripping Bar",". 36 In. Stripping Bar",Use config,"http://www.amestruetemper.com/not-found.aspx",0,,,0,"True Temper",397,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>
<li>The 36-inch Stripping Bar with claw is quality heated steel for superior strength during prying. Hexagon steel construction for enhanced strength and durability. Double claw stripping bar, one chisel claw and one offset right angle claw for tearing and removing floor tile and walls.</li>","","","Ames True Temper Inc. 1168600 36 In. Stripping Bar",". 36 In. Stripping Bar",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"825|21886|28298","Bars|Nail Pullers, Wrecking and Pry Bars|Rental Bars",106803,"1170500",,". 24in. Wrecking Bar","",". 24in. Wrecking Bar","",/\1\1\Ames-True-Temper-Inc-1170500-24in-Wrecking.jpg,/\1\1\Ames-True-Temper-Inc-1170500-24in-Wrecking.jpg,http://www.48ws.com/images/product/1/1/Ames-True-Temper-Inc-1170500-24in-Wrecking.jpg,Ames-True-Temper-Inc-1170500-24in-Wrecking-Bar,Ames-True-Temper-Inc-1170500-24in-Wrecking-Bar,,No layout updates.,Block after Info Column,,". 24in. Wrecking Bar",". 24in. Wrecking Bar",Use config,"http://www.amestruetemper.com/products/detail.aspx?ProductId=1102&FamilyId=167&LineId=95",0,,,0,"True Temper",397,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>
<li>The True Temper Gooseneck Wrecking Bar is a 24-inch bar made of quality steel. This tool is used to lever, remove nails, pry boards, and generally break things. It also has a single curved end and flattened points with a small slot on both ends for removing nails. The tool construction is durable for longevity.</li>","","","Ames True Temper Inc. 1170500 24in. Wrecking Bar ",". 24in. Wrecking Bar",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"825|21886|28298","Bars|Nail Pullers, Wrecking and Pry Bars|Rental Bars",106812,"1160200",,". 48-in Wedge Point Crow Bar","",". 48-in Wedge Point Crow Bar","",/\1\1\Ames-True-Temper-Inc-1160200-48-in-Wedge-Point-Crow.jpg,/\1\1\Ames-True-Temper-Inc-1160200-48-in-Wedge-Point-Crow.jpg,http://www.48ws.com/images/product/1/1/Ames-True-Temper-Inc-1160200-48-in-Wedge-Point-Crow.jpg,Ames-True-Temper-Inc-1160200-48-in-Wedge-Point-Crow-Bar,Ames-True-Temper-Inc-1160200-48-in-Wedge-Point-Crow-Bar,,No layout updates.,Block after Info Column,,". 48-in Wedge Point Crow Bar",". 48-in Wedge Point Crow Bar",Use config,"http://www.amestruetemper.com/products/detail.aspx?ProductId=1239&FamilyId=166&LineId=95",0,,,0,"True Temper",397,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<br>
<li>The wedge point crow bar is 48-inch long straight heat treated carbon steel bar. This long handle is utilized to pry and move heavy objects with its wedge point. The typical uses for an 18-pound wedge point bar include breaking up clay, concrete, and other hard materials.</li>","","","Ames True Temper Inc. 1160200 48-in Wedge Point Crow Bar",". 48-in Wedge Point Crow Bar",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21712","Engineer and Drilling and Blacksmith Hammers",106813,"1196100",,"DRILL HAMMER 2 LB [OLD # 30-567]]","DRILL HAMMER 2 LB [OLD # 30-567]]","DRILL HAMMER 2 LB [OLD # 30-567]]","",/\1\1\Ames-True-Temper-Inc-1196100-2-lb-Hand-Drill-Hammer-105.jpg,/\1\1\Ames-True-Temper-Inc-1196100-2-lb-Hand-Drill-Hammer-105.jpg,http://www.48ws.com/images/product/1/1/Ames-True-Temper-Inc-1196100-2-lb-Hand-Drill-Hammer-105.jpg,ames-true-temper-inc-1196100-drill-hammer-2-lb-old-30-567,ames-true-temper-inc-1196100-drill-hammer-2-lb-old-30-567,,No layout updates.,Block after Info Column,,"DRILL HAMMER 2 LB [OLD # 30-567]]","DRILL HAMMER 2 LB [OLD # 30-567]]",Use config,"http://www.jacksonprofessional.com/products/detail.aspx?ProductId=1428&FamilyId=105&LineId=68",0,,,0,"True Temper",397,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","2-pound steel hammer head<br><li>Used with chisels, punches, star drills, and hardened nails<br><li>Unit permits heavy blows with limited swing<br><li>10.5-inch hickory handle for strength and durability","The 6-pound clay pick offers a hardwood handle and handle guard for overstrike protection. This tool is great for digging and chopping roots and breaking up hard compacted soil. The handle guard protects the handle from breaking if overstrike occurs.","49206119611","Height: 10.25; Width: 3.75; Length: 1.5","DRILL HAMMER 2 LB [OLD # 30-567]]",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21712","Engineer and Drilling and Blacksmith Hammers",106814,"1196400",,"DRILL HAMMER 3 LB [OLD# 30-568]]","DRILL HAMMER 3 LB [OLD# 30-568]]","DRILL HAMMER 3 LB [OLD# 30-568]]","",/\1\1\Ames-True-Temper-Inc-1196100-2-lb-Hand-Drill-Hammer-105.jpg,/\1\1\Ames-True-Temper-Inc-1196100-2-lb-Hand-Drill-Hammer-105.jpg,http://www.48ws.com/images/product/1/1/Ames-True-Temper-Inc-1196100-2-lb-Hand-Drill-Hammer-105.jpg,ames-true-temper-inc-1196400-drill-hammer-3-lb-old-30-568,ames-true-temper-inc-1196400-drill-hammer-3-lb-old-30-568,,No layout updates.,Block after Info Column,,"DRILL HAMMER 3 LB [OLD# 30-568]]","DRILL HAMMER 3 LB [OLD# 30-568]]",Use config,"http://www.jacksonprofessional.com/products/detail.aspx?ProductId=151&FamilyId=105&LineId=68",0,,,0,"True Temper",397,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Ames True Temper Inc. Hand Drill Hammer","High quality hickory handle naturally absorbs shock<br><li>Unit permits heavy blows with limited swing<br><li>3-pound forged steel hammer head<br><li>10.5-inch hickory handle","The Engineer Hammer features a 16-inch hickory handle and a 3-pound double face forged steel hammer head, perfect for heavy hammering or demolition work. This units makes driving spikes or wedges easier. This is a great choice for personal or professional use.","49206119642","Width: 1.5; Length: 4.25; Height: 10","DRILL HAMMER 3 LB [OLD# 30-568]]",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21712","Engineer and Drilling and Blacksmith Hammers",106815,"1197100",,"DRILL HAMMER 4 LB W/ 10&quot; HICKORY HANDLE [OLD# 30-570]","DRILL HAMMER 4 LB W/ 10&quot; HICKORY HANDLE [OLD# 30-570]","DRILL HAMMER 4 LB W/ 10&quot; HICKORY HANDLE [OLD# 30-570]","",/\1\1\Ames-True-Temper-Inc-1196100-2-lb-Hand-Drill-Hammer-105.jpg,/\1\1\Ames-True-Temper-Inc-1196100-2-lb-Hand-Drill-Hammer-105.jpg,http://www.48ws.com/images/product/1/1/Ames-True-Temper-Inc-1196100-2-lb-Hand-Drill-Hammer-105.jpg,ames-true-temper-inc-1197100-drill-hammer-4-lb-w-10-hickory-handle-old-30-570,ames-true-temper-inc-1197100-drill-hammer-4-lb-w-10-hickory-handle-old-30-570,,No layout updates.,Block after Info Column,,"DRILL HAMMER 4 LB W/ 10&quot; HICKORY HANDLE [OLD# 30-570]","DRILL HAMMER 4 LB W/ 10&quot; HICKORY HANDLE [OLD# 30-570]",Use config,"http://www.jacksonprofessional.com/products/detail.aspx?ProductId=1095&FamilyId=105&LineId=68",0,,,0,"True Temper",397,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Ames True Temper Inc. Hand Drill Hammer","4-pound double face hammer head<br><li>Used with chisels, punches, star drills, and hardened nails<br><li>Unit permits heavy blows with limited swing<br><li>10.5-inch hickory handle for strength and durability","The Engineer Hammer features a 16-inch hickory handle and a 4-pound double face forged steel hammer head, perfect for heavy hammering or demolition work. This units makes driving spikes or wedges easier. The traditional hickory handle won't splinter and will last for years to come. This is a great choice for personal or professional use.","49206119710","Width: 4.75; Height: 10.5; Length: 2.25","DRILL HAMMER 4 LB W/ 10&quot; HICKORY HANDLE [OLD# 30-570]",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"21716","Sledges",106816,"1197900",,"Jackson 8-Pound Double Faced Sledge Hammer with 36-Inch Hickory Handle","","Jackson 8-Pound Double Faced Sledge Hammer with 36-Inch Hickory Handle","",/\1\1\Ames-True-Temper-Inc-1197900-8-lb-Sledge-Hammer-36-in.jpg,/\1\1\Ames-True-Temper-Inc-1197900-8-lb-Sledge-Hammer-36-in.jpg,http://www.48ws.com/images/product/1/1/Ames-True-Temper-Inc-1197900-8-lb-Sledge-Hammer-36-in.jpg,ames-true-temper-inc-1197900-jackson-8-pound-double-faced-sledge-hammer-with-36-inch-hickory-handle,ames-true-temper-inc-1197900-jackson-8-pound-double-faced-sledge-hammer-with-36-inch-hickory-handle,,No layout updates.,Block after Info Column,,"Jackson 8-Pound Double Faced Sledge Hammer with 36-Inch Hickory Handle","Jackson 8-Pound Double Faced Sledge Hammer with 36-Inch Hickory Handle",Use config,"http://www.jacksonprofessional.com/products/detail.aspx?ProductId=74&SubFamilyId=70&FamilyId=69&LineId=68",0,,,0,"True Temper",397,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Used for general sledging operations in staking wood, concrete, metal and stone. Common uses are drifting timbers and striking spikes, star drills and hardened nails.","<br>
<li>The sledge hammer features a 36-inch hickory handle and 8-pound double face sledge hammer head, perfect for destruction work, breaking dry wall or masonry walls. It has a hickory handle for maximum strength and shock resistance. The heads are forged from high-carbon steel and tempered for hardness to withstand many years of heavy blows.</li>","","","Ames True Temper Inc. 1197900 8-lb Sledge Hammer, 36-in Handle","Jackson 8-Pound Double Faced Sledge Hammer with 36-Inch Hickory Handle",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
