store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"609|19527","Cement | Concrete Mix|Concrete Mix",90158,"65200031",,"5000 Plus Concrete Mix 60lb Bag","5000 Plus Concrete Mix","5000 Plus Concrete Mix 60lb Bag","",/\6\5\Sakrete-5000-Plus-Concrete-Mix-60lb.jpg,/\6\5\Sakrete-5000-Plus-Concrete-Mix-60lb.jpg,http://www.48ws.com/images/product/6/5/Sakrete-5000-Plus-Concrete-Mix-60lb.jpg,Sakrete-5000-Plus-Concrete-Mix-60lb-Bag,Sakrete-5000-Plus-Concrete-Mix-60lb-Bag,,No layout updates.,Block after Info Column,,"5000 Plus Concrete Mix 60lb Bag","5000 Plus Concrete Mix 60lb Bag",Use config,"http://www.sakrete.com/products/detail.cfm/prod_alias/5000-Plus-Concrete",0,,,0,"Sakrete",571,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>High strength concrete mix designed for high strength structural applications.</li>
<li>Professional strength 5000 psi for commercial structural applications and superior durability.</li>
<li>Exceeds strength requirement of ASTM C 387.</li>
<li>Build walks, drives, slabs and steps.</li>
<li>For applications requiring at least 2 inches in thickness.</li>","","","Sakrete 5000 Plus Concrete Mix 60lb Bag","5000 Plus Concrete Mix 60lb Bag",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"609|19527","Cement | Concrete Mix|Concrete Mix",90159,"65200370",,"5000 Plus Concrete Mix 80lb Bag","5000 Plus Concrete Mix","5000 Plus Concrete Mix 80lb Bag","",/\6\5\Sakrete-5000-Plus-Concrete-Mix-60lb.jpg,/\6\5\Sakrete-5000-Plus-Concrete-Mix-60lb.jpg,http://www.48ws.com/images/product/6/5/Sakrete-5000-Plus-Concrete-Mix-60lb.jpg,Sakrete-5000-Plus-Concrete-Mix-80lb-Bag,Sakrete-5000-Plus-Concrete-Mix-80lb-Bag,,No layout updates.,Block after Info Column,,"5000 Plus Concrete Mix 80lb Bag","5000 Plus Concrete Mix 80lb Bag",Use config,"http://www.sakrete.com/products/detail.cfm/prod_alias/5000-Plus-Concrete",0,,,0,"Sakrete",571,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Sakrete 5000 Plus Concrete Mix 80lb Bag","<li>High strength concrete mix designed for high strength structural applications.</li>
<li>Professional strength 5000 psi for commercial structural applications and superior durability.</li>
<li>Exceeds strength requirement of ASTM C 387.</li>
<li>Build walks, drives, slabs and steps.</li>
<li>For applications requiring at least 2 inches in thickness.</li>","","","Sakrete 5000 Plus Concrete Mix 80lb Bag","5000 Plus Concrete Mix 80lb Bag",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"609|19527","Cement | Concrete Mix|Concrete Mix",90161,"65201030",,"High Strength Concrete Mix 40lb Bag","High Strength Concrete Mix","High Strength Concrete Mix 40lb Bag","",/\6\5\Sakrete-High-Strength-Concrete-Mix-40lb.jpg,/\6\5\Sakrete-High-Strength-Concrete-Mix-40lb.jpg,http://www.48ws.com/images/product/6/5/Sakrete-High-Strength-Concrete-Mix-40lb.jpg,Sakrete-High-Strength-Concrete-Mix-40lb-Bag,Sakrete-High-Strength-Concrete-Mix-40lb-Bag,,No layout updates.,Block after Info Column,,"High Strength Concrete Mix 40lb Bag","High Strength Concrete Mix 40lb Bag",Use config,"http://www.sakrete.com/products/detail.cfm/prod_alias/High-Strength-Concrete-Mix",0,,,0,"Sakrete",571,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Sakrete High Strength Concrete Mix is a high-quality mix that provides outstanding strength and durability for constructing slabs, driveways, walkways, steps and more.<br></br>
<li>High strength concrete mix for anchoring posts and poles, and pouring footings and slabs.</li>
<li>Meets ASTM C 387 strength requirements for structural applications</li>
<li>Premium quality for consistent strength and durability.</li>
<li>Build walks, drives, slabs and steps. Anchor posts and poles.</li>
<li>For applications requiring at least 2 inches in thickness.</li>
<li>Just add water.</li>","","","Sakrete High Strength Concrete Mix 40lb Bag","High Strength Concrete Mix 40lb Bag",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"609|19527","Cement | Concrete Mix|Concrete Mix",90163,"65200940",,"High Strength Concrete Mix 60lb Bag","High Strength Concrete Mix","High Strength Concrete Mix 60lb Bag","",/\6\5\Sakrete-High-Strength-Concrete-Mix-40lb.jpg,/\6\5\Sakrete-High-Strength-Concrete-Mix-40lb.jpg,http://www.48ws.com/images/product/6/5/Sakrete-High-Strength-Concrete-Mix-40lb.jpg,Sakrete-High-Strength-Concrete-Mix-60lb-Bag,Sakrete-High-Strength-Concrete-Mix-60lb-Bag,,No layout updates.,Block after Info Column,,"High Strength Concrete Mix 60lb Bag","High Strength Concrete Mix 60lb Bag",Use config,"http://www.sakrete.com/products/detail.cfm/prod_alias/High-Strength-Concrete-Mix",0,,,0,"Sakrete",571,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Sakrete High Strength Concrete Mix 60lb Bag","Sakrete High Strength Concrete Mix is a high-quality mix that provides outstanding strength and durability for constructing slabs, driveways, walkways, steps and more.<br></br>
<li>High strength concrete mix for anchoring posts and poles, and pouring footings and slabs.</li>
<li>Meets ASTM C 387 strength requirements for structural applications</li>
<li>Premium quality for consistent strength and durability.</li>
<li>Build walks, drives, slabs and steps. Anchor posts and poles.</li>
<li>For applications requiring at least 2 inches in thickness.</li>
<li>Just add water.</li>","","","Sakrete High Strength Concrete Mix 60lb Bag","High Strength Concrete Mix 60lb Bag",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"609|19527","Cement | Concrete Mix|Concrete Mix",90164,"65200390",,"High Strength Concrete Mix 80lb Bag","High Strength Concrete Mix","High Strength Concrete Mix 80lb Bag","",/\6\5\Sakrete-High-Strength-Concrete-Mix-40lb.jpg,/\6\5\Sakrete-High-Strength-Concrete-Mix-40lb.jpg,http://www.48ws.com/images/product/6/5/Sakrete-High-Strength-Concrete-Mix-40lb.jpg,Sakrete-High-Strength-Concrete-Mix-80lb-Bag,Sakrete-High-Strength-Concrete-Mix-80lb-Bag,,No layout updates.,Block after Info Column,,"High Strength Concrete Mix 80lb Bag","High Strength Concrete Mix 80lb Bag",Use config,"http://www.sakrete.com/products/detail.cfm/prod_alias/High-Strength-Concrete-Mix",0,,,0,"Sakrete",571,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Sakrete High Strength Concrete Mix 80lb Bag","Sakrete High Strength Concrete Mix is a high-quality mix that provides outstanding strength and durability for constructing slabs, driveways, walkways, steps and more.<br></br>
<li>High strength concrete mix for anchoring posts and poles, and pouring footings and slabs.</li>
<li>Meets ASTM C 387 strength requirements for structural applications</li>
<li>Premium quality for consistent strength and durability.</li>
<li>Build walks, drives, slabs and steps. Anchor posts and poles.</li>
<li>For applications requiring at least 2 inches in thickness.</li>
<li>Just add water.</li>","","","Sakrete High Strength Concrete Mix 80lb Bag","High Strength Concrete Mix 80lb Bag",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"609|19527","Cement | Concrete Mix|Concrete Mix",90165,"65305535",,"Fast Setting Concrete Mix 50lb Bag","","Fast Setting Concrete Mix 50lb Bag","Sakrete Fast Setting Concrete Mix requires no blending or bracing. Simply pour it in the hole and add water to set posts or poles.",/\6\5\Sakrete-65305535-Fast-Setting-Concrete-Mix-50lb.jpg,/\6\5\Sakrete-65305535-Fast-Setting-Concrete-Mix-50lb.jpg,http://www.48ws.com/images/product/6/5/Sakrete-65305535-Fast-Setting-Concrete-Mix-50lb.jpg,Sakrete-65305535-Fast-Setting-Concrete-Mix-50lb-Bag,Sakrete-65305535-Fast-Setting-Concrete-Mix-50lb-Bag,,No layout updates.,Block after Info Column,,"Fast Setting Concrete Mix 50lb Bag","Fast Setting Concrete Mix 50lb Bag",Use config,"http://www.sakrete.com/products/detail.cfm/prod_alias/Fast-Setting-Concrete",0,,,0,"Sakrete",571,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Sakrete Fast Setting Concrete Mix requires no blending or bracing. Simply pour it in the hole and add water to set posts or poles.","Set posts and poles fast and easy, even without blending the material. Sets much faster than regular concrete so that no bracing is needed.
<li>Sets in just 1/2 hour.</li>
<li>Set posts and poles without bracing or mixing.</li>
<li>Exceeds strength requirement of ASTM C 387.</li>
<li>For applications requiring at least 2 inches in thickness.</li>
<li>Units per pallet: 56</li>
<li>UPC Code: 7-64661-11150-4</li>","","","Sakrete 65305535 Fast Setting Concrete Mix 50lb Bag","Fast Setting Concrete Mix 50lb Bag",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"17|26845","Plaster | Mortar Mixers|Mortar Mixes",90167,"Type S Masonry Mortar 60lb Bag",,"Type S Masonry Mortar 60lb Bag","Type S Masonry Mortar","Type S Masonry Mortar 60lb Bag","",/\T\y\Sakrete-Type-S-Masonry-Mortar-60lb.jpg,/\T\y\Sakrete-Type-S-Masonry-Mortar-60lb.jpg,http://www.48ws.com/images/product/T/y/Sakrete-Type-S-Masonry-Mortar-60lb.jpg,Sakrete-Type-S-Masonry-Mortar-60lb-Bag,Sakrete-Type-S-Masonry-Mortar-60lb-Bag,,No layout updates.,Block after Info Column,,"Type S Masonry Mortar 60lb Bag","Type S Masonry Mortar 60lb Bag",Use config,"http://www.sakrete.com/products/detail.cfm/prod_alias/Type-S-Masonry-Mortar",0,,,0,"Sakrete",571,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Sakrete Type S Masonry Mortar is a contractor grade mortar/stucco mix for load-bearing as well as above and below grade applications.<br></br>
A high strength mortar/stucco mix for the laying of brick, block and stone in load-bearing walls and construction below grade.<br>
<li>Contractor grade mortar mix.</li>
<li>Smooth, buttery blend for laying brick, block and stone in load-bearing walls above and below grade level.</li>
<li>Just add water.</li>","","","Sakrete Type S Masonry Mortar 60lb Bag","Type S Masonry Mortar 60lb Bag",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"17|26845","Plaster | Mortar Mixers|Mortar Mixes",90168,"Type S Masonry Mortar 80lb Bag",,"Type S Masonry Mortar 80lb Bag","Type S Masonry Mortar","Type S Masonry Mortar 80lb Bag","",/\T\y\Sakrete-Type-S-Masonry-Mortar-60lb.jpg,/\T\y\Sakrete-Type-S-Masonry-Mortar-60lb.jpg,http://www.48ws.com/images/product/T/y/Sakrete-Type-S-Masonry-Mortar-60lb.jpg,Sakrete-Type-S-Masonry-Mortar-80lb-Bag,Sakrete-Type-S-Masonry-Mortar-80lb-Bag,,No layout updates.,Block after Info Column,,"Type S Masonry Mortar 80lb Bag","Type S Masonry Mortar 80lb Bag",Use config,"http://www.sakrete.com/products/detail.cfm/prod_alias/Type-S-Masonry-Mortar",0,,,0,"Sakrete",571,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Sakrete Type S Masonry Mortar 80lb Bag","Sakrete Type S Masonry Mortar is a contractor grade mortar/stucco mix for load-bearing as well as above and below grade applications.<br></br>
A high strength mortar/stucco mix for the laying of brick, block and stone in load-bearing walls and construction below grade.<br>
<li>Contractor grade mortar mix.</li>
<li>Smooth, buttery blend for laying brick, block and stone in load-bearing walls above and below grade level.</li>
<li>Just add water.</li>","","","Sakrete Type S Masonry Mortar 80lb Bag","Type S Masonry Mortar 80lb Bag",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1721|26845","Mortar Mix|Mortar Mixes",90169,"65150084",,"Masonry Cement 70lb Bag Type N","Masonry Cement","Masonry Cement 70lb Bag Type N","",/\6\5\Sakrete-Masonry-Cement-70lb-Bag-Type.jpg,/\6\5\Sakrete-Masonry-Cement-70lb-Bag-Type.jpg,http://www.48ws.com/images/product/6/5/Sakrete-Masonry-Cement-70lb-Bag-Type.jpg,Sakrete-Masonry-Cement-70lb-Bag-Type-N,Sakrete-Masonry-Cement-70lb-Bag-Type-N,,No layout updates.,Block after Info Column,,"Masonry Cement 70lb Bag Type N","Masonry Cement 70lb Bag Type N",Use config,"http://www.sakrete.com/products/detail.cfm/prod_alias/Type-S-Masonry-Cement",0,,,0,"Sakrete",571,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Sakrete Type S Masonry Cement is a consistent, preblended quality mix for creating custom mortars. Type N also available.<br></br>
<li>A high strength masonry cement for use in custom mortars. </li>
<li>Bagged with consistent quality.</li>
<li>Use in high strength custom mortar mixes.</li>
<li>Type N also available.</li>","","","Sakrete Masonry Cement 70lb Bag Type N","Masonry Cement 70lb Bag Type N",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1721|26845","Mortar Mix|Mortar Mixes",90171,"65150086",,"Masonry Cement 75lb Bag Type S","Masonry Cement","Masonry Cement 75lb Bag Type S","",/\6\5\Sakrete-Masonry-Cement-70lb-Bag-Type.jpg,/\6\5\Sakrete-Masonry-Cement-70lb-Bag-Type.jpg,http://www.48ws.com/images/product/6/5/Sakrete-Masonry-Cement-70lb-Bag-Type.jpg,Sakrete-Masonry-Cement-75lb-Bag-Type-S,Sakrete-Masonry-Cement-75lb-Bag-Type-S,,No layout updates.,Block after Info Column,,"Masonry Cement 75lb Bag Type S","Masonry Cement 75lb Bag Type S",Use config,"http://www.sakrete.com/products/detail.cfm/prod_alias/Type-S-Masonry-Cement",0,,,0,"Sakrete",571,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Sakrete Masonry Cement 75lb Bag Type S","Sakrete Type S Masonry Cement is a consistent, preblended quality mix for creating custom mortars. Type N also available.<br></br>
<li>A high strength masonry cement for use in custom mortars. </li>
<li>Bagged with consistent quality.</li>
<li>Use in high strength custom mortar mixes.</li>
<li>Type N also available.</li>","","","Sakrete Masonry Cement 75lb Bag Type S","Masonry Cement 75lb Bag Type S",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"17|26845","Plaster | Mortar Mixers|Mortar Mixes",90172,"65300039",,"Type N Mortar Mix 40lb Bag","Type N Mortar Mix","Type N Mortar Mix 40lb Bag","",/\6\5\Sakrete-Type-N-Mortar-Mix-40lb.jpg,/\6\5\Sakrete-Type-N-Mortar-Mix-40lb.jpg,http://www.48ws.com/images/product/6/5/Sakrete-Type-N-Mortar-Mix-40lb.jpg,Sakrete-Type-N-Mortar-Mix-40lb-Bag,Sakrete-Type-N-Mortar-Mix-40lb-Bag,,No layout updates.,Block after Info Column,,"Type N Mortar Mix 40lb Bag","Type N Mortar Mix 40lb Bag",Use config,"http://www.sakrete.com/products/detail.cfm/prod_alias/Type-N-Mortar-Mix",0,,,0,"Sakrete",571,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Sakrete Type N Mortar Mix is a general purpose mortar for laying brick, block or stone or for repairing mortar joints.
<li>A regular strength mortar mix for laying brick, block and stone. Use for repairing damaged mortar joints. </li>
<li>Standard mortar for general applications.</li>
<li>Lay brick, block and stone in wall construction.</li>
<li>Use for making repairs to mortar joints.</li>
<li>Just add water.</li>","","","Sakrete Type N Mortar Mix 40lb Bag","Type N Mortar Mix 40lb Bag",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"17|26845","Plaster | Mortar Mixers|Mortar Mixes",90174,"65306214",,"Type N Mortar Mix 60lb Bag","Type N Mortar Mix","Type N Mortar Mix 60lb Bag","",/\6\5\Sakrete-Type-N-Mortar-Mix-40lb.jpg,/\6\5\Sakrete-Type-N-Mortar-Mix-40lb.jpg,http://www.48ws.com/images/product/6/5/Sakrete-Type-N-Mortar-Mix-40lb.jpg,Sakrete-Type-N-Mortar-Mix-60lb-Bag,Sakrete-Type-N-Mortar-Mix-60lb-Bag,,No layout updates.,Block after Info Column,,"Type N Mortar Mix 60lb Bag","Type N Mortar Mix 60lb Bag",Use config,"http://www.sakrete.com/products/detail.cfm/prod_alias/Type-N-Mortar-Mix",0,,,0,"Sakrete",571,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Sakrete Type N Mortar Mix 60lb Bag","Sakrete Type N Mortar Mix is a general purpose mortar for laying brick, block or stone or for repairing mortar joints.
<li>A regular strength mortar mix for laying brick, block and stone. Use for repairing damaged mortar joints. </li>
<li>Standard mortar for general applications.</li>
<li>Lay brick, block and stone in wall construction.</li>
<li>Use for making repairs to mortar joints.</li>
<li>Just add water.</li>","","","Sakrete Type N Mortar Mix 60lb Bag","Type N Mortar Mix 60lb Bag",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"17|26845","Plaster | Mortar Mixers|Mortar Mixes",90175,"65304270",,"Type N Mortar Mix 80lb Bag","Type N Mortar Mix","Type N Mortar Mix 80lb Bag","",/\6\5\Sakrete-Type-N-Mortar-Mix-40lb.jpg,/\6\5\Sakrete-Type-N-Mortar-Mix-40lb.jpg,http://www.48ws.com/images/product/6/5/Sakrete-Type-N-Mortar-Mix-40lb.jpg,Sakrete-Type-N-Mortar-Mix-80lb-Bag,Sakrete-Type-N-Mortar-Mix-80lb-Bag,,No layout updates.,Block after Info Column,,"Type N Mortar Mix 80lb Bag","Type N Mortar Mix 80lb Bag",Use config,"http://www.sakrete.com/products/detail.cfm/prod_alias/Type-N-Mortar-Mix",0,,,0,"Sakrete",571,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Sakrete Type N Mortar Mix 80lb Bag","Sakrete Type N Mortar Mix is a general purpose mortar for laying brick, block or stone or for repairing mortar joints.
<li>A regular strength mortar mix for laying brick, block and stone. Use for repairing damaged mortar joints. </li>
<li>Standard mortar for general applications.</li>
<li>Lay brick, block and stone in wall construction.</li>
<li>Use for making repairs to mortar joints.</li>
<li>Just add water.</li>","","","Sakrete Type N Mortar Mix 80lb Bag","Type N Mortar Mix 80lb Bag",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"609|19527","Cement | Concrete Mix|Concrete Mix",90178,"65150087",,"Portland Cement Type 1 & 2 47lb Bag","Portland Cement Type 1 & 2","Portland Cement Type 1 & 2 47lb Bag","",/\6\5\Sakrete-Portland-Cement-Type-1-2-47lb.jpg,/\6\5\Sakrete-Portland-Cement-Type-1-2-47lb.jpg,http://www.48ws.com/images/product/6/5/Sakrete-Portland-Cement-Type-1-2-47lb.jpg,Sakrete-Portland-Cement-Type-1-2-47lb-Bag,Sakrete-Portland-Cement-Type-1-2-47lb-Bag,,No layout updates.,Block after Info Column,,"Portland Cement Type 1 & 2 47lb Bag","Portland Cement Type 1 & 2 47lb Bag",Use config,"http://www.sakrete.com/products/detail.cfm/prod_alias/Portland-Cement-Type-III",0,,,0,"Sakrete",571,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Sakrete Portland Cement Type I & II is used to make custom concrete mixes where 2-inch thickness or more is needed.<br>
<li>Portland Cement is designed for use in custom cement and stucco mixes. </li>
<li>Use in 3:2:1 custom concrete mixes.</li>
<li>Use when customizing your own stucco blends.</li>
<li>Meets ASTM C 150 for portland cement.</li>","","","Sakrete Portland Cement Type 1 & 2 47lb Bag","Portland Cement Type 1 & 2 47lb Bag",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"609|19527","Cement | Concrete Mix|Concrete Mix",90179,"65150083",,"Portland Cement Type 1 & 2 94lb Bag","Portland Cement Type 1 & 2","Portland Cement Type 1 & 2 94lb Bag","",/\6\5\Sakrete-Portland-Cement-Type-1-2-47lb.jpg,/\6\5\Sakrete-Portland-Cement-Type-1-2-47lb.jpg,http://www.48ws.com/images/product/6/5/Sakrete-Portland-Cement-Type-1-2-47lb.jpg,Sakrete-Portland-Cement-Type-1-2-94lb-Bag,Sakrete-Portland-Cement-Type-1-2-94lb-Bag,,No layout updates.,Block after Info Column,,"Portland Cement Type 1 & 2 94lb Bag","Portland Cement Type 1 & 2 94lb Bag",Use config,"http://www.sakrete.com/products/detail.cfm/prod_alias/Portland-Cement-Type-III",0,,,0,"Sakrete",571,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Sakrete Portland Cement Type 1 & 2 94lb Bag","Sakrete Portland Cement Type I & II is used to make custom concrete mixes where 2-inch thickness or more is needed.<br>
<li>Portland Cement is designed for use in custom cement and stucco mixes. </li>
<li>Use in 3:2:1 custom concrete mixes.</li>
<li>Use when customizing your own stucco blends.</li>
<li>Meets ASTM C 150 for portland cement.</li>","","","Sakrete Portland Cement Type 1 & 2 94lb Bag","Portland Cement Type 1 & 2 94lb Bag",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
