store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"151|21967","Truck Boxes|Truck Boxes",10075,"117-0-02",,"Model Saddle Box - Aluminum Full Size, Extra Wide","","Model Saddle Box - Aluminum Full Size, Extra Wide","Model 117-0-02 Saddle Box - Aluminum Full Size, Extra Wide",/\1\1\Weather-Guard-Model-117-0-02-Saddle-Box-Aluminum-Full-Size.jpg,/\1\1\Weather-Guard-Model-117-0-02-Saddle-Box-Aluminum-Full-Size.jpg,http://www.48ws.com/images/product/1/1/Weather-Guard-Model-117-0-02-Saddle-Box-Aluminum-Full-Size.jpg,Weather-Guard-Model-117-0-02-Saddle-Box-Aluminum-Full-Size-Extra-Wide,Weather-Guard-Model-117-0-02-Saddle-Box-Aluminum-Full-Size-Extra-Wide,,No layout updates.,Block after Info Column,,"Model Saddle Box - Aluminum Full Size, Extra Wide","Model Saddle Box - Aluminum Full Size, Extra Wide",Use config,"http://www.weatherguard.com/truck_tool_boxes/view_products.php?subcat_id=9",0,,,0,"Weather Guard",44,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Weather Guard Model 117-0-02 Saddle Box - Aluminum Full Size, Extra Wide","<li>Fits: All full-size pickups with 8-foot beds</li><li>Fits: Chevy Silverado/GMC Sierra and Dodge Ram 6&#39; bed,  Ford F-150 6 1/2&#39; beds</li><li>Included: Powder coated steel divider tray</li><li>EXTREME PROTECTION? Lock</li><li>90? cover opening for easy access</li><li>Level storage secures 48&quot; level</li><li>12v access for electrical up-fits</li><li>Features clear coat, powder coat finish</li>","Model 117-0-02 Saddle Box - Aluminum Full Size, Extra Wide","","Weather Guard Model 117-0-02 Saddle Box - Aluminum Full Size, Extra Wide","Model Saddle Box - Aluminum Full Size, Extra Wide",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"151|21967","Truck Boxes|Truck Boxes",10076,"117-5-02",,"Model Saddle Box - Aluminum, Extra Wide","","Model Saddle Box - Aluminum, Extra Wide","Model 117-5-02 Saddle Box - Aluminum, Extra Wide",/\1\1\Weather-Guard-Model-117-5-02-Saddle-Box-Aluminum-Extra.jpg,/\1\1\Weather-Guard-Model-117-5-02-Saddle-Box-Aluminum-Extra.jpg,http://www.48ws.com/images/product/1/1/Weather-Guard-Model-117-5-02-Saddle-Box-Aluminum-Extra.jpg,Weather-Guard-Model-117-5-02-Saddle-Box-Aluminum-Extra-Wide,Weather-Guard-Model-117-5-02-Saddle-Box-Aluminum-Extra-Wide,,No layout updates.,Block after Info Column,,"Model Saddle Box - Aluminum, Extra Wide","Model Saddle Box - Aluminum, Extra Wide",Use config,"http://www.weatherguard.com/truck_tool_boxes/view_products.php?subcat_id=9",0,,,0,"Weather Guard",44,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Weather Guard Model 117-5-02 Saddle Box - Aluminum, Extra Wide","<li>Fits: All full-size pickups with 8-foot beds</li><li>Fits: Chevy Silverado/GMC Sierra 6&#39; beds, Dodge Ram 6&#39; beds and Ford F-150 6 1/2-foot beds</li><li>Included: Powder coated steel divider tray</li><li>EXTREME PROTECTION? Lock</li><li>90? cover opening for easy access</li><li>Level storage secures 48&quot; level</li><li>12v access for electrical up-fits</li><li>Features black Armor-Tuf powder coat finish</li>","Model 117-5-02 Saddle Box - Aluminum, Extra Wide","","Weather Guard Model 117-5-02 Saddle Box - Aluminum, Extra Wide","Model Saddle Box - Aluminum, Extra Wide",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"151|21967","Truck Boxes|Truck Boxes",10077,"116-3-02",,"Model Saddle Box - Steel Full Size, Extra Wide White","","Model Saddle Box - Steel Full Size, Extra Wide White","Model 116-3-02 Saddle Box - Steel Full Size, Extra Wide White",/\1\1\Weather-Guard-Model-116-3-02-Saddle-Box-Steel-Full-Size.jpg,/\1\1\Weather-Guard-Model-116-3-02-Saddle-Box-Steel-Full-Size.jpg,http://www.48ws.com/images/product/1/1/Weather-Guard-Model-116-3-02-Saddle-Box-Steel-Full-Size.jpg,Weather-Guard-Model-116-3-02-Saddle-Box-Steel-Full-Size-Extra-Wide-White,Weather-Guard-Model-116-3-02-Saddle-Box-Steel-Full-Size-Extra-Wide-White,,No layout updates.,Block after Info Column,,"Model Saddle Box - Steel Full Size, Extra Wide White","Model Saddle Box - Steel Full Size, Extra Wide White",Use config,"http://www.weatherguard.com/truck_tool_boxes/view_products.php?subcat_id=9",0,,,0,"Weather Guard",44,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Weather Guard Model 116-3-02 Saddle Box - Steel Full Size, Extra Wide White","<li>Fits: All full-size pickups with 8-foot beds</li><li>Fits: Chevy Silverado/GMC Sierra 6&#39; bed, Dodge Ram 6&#39; bed and Ford F-150 6 1/2-foot beds</li><li>Included: Powder coated steel divider tray</li><li>EXTREME PROTECTION? Lock</li><li>90? cover opening for easy access</li><li>Level storage secures 48&quot; level</li><li>12v access for electrical up-fits</li><li>Features Bright White Armor-Tuf powder coat finish</li>","Model 116-3-02 Saddle Box - Steel Full Size, Extra Wide White","","Weather Guard Model 116-3-02 Saddle Box - Steel Full Size, Extra Wide White","Model Saddle Box - Steel Full Size, Extra Wide White",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"151|21967","Truck Boxes|Truck Boxes",10078,"116-5-02",,"Model Saddle Box - Steel, Full Size, Extra Wide, Black","","Model Saddle Box - Steel, Full Size, Extra Wide, Black","Model 116-5-02 Saddle Box - Steel, Full Size, Extra Wide, Black",/\1\1\Weather-Guard-Model-116-5-02-Saddle-Box-Steel-Full-Size.jpg,/\1\1\Weather-Guard-Model-116-5-02-Saddle-Box-Steel-Full-Size.jpg,http://www.48ws.com/images/product/1/1/Weather-Guard-Model-116-5-02-Saddle-Box-Steel-Full-Size.jpg,Weather-Guard-Model-116-5-02-Saddle-Box-Steel-Full-Size-Extra-Wide-Black,Weather-Guard-Model-116-5-02-Saddle-Box-Steel-Full-Size-Extra-Wide-Black,,No layout updates.,Block after Info Column,,"Model Saddle Box - Steel, Full Size, Extra Wide, Black","Model Saddle Box - Steel, Full Size, Extra Wide, Black",Use config,"http://www.weatherguard.com/truck_tool_boxes/view_products.php?subcat_id=9",0,,,0,"Weather Guard",44,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Weather Guard Model 116-5-02 Saddle Box - Steel, Full Size, Extra Wide, Black","<li>Fits: All full-size pickups with 8-foot beds</li><li>Fits: Chevy Silverado/GMC Sierra 6&#39; beds, Dodge Ram 6&#39; beds and Ford F-150 6 1/2-foot beds</li><li>Included: Powder coated steel divider tray</li><li>EXTREME PROTECTION? Lock</li><li>90? cover opening for easy access</li><li>Level storage secures 48</li><li>12v access for electrical up-fits</li><li>Features black Armor-Tuf powder coat finish</li>","Model 116-5-02 Saddle Box - Steel, Full Size, Extra Wide, Black","","Weather Guard Model 116-5-02 Saddle Box - Steel, Full Size, Extra Wide, Black","Model Saddle Box - Steel, Full Size, Extra Wide, Black",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"151|21967","Truck Boxes|Truck Boxes",10079,"120-3-01",,"Model Low Profile Steel Saddle Box","","Model Low Profile Steel Saddle Box","Model 120-3-01 Low Profile Steel Saddle Box",/\1\2\Weather-Guard-Model-120-3-01-Low-Profile-Steel-Saddle.jpg,/\1\2\Weather-Guard-Model-120-3-01-Low-Profile-Steel-Saddle.jpg,http://www.48ws.com/images/product/1/2/Weather-Guard-Model-120-3-01-Low-Profile-Steel-Saddle.jpg,Weather-Guard-Model-120-3-01-Low-Profile-Steel-Saddle-Box,Weather-Guard-Model-120-3-01-Low-Profile-Steel-Saddle-Box,,No layout updates.,Block after Info Column,,"Model Low Profile Steel Saddle Box","Model Low Profile Steel Saddle Box",Use config,"http://www.weatherguard.com/truck_tool_boxes/view_products.php?subcat_id=9",0,,,0,"Weather Guard",44,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Weather Guard Model 120-3-01 Low Profile Steel Saddle Box","<li>Low-Profile Design</li><li>EXTREME PROTECTION.  Lock</li><li>Full Weather Seal</li><li>Level storage secures 48</li>","Model 120-3-01 Low Profile Steel Saddle Box","","Weather Guard Model 120-3-01 Low Profile Steel Saddle Box","Model Low Profile Steel Saddle Box",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"151|21967","Truck Boxes|Truck Boxes",10080,"120-5-01",,"Model Low Profile Steel Saddle Box","","Model Low Profile Steel Saddle Box","Model 120-5-01 Low Profile Steel Saddle Box",/\1\2\Weather-Guard-Model-120-5-01-Low-Profile-Steel-Saddle.jpg,/\1\2\Weather-Guard-Model-120-5-01-Low-Profile-Steel-Saddle.jpg,http://www.48ws.com/images/product/1/2/Weather-Guard-Model-120-5-01-Low-Profile-Steel-Saddle.jpg,Weather-Guard-Model-120-5-01-Low-Profile-Steel-Saddle-Box,Weather-Guard-Model-120-5-01-Low-Profile-Steel-Saddle-Box,,No layout updates.,Block after Info Column,,"Model Low Profile Steel Saddle Box","Model Low Profile Steel Saddle Box",Use config,"http://www.weatherguard.com/truck_tool_boxes/view_products.php?subcat_id=9",0,,,0,"Weather Guard",44,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Weather Guard Model 120-5-01 Low Profile Steel Saddle Box","<li>Low-Profile Design</li><li>EXTREME PROTECTION?  Lock</li><li>Full Weather Seal</li><li>Level storage secures 48</li>","Model 120-5-01 Low Profile Steel Saddle Box","","Weather Guard Model 120-5-01 Low Profile Steel Saddle Box","Model Low Profile Steel Saddle Box",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"151|21967","Truck Boxes|Truck Boxes",10081,"121-0-01",,"Model Low Profile Aluminum Saddle Box","","Model Low Profile Aluminum Saddle Box","Model 121-0-01 Low Profile Aluminum Saddle Box",/\1\2\Weather-Guard-Model-121-0-01-Low-Profile-Aluminum-Saddle.jpg,/\1\2\Weather-Guard-Model-121-0-01-Low-Profile-Aluminum-Saddle.jpg,http://www.48ws.com/images/product/1/2/Weather-Guard-Model-121-0-01-Low-Profile-Aluminum-Saddle.jpg,Weather-Guard-Model-121-0-01-Low-Profile-Aluminum-Saddle-Box,Weather-Guard-Model-121-0-01-Low-Profile-Aluminum-Saddle-Box,,No layout updates.,Block after Info Column,,"Model Low Profile Aluminum Saddle Box","Model Low Profile Aluminum Saddle Box",Use config,"http://www.weatherguard.com/truck_tool_boxes/view_products.php?subcat_id=9",0,,,0,"Weather Guard",44,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Weather Guard Model 121-0-01 Low Profile Aluminum Saddle Box","<li>Fits: Most Full Size Pickup Trucks</li><li>Accessories: Level Storage, tray</li><li>Accessories: Level Storage, tray</li><li>ARMOR-TUF. Clear Coat</li><li>EXTREME PROTECTION. Lock</li><li>Corner Support Channels</li>","Model 121-0-01 Low Profile Aluminum Saddle Box","","Weather Guard Model 121-0-01 Low Profile Aluminum Saddle Box","Model Low Profile Aluminum Saddle Box",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"151|21967","Truck Boxes|Truck Boxes",10082,"128-5-01",,"Model Steel Saddle Box - Black","","Model Steel Saddle Box - Black","Model 128-5-01 Steel Saddle Box - Black",/\1\2\Weather-Guard-Model-128-5-01-Steel-Saddle-Box.jpg,/\1\2\Weather-Guard-Model-128-5-01-Steel-Saddle-Box.jpg,http://www.48ws.com/images/product/1/2/Weather-Guard-Model-128-5-01-Steel-Saddle-Box.jpg,Weather-Guard-Model-128-5-01-Steel-Saddle-Box-Black,Weather-Guard-Model-128-5-01-Steel-Saddle-Box-Black,,No layout updates.,Block after Info Column,,"Model Steel Saddle Box - Black","Model Steel Saddle Box - Black",Use config,"http://www.weatherguard.com/truck_tool_boxes/view_products.php?subcat_id=9",0,,,0,"Weather Guard",44,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Weather Guard Model 128-5-01 Steel Saddle Box - Black","<li>EXTREME PROTECTION? Lock</li><li>90? cover opening for easy access</li><li>Level storage secures 48 level</li><li>12v access for electrical up-fits</li><li>Features Bright White Armor-Tuf powder coat finish</li>","Model 128-5-01 Steel Saddle Box - Black","","Weather Guard Model 128-5-01 Steel Saddle Box - Black","Model Steel Saddle Box - Black",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"151|21967","Truck Boxes|Truck Boxes",10084,"130-5-01",,"Model Low Profile Steel Truck Box - Compact","","Model Low Profile Steel Truck Box - Compact","Model 130-5-01 Low Profile Steel Truck Box - Compact",/\1\3\Weather-Guard-Model-130-5-01-Low-Profile-Steel-Truck-Box.jpg,/\1\3\Weather-Guard-Model-130-5-01-Low-Profile-Steel-Truck-Box.jpg,http://www.48ws.com/images/product/1/3/Weather-Guard-Model-130-5-01-Low-Profile-Steel-Truck-Box.jpg,Weather-Guard-Model-130-5-01-Low-Profile-Steel-Truck-Box-Compact,Weather-Guard-Model-130-5-01-Low-Profile-Steel-Truck-Box-Compact,,No layout updates.,Block after Info Column,,"Model Low Profile Steel Truck Box - Compact","Model Low Profile Steel Truck Box - Compact",Use config,"http://www.weatherguard.com/truck_tool_boxes/view_products.php?subcat_id=9",0,,,0,"Weather Guard",44,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Weather Guard Model 130-5-01 Low Profile Steel Truck Box - Compact","<li>EXTREME PROTECTION? Lock</li><li>Crimp-free/drill-free install mounting brackets</li><li>Reduced Clearance Coverage - 90? cover opening</li>","Model 130-5-01 Low Profile Steel Truck Box - Compact","","Weather Guard Model 130-5-01 Low Profile Steel Truck Box - Compact","Model Low Profile Steel Truck Box - Compact",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"151|21967","Truck Boxes|Truck Boxes",10085,"143-0-01",,"Model E-Line Saddle Box - Aluminum, Full Size","","Model E-Line Saddle Box - Aluminum, Full Size","Model 143-0-01 E-Line Saddle Box - Aluminum, Full Size",/\1\4\Weather-Guard-Model-143-0-01-E-Line-Saddle-Box-Aluminum.jpg,/\1\4\Weather-Guard-Model-143-0-01-E-Line-Saddle-Box-Aluminum.jpg,http://www.48ws.com/images/product/1/4/Weather-Guard-Model-143-0-01-E-Line-Saddle-Box-Aluminum.jpg,Weather-Guard-Model-143-0-01-E-Line-Saddle-Box-Aluminum-Full-Size,Weather-Guard-Model-143-0-01-E-Line-Saddle-Box-Aluminum-Full-Size,,No layout updates.,Block after Info Column,,"Model E-Line Saddle Box - Aluminum, Full Size","Model E-Line Saddle Box - Aluminum, Full Size",Use config,"http://www.weatherguard.com/truck_tool_boxes/view_products.php?subcat_id=9",0,,,0,"Weather Guard",44,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Weather Guard Model 143-0-01 E-Line Saddle Box - Aluminum, Full Size","<li>Ergonomic Paddle Handles</li><li>90? cover opening for easy access</li><li>Easy Find Organization</li><li>Full weather seal</li><li>Features clear coat, power coat finish</li>","Model 143-0-01 E-Line Saddle Box - Aluminum, Full Size","","Weather Guard Model 143-0-01 E-Line Saddle Box - Aluminum, Full Size","Model E-Line Saddle Box - Aluminum, Full Size",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"151|21967","Truck Boxes|Truck Boxes",10086,"143-5-01",,"Model E-Line Saddle Box - Aluminum, Full Size","","Model E-Line Saddle Box - Aluminum, Full Size","Model 143-5-01 E-Line Saddle Box - Aluminum, Full Size",/\1\4\Weather-Guard-Model-143-5-01-E-Line-Saddle-Box-Aluminum.jpg,/\1\4\Weather-Guard-Model-143-5-01-E-Line-Saddle-Box-Aluminum.jpg,http://www.48ws.com/images/product/1/4/Weather-Guard-Model-143-5-01-E-Line-Saddle-Box-Aluminum.jpg,Weather-Guard-Model-143-5-01-E-Line-Saddle-Box-Aluminum-Full-Size,Weather-Guard-Model-143-5-01-E-Line-Saddle-Box-Aluminum-Full-Size,,No layout updates.,Block after Info Column,,"Model E-Line Saddle Box - Aluminum, Full Size","Model E-Line Saddle Box - Aluminum, Full Size",Use config,"http://www.weatherguard.com/truck_tool_boxes/view_products.php?subcat_id=9",0,,,0,"Weather Guard",44,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Weather Guard Model 143-5-01 E-Line Saddle Box - Aluminum, Full Size","<li>Ergonomic Paddle Handles</li><li>90? cover opening for easy access</li><li>Easy Find Organization</li><li>Full weather Seal</li><li>Features black Armor-Tuf powder coat finish</li>","Model 143-5-01 E-Line Saddle Box - Aluminum, Full Size","","Weather Guard Model 143-5-01 E-Line Saddle Box - Aluminum, Full Size","Model E-Line Saddle Box - Aluminum, Full Size",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"151|21967","Truck Boxes|Truck Boxes",10087,"121-5-01",,"Model Low Profile Aluminum Saddle Box","","Model Low Profile Aluminum Saddle Box","Model 121-5-01 Low Profile Aluminum Saddle Box",/\1\2\Weather-Guard-Model-121-5-01-Low-Profile-Aluminum-Saddle.jpg,/\1\2\Weather-Guard-Model-121-5-01-Low-Profile-Aluminum-Saddle.jpg,http://www.48ws.com/images/product/1/2/Weather-Guard-Model-121-5-01-Low-Profile-Aluminum-Saddle.jpg,Weather-Guard-Model-121-5-01-Low-Profile-Aluminum-Saddle-Box,Weather-Guard-Model-121-5-01-Low-Profile-Aluminum-Saddle-Box,,No layout updates.,Block after Info Column,,"Model Low Profile Aluminum Saddle Box","Model Low Profile Aluminum Saddle Box",Use config,"http://www.weatherguard.com/truck_tool_boxes/view_products.php?subcat_id=9",0,,,0,"Weather Guard",44,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Weather Guard Model 121-5-01 Low Profile Aluminum Saddle Box","<li>Fits: Full Size Pickup Trcks</li><li>ARMOR-TUF? Black Powder Coat</li><li>EXTREME PROTECTION? Lock</li><li>Corner Support Channels</li><li>Crimp-free/drill-free install mounting brackets</li><li>Reduced Clearance Coverage - 90? cover opening</li>","Model 121-5-01 Low Profile Aluminum Saddle Box","","Weather Guard Model 121-5-01 Low Profile Aluminum Saddle Box","Model Low Profile Aluminum Saddle Box",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"151|21967","Truck Boxes|Truck Boxes",10088,"123-0-01",,"Model Saddle Box - Aluminum, Full Size, Extra Deep","","Model Saddle Box - Aluminum, Full Size, Extra Deep","Model 123-0-01 Saddle Box - Aluminum, Full Size, Extra Deep",/\1\2\Weather-Guard-Model-123-0-01-Saddle-Box-Aluminum-Full-Size.jpg,/\1\2\Weather-Guard-Model-123-0-01-Saddle-Box-Aluminum-Full-Size.jpg,http://www.48ws.com/images/product/1/2/Weather-Guard-Model-123-0-01-Saddle-Box-Aluminum-Full-Size.jpg,Weather-Guard-Model-123-0-01-Saddle-Box-Aluminum-Full-Size-Extra-Deep,Weather-Guard-Model-123-0-01-Saddle-Box-Aluminum-Full-Size-Extra-Deep,,No layout updates.,Block after Info Column,,"Model Saddle Box - Aluminum, Full Size, Extra Deep","Model Saddle Box - Aluminum, Full Size, Extra Deep",Use config,"http://www.weatherguard.com/truck_tool_boxes/view_products.php?subcat_id=9",0,,,0,"Weather Guard",44,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Weather Guard Model 123-0-01 Saddle Box - Aluminum, Full Size, Extra Deep","<li>Fits: Full Size 8&#39; beds</li><li>Includes: Powder coated steel divider tray</li><li>EXTREME PROTECTION? Lock</li><li>90? cover opening for easy access</li><li>Level storage secures 48</li><li>12v access for electrical up-fits</li><li>Features clear coat, powder coat finish</li>","Model 123-0-01 Saddle Box - Aluminum, Full Size, Extra Deep","","Weather Guard Model 123-0-01 Saddle Box - Aluminum, Full Size, Extra Deep","Model Saddle Box - Aluminum, Full Size, Extra Deep",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"151|21967","Truck Boxes|Truck Boxes",10089,"123-5-01",,"Model Saddle Box - Aluminum Full Size Extra Deep","","Model Saddle Box - Aluminum Full Size Extra Deep","Model 123-5-01 Saddle Box - Aluminum Full Size Extra Deep",/\1\2\Weather-Guard-Model-123-5-01-Saddle-Box-Aluminum-Full-Size.jpg,/\1\2\Weather-Guard-Model-123-5-01-Saddle-Box-Aluminum-Full-Size.jpg,http://www.48ws.com/images/product/1/2/Weather-Guard-Model-123-5-01-Saddle-Box-Aluminum-Full-Size.jpg,Weather-Guard-Model-123-5-01-Saddle-Box-Aluminum-Full-Size-Extra-Deep,Weather-Guard-Model-123-5-01-Saddle-Box-Aluminum-Full-Size-Extra-Deep,,No layout updates.,Block after Info Column,,"Model Saddle Box - Aluminum Full Size Extra Deep","Model Saddle Box - Aluminum Full Size Extra Deep",Use config,"http://www.weatherguard.com/truck_tool_boxes/view_products.php?subcat_id=9",0,,,0,"Weather Guard",44,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Weather Guard Model 123-5-01 Saddle Box - Aluminum Full Size Extra Deep","<li>Fits: Full Size 8&#39; beds</li><li>Includes: Powder coated steel divider tray</li><li>EXTREME PROTECTION? Lock</li><li>90? cover opening for easy access</li><li>Level storage secures 48</li><li>12v access for electrical up-fits</li><li>Features clear coat, powder coat finish</li>","Model 123-5-01 Saddle Box - Aluminum Full Size Extra Deep","","Weather Guard Model 123-5-01 Saddle Box - Aluminum Full Size Extra Deep","Model Saddle Box - Aluminum Full Size Extra Deep",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"151|21967","Truck Boxes|Truck Boxes",10090,"126-3-02",,"Model Saddle Box - Steel, Full Size, Standard, White","","Model Saddle Box - Steel, Full Size, Standard, White","Model 126-3-02 Saddle Box - Steel, Full Size,  Standard, White",/\1\2\Weather-Guard-Model-126-3-02-Saddle-Box-Steel-Full-Size.jpg,/\1\2\Weather-Guard-Model-126-3-02-Saddle-Box-Steel-Full-Size.jpg,http://www.48ws.com/images/product/1/2/Weather-Guard-Model-126-3-02-Saddle-Box-Steel-Full-Size.jpg,Weather-Guard-Model-126-3-02-Saddle-Box-Steel-Full-Size-Standard-White,Weather-Guard-Model-126-3-02-Saddle-Box-Steel-Full-Size-Standard-White,,No layout updates.,Block after Info Column,,"Model Saddle Box - Steel, Full Size, Standard, White","Model Saddle Box - Steel, Full Size, Standard, White",Use config,"http://www.weatherguard.com/truck_tool_boxes/view_products.php?subcat_id=9",0,,,0,"Weather Guard",44,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Weather Guard Model 126-3-02 Saddle Box - Steel, Full Size,  Standard, White","<li>Fits: All full-size pickups with 6 1/2&#39; and 8&#39; foot beds</li><li>Fits: Toyota Tunda short bed</li><li>Included: Powder coated steel divider tray</li><li>EXTREME PROTECTION? Lock</li><li>90? cover opening for easy access</li><li>Level storage secures 48&quot; level</li><li>12v access for electrical up-fits</li><li>Features Brite White Armor-Tuf powder coat finish</li>","Model 126-3-02 Saddle Box - Steel, Full Size,  Standard, White","","Weather Guard Model 126-3-02 Saddle Box - Steel, Full Size,  Standard, White","Model Saddle Box - Steel, Full Size, Standard, White",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"151|21967","Truck Boxes|Truck Boxes",10091,"126-5-02",,"Model Saddle Box - Steel, Full Size, Standard, Black","","Model Saddle Box - Steel, Full Size, Standard, Black","Model 126-5-02 Saddle Box - Steel, Full Size, Standard, Black",/\1\2\Weather-Guard-Model-126-5-02-Saddle-Box-Steel-Full-Size.jpg,/\1\2\Weather-Guard-Model-126-5-02-Saddle-Box-Steel-Full-Size.jpg,http://www.48ws.com/images/product/1/2/Weather-Guard-Model-126-5-02-Saddle-Box-Steel-Full-Size.jpg,Weather-Guard-Model-126-5-02-Saddle-Box-Steel-Full-Size-Standard-Black,Weather-Guard-Model-126-5-02-Saddle-Box-Steel-Full-Size-Standard-Black,,No layout updates.,Block after Info Column,,"Model Saddle Box - Steel, Full Size, Standard, Black","Model Saddle Box - Steel, Full Size, Standard, Black",Use config,"http://www.weatherguard.com/truck_tool_boxes/view_products.php?subcat_id=9",0,,,0,"Weather Guard",44,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Weather Guard Model 126-5-02 Saddle Box - Steel, Full Size, Standard, Black","<li>Fits: All full-size pickups with 6 1/2&#39; and 8&#39; foot beds</li><li>Fits: Toyota Tunda short bed</li><li>Included: Powder coated steel divider tray</li><li>EXTREME PROTECTION? Lock</li><li>90? cover opening for easy access</li><li>Level storage secures 48&quot; level</li><li>12v access for electrical up-fits</li><li>Features black Armor-Tuf powder coat finish</li>","Model 126-5-02 Saddle Box - Steel, Full Size, Standard, Black","","Weather Guard Model 126-5-02 Saddle Box - Steel, Full Size, Standard, Black","Model Saddle Box - Steel, Full Size, Standard, Black",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
