store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"29187","SandBlasting",517340,"41A",,"Airline Filters 41A","Bullard Airline Filters","Airline Filters 41A","",/\4\1\bullard-41a-airline-filters-41a.jpg,/\4\1\bullard-41a-airline-filters-41a.jpg,http://www.48ws.com/images/product/4/1/bullard-41a-airline-filters-41a.jpg,bullard-41A-airline-filters-41a,bullard-41A-airline-filters-41a,,No layout updates.,Block after Info Column,,"Airline Filters 41A","Airline Filters 41A",Use config,"http://www.bullard.com/V3/products/respiratory/Filtration/Airline_Filters",0,,,0,"Bullard",1683,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bullard 41 Series airline filters can be used in conjunction with other compressor safeguards to supply cleaner air to airline respirators. Seven layer filtration media effectively traps water, oil, particulates, odors, and organic vapors so that cleaner air can be delivered to workers or equipment. Carded cotton, felt material, activated charcoal and activated alumina work in sequence for air filtration. The 41 Series airline filters can help deliver air for up to six workers.

The Bullard 41 Series Airline Filters include the 41A (single outlet), 41P2 (two-outlets), 41P6 (six-outlets), 41P6WM (six-outlets and wall mountable) and now the 41P2WM. The 41 Series Filters are Heavy Duty, Lightweight, Portable and Versatile","","Heavy duty, steel housing withstands rugged industrial environments
Available in two outlet and six outlet models for respirator use and single outlet model for non-respirator use
Offers easy portability, weighing approximately 23 pounds (10.5 kg)","","","Airline Filters 41A",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29187","SandBlasting",517341,"41P2",,"Airline Filters 41P2","Bullard Airline Filters","Airline Filters 41P2","",/\4\1\bullard-41p2-airline-filters-41p2.jpg,/\4\1\bullard-41p2-airline-filters-41p2.jpg,http://www.48ws.com/images/product/4/1/bullard-41p2-airline-filters-41p2.jpg,bullard-41P2-airline-filters-41p2,bullard-41P2-airline-filters-41p2,,No layout updates.,Block after Info Column,,"Airline Filters 41P2","Airline Filters 41P2",Use config,"http://www.bullard.com/V3/products/respiratory/Filtration/Airline_Filters",0,,,0,"Bullard",1683,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bullard 41 Series airline filters can be used in conjunction with other compressor safeguards to supply cleaner air to airline respirators. Seven layer filtration media effectively traps water, oil, particulates, odors, and organic vapors so that cleaner air can be delivered to workers or equipment. Carded cotton, felt material, activated charcoal and activated alumina work in sequence for air filtration. The 41 Series airline filters can help deliver air for up to six workers.

The Bullard 41 Series Airline Filters include the 41A (single outlet), 41P2 (two-outlets), 41P6 (six-outlets), 41P6WM (six-outlets and wall mountable) and now the 41P2WM. The 41 Series Filters are Heavy Duty, Lightweight, Portable and Versatile","","Heavy duty, steel housing withstands rugged industrial environments
Available in two outlet and six outlet models for respirator use and single outlet model for non-respirator use
Offers easy portability, weighing approximately 23 pounds (10.5 kg)","","","Airline Filters 41P2",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29187","SandBlasting",517342,"41P2WM",,"Airline Filters 41P2WM","Bullard Airline Filters","Airline Filters 41P2WM","",/\4\1\bullard-41p2wm-airline-filters-41p2wm.jpg,/\4\1\bullard-41p2wm-airline-filters-41p2wm.jpg,http://www.48ws.com/images/product/4/1/bullard-41p2wm-airline-filters-41p2wm.jpg,bullard-41P2WM-airline-filters-41p2wm,bullard-41P2WM-airline-filters-41p2wm,,No layout updates.,Block after Info Column,,"Airline Filters 41P2WM","Airline Filters 41P2WM",Use config,"http://www.bullard.com/V3/products/respiratory/Filtration/Airline_Filters",0,,,0,"Bullard",1683,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bullard 41 Series airline filters can be used in conjunction with other compressor safeguards to supply cleaner air to airline respirators. Seven layer filtration media effectively traps water, oil, particulates, odors, and organic vapors so that cleaner air can be delivered to workers or equipment. Carded cotton, felt material, activated charcoal and activated alumina work in sequence for air filtration. The 41 Series airline filters can help deliver air for up to six workers.

The Bullard 41 Series Airline Filters include the 41A (single outlet), 41P2 (two-outlets), 41P6 (six-outlets), 41P6WM (six-outlets and wall mountable) and now the 41P2WM. The 41 Series Filters are Heavy Duty, Lightweight, Portable and Versatile","","Heavy duty, steel housing withstands rugged industrial environments
Available in two outlet and six outlet models for respirator use and single outlet model for non-respirator use
Offers easy portability, weighing approximately 23 pounds (10.5 kg)","","","Airline Filters 41P2WM",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29187","SandBlasting",517343,"41P6",,"Airline Filters 41P6","Bullard Airline Filters","Airline Filters 41P6","",/\4\1\bullard-41p6-airline-filters-41p6.jpg,/\4\1\bullard-41p6-airline-filters-41p6.jpg,http://www.48ws.com/images/product/4/1/bullard-41p6-airline-filters-41p6.jpg,bullard-41P6-airline-filters-41p6,bullard-41P6-airline-filters-41p6,,No layout updates.,Block after Info Column,,"Airline Filters 41P6","Airline Filters 41P6",Use config,"http://www.bullard.com/V3/products/respiratory/Filtration/Airline_Filters",0,,,0,"Bullard",1683,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bullard 41 Series airline filters can be used in conjunction with other compressor safeguards to supply cleaner air to airline respirators. Seven layer filtration media effectively traps water, oil, particulates, odors, and organic vapors so that cleaner air can be delivered to workers or equipment. Carded cotton, felt material, activated charcoal and activated alumina work in sequence for air filtration. The 41 Series airline filters can help deliver air for up to six workers.

The Bullard 41 Series Airline Filters include the 41A (single outlet), 41P2 (two-outlets), 41P6 (six-outlets), 41P6WM (six-outlets and wall mountable) and now the 41P2WM. The 41 Series Filters are Heavy Duty, Lightweight, Portable and Versatile","","Heavy duty, steel housing withstands rugged industrial environments
Available in two outlet and six outlet models for respirator use and single outlet model for non-respirator use
Offers easy portability, weighing approximately 23 pounds (10.5 kg)","","","Airline Filters 41P6",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29187","SandBlasting",517344,"41P6WM",,"Airline Filters 41P6WM","Bullard Airline Filters","Airline Filters 41P6WM","",/\4\1\bullard-41p6wm-airline-filters-41p6wm.jpg,/\4\1\bullard-41p6wm-airline-filters-41p6wm.jpg,http://www.48ws.com/images/product/4/1/bullard-41p6wm-airline-filters-41p6wm.jpg,bullard-41P6WM-airline-filters-41p6wm,bullard-41P6WM-airline-filters-41p6wm,,No layout updates.,Block after Info Column,,"Airline Filters 41P6WM","Airline Filters 41P6WM",Use config,"http://www.bullard.com/V3/products/respiratory/Filtration/Airline_Filters",0,,,0,"Bullard",1683,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bullard 41 Series airline filters can be used in conjunction with other compressor safeguards to supply cleaner air to airline respirators. Seven layer filtration media effectively traps water, oil, particulates, odors, and organic vapors so that cleaner air can be delivered to workers or equipment. Carded cotton, felt material, activated charcoal and activated alumina work in sequence for air filtration. The 41 Series airline filters can help deliver air for up to six workers.

The Bullard 41 Series Airline Filters include the 41A (single outlet), 41P2 (two-outlets), 41P6 (six-outlets), 41P6WM (six-outlets and wall mountable) and now the 41P2WM. The 41 Series Filters are Heavy Duty, Lightweight, Portable and Versatile","","Heavy duty, steel housing withstands rugged industrial environments
Available in two outlet and six outlet models for respirator use and single outlet model for non-respirator use
Offers easy portability, weighing approximately 23 pounds (10.5 kg)","","","Airline Filters 41P6WM",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29187","SandBlasting",517345,"88VX",,"88VX Series Airline Respirator","","88VX Series Airline Respirator","",/\8\8\bullard-88vx-88vx-series-airline-respirator.jpg,/\8\8\bullard-88vx-88vx-series-airline-respirator.jpg,http://www.48ws.com/images/product/8/8/bullard-88vx-88vx-series-airline-respirator.jpg,bullard-88VX-88vx-series-airline-respirator,bullard-88VX-88vx-series-airline-respirator,,No layout updates.,Block after Info Column,,"88VX Series Airline Respirator","88VX Series Airline Respirator",Use config,"http://www.bullard.com/V3/products/respiratory/Supplied_Air/88VX",0,,,0,"Bullard",1683,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The Bullard 88VX Series airline respirators offer advancements in comfort and reliable respiratory protection for abrasive blasters and painters. The 88VX Respirator is NIOSH approved as a Type C and CE Continuous Flow Class Respirator (Approval No. TC-19C-293).","","Comfortable Fit

Lightweight inner shell with an adjustable headband suspension
Airflow is channeled directly to the user's breathing zone
No fit testing required
Optional cheek pads for increased stability  NEW 
Head Protection

Helmet provides top impact and penetration protection
Helmet and cape help protect the worker's entire head, face, and upper body from abrasive rebound, airborne contaminants and messy overspray
Optimum Visibility

Wide-angle faceshield lens
Translucent yellow helmet prevents closed-in feeling among workers
Optional tinted lenses provide protection from the sun","","","88VX Series Airline Respirator",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25842","Hard Hats",517346,"911C",,"Helmet for High Heat Environment","Helmet for High Heat Environment","Helmet for High Heat Environment","",/\9\1\bullard-911c-helmet-for-high-heat-environment.jpg,/\9\1\bullard-911c-helmet-for-high-heat-environment.jpg,http://www.48ws.com/images/product/9/1/bullard-911c-helmet-for-high-heat-environment.jpg,bullard-911C-helmet-for-high-heat-environment,bullard-911C-helmet-for-high-heat-environment,,No layout updates.,Block after Info Column,,"Helmet for High Heat Environment","Helmet for High Heat Environment",Use config,"http://www.bullard.com/V3/products/head_face/head_protection/special_app/",0,,,0,"Bullard",1683,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"To meet the demands of high heat environments, Bullard produces the 911 Series of hats and caps in technologically advanced thermoplastic materials. In fact, these helmets are molded in the same grade of material used in the Bullard Wildland firefighting helmets. The 911 Series meets the ANSI/ISEA Z89.1 Type I, Class E and G standard for head protection.

Constructed from the same materials as our rugged firefighter helmets
Ideal for utilities, welding, foundries and steel mills
Available in full brim (911H) or cap style (911C)
Available with Flex-Gear® ratchet sizing or standard six-point suspensions for comfort and convenience","","Features:
6-point suspension
Replaceable, moisture wicking Sportek® brow pad
1” wide nylon crown straps","","","Helmet for High Heat Environment",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25842","Hard Hats",517347,"911H",,"Helmet for High Heat Environment","Helmet for High Heat Environment","Helmet for High Heat Environment","",/\9\1\bullard-911h-helmet-for-high-heat-environment.jpg,/\9\1\bullard-911h-helmet-for-high-heat-environment.jpg,http://www.48ws.com/images/product/9/1/bullard-911h-helmet-for-high-heat-environment.jpg,bullard-911H-helmet-for-high-heat-environment,bullard-911H-helmet-for-high-heat-environment,,No layout updates.,Block after Info Column,,"Helmet for High Heat Environment","Helmet for High Heat Environment",Use config,"http://www.bullard.com/V3/products/head_face/head_protection/special_app/",0,,,0,"Bullard",1683,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"To meet the demands of high heat environments, Bullard produces the 911 Series of hats and caps in technologically advanced thermoplastic materials. In fact, these helmets are molded in the same grade of material used in the Bullard Wildland firefighting helmets. The 911 Series meets the ANSI/ISEA Z89.1 Type I, Class E and G standard for head protection.

Constructed from the same materials as our rugged firefighter helmets
Ideal for utilities, welding, foundries and steel mills
Available in full brim (911H) or cap style (911C)
Available with Flex-Gear® ratchet sizing or standard six-point suspensions for comfort and convenience","","Features:
6-point suspension
Replaceable, moisture wicking Sportek® brow pad
1” wide nylon crown straps","","","Helmet for High Heat Environment",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29187","SandBlasting",517348,"A1",,"Advent Series Head Protection","Advanced Series Head Protection","Advent Series Head Protection","",/\A\1\bullard-a1-advent-series-head-protection.jpg,/\A\1\bullard-a1-advent-series-head-protection.jpg,http://www.48ws.com/images/product/A/1/bullard-a1-advent-series-head-protection.jpg,bullard-A1-advent-series-head-protection,bullard-A1-advent-series-head-protection,,No layout updates.,Block after Info Column,,"Advent Series Head Protection","Advent Series Head Protection",Use config,"http://www.bullard.com/V3/products/head_face/head_protection/advanced/",0,,,0,"Bullard",1683,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Advent is designed especially for industries such as forestry, oil and gas drilling, emergency rescue, and others where there is high risk or lateral and overhead impacts, including those resulting from falls. Advent’s revolutionary design meets or exceeds current head protection standards for ANSI/ISEA Z89.1, Type II, E and G.

Cap-style helmet
Thermoplastic outer shell
Provides impact and penetration protection from all directions: top, front, sides and rear
No rear brim
Flex-Gear® ratchet headband for quick sizing and secure fit
Accepts variety of accessories including faceshields and hearing protectors
Ventilation channels molded into helmet","","Features:
8-point suspension
Replaceable pillowed brow pad
Comfortable crown pad
2-point permanently attached chinstrap with quick-release buckle (Model A1)
3-point permanently attached cradle chinstrap with quick-release buckle (Model A2)","","","Advent Series Head Protection",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29187","SandBlasting",517349,"A2",,"Advent Series Head Protection","Advanced Series Head Protection","Advent Series Head Protection","",/\A\2\bullard-a2-advent-series-head-protection.jpg,/\A\2\bullard-a2-advent-series-head-protection.jpg,http://www.48ws.com/images/product/A/2/bullard-a2-advent-series-head-protection.jpg,bullard-A2-advent-series-head-protection,bullard-A2-advent-series-head-protection,,No layout updates.,Block after Info Column,,"Advent Series Head Protection","Advent Series Head Protection",Use config,"http://www.bullard.com/V3/products/head_face/head_protection/advanced/",0,,,0,"Bullard",1683,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Advent is designed especially for industries such as forestry, oil and gas drilling, emergency rescue, and others where there is high risk or lateral and overhead impacts, including those resulting from falls. Advent’s revolutionary design meets or exceeds current head protection standards for ANSI/ISEA Z89.1, Type II, E and G.

Cap-style helmet
Thermoplastic outer shell
Provides impact and penetration protection from all directions: top, front, sides and rear
No rear brim
Flex-Gear® ratchet headband for quick sizing and secure fit
Accepts variety of accessories including faceshields and hearing protectors
Ventilation channels molded into helmet","","Features:
8-point suspension
Replaceable pillowed brow pad
Comfortable crown pad
2-point permanently attached chinstrap with quick-release buckle (Model A1)
3-point permanently attached cradle chinstrap with quick-release buckle (Model A2)","","","Advent Series Head Protection",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25842","Hard Hats",517350,"Advent",,"Helmet","","Helmet","",/\A\d\bullard-advent-helmet.jpg,/\A\d\bullard-advent-helmet.jpg,http://www.48ws.com/images/product/A/d/bullard-advent-helmet.jpg,bullard-Advent-helmet,bullard-Advent-helmet,,No layout updates.,Block after Info Column,,"Helmet","Helmet",Use config,"http://www.bullard.com/V3/products/fire_service/USAR/Advent",0,,,0,"Bullard",1683,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Head protection for rescue and emergency medical operations requires special equipment designed for applications such as confined space access, high angle rope rescue and vehicle extrication. The Advent helmets from Bullard feature a compact profile that improves freedom of movement while providing impact protection from the top, front, side and rear. Available in two models","","","","","Helmet",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25639","Faceshield Headgear",517351,"BFP",,"Bullard Face Protection Made from Tritan™","","Bullard Face Protection Made from Tritan™","",/\B\F\bullard-bfp-bullard-face-protection-made-from-tritan.jpg,/\B\F\bullard-bfp-bullard-face-protection-made-from-tritan.jpg,http://www.48ws.com/images/product/B/F/bullard-bfp-bullard-face-protection-made-from-tritan.jpg,bullard-BFP-bullard-face-protection-made-from-tritan,bullard-BFP-bullard-face-protection-made-from-tritan,,No layout updates.,Block after Info Column,,"Bullard Face Protection Made from Tritan™","Bullard Face Protection Made from Tritan™",Use config,"http://www.bullard.com/V3/products/head_face/face_protection/tritan/",0,,,0,"Bullard",1683,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Impact Protection and Chemical Resistance in one Faceshield... Only from Bullard
A leader in safety innovations for more than a century, Bullard is proud to feature Eastman Tritan™ copolyester in its line of face protection products. Products made from Tritan copolyester are impact- and chemical-resistant... Double the protection in one faceshield. ","TOUGH
Impact-resistance
Shatter-resistant
Reliable clarity

DURABLE
Chemical-resistant
Stain-resistant
High-temperature resistant

SUSTAINABILITY
Unique chemistry
Bisphenol A (BPA) free
Estrogenic Activity (EA) free

APPLICATIONS
Refineries
Laboratories
G","","","","Bullard Face Protection Made from Tritan™",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25842","Hard Hats",517352,"C30",,"Classic Series Hard Hats","Bullard Classic Series Hard Hats","Classic Series Hard Hats","",/\C\3\bullard-c30-classic-series-hard-hats.jpg,/\C\3\bullard-c30-classic-series-hard-hats.jpg,http://www.48ws.com/images/product/C/3/bullard-c30-classic-series-hard-hats.jpg,bullard-C30-classic-series-hard-hats,bullard-C30-classic-series-hard-hats,,No layout updates.,Block after Info Column,,"Classic Series Hard Hats","Classic Series Hard Hats",Use config,"http://www.bullard.com/V3/products/head_face/head_protection/Classic/",0,,,0,"Bullard",1683,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The Classic is all about comfort, without sacrificing safety. Featuring a comfortable six-point suspension, the Classic Series exceeds ANSI/ISEA Z89.1, Type 1, Class E & G requirements. Models C30 and C33 also meet CSA Z94.1-2005, Type I, Class E & G requirements.

Our most popular hat
Available in full-brim and cap styles
Wider profile helps protect against sun exposure, rain, snow and dust
Your logo can be applied in any of eight different locations
Easy to adjust Flex-Gear® ratchet sizing or standard suspensions available
Ideal for most applications
Accessory slots accept a wide variety of attachments
Suspension snaps in with an audible click - users know it’s assembled correctly
Front, side and rear vertical height adjustments
2-year warranty, longest in the industry","","Features:
6-point suspension
Pillowed brow pad
1” wide seamless nylon crown straps
Front and rear vertical height adjustments","","","Classic Series Hard Hats",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25841","Hard Hat Suspensions",517353,"C30P",,"Replacement Pinlock for Model C30","Replacement Hard Hat 6-Point Pinlock Suspensions","Replacement Pinlock for Model C30","",/\C\3\bullard-c30p-replacement-pinlock-for-model-c30.jpg,/\C\3\bullard-c30p-replacement-pinlock-for-model-c30.jpg,http://www.48ws.com/images/product/C/3/bullard-c30p-replacement-pinlock-for-model-c30.jpg,bullard-C30P-replacement-pinlock-for-model-c30,bullard-C30P-replacement-pinlock-for-model-c30,,No layout updates.,Block after Info Column,,"Replacement Pinlock for Model C30","Replacement Pinlock for Model C30",Use config,"http://www.bullard.com/V3/products/head_face/head_protection/accessories/",0,,,0,"Bullard",1683,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"6-point self-sizing suspension
Large, absorbent cotton brow pad
Vertical height adjustments (two front, three rear)
Replacement brow pads available","","","","","Replacement Pinlock for Model C30",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25841","Hard Hat Suspensions",517354,"C30R",,"Replacement Rachet for Model C30","Replacement Hard Hat 6-Point Flex-Gear Rachet Suspensions","Replacement Rachet for Model C30","",/\C\3\bullard-c30r-replacement-rachet-for-model-c30.jpg,/\C\3\bullard-c30r-replacement-rachet-for-model-c30.jpg,http://www.48ws.com/images/product/C/3/bullard-c30r-replacement-rachet-for-model-c30.jpg,bullard-C30R-replacement-rachet-for-model-c30,bullard-C30R-replacement-rachet-for-model-c30,,No layout updates.,Block after Info Column,,"Replacement Rachet for Model C30","Replacement Rachet for Model C30",Use config,"http://www.bullard.com/V3/products/head_face/head_protection/accessories/",0,,,0,"Bullard",1683,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"6-point Flex-Gear® suspension
Flex points and nape cushion
Large, easy-to-turn ratchet knob
Large, absorbent cotton brow pad
Vertical height adjustments (two front, three rear)
Replacement brow pads available","","","","","Replacement Rachet for Model C30",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25842","Hard Hats",517355,"C33",,"Classic Series Hard Hats","Bullard Classic Series Hard Hats","Classic Series Hard Hats","",/\C\3\bullard-c33-classic-series-hard-hats.jpg,/\C\3\bullard-c33-classic-series-hard-hats.jpg,http://www.48ws.com/images/product/C/3/bullard-c33-classic-series-hard-hats.jpg,bullard-C33-classic-series-hard-hats,bullard-C33-classic-series-hard-hats,,No layout updates.,Block after Info Column,,"Classic Series Hard Hats","Classic Series Hard Hats",Use config,"http://www.bullard.com/V3/products/head_face/head_protection/Classic/",0,,,0,"Bullard",1683,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"The Classic is all about comfort, without sacrificing safety. Featuring a comfortable six-point suspension, the Classic Series exceeds ANSI/ISEA Z89.1, Type 1, Class E & G requirements. Models C30 and C33 also meet CSA Z94.1-2005, Type I, Class E & G requirements.

Our most popular hat
Available in full-brim and cap styles
Wider profile helps protect against sun exposure, rain, snow and dust
Your logo can be applied in any of eight different locations
Easy to adjust Flex-Gear® ratchet sizing or standard suspensions available
Ideal for most applications
Accessory slots accept a wide variety of attachments
Suspension snaps in with an audible click - users know it’s assembled correctly
Front, side and rear vertical height adjustments
2-year warranty, longest in the industry","","Features:
6-point suspension
Pillowed brow pad
1” wide seamless nylon crown straps
Front and rear vertical height adjustments","","","Classic Series Hard Hats",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25841","Hard Hat Suspensions",517356,"C33P",,"Replacement Pinlock for Model C33","Replacement Hard Hat 6-Point Pinlock Suspensions","Replacement Pinlock for Model C33","",/\C\3\bullard-c33p-replacement-pinlock-for-model-c33.jpg,/\C\3\bullard-c33p-replacement-pinlock-for-model-c33.jpg,http://www.48ws.com/images/product/C/3/bullard-c33p-replacement-pinlock-for-model-c33.jpg,bullard-C33P-replacement-pinlock-for-model-c33,bullard-C33P-replacement-pinlock-for-model-c33,,No layout updates.,Block after Info Column,,"Replacement Pinlock for Model C33","Replacement Pinlock for Model C33",Use config,"http://www.bullard.com/V3/products/head_face/head_protection/accessories/",0,,,0,"Bullard",1683,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"6-point self-sizing suspension
Large, absorbent cotton brow pad
Vertical height adjustments (two front, three rear)
Replacement brow pads available","","","","","Replacement Pinlock for Model C33",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25841","Hard Hat Suspensions",517357,"C33R",,"Replacement Rachet for Model C33","Replacement Hard Hat 6-Point Flex-Gear Rachet Suspensions","Replacement Rachet for Model C33","",/\C\3\bullard-c33r-replacement-rachet-for-model-c33.jpg,/\C\3\bullard-c33r-replacement-rachet-for-model-c33.jpg,http://www.48ws.com/images/product/C/3/bullard-c33r-replacement-rachet-for-model-c33.jpg,bullard-C33R-replacement-rachet-for-model-c33,bullard-C33R-replacement-rachet-for-model-c33,,No layout updates.,Block after Info Column,,"Replacement Rachet for Model C33","Replacement Rachet for Model C33",Use config,"http://www.bullard.com/V3/products/head_face/head_protection/accessories/",0,,,0,"Bullard",1683,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"6-point Flex-Gear® suspension
Flex points and nape cushion
Large, easy-to-turn ratchet knob
Large, absorbent cotton brow pad
Vertical height adjustments (two front, three rear)
Replacement brow pads available","","","","","Replacement Rachet for Model C33",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25841","Hard Hat Suspensions",517358,"C34P",,"Replacement Pinlock for Model C34","Replacement Hard Hat 6-Point Pinlock Suspensions","Replacement Pinlock for Model C34","",/\C\3\bullard-c34p-replacement-pinlock-for-model-c34.jpg,/\C\3\bullard-c34p-replacement-pinlock-for-model-c34.jpg,http://www.48ws.com/images/product/C/3/bullard-c34p-replacement-pinlock-for-model-c34.jpg,bullard-C34P-replacement-pinlock-for-model-c34,bullard-C34P-replacement-pinlock-for-model-c34,,No layout updates.,Block after Info Column,,"Replacement Pinlock for Model C34","Replacement Pinlock for Model C34",Use config,"http://www.bullard.com/V3/products/head_face/head_protection/accessories/",0,,,0,"Bullard",1683,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"6-point self-sizing suspension
Large, absorbent cotton brow pad
Vertical height adjustments (two front, three rear)
Replacement brow pads available","","","","","Replacement Pinlock for Model C34",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25841","Hard Hat Suspensions",517359,"C34R",,"Replacement Rachet for Model C34","Replacement Hard Hat 6-Point Flex-Gear Rachet Suspensions","Replacement Rachet for Model C34","",/\C\3\bullard-c34r-replacement-rachet-for-model-c34.jpg,/\C\3\bullard-c34r-replacement-rachet-for-model-c34.jpg,http://www.48ws.com/images/product/C/3/bullard-c34r-replacement-rachet-for-model-c34.jpg,bullard-C34R-replacement-rachet-for-model-c34,bullard-C34R-replacement-rachet-for-model-c34,,No layout updates.,Block after Info Column,,"Replacement Rachet for Model C34","Replacement Rachet for Model C34",Use config,"http://www.bullard.com/V3/products/head_face/head_protection/accessories/",0,,,0,"Bullard",1683,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"6-point Flex-Gear® suspension
Flex points and nape cushion
Large, easy-to-turn ratchet knob
Large, absorbent cotton brow pad
Vertical height adjustments (two front, three rear)
Replacement brow pads available","","","","","Replacement Rachet for Model C34",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
