store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"239|25829","Welding Gloves|Welding Gloves",139036,"850",,"Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850","",/\8\5\Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,/\8\5\Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,http://www.48ws.com/images/product/8/5/Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,850-Revco-Industries-Inc-Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing-850,850-Revco-Industries-Inc-Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing-850,,No layout updates.,Block after Info Column,,"Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850",Use config,"http://www.revcoindustries.com/catalog/product_info.php?products_id=430",0,,,0,"Revco Industries, Inc.",1032,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>The ultimate in comfort and protection</li>
<li>Supple yet durable elkskin leather</li>
<li>Reversed grain palm for added dexterity </li>
<li>Flame-resistant Nomex lining on the back</li>
<li>Specially tanned cowhide rigid cuff </li>
<li>Stitched with flame-resistant Kevlar</li>
<li>Size: S-XL</li>
","","","Small","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"239|25829","Welding Gloves|Welding Gloves",139037,"280",,"Standard Split Cowhide Stick Welding Gloves 280","","Standard Split Cowhide Stick Welding Gloves 280","",/\2\8\Standard-Split-Cowhide-Stick-Welding-Gloves.jpg,/\2\8\Standard-Split-Cowhide-Stick-Welding-Gloves.jpg,http://www.48ws.com/images/product/2/8/Standard-Split-Cowhide-Stick-Welding-Gloves.jpg,280-Revco-Industries-Inc-Standard-Split-Cowhide-Stick-Welding-Gloves-280,280-Revco-Industries-Inc-Standard-Split-Cowhide-Stick-Welding-Gloves-280,,No layout updates.,Block after Info Column,,"Standard Split Cowhide Stick Welding Gloves 280","Standard Split Cowhide Stick Welding Gloves 280",Use config,"http://www.revcoindustries.com/catalog/product_info.php?products_id=331",0,,,0,"Revco Industries, Inc.",1032,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Consistent quality and value</li>
<li>Natural wing thumb design</li>
<li>Extra cushioned insulative lining</li>
<li>Palm strap reinforcement</li>
<li>Stitched with flame-resistant Kevlar</li>
<li>Size: Large</li><br>
","","","Standard Split Cowhide Stick Welding Gloves 280","Standard Split Cowhide Stick Welding Gloves 280",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"239|25829","Welding Gloves|Welding Gloves",139038,"750",,"Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750","",/\7\5\Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,/\7\5\Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,http://www.48ws.com/images/product/7/5/Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,750-Revco-Industries-Inc-Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing-750,750-Revco-Industries-Inc-Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing-750,,No layout updates.,Block after Info Column,,"Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750",Use config,"http://www.revcoindustries.com/catalog/product_info.php?products_id=311",0,,,0,"Revco Industries, Inc.",1032,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>The ultimate in comfort and protection</li>
<li>Supple yet durable elkskin leather</li>
<li>Reversed grain palm for added dexterity</li>
<li>Flame-resistant Nomex lining on the back</li>
<li>Specially tanned cowhide rigid cuff</li>
<li>Stitched with flame-resistant Kevlar</li>
<li>Size: S-XL</li>
","","","Small","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"239|25829","Welding Gloves|Welding Gloves",139051,"850-1",,"Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850","",/\8\5\Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,/\8\5\Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,http://www.48ws.com/images/product/8/5/Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing,Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing,,No layout updates.,Block after Info Column,,"Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850",Use config,"http://www.revcoindustries.com/catalog/product_info.php?products_id=430",0,,,0,"Revco Industries, Inc.",1032,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Premium Grain Elkskin Stick Welding Gloves-Nomex Backing","<li>The ultimate in comfort and protection</li>
<li>Supple yet durable elkskin leather</li>
<li>Reversed grain palm for added dexterity </li>
<li>Flame-resistant Nomex lining on the back</li>
<li>Specially tanned cowhide rigid cuff </li>
<li>Stitched with flame-resistant Kevlar</li>
<li>Size: S-XL</li>
","","","Medium","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"239|25829","Welding Gloves|Welding Gloves",139052,"850-2",,"Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850","",/\8\5\Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,/\8\5\Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,http://www.48ws.com/images/product/8/5/Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing,Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing,,No layout updates.,Block after Info Column,,"Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850",Use config,"http://www.revcoindustries.com/catalog/product_info.php?products_id=430",0,,,0,"Revco Industries, Inc.",1032,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Premium Grain Elkskin Stick Welding Gloves-Nomex Backing","<li>The ultimate in comfort and protection</li>
<li>Supple yet durable elkskin leather</li>
<li>Reversed grain palm for added dexterity </li>
<li>Flame-resistant Nomex lining on the back</li>
<li>Specially tanned cowhide rigid cuff </li>
<li>Stitched with flame-resistant Kevlar</li>
<li>Size: S-XL</li>
","","","Large","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"239|25829","Welding Gloves|Welding Gloves",139053,"850-3",,"Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850","",/\8\5\Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,/\8\5\Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,http://www.48ws.com/images/product/8/5/Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing,Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing,,No layout updates.,Block after Info Column,,"Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850",Use config,"http://www.revcoindustries.com/catalog/product_info.php?products_id=430",0,,,0,"Revco Industries, Inc.",1032,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Premium Grain Elkskin Stick Welding Gloves-Nomex Backing","<li>The ultimate in comfort and protection</li>
<li>Supple yet durable elkskin leather</li>
<li>Reversed grain palm for added dexterity </li>
<li>Flame-resistant Nomex lining on the back</li>
<li>Specially tanned cowhide rigid cuff </li>
<li>Stitched with flame-resistant Kevlar</li>
<li>Size: S-XL</li>
","","","Extra-Large","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"239|25829","Welding Gloves|Welding Gloves",139055,"320",,"CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","",/\3\2\CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves.png,/\3\2\CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves.png,http://www.48ws.com/images/product/3/2/CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves.png,320-Revco-Industries-Inc-CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves-320,320-Revco-Industries-Inc-CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves-320,,No layout updates.,Block after Info Column,,"CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","CushionCore Quality Side Split Cowhide Stick Welding Gloves 320",Use config,"http://www.revcoindustries.com/catalog/product_info.php?products_id=301",0,,,0,"Revco Industries, Inc.",1032,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<LI>Favorite Among Professional Welders</LI>
<LI>Cushioncore Cushioned Glove Lining</LI>
<LI>Durable High-Grade Side Split Cowhide</LI>
<LI>Natural Wing Thumb Design, Welted Seams, And Palm And Thumb Area Reinforcements</LI>
<LI>Stitched With Flame-Resistant Kevlar</LI>
<LI>Size: S-2Xl</LI>
","","","Small","CushionCore Quality Side Split Cowhide Stick Welding Gloves 320",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"239|25829","Welding Gloves|Welding Gloves",139056,"750-1",,"Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750","",/\7\5\Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,/\7\5\Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,http://www.48ws.com/images/product/7/5/Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing-750,Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing-750,,No layout updates.,Block after Info Column,,"Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750",Use config,"http://www.revcoindustries.com/catalog/product_info.php?products_id=311",0,,,0,"Revco Industries, Inc.",1032,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750","<li>The ultimate in comfort and protection</li>
<li>Supple yet durable elkskin leather</li>
<li>Reversed grain palm for added dexterity</li>
<li>Flame-resistant Nomex lining on the back</li>
<li>Specially tanned cowhide rigid cuff</li>
<li>Stitched with flame-resistant Kevlar</li>
<li>Size: S-XL</li>
","","","Medium","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"239|25829","Welding Gloves|Welding Gloves",139057,"110",,"Standard Split Cowhide Stick Welding Gloves 110","Standard Split Cowhide Stick Welding Gloves 110","Standard Split Cowhide Stick Welding Gloves 110","",/\1\1\Standard-Split-Cowhide-Stick-Welding-Gloves.jpg,/\1\1\Standard-Split-Cowhide-Stick-Welding-Gloves.jpg,http://www.48ws.com/images/product/1/1/Standard-Split-Cowhide-Stick-Welding-Gloves.jpg,110-Revco-Industries-Inc-Standard-Split-Cowhide-Stick-Welding-Gloves-110,110-Revco-Industries-Inc-Standard-Split-Cowhide-Stick-Welding-Gloves-110,,No layout updates.,Block after Info Column,,"Standard Split Cowhide Stick Welding Gloves 110","Standard Split Cowhide Stick Welding Gloves 110",Use config,"http://www.revcoindustries.com/catalog/product_info.php?products_id=327",0,,,0,"Revco Industries, Inc.",1032,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Good-old dependable standard protection</li>
<li>Reliable consistent quality cowhide</li>
<li>Fully sock lined for comfort</li>
<li>Thumb strap style reinforcement</li>
<li>Spark-resisting welt on seams</li>
<li>Stitched with flame-resistant Kevlar</li>
<li>Size: S-XL</li><br>
","","","Small","Standard Split Cowhide Stick Welding Gloves 110",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"239|25829","Welding Gloves|Welding Gloves",139063,"320-1",,"CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","",/\3\2\CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves.png,/\3\2\CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves.png,http://www.48ws.com/images/product/3/2/CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves.png,CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves-320,CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves-320,,No layout updates.,Block after Info Column,,"CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","CushionCore Quality Side Split Cowhide Stick Welding Gloves 320",Use config,"http://www.revcoindustries.com/catalog/product_info.php?products_id=301",0,,,0,"Revco Industries, Inc.",1032,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","<LI>Favorite Among Professional Welders</LI>
<LI>Cushioncore Cushioned Glove Lining</LI>
<LI>Durable High-Grade Side Split Cowhide</LI>
<LI>Natural Wing Thumb Design, Welted Seams, And Palm And Thumb Area Reinforcements</LI>
<LI>Stitched With Flame-Resistant Kevlar</LI>
<LI>Size: S-2Xl</LI>
","","","Medium","CushionCore Quality Side Split Cowhide Stick Welding Gloves 320",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"239|25829","Welding Gloves|Welding Gloves",139066,"320-2",,"CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","",/\3\2\CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves.png,/\3\2\CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves.png,http://www.48ws.com/images/product/3/2/CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves.png,CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves-320,CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves-320,,No layout updates.,Block after Info Column,,"CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","CushionCore Quality Side Split Cowhide Stick Welding Gloves 320",Use config,"http://www.revcoindustries.com/catalog/product_info.php?products_id=301",0,,,0,"Revco Industries, Inc.",1032,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","<LI>Favorite Among Professional Welders</LI>
<LI>Cushioncore Cushioned Glove Lining</LI>
<LI>Durable High-Grade Side Split Cowhide</LI>
<LI>Natural Wing Thumb Design, Welted Seams, And Palm And Thumb Area Reinforcements</LI>
<LI>Stitched With Flame-Resistant Kevlar</LI>
<LI>Size: S-2Xl</LI>
","","","Large","CushionCore Quality Side Split Cowhide Stick Welding Gloves 320",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"239|25829","Welding Gloves|Welding Gloves",139068,"320-3",,"CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","",/\3\2\CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves.png,/\3\2\CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves.png,http://www.48ws.com/images/product/3/2/CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves.png,CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves-320,CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves-320,,No layout updates.,Block after Info Column,,"CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","CushionCore Quality Side Split Cowhide Stick Welding Gloves 320",Use config,"http://www.revcoindustries.com/catalog/product_info.php?products_id=301",0,,,0,"Revco Industries, Inc.",1032,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","<LI>Favorite Among Professional Welders</LI>
<LI>Cushioncore Cushioned Glove Lining</LI>
<LI>Durable High-Grade Side Split Cowhide</LI>
<LI>Natural Wing Thumb Design, Welted Seams, And Palm And Thumb Area Reinforcements</LI>
<LI>Stitched With Flame-Resistant Kevlar</LI>
<LI>Size: S-2Xl</LI>
","","","X-Large","CushionCore Quality Side Split Cowhide Stick Welding Gloves 320",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"239|25829","Welding Gloves|Welding Gloves",139069,"750-2",,"Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750","",/\7\5\Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,/\7\5\Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,http://www.48ws.com/images/product/7/5/Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing-750,Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing-750,,No layout updates.,Block after Info Column,,"Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750",Use config,"http://www.revcoindustries.com/catalog/product_info.php?products_id=311",0,,,0,"Revco Industries, Inc.",1032,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750","<li>The ultimate in comfort and protection</li>
<li>Supple yet durable elkskin leather</li>
<li>Reversed grain palm for added dexterity</li>
<li>Flame-resistant Nomex lining on the back</li>
<li>Specially tanned cowhide rigid cuff</li>
<li>Stitched with flame-resistant Kevlar</li>
<li>Size: S-XL</li>
","","","Large","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"239|25829","Welding Gloves|Welding Gloves",139070,"320-4",,"CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","",/\3\2\CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves.png,/\3\2\CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves.png,http://www.48ws.com/images/product/3/2/CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves.png,CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves-320,CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves-320,,No layout updates.,Block after Info Column,,"CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","CushionCore Quality Side Split Cowhide Stick Welding Gloves 320",Use config,"http://www.revcoindustries.com/catalog/product_info.php?products_id=301",0,,,0,"Revco Industries, Inc.",1032,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"CushionCore Quality Side Split Cowhide Stick Welding Gloves 320","<LI>Favorite Among Professional Welders</LI>
<LI>Cushioncore Cushioned Glove Lining</LI>
<LI>Durable High-Grade Side Split Cowhide</LI>
<LI>Natural Wing Thumb Design, Welted Seams, And Palm And Thumb Area Reinforcements</LI>
<LI>Stitched With Flame-Resistant Kevlar</LI>
<LI>Size: S-2Xl</LI>
","","","XX-Large","CushionCore Quality Side Split Cowhide Stick Welding Gloves 320",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"239|25829","Welding Gloves|Welding Gloves",139071,"750-3",,"Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750","",/\7\5\Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,/\7\5\Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,http://www.48ws.com/images/product/7/5/Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing-750,Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing-750,,No layout updates.,Block after Info Column,,"Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750",Use config,"http://www.revcoindustries.com/catalog/product_info.php?products_id=311",0,,,0,"Revco Industries, Inc.",1032,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750","<li>The ultimate in comfort and protection</li>
<li>Supple yet durable elkskin leather</li>
<li>Reversed grain palm for added dexterity</li>
<li>Flame-resistant Nomex lining on the back</li>
<li>Specially tanned cowhide rigid cuff</li>
<li>Stitched with flame-resistant Kevlar</li>
<li>Size: S-XL</li>
","","","Extra Large","Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26670","Soldering Accessories",139072,"580AF",,"FluxGuard Aluminized Fiberglass Deflector Pad 580AF","","FluxGuard Aluminized Fiberglass Deflector Pad 580AF","",/\5\8\FluxGuard-Aluminized-Fiberglass-Deflector-Pad.jpg,/\5\8\FluxGuard-Aluminized-Fiberglass-Deflector-Pad.jpg,http://www.48ws.com/images/product/5/8/FluxGuard-Aluminized-Fiberglass-Deflector-Pad.jpg,revco-industries-inc-580AF-,revco-industries-inc-580AF-,,No layout updates.,Block after Info Column,,"FluxGuard Aluminized Fiberglass Deflector Pad 580AF","FluxGuard Aluminized Fiberglass Deflector Pad 580AF",Use config,"http://www.revcoindustries.com/catalog/product_info.php?products_id=319",0,,,0,"Revco Industries, Inc.",1032,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<li>Fiberglass layer offers good additional protection against sparks and heat</li>
<li>Designed exclusively for InterSnap 580</li>
<li>Premium Welding Glove</li>
<li>Helps extend the life of the glove</li>
<li>Stitched with flame-resistant Kevlar</li>
<li>Size: One Size</li>
","","","FluxGuard Aluminized Fiberglass Deflector Pad 580AF","FluxGuard Aluminized Fiberglass Deflector Pad 580AF",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"239|25829","Welding Gloves|Welding Gloves",139073,"110-1",,"Standard Split Cowhide Stick Welding Gloves 110","Standard Split Cowhide Stick Welding Gloves 110","Standard Split Cowhide Stick Welding Gloves 110","",/\1\1\Standard-Split-Cowhide-Stick-Welding-Gloves.jpg,/\1\1\Standard-Split-Cowhide-Stick-Welding-Gloves.jpg,http://www.48ws.com/images/product/1/1/Standard-Split-Cowhide-Stick-Welding-Gloves.jpg,Standard-Split-Cowhide-Stick-Welding-Gloves-110,Standard-Split-Cowhide-Stick-Welding-Gloves-110,,No layout updates.,Block after Info Column,,"Standard Split Cowhide Stick Welding Gloves 110","Standard Split Cowhide Stick Welding Gloves 110",Use config,"http://www.revcoindustries.com/catalog/product_info.php?products_id=327",0,,,0,"Revco Industries, Inc.",1032,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Standard Split Cowhide Stick Welding Gloves 110","<li>Good-old dependable standard protection</li>
<li>Reliable consistent quality cowhide</li>
<li>Fully sock lined for comfort</li>
<li>Thumb strap style reinforcement</li>
<li>Spark-resisting welt on seams</li>
<li>Stitched with flame-resistant Kevlar®</li>
<li>Size: S-XL</li><br>
","","","Medium","Standard Split Cowhide Stick Welding Gloves 110",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
