store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"1326|19703","Cleaning Supplies|Cleaning Supplies Holders",38449,"75130",,"Shop Towels on a Roll","","Shop Towels on a Roll","Grease-absorbent, tough, will not scratch surface. Absorbs grease and oil. Economical, disposable, for garage, basement, or auto. Fits standard towel holder.",/\7\5\75130-Kimberly-Clark-Shop-Towels-on-a.jpg,/\7\5\75130-Kimberly-Clark-Shop-Towels-on-a.jpg,http://www.48ws.com/images/product/7/5/75130-Kimberly-Clark-Shop-Towels-on-a.jpg,75130-Kimberly-Clark-Shop-Towels-on-a-Roll,75130-Kimberly-Clark-Shop-Towels-on-a-Roll,,No layout updates.,Block after Info Column,,"Shop Towels on a Roll","Shop Towels on a Roll",Use config,"http://www.kcdiy.com/diy/products/Shop-Towels.asp",0,,,0,"Kimberly Clark",424,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Grease-absorbent, tough, will not scratch surface. Absorbs grease and oil. Economical, disposable, for garage, basement, or auto. Fits standard towel holder.","<li>Jumbo Roll</li>
<li>Display Box Shelf Pack</li>","","","75130 Kimberly Clark Shop Towels on a Roll","Shop Towels on a Roll",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1326|19703","Cleaning Supplies|Cleaning Supplies Holders",38450,"75240",,"Shop Rags in a Box","","Shop Rags in a Box","<li>85 Rags per Box</li><br></br>
Works like cloth, cloth-like feel. Strong, absorbent, for wiping, scrubbing, stain/paint and household cleaning. Lint-free, absorbs coatings, paints, and stains. Re-usable, washable. White color.",/\7\5\75240-Kimberly-Clark-Shop-Rags-in-a.jpg,/\7\5\75240-Kimberly-Clark-Shop-Rags-in-a.jpg,http://www.48ws.com/images/product/7/5/75240-Kimberly-Clark-Shop-Rags-in-a.jpg,75240-Kimberly-Clark-Shop-Rags-in-a-Box,75240-Kimberly-Clark-Shop-Rags-in-a-Box,,No layout updates.,Block after Info Column,,"Shop Rags in a Box","Shop Rags in a Box",Use config,"http://www.kcdiy.com/diy/products/Rags-Cleaning-Towels.asp",0,,,0,"Kimberly Clark",424,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"<li>85 Rags per Box</li><br></br>
Works like cloth, cloth-like feel. Strong, absorbent, for wiping, scrubbing, stain/paint and household cleaning. Lint-free, absorbs coatings, paints, and stains. Re-usable, washable. White color.","<li>1-PLY - WET/DRY</li>
<li>Easy Pop-up Dispenser Box</li>
<li>Size In=11.2 x 10</li>","","","75240 Kimberly Clark Shop Rags in a Box","Shop Rags in a Box",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25514","Chemical Resistant and Disposable Hoods",628985,"44490",,"KC 44490 SHOE COVER 400ea/bx","","KC 44490 SHOE COVER 400ea/bx","",/\4\4\kimberly-clark-44490-kc-44490-shoe-cover-400eabx.jpg,/\4\4\kimberly-clark-44490-kc-44490-shoe-cover-400eabx.jpg,http://www.48ws.com/images/product/4/4/kimberly-clark-44490-kc-44490-shoe-cover-400eabx.jpg,kimberly-clark-44490-kc-44490-shoe-cover-400eabx,kimberly-clark-44490-kc-44490-shoe-cover-400eabx,,No layout updates.,Block after Info Column,,"KC 44490 SHOE COVER 400ea/bx","KC 44490 SHOE COVER 400ea/bx",Use config,"https://www.kcprofessional.com/en-us/products/personal-protection/disposable-apparel/44490#",0,,,0,"Kimberly Clark",424,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"KleenGuard Personal Protective Equipment (PPE) enables rather than inhibits – allowing for maximum productivity and safety for you and your employees. Offering your team comfortable protective clothing is a must, and Kleenguard A40 Liquid and Particle Protection Disposable Shoe Covers are a great addition. Each single use booty measures is 7” high and is fully elasticized (for a formed fit). Made of breathable, microporous film to keep out debris, non-hazardous liquid chemicals and dry particulates, the Kleenguard A40 material gives your employees a better liquid barrier and a better particulate barrier than Dupont Tyvek shoe covers. These disposable shoe covers pass NFPA 99 for antistatic materials, pass ASTM F1670 testing for penetration of blood and bodily fluids, and meet the ANSI/ISEA 101-1996 sizing standards. They are popular for helping keep the office clean (in manufacturing and welders), keeping clients houses clean (in the case of pest control associates and cleaners) and in a paint environment. Making the right Personal Protection choice is difficult. Perform with distinction with KleenGuard Personal Protective Equipment (PPE).","","<ul>
<li>Each white, ambidextrous single use booty has a tall 7” height</li>
<li>These A40 disposable shoe covers offer better liquid and particulate barrier than the Dupont TYVEK shoe covers</li>
<li>The one size fits all A40 shoe cover is made to keep out debris, dry particulates and some liquids</li>
<li>A40 Kleenguard disposable shoe covers passes NFPA 99 criteria for antistatic materials</li>
</ul>","3600044490","","KC 44490 SHOE COVER 400ea/bx",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25513","Chemical Resistant and Disposable Coveralls",629140,"46145",,"KC 46145 2XL KLEENGUARD COVERALLS 25/CS A30","","KC 46145 2XL KLEENGUARD COVERALLS 25/CS A30","",/\4\6\kimberly-clark-46145-kc-46145-2xl-kleenguard-coveralls-25cs-a30.jpg,/\4\6\kimberly-clark-46145-kc-46145-2xl-kleenguard-coveralls-25cs-a30.jpg,http://www.48ws.com/images/product/4/6/kimberly-clark-46145-kc-46145-2xl-kleenguard-coveralls-25cs-a30.jpg,kimberly-clark-46145-kc-46145-2xl-kleenguard-coveralls-25cs-a30,kimberly-clark-46145-kc-46145-2xl-kleenguard-coveralls-25cs-a30,,No layout updates.,Block after Info Column,,"KC 46145 2XL KLEENGUARD COVERALLS 25/CS A30","KC 46145 2XL KLEENGUARD COVERALLS 25/CS A30",Use config,"https://www.kcprofessional.com/en-us/products/personal-protection/disposable-apparel/46145",0,,,0,"Kimberly Clark",424,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"KleenGuard Personal Protective Equipment (PPE) enables rather than inhibits – allowing for maximum productivity and safety for you and your employees. When your workers are in nonstop contact with dirt and grime where light splashes exist, Kleenguard A30 Breathable Splash and Particle Protection Coveralls are a must. They’re designed to move with you – and your employees – while protecting against hazardous dry particles, aerosols and non-hazardous light liquid splash. These protective garments feature the breathable Microforce fabric. Features to provide more protection include the seamless front (for primary exposure area), a hood, 1 inch zipper flap and elastic wrists and ankles. They feature iFLEX stretch panels that build in extra freedom of movement and Reflex design, which offers excellent fit (with elastic back). The material is strong and abrasion resistant, and filters out many water-based liquids and dry particles. They are a popular choice for environments such as pharmaceutical research, aerospace, maintenance and general manufacturing. Making the right Personal Protection choice is difficult. Perform with distinction with KleenGuard Personal Protective Equipment (PPE).","","<ul>
<li>Kleenguard A30 are designed to protect against dirt, grime and light splashes and are made with breathable Microforce barrier fabric</li>
<li>This protective apparel features an intricate web of micro-fibers that filter out many water-based liquids and dry particulates</li>
<li>iFLEX stretch panels build in freedom of movement and Reflex Coverall Design offers excellent fit (also includes elastic back)</li>
<li>Passes NFPA 99 for antistatic (anti stat) materials</li>
</ul>","","","KC 46145 2XL KLEENGUARD COVERALLS 25/CS A30",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19717","Paper Towels and Rolls",629141,"50606",,"KC 50606 8^X600 PAPER TOWEL ROLL WHITE 1.75 CORE 6/CS","","KC 50606 8^X600 PAPER TOWEL ROLL WHITE 1.75 CORE 6/CS","",/\5\0\kimberly-clark-50606-kc-50606-8x600-paper-towel-roll-white-175-core-6cs.jpg,/\5\0\kimberly-clark-50606-kc-50606-8x600-paper-towel-roll-white-175-core-6cs.jpg,http://www.48ws.com/images/product/5/0/kimberly-clark-50606-kc-50606-8x600-paper-towel-roll-white-175-core-6cs.jpg,kimberly-clark-50606-kc-50606-8x600-paper-towel-roll-white-175-core-6cs,kimberly-clark-50606-kc-50606-8x600-paper-towel-roll-white-175-core-6cs,,No layout updates.,Block after Info Column,,"KC 50606 8^X600 PAPER TOWEL ROLL WHITE 1.75 CORE 6/CS","KC 50606 8^X600 PAPER TOWEL ROLL WHITE 1.75 CORE 6/CS",Use config,"https://www.kcprofessional.com/en-us/products/paper-towels-dispensers/hard-roll-towels/50606",0,,,0,"Kimberly Clark",424,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Scott Essential (formerly Kleenex) provides reliable balance of efficiency, performance and value. Drying is one of the most important steps in the hand washing process, and how you dry matters. Forced air dryers and hot air dryers can take two or even three times as long to use as a paper towel, and studies show that, while the overall cost per use is comparable, the likelihood of spreading germs is greatly reduced with the use of absorbent, single-use drying towels, such as white Scott Essential (formerly Kleenex) Hard Roll Paper Towels. Germ counts are significantly lower following the use of a touch-free paper towel dispenser (like the compatible Kimberly-Clark Professional Hard Roll Paper Towel Dispenser)—as much as a 200% decrease when compared with using either jet or hot air dryers. And, rather than blowing germs into the air during use, the paper towels are thrown neatly away. These paper towel rolls offer terrific hand drying performance, so your guests will waste less. A healthy workplace is a happy workplace, and providing high-quality Scott Essential (formerly Kleenex) Hard Roll commercial paper towels to your guests, clients and employees is one important piece of the puzzle. It's the same Kleenex quality, now Scott branded.","","<ul>
<li>Scott Essential (formerly Kleenex) paper towel rolls give soft feel with the premium performance of commercial paper towels</li>
<li>Absorbency Pockets absorb lots of water fast for superior hand drying performance, so guests use fewer paper towels</li>
<li>Paper towel rolls: 1.75&quot; core size and 7.9&quot; roll diameter</li>
<li>Compatible with a variety of Kimberly-Clark paper towel dispensers</li>
</ul>","3600050606","","KC 50606 8^X600 PAPER TOWEL ROLL WHITE 1.75 CORE 6/CS",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"26100","Traffic Cones",629142,"17450",,"KIMBERLY 17450 3007532 16LB BASE FOR CHANNELIZER CONE","","KIMBERLY 17450 3007532 16LB BASE FOR CHANNELIZER CONE","",/\1\7\kimberly-clark-17450-kimberly-17450-3007532-16lb-base-for-channelizer-cone.jpg,/\1\7\kimberly-clark-17450-kimberly-17450-3007532-16lb-base-for-channelizer-cone.jpg,http://www.48ws.com/images/product/1/7/kimberly-clark-17450-kimberly-17450-3007532-16lb-base-for-channelizer-cone.jpg,kimberly-clark-17450-kimberly-17450-3007532-16lb-base-for-channelizer-cone,kimberly-clark-17450-kimberly-17450-3007532-16lb-base-for-channelizer-cone,,No layout updates.,Block after Info Column,,"KIMBERLY 17450 3007532 16LB BASE FOR CHANNELIZER CONE","KIMBERLY 17450 3007532 16LB BASE FOR CHANNELIZER CONE",Use config,"https://www.kcprofessional.com/en-us",0,,,0,"Kimberly Clark",424,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","Channelizer 16Lb Base, Hexagon","","","","KIMBERLY 17450 3007532 16LB BASE FOR CHANNELIZER CONE",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19739","Rags and Wipes",629143,"5790",,"KIMBERLY CLARK 05790 WYPALL L40 Wipers White POP-UP Box 100ct 9/CS","","KIMBERLY CLARK 05790 WYPALL L40 Wipers White POP-UP Box 100ct 9/CS","",/\5\7\kimberly-clark-5790-kimberly-clark-05790-wypall-l40-wipers-white-pop-up-box-100ct-9cs.jpg,/\5\7\kimberly-clark-5790-kimberly-clark-05790-wypall-l40-wipers-white-pop-up-box-100ct-9cs.jpg,http://www.48ws.com/images/product/5/7/kimberly-clark-5790-kimberly-clark-05790-wypall-l40-wipers-white-pop-up-box-100ct-9cs.jpg,kimberly-clark-5790-kimberly-clark-05790-wypall-l40-wipers-white-pop-up-box-100ct-9cs,kimberly-clark-5790-kimberly-clark-05790-wypall-l40-wipers-white-pop-up-box-100ct-9cs,,No layout updates.,Block after Info Column,,"KIMBERLY CLARK 05790 WYPALL L40 Wipers White POP-UP Box 100ct 9/CS","KIMBERLY CLARK 05790 WYPALL L40 Wipers White POP-UP Box 100ct 9/CS",Use config,"https://www.kcprofessional.com/en-us/products/wipers/limited-use-towels/05790",0,,,0,"Kimberly Clark",424,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"If you're looking for an effective wipe to absorb liquids lightning-fast, WypAll L40 Disposable Cleaning and Drying Towels are just what you need. These wipes are made of bonded cellulose using DRC (double re-creped) technology for strength, softness and absorbency. As a wiping towel, it soaks up liquids fast, but all you—and your staff—will feel is softness, thanks to a plush, touchable outer layer. In fact, it's a popular choice for patient wiping in healthcare industries – keep them folded for tasks like bathing or unfold for patient drying. These utility wipes are specially designed to absorb liquids, lubricants and oils (in restaurants for wiping counters, in mechanic shops, industrial and commercial factories and more), yet they're soft enough for use on face and hands. Experience the difference in superior absorption and cleaning at your home or office today!","","<ul>
<li>Wypall L40 disposable cleaning and drying towels: outstanding general-purpose towels</li>
<li>Absorbent and tough wiping towels feature a plush outer layer that's touchable and soft</li>
<li>Each Wypall L40 measures 16.4&quot; x 9.8&quot;; Pop-Up Box is designed for easy, one-at-a-time dispensing</li>
<li>Use utility wipes for tough tasks like cleaning grease or oil (industrial / commercial uses), yet they're gentle enough to dry your hand or face (patient care / healthcare)</li>
</ul>","3600005790","","KIMBERLY CLARK 05790 WYPALL L40 Wipers White POP-UP Box 100ct 9/CS",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19739","Rags and Wipes",629144,"5812",,"KIMBERLY CLARK 05812 WYPALL L30 ECONOMIZER 1/4 FOLD WIPES","","KIMBERLY CLARK 05812 WYPALL L30 ECONOMIZER 1/4 FOLD WIPES","",/\5\8\kimberly-clark-5812-kimberly-clark-05812-wypall-l30-economizer-14-fold-wipes.jpg,/\5\8\kimberly-clark-5812-kimberly-clark-05812-wypall-l30-economizer-14-fold-wipes.jpg,http://www.48ws.com/images/product/5/8/kimberly-clark-5812-kimberly-clark-05812-wypall-l30-economizer-14-fold-wipes.jpg,kimberly-clark-5812-kimberly-clark-05812-wypall-l30-economizer-14-fold-wipes,kimberly-clark-5812-kimberly-clark-05812-wypall-l30-economizer-14-fold-wipes,,No layout updates.,Block after Info Column,,"KIMBERLY CLARK 05812 WYPALL L30 ECONOMIZER 1/4 FOLD WIPES","KIMBERLY CLARK 05812 WYPALL L30 ECONOMIZER 1/4 FOLD WIPES",Use config,"https://www.kcprofessional.com/en-us/products/wipers/limited-use-towels/05812",0,,,0,"Kimberly Clark",424,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"When you're looking for a lighter-weight towel at an everyday great price, you can trust WypAll L30 Wipes. They are designed with the DRC (double re-creping) process, which gives you high surface softness (a towel-like feel) with a reinforced grid that's strong for wet surface wiping and cleaning. These WypAll L30 Wipes are a great choice to replace air laid towels. They're soft enough to use on skin, so they're popular for use in healthcare and patient care (when folded for patient bathing, when unfolded for drying). They're also tough enough for light-duty processing, janitorial tasks and maintenance (as an alternative to towel rags in a box). They're a trusted tool to help you get the job done right.","","<ul>
<li>This wiping towel has a towel-like feel at a value price (quarter-folded for easy storage)</li>
<li>Ideal for a wide range of light-duty healthcare / patient wiping, maintenance, processing and janitorial wiping tasks (could be an alternative to towel rags in a box)</li>
<li>Wypall Towels L30 features the double re-creping (DRC) technology, which gives them high surface softness and a reinforced grid for strength</li>
<li>Soft enough for personal use on hands and skin (natural rubber latex free), strong enough for wet surface wiping and cleaning</li>
</ul>","3600005812","","KIMBERLY CLARK 05812 WYPALL L30 ECONOMIZER 1/4 FOLD WIPES",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19739","Rags and Wipes",629145,"5843",,"KIMBERLY CLARK 05843 WYPALL L30 Wipers White 70/RL 24/CS","","KIMBERLY CLARK 05843 WYPALL L30 Wipers White 70/RL 24/CS","",/\5\8\kimberly-clark-5843-kimberly-clark-05843-wypall-l30-wipers-white-70rl-24cs.jpg,/\5\8\kimberly-clark-5843-kimberly-clark-05843-wypall-l30-wipers-white-70rl-24cs.jpg,http://www.48ws.com/images/product/5/8/kimberly-clark-5843-kimberly-clark-05843-wypall-l30-wipers-white-70rl-24cs.jpg,kimberly-clark-5843-kimberly-clark-05843-wypall-l30-wipers-white-70rl-24cs,kimberly-clark-5843-kimberly-clark-05843-wypall-l30-wipers-white-70rl-24cs,,No layout updates.,Block after Info Column,,"KIMBERLY CLARK 05843 WYPALL L30 Wipers White 70/RL 24/CS","KIMBERLY CLARK 05843 WYPALL L30 Wipers White 70/RL 24/CS",Use config,"https://www.kcprofessional.com/en-us/products/wipers/limited-use-towels/05843",0,,,0,"Kimberly Clark",424,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"When you're looking for a lighter-weight towel at an everyday great price, you can trust WypAll L30 Wipes. They are designed with the DRC (double re-creping) process, which gives you high surface softness (a towel-like feel) with a reinforced grid that's strong for wet surface wiping and cleaning. These WypAll L30 Wipes are a great choice to replace air laid towels. They're soft enough to use on skin, so they're popular for use in healthcare and patient care (when folded for patient bathing, when unfolded for drying). They're also tough enough for light-duty processing, janitorial tasks and maintenance. They're a trusted tool to help you get the job done right.","","<ul>
<li>This wiping towel has a towel-like feel at a value price and the roll is perforated and (designed for one-at-a-time dispensing)</li>
<li>Ideal for a wide range of light-duty healthcare / patient wiping, maintenance, processing and janitorial wiping tasks (could be an alternative to towel rags in a box)</li>
<li>Wypall Towels L30 features the double re-creping (DRC) technology, which gives them high surface softness and a reinforced grid for strength</li>
<li>Soft enough for personal use on hands and skin (natural rubber latex free), strong enough for wet surface wiping and cleaning</li>
</ul>","3600005843","","KIMBERLY CLARK 05843 WYPALL L30 Wipers White 70/RL 24/CS",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19717","Paper Towels and Rolls",629146,"11090",,"KIMBERLY CLARK 11090 KLEENEX HARD ROLL TOWELS 6/CS","","KIMBERLY CLARK 11090 KLEENEX HARD ROLL TOWELS 6/CS","",/\1\1\kimberly-clark-11090-kimberly-clark-11090-kleenex-hard-roll-towels-6cs.jpg,/\1\1\kimberly-clark-11090-kimberly-clark-11090-kleenex-hard-roll-towels-6cs.jpg,http://www.48ws.com/images/product/1/1/kimberly-clark-11090-kimberly-clark-11090-kleenex-hard-roll-towels-6cs.jpg,kimberly-clark-11090-kimberly-clark-11090-kleenex-hard-roll-towels-6cs,kimberly-clark-11090-kimberly-clark-11090-kleenex-hard-roll-towels-6cs,,No layout updates.,Block after Info Column,,"KIMBERLY CLARK 11090 KLEENEX HARD ROLL TOWELS 6/CS","KIMBERLY CLARK 11090 KLEENEX HARD ROLL TOWELS 6/CS",Use config,"https://www.kcprofessional.com/en-us/products/paper-towels-dispensers/hard-roll-towels/11090",0,,,0,"Kimberly Clark",424,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Scott Essential (formerly Kleenex) provides reliable balance of efficiency, performance and value. Drying is one of the most important steps in the hand washing process, and how you dry matters. These paper towel rolls offer terrific hand drying performance, so your guests will waste less. A healthy workplace is a happy workplace, and providing high-quality Kleenex Hard Roll commercial paper towels to your guests, clients and employees is one important piece of the puzzle. It's the same Kleenex quality, now Scott branded.","","<ul>
<li>Scott Essential (formerly Kleenex) paper towel rolls give soft feel with the premium performance of commercial paper towels</li>
<li>Absorbency Pockets absorb lots of water fast for superior hand drying performance, so guests use fewer paper towels</li>
<li>Paper towel rolls: 1.5” core size</li>
</ul>","11090","","KIMBERLY CLARK 11090 KLEENEX HARD ROLL TOWELS 6/CS",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"19739","Rags and Wipes",629147,"12891",,"KIMBERLY CLARK 12891 WYPX90 TOWEL WIPER WHITE 136-COUNT BOX","","KIMBERLY CLARK 12891 WYPX90 TOWEL WIPER WHITE 136-COUNT BOX","",/\1\2\kimberly-clark-12891-kimberly-clark-12891-wypx90-towel-wiper-white-136-count-box.jpg,/\1\2\kimberly-clark-12891-kimberly-clark-12891-wypx90-towel-wiper-white-136-count-box.jpg,http://www.48ws.com/images/product/1/2/kimberly-clark-12891-kimberly-clark-12891-wypx90-towel-wiper-white-136-count-box.jpg,kimberly-clark-12891-kimberly-clark-12891-wypx90-towel-wiper-white-136-count-box,kimberly-clark-12891-kimberly-clark-12891-wypx90-towel-wiper-white-136-count-box,,No layout updates.,Block after Info Column,,"KIMBERLY CLARK 12891 WYPX90 TOWEL WIPER WHITE 136-COUNT BOX","KIMBERLY CLARK 12891 WYPX90 TOWEL WIPER WHITE 136-COUNT BOX",Use config,"https://www.kcprofessional.com/en-us/products/wipers/extended-use-cloths/12891",0,,,0,"Kimberly Clark",424,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"When you have a tough job, reach for WypAll X90 Extended Use Reusable Cloth Cloths in the large BRAG Box format. With their innovative design, WypAll X90 Cloths have the highest fluid capacity of any WypAll Brand product; they can lift and release fluid. In fact, they provide 75% more oil absorption and 35% more water absorption (than Wypall X80 cloth). They deliver superb fluid handling which allows you to accomplish clean wiping applications like never before. They’re ideal for solvent wiping, surface preparation, equipment cleaning, repair and maintenance tasks, so when you need durability, cleanliness and high fluid capacity, reach for WypAll X90 Cloths. Wypall X90 Reusable Wipes contain no glues, adhesives or binders, which means there are low extractables for very clean solvent wiping. They feature outstanding fluid reservoir capacity for absorbing or delivering fluids – so you’ll waste less of your valuable solvents (they release 90% of the solvents they absorb, outperforming rags and reducing your solvent spend). In addition, these cloths feature increased durability for continual and repeated use, just like a cloth. The WypAll Brand guarantees a 20% savings in solvent usage overall. Moreover, the innovative dispensing solutions are portable, so cloths can go anywhere.","","<ul>
<li>WypAll X90 Reusable Wiping Cloths are low lint and low extractable (the compounds and contaminants that could wash out onto a surface), for clean solvent wiping</li>
<li>Reduce your solvent spend: These heavy duty towels have excellent fluid reservoir capacity (for absorbing and delivering fluids); they release 90% of the solvents they absorb, outperforming rags</li>
<li>Use wet or dry: These ultra-soft, reusable wipes are ideal for heavy wiping, prepping surfaces with solvents and cleaning metal shavings</li>
<li>The Blue Denim color gives you the assurance of zero dye bleed, because dyes aren’t used in the manufacturing of these bulk disposable cleaning cloths</li>
</ul>","3600012891","","KIMBERLY CLARK 12891 WYPX90 TOWEL WIPER WHITE 136-COUNT BOX",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25835","Hard Hat Accessories",629148,"14503",,"KIMBERLY CLARK 14503 WINTER LINER 305 TSL WRAP AROUND COLLAR 3000443","","KIMBERLY CLARK 14503 WINTER LINER 305 TSL WRAP AROUND COLLAR 3000443","",/\1\4\kimberly-clark-14503-kimberly-clark-14503-winter-liner-305-tsl-wrap-around-collar-3000443.jpg,/\1\4\kimberly-clark-14503-kimberly-clark-14503-winter-liner-305-tsl-wrap-around-collar-3000443.jpg,http://www.48ws.com/images/product/1/4/kimberly-clark-14503-kimberly-clark-14503-winter-liner-305-tsl-wrap-around-collar-3000443.jpg,kimberly-clark-14503-kimberly-clark-14503-winter-liner-305-tsl-wrap-around-collar-3000443,kimberly-clark-14503-kimberly-clark-14503-winter-liner-305-tsl-wrap-around-collar-3000443,,No layout updates.,Block after Info Column,,"KIMBERLY CLARK 14503 WINTER LINER 305 TSL WRAP AROUND COLLAR 3000443","KIMBERLY CLARK 14503 WINTER LINER 305 TSL WRAP AROUND COLLAR 3000443",Use config,"https://www.kcprofessional.com/",0,,,0,"Kimberly Clark",424,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","<ul>
<li>Ideal for cold-weather environments </li>
<li>Full head & neck coverage with extra-wide wrapped collar </li>
<li>Shoulder-length liner to accommodate tucking in jacket </li>
<li>Hook & loop fastener straps 100% </li>
<li>Cotton twill outer shell with heavy weight fleece inner shell & Thinsulate® lining Meets 16 CFR 1610, Class 1</li>
</ul>","76144522383","","KIMBERLY CLARK 14503 WINTER LINER 305 TSL WRAP AROUND COLLAR 3000443",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25639","Faceshield Headgear",629149,"14504",,"KIMBERLY CLARK 14504 Nomex Hood 12/CS 3000444","","KIMBERLY CLARK 14504 Nomex Hood 12/CS 3000444","",/\1\4\kimberly-clark-14504-kimberly-clark-14504-nomex-hood-12cs-3000444.jpg,/\1\4\kimberly-clark-14504-kimberly-clark-14504-nomex-hood-12cs-3000444.jpg,http://www.48ws.com/images/product/1/4/kimberly-clark-14504-kimberly-clark-14504-nomex-hood-12cs-3000444.jpg,kimberly-clark-14504-kimberly-clark-14504-nomex-hood-12cs-3000444,kimberly-clark-14504-kimberly-clark-14504-nomex-hood-12cs-3000444,,No layout updates.,Block after Info Column,,"KIMBERLY CLARK 14504 Nomex Hood 12/CS 3000444","KIMBERLY CLARK 14504 Nomex Hood 12/CS 3000444",Use config,"https://www.kcprofessional.com/",0,,,0,"Kimberly Clark",424,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","","14504","","KIMBERLY CLARK 14504 Nomex Hood 12/CS 3000444",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"25833","Chin Straps",629150,"14937",,"KIMBERLY CLARK 14937 JACKSON 94 CHIN STRAP 3002430","","KIMBERLY CLARK 14937 JACKSON 94 CHIN STRAP 3002430","",/\1\4\kimberly-clark-14937-kimberly-clark-14937-jackson-94-chin-strap-3002430.jpg,/\1\4\kimberly-clark-14937-kimberly-clark-14937-jackson-94-chin-strap-3002430.jpg,http://www.48ws.com/images/product/1/4/kimberly-clark-14937-kimberly-clark-14937-jackson-94-chin-strap-3002430.jpg,kimberly-clark-14937-kimberly-clark-14937-jackson-94-chin-strap-3002430,kimberly-clark-14937-kimberly-clark-14937-jackson-94-chin-strap-3002430,,No layout updates.,Block after Info Column,,"KIMBERLY CLARK 14937 JACKSON 94 CHIN STRAP 3002430","KIMBERLY CLARK 14937 JACKSON 94 CHIN STRAP 3002430",Use config,"https://www.kcprofessional.com/",0,,,0,"Kimberly Clark",424,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","","24886052717","","KIMBERLY CLARK 14937 JACKSON 94 CHIN STRAP 3002430",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
