store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"592|26910","Shims|Shims",37206,"26",,"1/8&quot; Red Horseshoe Shim (1000/Pkg)","Econ-O-Shim® 20-Series 2-5/16 x 3 Horseshoe Shim","1/8&quot; Red Horseshoe Shim (1000/Pkg)","Horseshoe Shim",/\2\4\Econ-O-Shim-20-Series2-516-x-3-Horseshoe.jpg,/\2\4\Econ-O-Shim-20-Series2-516-x-3-Horseshoe.jpg,http://www.48ws.com/images/product/2/4/Econ-O-Shim-20-Series2-516-x-3-Horseshoe.jpg,Econ-O-Shim-20-Series2-516-x-3-Horseshoe-Shim,Econ-O-Shim-20-Series2-516-x-3-Horseshoe-Shim,,No layout updates.,Block after Info Column,,"1/8&quot; Red Horseshoe Shim (1000/Pkg)","1/8&quot; Red Horseshoe Shim (1000/Pkg)",Use config,"http://www.deslinc.com/econ-o-shim%C2%AE-20-series2-516-x-3-horseshoe-shim",0,,,0,"Deslauriers",313,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Horseshoe Shim","<li>Economical</li><li>
Color coded thicknesses</li><li>
Available in a wide variety of sizes</li><li>
Excellent compressive strength</li><li>
Econ-o-Shims are unaffected by micro-organisms and alkalis, ground chemicals and liquids.</li><li>Econ-o-Shims will not rust, rot, stain or leach</li>","<li>Save time, money and labor</li><li>Specify &quot;Econ-o-Shim&quot; for your leveling/alignment requirements.</li><li><strong>Thickness:</strong> 1/16&quot;<strong> Color:</strong> Blue<strong> Package Size:</strong> 1,000</li>","","1/8&quot; Red Horseshoe Shim (1000/Pkg)","1/8&quot; Red Horseshoe Shim (1000/Pkg)",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"592|26910","Shims|Shims",37293,"28",,"1/16&quot; Blue Horseshoe Shim (1000/Pkg)","Econ-O-Shim® 20-Series 2-5/16 x 3 Horseshoe Shim","1/16&quot; Blue Horseshoe Shim (1000/Pkg)","Horseshoe Shim",/\2\8\Econ-O-Shim-20-Series2-516-x-3-Horseshoe.jpg,/\2\8\Econ-O-Shim-20-Series2-516-x-3-Horseshoe.jpg,http://www.48ws.com/images/product/2/8/Econ-O-Shim-20-Series2-516-x-3-Horseshoe.jpg,Econ-O-Shim-20-Series2-516-x-3-Horseshoe-Shim,Econ-O-Shim-20-Series2-516-x-3-Horseshoe-Shim,,No layout updates.,Block after Info Column,,"1/16&quot; Blue Horseshoe Shim (1000/Pkg)","1/16&quot; Blue Horseshoe Shim (1000/Pkg)",Use config,"http://www.deslinc.com/econ-o-shim%C2%AE-20-series2-516-x-3-horseshoe-shim",0,,,0,"Deslauriers",313,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Horseshoe Shim","<li>Economical</li><li>
Color coded thicknesses</li><li>
Available in a wide variety of sizes</li><li>
Excellent compressive strength</li><li>
Econ-o-Shims are unaffected by micro-organisms and alkalis, ground chemicals and liquids.</li><li>Econ-o-Shims will not rust, rot, stain or leach</li>","<li>Save time, money and labor</li><li>Specify &quot;Econ-o-Shim&quot; for your leveling/alignment requirements.</li><li><strong>Thickness:</strong> 1/8&quot;<strong> Color:</strong> Red<strong> Package Size:</strong> 1,000</li> ","","1/16&quot; Blue Horseshoe Shim (1000/Pkg)","1/16&quot; Blue Horseshoe Shim (1000/Pkg)",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1773|26887","Rebar Caps|Rebar Caps",37295,"DISC 10",,"Impalement Protection For Rebar #3 - #7","Impalement Protection","Impalement Protection For Rebar #3 - #7","Deslauriers Impalement Safety Covers",/\D\I\Impalement.jpg,/\D\I\Impalement.jpg,http://www.48ws.com/images/product/D/I/Impalement.jpg,Impalement-Protection,Impalement-Protection,,No layout updates.,Block after Info Column,,"Impalement Protection For Rebar #3 - #7","Impalement Protection For Rebar #3 - #7",Use config,"http://www.deslinc.com/impalement-protection",0,,,0,"Deslauriers",313,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Deslauriers Impalement Safety Covers","<li>Deslauriers' Caps are steel re-inforced and conform to State and Federal safety regulations.</li><li> Approved by California OSHA #C1718AG and OSHA 1723AG</li><li>Complies with Federal OSHA 701 (b).</li><li>Federal OSHA has ruled that if cover is in compliance with Cal OSHA, then it conforms to Fed. 701 (b).</li><li>Made of engineered high-impact plastic.</li><li>16 Sq Inches top surface area aids in protection.</li><li>Fits a range of diameters.</li><li>Self-centering formed steel insert seats cover perpendicular to rebar</li>","<li>DISC-10:FOR REBAR #3-#7 (Package size 25 pieces)</li><li>HH-M:FOR REBAR #7-#12(Package size 25 pieces)</li><li>HH-L:FOR REBAR #12-#16(Package size 25 pieces)</li>","","Impalement Protection For Rebar #3 - #7","Impalement Protection For Rebar #3 - #7",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"691","Concrete Voids",37296,"EOS 1.5",,"1.5&quot; Econ-O-Sleeve","Econ-O-Sleeves","1.5&quot; Econ-O-Sleeve","Sleeve/Pre-cast Concrete",/\E\O\Econ-O.jpg,/\E\O\Econ-O.jpg,http://www.48ws.com/images/product/E/O/Econ-O.jpg,Econ-O-Sleeve,Econ-O-Sleeve,,No layout updates.,Block after Info Column,,"1.5&quot; Econ-O-Sleeve","1.5&quot; Econ-O-Sleeve",Use config,"http://www.deslinc.com/econ-o-sleeve",0,,,0,"Deslauriers",313,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Sleeve/Pre-cast Concrete","<li>Place holes before you pour.</li><li>Save time and money.</li><li>Drilling can cut rebar and reduce strength.</li><li>Made with slight taper for easy removal</li><li>Made of high density plastic-one piece construction</li><li>Will not shatter in cold weather</li><li>Easy to cut with a pocket knife</li><li>Staple or nail through the flange in exact location you want</li><li>
Lightweight, easy to transport and safe, no sharp edges or corners</li>","<li>Econ-O-Sleeve Hole Forms for both floors and walls.</li><li>Econ-O-Sleeve Hole Forms consistently form round, smooth, uniform holes and are available in a broad range of diameters.</li><li>They may be cut, stacked,or telescoped for any slab thickness.</li><li>Econ-O-Sleeve forms come in a variety of diameters, and adjust for any slab thickness by stacking two or more together or simply use our new 1&quot; incremental extenders</li>","","1.5&quot; Econ-O-Sleeve","1.5&quot; Econ-O-Sleeve",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"592|26910","Shims|Shims",37298,"PC4214",,"1/4&quot; Black Plastic Shims (504/box)","Vers-A-Shim® Shim Strips- Precast 2&quot; x 4&quot; Plastic Shims","1/4&quot; Black Plastic Shims (504/box)","Precast Shim Strips",/\P\C\Vers-A-Shim-Shim-Strips-Precast-3X-3-thru-4-x.jpg,/\P\C\Vers-A-Shim-Shim-Strips-Precast-3X-3-thru-4-x.jpg,http://www.48ws.com/images/product/P/C/Vers-A-Shim-Shim-Strips-Precast-3X-3-thru-4-x.jpg,14-Black-Plastic-Shims-504box,14-Black-Plastic-Shims-504box,,No layout updates.,Block after Info Column,,"1/4&quot; Black Plastic Shims (504/box)","1/4&quot; Black Plastic Shims (504/box)",Use config,"http://www.deslinc.com/vers-shim%C2%AE-shim-strips-precast-3x-3-thru-4-x-6",0,,,0,"Deslauriers",313,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Precast Shim Strips","<li>Assures accurate placing and leveling of precast panels, tilt-up walls, structural and architectural components.</li><li>Less expensive and more versatile than steel.</li><li>Will not rust, rot, stain or leach concrete.</li><li>Available in convenient thicknesses, lengths and widths which permit precise
leveling and alignment.</li>","","","1/4&quot; Black Plastic Shims (504/box)","1/4&quot; Black Plastic Shims (504/box)",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"592|26910","Shims|Shims",37299,"24",,"1/4&quot; Black Horseshoe Shim (500/Pkg)","Econ-O-Shim® 20-Series 2-5/16 x 3 Horseshoe Shim","1/4&quot; Black Horseshoe Shim (500/Pkg)","Horseshoe Shim",/\2\4\Econ-O-Shim-20-Series2-516-x-3-Horseshoe- 1.jpg,/\2\4\Econ-O-Shim-20-Series2-516-x-3-Horseshoe- 1.jpg,http://www.48ws.com/images/product/2/4/Econ-O-Shim-20-Series2-516-x-3-Horseshoe- 1.jpg,Econ-O-Shim-20-Series2-516-x-3-Horseshoe-Shim,Econ-O-Shim-20-Series2-516-x-3-Horseshoe-Shim,,No layout updates.,Block after Info Column,,"1/4&quot; Black Horseshoe Shim (500/Pkg)","1/4&quot; Black Horseshoe Shim (500/Pkg)",Use config,"http://www.deslinc.com/econ-o-shim%C2%AE-20-series2-516-x-3-horseshoe-shim",0,,,0,"Deslauriers",313,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Horseshoe Shim","<li>Economical</li><li>
Color coded thicknesses</li><li>
Available in a wide variety of sizes</li><li>
Excellent compressive strength</li><li>
Econ-o-Shims are unaffected by micro-organisms and alkalis, ground chemicals and liquids.</li><li>Econ-o-Shims will not rust, rot, stain or leach</li>","<li>Save time, money and labor</li><li>Specify &quot;Econ-o-Shim&quot; for your leveling/alignment requirements.</li>","","1/4&quot; Black Horseshoe Shim (500/Pkg)","1/4&quot; Black Horseshoe Shim (500/Pkg)",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"16|23821","Concrete Mixers|Concrete Mixers",37300,"SCSET",,"Slump Cone Set","","Slump Cone Set","Spun Metal Slump Cone",/\S\C\Slump-Cone.jpg,/\S\C\Slump-Cone.jpg,http://www.48ws.com/images/product/S/C/Slump-Cone.jpg,Slump-Cone-Set,Slump-Cone-Set,,No layout updates.,Block after Info Column,,"Slump Cone Set","Slump Cone Set",Use config,"http://www.deslinc.com/slump-cone-set",0,,,0,"Deslauriers",313,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Spun Metal Slump Cone","<li>Spun Metal Slump Cone</li><li>Graduated Tamping Rod</li><li>Cast Aluminum</li><li>Slump Cone Base</li><li>Cast Aluminum 38oz Scoop</li>","<li>Made in USA</li>","","Slump Cone Set","Slump Cone Set",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"592|26910","Shims|Shims",37326,"SS16",,"Econ-O-Shim&reg; StackShim Series","","Econ-O-Shim&reg; StackShim Series","Econ-O-Shim® StackShim Series",/\S\S\Econ-O-Shim-StackShim.jpg,/\S\S\Econ-O-Shim-StackShim.jpg,http://www.48ws.com/images/product/S/S/Econ-O-Shim-StackShim.jpg,Econ-O-Shim-StackShim-Series,Econ-O-Shim-StackShim-Series,,No layout updates.,Block after Info Column,,"Econ-O-Shim&reg; StackShim Series","Econ-O-Shim&reg; StackShim Series",Use config,"http://www.deslinc.com/econ-o-shim%C2%AE-stackshim-series",0,,,0,"Deslauriers",313,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Econ-O-Shim&reg; StackShim Series","<li>Economical</li><li>
Adjustable Heights</li><li>
Adjustable Lengths</li><li>
16 shims are heat sealed into 1&quot; stacks</li><li>
Excellent compressive strength</li><li>
Econ-o-Shim Stack Shims are unaffected by micro-organisms and alkalis, ground chemicals and liquids.</li>","<li>Econ-o-Shim Stack Shims will not rust, rot, stain or leach</li><li><strong>Size Available:</strong> <li>Length: 3-1/2</li><li>Thickness: 1/16</li><li>Package Quantity: 1008</li>","","Econ-O-Shim® StackShim Series","Econ-O-Shim&reg; StackShim Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"592|26910","Shims|Shims",37328,"SS16L",,"Econ-O-Shim&reg; StackShim Series","","Econ-O-Shim&reg; StackShim Series","Econ-O-Shim® StackShims",/\S\S\Econ-O-Shim-StackShim- 1.jpg,/\S\S\Econ-O-Shim-StackShim- 1.jpg,http://www.48ws.com/images/product/S/S/Econ-O-Shim-StackShim- 1.jpg,Econ-O-Shim-StackShim-Series,Econ-O-Shim-StackShim-Series,,No layout updates.,Block after Info Column,,"Econ-O-Shim&reg; StackShim Series","Econ-O-Shim&reg; StackShim Series",Use config,"http://www.deslinc.com/econ-o-shim%C2%AE-stackshim-series",0,,,0,"Deslauriers",313,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Econ-O-Shim&reg; StackShims","<li>Economical</li><li>
Adjustable Heights</li><li>
Adjustable Lengths</li><li>
16 shims are heat sealed into 1&quot; stacks</li><li>
Excellent compressive strength</li><li>
Econ-o-Shim Stack Shims are unaffected by micro-organisms and alkalis, ground chemicals and liquids.</li>","<li>Econ-o-Shim Stack Shims will not rust, rot, stain or leach</li><li><strong>Size Available:</strong> <li>Length: 4-1/4</li><li>Thickness: 1/16</li><li>Package Quantity: 1008</li>","","Econ-O-Shim® StackShim Series","Econ-O-Shim&reg; StackShim Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"592|26910","Shims|Shims",37329,"SS16XL",,"Econ-O-Shim&reg; StackShim Series","","Econ-O-Shim&reg; StackShim Series","Econ-O-Shim® StackShim Series",/\S\S\Econ-O-Shim-StackShim- 2.jpg,/\S\S\Econ-O-Shim-StackShim- 2.jpg,http://www.48ws.com/images/product/S/S/Econ-O-Shim-StackShim- 2.jpg,Econ-O-Shim-StackShim-Series,Econ-O-Shim-StackShim-Series,,No layout updates.,Block after Info Column,,"Econ-O-Shim&reg; StackShim Series","Econ-O-Shim&reg; StackShim Series",Use config,"http://www.deslinc.com/econ-o-shim%C2%AE-stackshim-series",0,,,0,"Deslauriers",313,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Econ-O-Shim&reg; StackShim Series","<li>Economical</li><li>
Adjustable Heights</li><li>
Adjustable Lengths</li><li>
16 shims are heat sealed into 1&quot; stacks</li><li>
Excellent compressive strength</li><li>
Econ-o-Shim Stack Shims are unaffected by micro-organisms and alkalis, ground chemicals and liquids.</li>","<li>Econ-o-Shim Stack Shims will not rust, rot, stain or leach</li><li><strong>Size Available:</strong> <li>Length: 4-3/4</li><li>Thickness: 1/16</li><li>Package Quantity: 1008</li>","","Econ-O-Shim® StackShim Series","Econ-O-Shim&reg; StackShim Series",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1773|26887","Rebar Caps|Rebar Caps",89105,"HH-M",,"Impalement Protection For Rebar #7 - #12","Impalement Protection","Impalement Protection For Rebar #7 - #12","Deslauriers Impalement Safety Covers",/\D\I\Impalement.jpg,/\D\I\Impalement.jpg,http://www.48ws.com/images/product/D/I/Impalement.jpg,Impalement-Protection-For-Rebar-7-12,Impalement-Protection-For-Rebar-7-12,,No layout updates.,Block after Info Column,,"Impalement Protection For Rebar #7 - #12","Impalement Protection For Rebar #7 - #12",Use config,"http://www.deslinc.com/impalement-protection",0,,,0,"Deslauriers",313,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Impalement Protection For Rebar #7 - #12","<li>Deslauriers' Caps are steel re-inforced and conform to State and Federal safety regulations.</li><li> Approved by California OSHA #C1718AG and OSHA 1723AG</li><li>Complies with Federal OSHA 701 (b).</li><li>Federal OSHA has ruled that if cover is in compliance with Cal OSHA, then it conforms to Fed. 701 (b).</li><li>Made of engineered high-impact plastic.</li><li>16 Sq Inches top surface area aids in protection.</li><li>Fits a range of diameters.</li><li>Self-centering formed steel insert seats cover perpendicular to rebar</li>","<li>DISC-10:FOR REBAR #3-#7 (Package size 25 pieces)</li><li>HH-M:FOR REBAR #7-#12(Package size 25 pieces)</li>","","Impalement Protection For Rebar #7 - #12","Impalement Protection For Rebar #7 - #12",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"691","Concrete Voids",89106,"EOS 2",,"2&quot; Econ-O-Sleeve","Econ-O-Sleeves","2&quot; Econ-O-Sleeve","Sleeve/Pre-cast Concrete",/\E\O\Econ-O.jpg,/\E\O\Econ-O.jpg,http://www.48ws.com/images/product/E/O/Econ-O.jpg,2-Econ-O-Sleeve,2-Econ-O-Sleeve,,No layout updates.,Block after Info Column,,"2&quot; Econ-O-Sleeve","2&quot; Econ-O-Sleeve",Use config,"http://www.deslinc.com/econ-o-sleeve",0,,,0,"Deslauriers",313,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"2&quot; Econ-O-Sleeve","<li>Place holes before you pour.</li><li>Save time and money.</li><li>Drilling can cut rebar and reduce strength.</li><li>Made with slight taper for easy removal</li><li>Made of high density plastic-one piece construction</li><li>Will not shatter in cold weather</li><li>Easy to cut with a pocket knife</li><li>Staple or nail through the flange in exact location you want</li><li>
Lightweight, easy to transport and safe, no sharp edges or corners</li>","<li>Econ-O-Sleeve Hole Forms for both floors and walls.</li><li>Econ-O-Sleeve Hole Forms consistently form round, smooth, uniform holes and are available in a broad range of diameters.</li><li>They may be cut, stacked,or telescoped for any slab thickness.</li><li>Econ-O-Sleeve forms come in a variety of diameters, and adjust for any slab thickness by stacking two or more together or simply use our new 1&quot; incremental extenders</li>","","2&quot; Econ-O-Sleeve","2&quot; Econ-O-Sleeve",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"691","Concrete Voids",89107,"EOS 3",,"3&quot; Econ-O-Sleeve","Econ-O-Sleeves","3&quot; Econ-O-Sleeve","Sleeve/Pre-cast Concrete",/\E\O\Econ-O.jpg,/\E\O\Econ-O.jpg,http://www.48ws.com/images/product/E/O/Econ-O.jpg,3-Econ-O-Sleeve,3-Econ-O-Sleeve,,No layout updates.,Block after Info Column,,"3&quot; Econ-O-Sleeve","3&quot; Econ-O-Sleeve",Use config,"http://www.deslinc.com/econ-o-sleeve",0,,,0,"Deslauriers",313,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"3&quot; Econ-O-Sleeve","<li>Place holes before you pour.</li><li>Save time and money.</li><li>Drilling can cut rebar and reduce strength.</li><li>Made with slight taper for easy removal</li><li>Made of high density plastic-one piece construction</li><li>Will not shatter in cold weather</li><li>Easy to cut with a pocket knife</li><li>Staple or nail through the flange in exact location you want</li><li>
Lightweight, easy to transport and safe, no sharp edges or corners</li>","<li>Econ-O-Sleeve Hole Forms for both floors and walls.</li><li>Econ-O-Sleeve Hole Forms consistently form round, smooth, uniform holes and are available in a broad range of diameters.</li><li>They may be cut, stacked,or telescoped for any slab thickness.</li><li>Econ-O-Sleeve forms come in a variety of diameters, and adjust for any slab thickness by stacking two or more together or simply use our new 1&quot; incremental extenders</li>","","3&quot; Econ-O-Sleeve","3&quot; Econ-O-Sleeve",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"691","Concrete Voids",89108,"EOS 4",,"4&quot; Econ-O-Sleeve","Econ-O-Sleeves","4&quot; Econ-O-Sleeve","Sleeve/Pre-cast Concrete",/\E\O\Econ-O.jpg,/\E\O\Econ-O.jpg,http://www.48ws.com/images/product/E/O/Econ-O.jpg,4-Econ-O-Sleeve,4-Econ-O-Sleeve,,No layout updates.,Block after Info Column,,"4&quot; Econ-O-Sleeve","4&quot; Econ-O-Sleeve",Use config,"http://www.deslinc.com/econ-o-sleeve",0,,,0,"Deslauriers",313,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"4&quot; Econ-O-Sleeve","<li>Place holes before you pour.</li><li>Save time and money.</li><li>Drilling can cut rebar and reduce strength.</li><li>Made with slight taper for easy removal</li><li>Made of high density plastic-one piece construction</li><li>Will not shatter in cold weather</li><li>Easy to cut with a pocket knife</li><li>Staple or nail through the flange in exact location you want</li><li>
Lightweight, easy to transport and safe, no sharp edges or corners</li>","<li>Econ-O-Sleeve Hole Forms for both floors and walls.</li><li>Econ-O-Sleeve Hole Forms consistently form round, smooth, uniform holes and are available in a broad range of diameters.</li><li>They may be cut, stacked,or telescoped for any slab thickness.</li><li>Econ-O-Sleeve forms come in a variety of diameters, and adjust for any slab thickness by stacking two or more together or simply use our new 1&quot; incremental extenders</li>","","4&quot; Econ-O-Sleeve","4&quot; Econ-O-Sleeve",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
