store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"29018","Concrete Cutting",12164,"Husqvarna Soff-Cut 5000",,"Soff-Cut 5000","","Soff-Cut 5000","Husqvarna Soff-Cut 5000",/\H\u\Husqvarna-Soft-Cut.jpg,/\H\u\Husqvarna-Soft-Cut.jpg,http://www.48ws.com/images/product/H/u/Husqvarna-Soft-Cut.jpg,husqvarna-Husqvarna-Soff-Cut-5000-,husqvarna-Husqvarna-Soff-Cut-5000-,,No layout updates.,Block after Info Column,,"Soff-Cut 5000","Soff-Cut 5000",Use config,"http://www.husqvarna.com/us/construction/products/early-entry-saws-product-range/soff-cut-5000/",0,,,0,"Husqvarna",137,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Benefits</u></b><br><br>
<li>Self-propelled gas saw with positraction drive, hydrostatic transmission and travel speed indicator</li>
<li>Switch-activated electronic adjustable handles</li>
<li>Master switch control panel</li>
<li>Electronic remote key start and choke</li>
<li>High-strength, lightweight aluminium frame</li>
<li>20 amp regulated charging system</li>
<li>Switch-activated blade depth control and retractable guide</li>
<li>Dual halogen headlight system</li>
<li>Adjustable depth of cut 2&quot; to 4&quot;</li>
<li>Patented dry-cut diamond blade, anti-ravel skid plate and safety arbor</li>
<li>Patented low-noise and low-dust blade block enclosure</li>
<li>Mechanical depth gauge</li><br>","The Husqvarna Soff-Cut 5000 Paver self-propelled gas saw is designed for highway and paving applications. Features include a 27 hp engine with overhead valves, heavy-duty air cleaner, electric start, full pressure lubrication, hydraulic valve lifters, and a mechanical fuel pump. Several blade widths can be used, allowing different joint widths and crack control simultaneously. The unique saw design allows for a 4&quot; depth of cut.<br><br>
<b><u>Soff-Cut&trade; technology</u></b><br><br>
Husqvarna Soff-Cut is a unique patented system for early entry concrete sawing. This technology enables concrete to be cut within the first one or two hours of finishing and before final set. Husqvarna Soff-Cut&trade; provides the best solution for minimizing the risk of random cracking, and it simplifies the working process, compared to conventional sawing.","","Husqvarna Soff-Cut 5000","Soff-Cut 5000",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29018","Concrete Cutting",12165,"Husqvarna Soff-Cut 4200",,"Soff-Cut 4200","","Soff-Cut 4200","Husqvarna Soff-Cut 4200",/\H\u\Husqvarna-Soft-Cut- 1.jpg,/\H\u\Husqvarna-Soft-Cut- 1.jpg,http://www.48ws.com/images/product/H/u/Husqvarna-Soft-Cut- 1.jpg,husqvarna-Husqvarna-Soff-Cut-4200-,husqvarna-Husqvarna-Soff-Cut-4200-,,No layout updates.,Block after Info Column,,"Soff-Cut 4200","Soff-Cut 4200",Use config,"http://www.husqvarna.com/us/construction/products/early-entry-saws-product-range/soff-cut-4200/",0,,,0,"Husqvarna",137,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Benefits</u></b><br><br>
<li>Self-propelled gasoline saw with positraction drive, hydrostatic transmission and travel speed indicator</li>
<li>Switch-activated electronic adjustable handles</li>
<li>Electronic remote key start and choke</li>
<li>High-strength, lightweight aluminium frame</li>
<li>Switch-activated blade depth control and retractable guide</li>
<li>Patented dry-cut diamond blade, anti-ravel skid plate and arbor</li>
<li>Patented low-noise and low-dust blade block enclosure</li>
<li>Mechanical depth gauge</li><br>","The Husqvarna 4200 self-propelled dry-cutting gasoline saw has a low-noise enclosed design and is ideal for heavy-duty commercial, industrial and paving applications. The 4200 is designed for peak performance. Features include a 23 hp twin-cylinder gasoline engine, three-stage cyclonic air cleaner, oil cooler, full-pressure oil lubrication, hydraulic valve lifters, mechanical fuel pump and oil alert light. Multiple blade widths can be used, allowing different joint widths and crack control simultaneously.<br><br>
<b><u>Soff-Cut&trade; technology</u></b><br><br>
Husqvarna Soff-Cut is a unique patented system for early entry concrete sawing. This technology enables concrete to be cut within the first one or two hours of finishing and before final set. Husqvarna Soff-Cut&trade; provides the best solution for minimizing the risk of random cracking, and it simplifies the working process, compared to conventional sawing.","","Husqvarna Soff-Cut 4200","Soff-Cut 4200",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29018","Concrete Cutting",12166,"Husqvarna Soff-Cut 2500",,"Soff-Cut 2500","","Soff-Cut 2500","Husqvarna Soff-Cut 2500",/\H\u\Husqvarna-Soft-Cut- 2.jpg,/\H\u\Husqvarna-Soft-Cut- 2.jpg,http://www.48ws.com/images/product/H/u/Husqvarna-Soft-Cut- 2.jpg,husqvarna-Husqvarna-Soff-Cut-2500-,husqvarna-Husqvarna-Soff-Cut-2500-,,No layout updates.,Block after Info Column,,"Soff-Cut 2500","Soff-Cut 2500",Use config,"http://www.husqvarna.com/us/construction/products/early-entry-saws-product-range/soff-cut-2500/",0,,,0,"Husqvarna",137,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Benefits</u></b><br><br>
<li>Self-propelled gas saw with positraction drive, hydrostatic transmission and travel speed indicator</li>
<li>Switch-activated electronic adjustable handles</li>
<li>Master switch control panel</li>
<li>Electronic remote key start and choke</li>
<li>High-strength, lightweight aluminium frame</li>
<li>10 amp regulated charging system</li>
<li>Switch-activated blade depth control and retractable guide</li>
<li>Patented dry-cut diamond blade, anti-ravel skid plate and safety arbor</li>
<li>Patented low-noise and low-dust blade block enclosure</li><br>","The Husqvarna Soff-Cut 2500 self-propelled dry cutting gas saw has a low noise enclosed design and is ideal for medium to heavy-duty commercial, industrial and paving applications. The 2500 is designed for versatility, ease of use and high production capabilities. Three blade widths can be used, allowing for different joint widths and crack control simultaneously. Features include a 13 hp engine, halogen lighting system, electric remote key start, and a cyclone air cleaner to increase engine longevity.<br><br>
<b><u>Soff-Cut&trade; technology</u></b><br><br>
Husqvarna Soff-Cut is a unique patented system for early entry concrete sawing. This technology enables concrete to be cut within the first one or two hours of finishing and before final set. Husqvarna Soff-Cut&trade; provides the best solution for minimizing the risk of random cracking, and it simplifies the working process, compared to conventional sawing.","","Husqvarna Soff-Cut 2500","Soff-Cut 2500",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29018","Concrete Cutting",12167,"Husqvarna Soff-Cut 4000",,"Soff-Cut 4000","","Soff-Cut 4000","Husqvarna Soff-Cut 4000",/\H\u\Husqvarna-Soft-Cut- 3.jpg,/\H\u\Husqvarna-Soft-Cut- 3.jpg,http://www.48ws.com/images/product/H/u/Husqvarna-Soft-Cut- 3.jpg,husqvarna-Husqvarna-Soff-Cut-4000-,husqvarna-Husqvarna-Soff-Cut-4000-,,No layout updates.,Block after Info Column,,"Soff-Cut 4000","Soff-Cut 4000",Use config,"http://www.husqvarna.com/us/construction/products/early-entry-saws-product-range/soff-cut-4000/",0,,,0,"Husqvarna",137,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Benefits</u></b><br><br>
<li>Self-propelled gasoline saw with hydrostatic transmission</li>
<li>Electronic key start</li>
<li>Electric blade depth control</li>
<li>Mechanical remote retractable guide</li>
<li>Patented dry-cut diamond blade, anti-ravel skid plate and arbor</li>
<li>Patented low-noise and low-dust blade block enclosure</li><br>","The Husqvarna Soff-Cut 4000 self-propelled gasoline saw is designed for heavy-duty commercial, industrial and paving applications. Features include a 20 hp twin-cylinder engine with overhead valves, heavy-duty air cleaner, electric start, full pressure lubrication, hydraulic valve lifters and a mechanical fuel pump. Three blade widths can be used, allowing different joint widths and crack control simultaneously.<br><br>
<b><u>Soff-Cut&trade; technology</u></b><br><br>
Husqvarna Soff-Cut is a unique patented system for early entry concrete sawing. This technology enables concrete to be cut within the first one or two hours of finishing and before final set. Husqvarna Soff-Cut&trade; provides the best solution for minimizing the risk of random cracking, and it simplifies the working process, compared to conventional sawing.","","Husqvarna Soff-Cut 4000","Soff-Cut 4000",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29018","Concrete Cutting",12168,"Husqvarna Soff-Cut 2000",,"Soff-Cut 2000","","Soff-Cut 2000","Husqvarna Soff-Cut 2000",/\H\u\Husqvarna-Soft-Cut- 4.jpg,/\H\u\Husqvarna-Soft-Cut- 4.jpg,http://www.48ws.com/images/product/H/u/Husqvarna-Soft-Cut- 4.jpg,husqvarna-Husqvarna-Soff-Cut-2000-,husqvarna-Husqvarna-Soff-Cut-2000-,,No layout updates.,Block after Info Column,,"Soff-Cut 2000","Soff-Cut 2000",Use config,"http://www.husqvarna.com/us/construction/products/early-entry-saws-product-range/soff-cut-2000/",0,,,0,"Husqvarna",137,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Benefits</u></b><br><br>
<li>Self-propelled gasoline saw with electric start engine and hydrostatic transmission</li>
<li>Electronic remote key start and choke</li>
<li>Patented low-noise and low-dust blade block enclosure</li>
<li>Built-in lifting system</li>
<li>Mechanical remote retractable guide</li>
<li>Roll cage frame</li>
<li>Mechanical depth control</li>
<li>Cyclonic air filter to increase engine longevity</li>
<li>Non-stick low-density polyurethane wheels</li><br>","A self-propelled dry-cutting gas saw ideal for medium to heavy-duty commercial, industrial and paving applications. The Husqvarna 2000 is designed for versatility, ease of use and high production capabilities. Three blade widths can be used, allowing for different joint widths and crack control simultaneously. Features include a 9 hp engine with automatic compression release for easy starting, chain driven overhead cam system, superior cooling, excellent lubrication system, and a cyclone air cleaner to increase engine longevity.<br><br>
<b><u>Soff-Cut&trade; technology</u></b><br><br>
Husqvarna Soff-Cut is a unique patented system for early entry concrete sawing. This technology enables concrete to be cut within the first one or two hours of finishing and before final set. Husqvarna Soff-Cut&trade; provides the best solution for minimizing the risk of random cracking, and it simplifies the working process, compared to conventional sawing.","","Husqvarna Soff-Cut 2000","Soff-Cut 2000",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29018","Concrete Cutting",12169,"Husqvarna Soff-Cut 750",,"Soff-Cut 750","","Soff-Cut 750","Husqvarna Soff-Cut 750",/\H\u\Husqvarna-Soft-Cut- 5.jpg,/\H\u\Husqvarna-Soft-Cut- 5.jpg,http://www.48ws.com/images/product/H/u/Husqvarna-Soft-Cut- 5.jpg,husqvarna-Husqvarna-Soff-Cut-750-,husqvarna-Husqvarna-Soff-Cut-750-,,No layout updates.,Block after Info Column,,"Soff-Cut 750","Soff-Cut 750",Use config,"http://www.husqvarna.com/int/construction/products/early-entry-saws-product-range/#cm=default,hcp-product-categories,hcp-early-entry-sawing",0,,,0,"Husqvarna",137,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Benefits</u></b><br><br>
<li>Recommended for light to medium-duty use on driveways, parking lots and sitework</li>
<li>Low noise and low dust blade block enclosure</li>
<li>6 horsepower engine with cyclone air filter</li>
<li>Mechanical blade depth control</li>
<li>Non-marking and non-stick polyurethane wheels</li>
<li>High strength single piece frame</li>
<li>Center lifting handle</li>
<li>Distinctive roll cage style framework</li>
<li>Patented safety arbor</li>
<li>Easy pull start engine</li>
<li>Turns ragged, chipped or raveled saw joints into beautifully beveled or radius edges</li>
<li>A preset depth of cut - no fumbling with depth screws and bolts to adjust for proper radius or V-blade cutting</li>
<li>Self-aligning guide wheels - guarantee proper blade alignment with saw joint every time</li>
<li>Three (3) different size guide wheels, for 1/8&quot;, 1/4&quot;, and 1/2&quot; saw joint, assures optimum performance</li>
<li>Bronze bushing mounted guide wheels allows for smooth operation for consistent width cut</li>
<li>Larger diameter blade block shafts, front and rear for increased rigidity and strength</li>
<li>Integrated weight block - maintains proper weight balance for consistant cut</li>
<li>Stainless steel front diverter - reduces dust blown out</li><br>","The Husqvarna Soff-Cut 750 self-propelled gas saw is ideal for commercial and industrical applications. It was designed for ease of use and convenience. Features include a low dust blade block system, which allows the saw to cut dry, while controlling debris for easy cleanup. Much like the entire line of Husqvarna Soff-Cut saws, the 750 works in conjunction with Soff-Cut blades and patented skid plates to allow for Ultra Early Entry&trade; cutting to minimize chipping and spalling while getting the job done the same day.<br><br>
<b><u>Soff-Cut&trade; technology</u></b><br><br>
Husqvarna Soff-Cut is a unique patented system for early entry concrete sawing. This technology enables concrete to be cut within the first one or two hours of finishing and before final set. Husqvarna Soff-Cut&trade; provides the best solution for minimizing the risk of random cracking, and it simplifies the working process, compared to conventional sawing.","","Husqvarna Soff-Cut 750","Soff-Cut 750",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29018","Concrete Cutting",12170,"Husqvarna Soff-Cut 150",,"Soff-Cut 150","","Soff-Cut 150","Husqvarna Soff-Cut 150",/\H\u\Husqvarna-Soft-Cut- 6.jpg,/\H\u\Husqvarna-Soft-Cut- 6.jpg,http://www.48ws.com/images/product/H/u/Husqvarna-Soft-Cut- 6.jpg,husqvarna-Husqvarna-Soff-Cut-150-,husqvarna-Husqvarna-Soff-Cut-150-,,No layout updates.,Block after Info Column,,"Soff-Cut 150","Soff-Cut 150",Use config,"http://www.husqvarna.com/us/construction/products/early-entry-saws-product-range/soff-cut-150/",0,,,0,"Husqvarna",137,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Benefits</u></b><br><br>
<li>Patented low-noise and low-dust blade block enclosure</li>
<li>4.3 hp engine with cyclone air filter</li>
<li>Mechanical blade depth control</li>
<li>Non-marking and non-stick polyurethane wheels</li>
<li>Retractable front guide system</li>
<li>Folding handle</li>
<li>Easy pull-start engine</li><br>","The Husqvarna Soff-Cut 150 saw is designed for residential and light commercial applications. The lightest gas saw in the Soff-Cut range, the 150 is designed for ease of use and convenience. Features include a patented low noise blade enclosure which allows the unit to be used in residential areas with minimal disruption. In addition, the low-dust blade block system allows the saw to cut dry, and it controls the debris for easy cleanup.<br><br>
<b><u>Soff-Cut&trade; technology</u></b><br><br>
Husqvarna Soff-Cut is a unique patented system for early entry concrete sawing. This technology enables concrete to be cut within the first one or two hours of finishing and before final set. Husqvarna Soff-Cut&trade; provides the best solution for minimizing the risk of random cracking, and it simplifies the working process, compared to conventional sawing.","","Husqvarna Soff-Cut 150","Soff-Cut 150",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29018","Concrete Cutting",12171,"Husqvarna Soff-Cut 150 D",,"Soff-Cut 150 D","","Soff-Cut 150 D","Husqvarna Soff-Cut 150 D",/\H\u\Husqvarna-Soft-Cut-150.jpg,/\H\u\Husqvarna-Soft-Cut-150.jpg,http://www.48ws.com/images/product/H/u/Husqvarna-Soft-Cut-150.jpg,husqvarna-Husqvarna-Soff-Cut-150-D-,husqvarna-Husqvarna-Soff-Cut-150-D-,,No layout updates.,Block after Info Column,,"Soff-Cut 150 D","Soff-Cut 150 D",Use config,"http://www.husqvarna.com/us/construction/products/early-entry-saws-product-range/soff-cut-150-d/",0,,,0,"Husqvarna",137,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Benefits</u></b><br><br>
<li>Recommended for light to medium duty use on decorative cuts, driveways and parking lots</li>
<li>Low noise and low dust blade block enclosure</li>
<li>4-1/2 engine with cyclone air filter</li>
<li>Mechanical blade depth control</li>
<li>Non-marking and non-stick polyurethane wheels</li>
<li>High strength single piece frame</li>
<li>Folding handle</li>
<li>Center lifting handle</li>
<li>Distinctive roll cage style framework</li>
<li>Patented safety arbor</li>
<li>Easy pull start engine</li>
<li>Turns ragged, chipped or raveled saw joints into beautifully beveled or radius edges</li>
<li>A preset depth of cut - no fumbling with depth screws and bolts to adjust for proper radius or V-blade cutting</li>
<li>Self-aligning guide wheels - guarantee proper blade alignment with saw joint every time</li>
<li>Four (4) different size guide wheels, for 1/8&quot;, 1/4&quot;, 3/8&quot; and 1/2&quot; saw joint, assures optimum performance</li>
<li>Bronze bushing mounted guide wheels allows for smooth operation for consistent width cut</li>
<li>Larger diameter blade block shafts, front and rear for increased rigidity and strength</li>
<li>Integrated weight block - maintains proper weight balance for consistant cut</li>
<li>Stainless steel front diverter - reduces dust blown out</li><br>","The Husqvarna Soff-Cut 150 D saw was designed especially for the contractor who wants a no-hassle way to make decorative cuts. It was also designed to be economical and durable. The 150 D has a low noise, low vibration 4-1/2 horsepower Robin engine and is ideal for large and small jobs alike. This saw, along with the Husqvarna Soff-Cut 50 handheld saw, is the perfect solution to your decorative jobsite needs.<br><br>
<b><u>Soff-Cut&trade; technology</u></b><br><br>
Husqvarna Soff-Cut is a unique patented system for early entry concrete sawing. This technology enables concrete to be cut within the first one or two hours of finishing and before final set. Husqvarna Soff-Cut&trade; provides the best solution for minimizing the risk of random cracking, and it simplifies the working process, compared to conventional sawing.","","Husqvarna Soff-Cut 150 D","Soff-Cut 150 D",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29018","Concrete Cutting",12172,"Husqvarna Soff-Cut 390",,"Soff-Cut 390","","Soff-Cut 390","Husqvarna Soff-Cut 390",/\H\u\Husqvarna-Soft-Cut- 7.jpg,/\H\u\Husqvarna-Soft-Cut- 7.jpg,http://www.48ws.com/images/product/H/u/Husqvarna-Soft-Cut- 7.jpg,husqvarna-Husqvarna-Soff-Cut-390-,husqvarna-Husqvarna-Soff-Cut-390-,,No layout updates.,Block after Info Column,,"Soff-Cut 390","Soff-Cut 390",Use config,"http://www.husqvarna.com/us/construction/products/early-entry-saws-product-range/soff-cut-390/",0,,,0,"Husqvarna",137,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Benefits</u></b><br><br>
<li>Recommended for light to medium-duty use on driveways, parking lots sitework and residential</li>
<li>Accessible mechanical on/off safety switch (&quot;dead man switch&quot;)</li>
<li>Aggregate adjustment system</li>
<li>Hour meter</li>
<li>110 volt-15 amp electric motor</li>
<li>Soft, polyurethane wheels</li>
<li>Spring retractable guide system</li>
<li>Patented anti-ravel skid plate</li>
<li>Patented safety arbor</li>
<li>Patented sawing method</li>
<li>High visibility cut depth indicator</li>
<li>Sealed electronic on / off proximity switch</li>
<li>Mechanical blade raise / lower system</li><br>","The Husqvarna Soff-Cut 390 electric saw is designed for residential and light commercial applications. The 390 is designed for ease of use and convenience. Features include a carrying case for easy transport, lightweight, adjustable aggregate knob and depth gauge, and a pre-paid maintenance program to provide long life.<br><br>
<b><u>Soff-Cut&trade; technology</u></b><br><br>
Husqvarna Soff-Cut is a unique patented system for early entry concrete sawing. This technology enables concrete to be cut within the first one or two hours of finishing and before final set. Husqvarna Soff-Cut&trade; provides the best solution for minimizing the risk of random cracking, and it simplifies the working process, compared to conventional sawing.","","Husqvarna Soff-Cut 390","Soff-Cut 390",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29018","Concrete Cutting",12173,"Husqvarna Soff-Cut 50",,"Soff-Cut 50","","Soff-Cut 50","",/\H\u\Husqvarna-Soft-Cut- 8.jpg,/\H\u\Husqvarna-Soft-Cut- 8.jpg,http://www.48ws.com/images/product/H/u/Husqvarna-Soft-Cut- 8.jpg,husqvarna-Husqvarna-Soff-Cut-50-,husqvarna-Husqvarna-Soff-Cut-50-,,No layout updates.,Block after Info Column,,"Soff-Cut 50","Soff-Cut 50",Use config,"http://www.husqvarna.com/us/construction/products/early-entry-saws-product-range/soff-cut-50/",0,,,0,"Husqvarna",137,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Benefits</u></b><br><br>
<li>Recommended for light-duty use on finish cuts, decorative cuts, driveways and parking lots</li>
<li>Low noise and low dust blade block enclosure with dust extraction port</li>
<li>12 amp 120 volt electric motor</li>
<li>Adjustable blade depth control 1/4&quot; - 1&quot; (6-25mm)</li>
<li>Retractable front guide system</li>
<li>Rear guide</li>
<li>Curvilinear scoring at 2 ft. (.6m) minimum radius at 1/2&quot; (13mm) depth</li>
<li>Chase existing curvilinear saw cuts with 5 ft. (1.5 m) minimum radius using ProEdge beveled blades</li>
<li>Patented safety arbor</li>
<li>Patented sawing method</li>
<li>Adjustable motor position for operator comfort</li>
<li>Cuts to < 1&quot; (25mm) from the wall</li>
<li>Paddle switch allows multiple hand positions to ease operator fatigue</li><br>","The Husqvarna Soff-Cut 50 handheld saw is designed for finish cuts, scoring and decorature applications. The low dust blade block system allows the saw to cut dry and it controls the debris for easy cleanup. The handheld saw works in conjunction with Soff-Cut blades and patented skid plates to allow for Ultra Early Entry&trade; cutting, which minimizes chipping and spalling while getting the job done the same day.<br><br>
<b><u>Soff-Cut&trade; technology</u></b><br><br>
Husqvarna Soff-Cut is a unique patented system for early entry concrete sawing. This technology enables concrete to be cut within the first one or two hours of finishing and before final set. Husqvarna Soff-Cut&trade; provides the best solution for minimizing the risk of random cracking, and it simplifies the working process, compared to conventional sawing.","","Husqvarna Soff-Cut 50","Soff-Cut 50",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29018","Concrete Cutting",12174,"Husqvarna Soff-Cut 1000 Soff-Vac",,"Soff-Cut 1000 Soff-Vac","","Soff-Cut 1000 Soff-Vac","Husqvarna Soff-Cut 1000 Soff-Vac",/\H\u\Husqvarna-Soft-Cut-1000-Soft.jpg,/\H\u\Husqvarna-Soft-Cut-1000-Soft.jpg,http://www.48ws.com/images/product/H/u/Husqvarna-Soft-Cut-1000-Soft.jpg,husqvarna-Husqvarna-Soff-Cut-1000-Soff-Vac-,husqvarna-Husqvarna-Soff-Cut-1000-Soff-Vac-,,No layout updates.,Block after Info Column,,"Soff-Cut 1000 Soff-Vac","Soff-Cut 1000 Soff-Vac",Use config,"http://www.husqvarna.com/us/construction/products/early-entry-saws-product-range/soff-cut-1000-soff-vac/",0,,,0,"Husqvarna",137,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","<b><u>Benefits</u></b><br><br>
<li>High-efficiency cyclonic separator with plastic bag and quick tilt-to-empty system filters the heavy cuttings</li>
<li>Secondary long-life fine filter removes 99.9% of 0.5 micron or larger dust</li>
<li>External manual shaker for periodic cleaning of secondary fine filter with lever activated drop down dust pan for easy cleaning</li>
<li>Heavy-duty non-marking polyurethane wheels with locking brakes</li>
<li>Works with Soff-Cut's standard blades and skid plates</li><br>","The Husqvarna Soff-Cut 1000 Soff-Vac is the latest innovation in jobsite collection systems. This waterless system features a 11 hp gasoline engine, it provides 300 cubic feet per minute of airflow and the heavy-duty bags make job site cleanup easy. Unlike other systems, which require frequent maintenance and multiple trips to clean up areas, the 1000 Soff-Vac is the easiest to use system, which delivers the smoothest, non-scratching, dust-free finish available today.","","Husqvarna Soff-Cut 1000 Soff-Vac","Soff-Cut 1000 Soff-Vac",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29018","Concrete Cutting",12472,"FS 309",,"14IN Gas Concrete Saw - Manual","FS Gas Concrete Saws - Manual","14IN Gas Concrete Saw - Manual","Husqvarna FS 309 14IN Gas Concrete Saw - Manual",/\F\S\Husqvarna-FS-309-14IN-Gas-Concrete-Saw.jpg,/\F\S\Husqvarna-FS-309-14IN-Gas-Concrete-Saw.jpg,http://www.48ws.com/images/product/F/S/Husqvarna-FS-309-14IN-Gas-Concrete-Saw.jpg,husqvarna-FS-309-,husqvarna-FS-309-,,No layout updates.,Block after Info Column,,"14IN Gas Concrete Saw - Manual","14IN Gas Concrete Saw - Manual",Use config,"http://www.husqvarna.com/us/construction/products/floor-saws-product-range/fs-309/",0,,,0,"Husqvarna",137,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Husqvarna FS 309 14IN Gas Concrete Saw - Manual","<b><u>Benefits</u></b><br><br>
<li>Adjustable wheel</li><li>
Well designed floor saws</li><li>
Raise/lower assist system</li><li>
Ideal for very small road repair jobs, cutting small trenches for pipe laying and cutting in difficult-to-access job sites.</li><li>
Very lightweight for ease of transport and handling.</li><li>
Adjustable handle and extendable right rear wheel for increased stability.</li><li>
Patent-pending assisted raise/lower system using a gas spring.</li><li>
Excellent power transmission to the blade due to the Poly-V belt.</li><br>","The FS 300-series includes lightweight and compact floor saws. These saws are ideal for small repair jobs and are very easy to handle. They can be transported in any small vehicle.

Shown with OPTIONAL water tank.","","14IN","14IN Gas Concrete Saw - Manual",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"29018","Concrete Cutting",12478,"FS 400",,"18IN Gas Concrete Saw - Manual","FS Gas Concrete Saws - Manual","18IN Gas Concrete Saw - Manual","Husqvarna FS 400 18IN Gas Concrete Saw - Manual",/\F\S\Husqvarna-FS-400-18IN-Gas-Concrete-Saw.jpg,/\F\S\Husqvarna-FS-400-18IN-Gas-Concrete-Saw.jpg,http://www.48ws.com/images/product/F/S/Husqvarna-FS-400-18IN-Gas-Concrete-Saw.jpg,husqvarna-FS-400-,husqvarna-FS-400-,,No layout updates.,Block after Info Column,,"18IN Gas Concrete Saw - Manual","18IN Gas Concrete Saw - Manual",Use config,"http://www.husqvarna.com/us/construction/products/floor-saws-product-range/fs-400/",0,,,0,"Husqvarna",137,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Husqvarna FS 400 18IN Gas Concrete Saw - Manual","<b><u>Benefits</u></b><br><br>
<li>Well designed floor saws</li><li>
Raise/lower assist system</li><li>
Low Vibrations</li><li>
Very robust, productive saw with excellent weight distribution and stability.</li><li>
Adjustable, and low-vibration handlebar for operator comfort.</li><li>
Patent-pending assisted raise / lower system.</li><li>
Easy to transport and lift.</li><li>
Optimum power transmission to the blade thanks to the Poly-V belt.</li><li>
Large integrated water tank</li>","Robust, convenient all-round floor saw. The adjustable handle ensures low vibrations and an ergonomic working position. Also, perfect weight distribution means excellent stability while sawing.","","18IN","18IN Gas Concrete Saw - Manual",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
