store,websites,attribute_set,Type,category_ids,category_names,48WS_product_id,sku,has_options,name,Group_Name,meta_title,meta_description,Image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,manufacturer_url,price,special_price,cost,weight,manufacturer,manufacturer_id,color,status,visibility,tax_class_id,enable_googlecheckout,is_recurring,description,short_description,summary,upc,size_info,meta_keyword,custom_layout_update,news_from_date,news_to_date,special_from_date,special_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"1774|26885","Rebar Chairs|Bar Chairs",12630,"PCC",,"Castle Chair Plastic Support","","Castle Chair Plastic Support","Application:
On-Grade, Single Mat: Rebar or Wire Mesh, Bottom Layer Double Mat: Rebar or Wire Mesh, Precast, Tilt-Wall, Insulated “Sandwich&quot; Panels",/\P\C\Dayton-Superior-Castle-Chair-Plastic.jpg,/\P\C\Dayton-Superior-Castle-Chair-Plastic.jpg,http://www.48ws.com/images/product/P/C/Dayton-Superior-Castle-Chair-Plastic.jpg,Dayton-Superior-Castle-Chair-Plastic-Support,Dayton-Superior-Castle-Chair-Plastic-Support,,No layout updates.,Block after Info Column,,"Castle Chair Plastic Support","Castle Chair Plastic Support",Use config,"http://www.daytonsuperior.com/Lists/Product%20Catalog1/Product.aspx?List=3c62f7a2-1783-4ee6-a0c4-2642507b1472&ID=690",0,,,0,"Dayton Superior",133,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Application:
On-Grade, Single Mat: Rebar or Wire Mesh, Bottom Layer Double Mat: Rebar or Wire Mesh, Precast, Tilt-Wall, Insulated &quot;Sandwich&quot; Panels","<li>Heavy-duty, stackable design</li><li>
Fits up to #8 rebar</li><li>
Perfect for use on insulating foam or non-penetrable vapor barriers</li><li>
Most stable on-grade chair available</li><li>
Supports over 500 Ibs</li><li>
Each chair comes in two height combinations reducing inventory</li>
<li>Cover Height: From 1-1/2&quot; to 6-1/4&quot; (1/4&quot; increments)</li>","Dayton Superior manufactures a complete line of rebar and/or mesh supports. All Dayton Superior rebar supports are manufactured to the recommendations or specifications of the Concrete Reinforcing Steel Institute (CRSI).","","Dayton Superior Castle Chair Plastic Support","Castle Chair Plastic Support",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"301","Grout",39005,"1107 Advantage Grout",,"1107 Advantage Grout","","1107 Advantage Grout","Dayton Superior 1107 Advantage Grout",/\1\1\Dayton-Superior-1107-Advantage.jpg,/\1\1\Dayton-Superior-1107-Advantage.jpg,http://www.48ws.com/images/product/1/1/Dayton-Superior-1107-Advantage.jpg,Dayton-Superior-1107-Advantage-Grout,Dayton-Superior-1107-Advantage-Grout,,No layout updates.,Block after Info Column,,"1107 Advantage Grout","1107 Advantage Grout",Use config,"http://www.daytonsuperior.com/Lists/Product%20Catalog1/Product.aspx?List=3c62f7a2-1783-4ee6-a0c4-2642507b1472&ID=37",0,,,0,"Dayton Superior",133,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Grouts (Non-shrink)","<li>Controlled, net positive expansion</li>
<li>Non shrink</li>
<li>Non metallic/non corrosive</li>
<li>Pourable/pumpable</li>
<li>Resistant to heat and thermal shock</li>
<li>Interior/exterior applications</li>
<li>Resists water and salt penetration and damage from freeze-thaw cycles</li><br>","<b><u>Description</u></b><br><br>
1107 Advantage Grout is a non-shrink, non-corrosive, non-metallic grout. It is formulated as a cement-based product with high quality raw materials. 1107 Advantage Grout offers pumpability, heat and thermal shock resistance and provides controlled, net positive expansion.<br><br>
<b><u>Purpose</u></b><br><br>
1107 Advantage Grout is designed for interior and exterior grouting of precast concrete components, structural column base plates, pump and machinery bases, anchoring bolts, rebars, dowels, bearing pads, keyway joints and crane rails. It finds applications in paper mills, oil refineries, food plants, chemical plants, sewage and water treatment plants etc.","","Dayton Superior 1107 Advantage Grout","1107 Advantage Grout",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"301|26782","Grout|Grout Pumps",39006,"HD-50",,"Concrete Repair","","Concrete Repair","Dayton Superior HD-50 Concrete Repair",/\H\D\Dayton-Superior-HD-50-Concrete.jpg,/\H\D\Dayton-Superior-HD-50-Concrete.jpg,http://www.48ws.com/images/product/H/D/Dayton-Superior-HD-50-Concrete.jpg,Dayton-Superior-HD-50-Concrete-Repair,Dayton-Superior-HD-50-Concrete-Repair,,No layout updates.,Block after Info Column,,"Concrete Repair","Concrete Repair",Use config,"http://www.daytonsuperior.com/Lists/Product%20Catalog1/Product.aspx?List=3c62f7a2-1783-4ee6-a0c4-2642507b1472&ID=536",0,,,0,"Dayton Superior",133,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"","","<b><u>Description</u></b><br><br>
Rapid-Setting, Heavy-Duty, Flowable Repair Mortar.<br><br>
<b><u>Purpose</u></b><br><br>
HD-50 is a fast setting, fiber reinforced, latex modified, heavy duty concrete repair mortar designed for areas where a rapid strength gain is required to minimize downtime. HD-50 is a cement based compound having similar characteristics to normal portland cement mixes and is bondable and compatible with portland cement concrete. It does not contain chlorides or magnesium phosphates. HD-50 is a one component product requiring only water to mix and apply, simplifying restoration of concrete surfaces. Areas repaired with HD-50 can be opened to traffic within one hour because the compressive strength of the patch is already in excess of 2,000 psi.","","Dayton Superior HD-50 Concrete Repair","Concrete Repair",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"284|26927","Form Oil | Releases|Form Treatments",88756,"Magic Kote",,"Magic Kote","","Magic Kote","Magic Kote® is a V.O.C. compliant, ready-to-use, petroleum based, chemically neutral, diesel free concrete form release. Magic Kote® is water insoluble and contains no waxes. Magic Kote® effectively prevents bonding of concrete to forms and formliners. Us",/\M\a\Magic.jpg,/\M\a\Magic.jpg,http://www.48ws.com/images/product/M/a/Magic.jpg,Dayton-Superior-Magic-Kote,Dayton-Superior-Magic-Kote,,No layout updates.,Block after Info Column,,"Magic Kote","Magic Kote",Use config,"http://www.daytonsuperior.com/Lists/Product%20Catalog1/Product.aspx?List=3c62f7a2-1783-4ee6-a0c4-2642507b1472&ID=1352&NodeId=603&FilterType=Brand&Filter=DS%20Construction%20Chemicals",0,,,0,"Dayton Superior",133,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Magic Kote is a ready-to-use, petroleum based,
chemically neutral, diesel free concrete form release.
Magic Kote is water insoluble and contains no waxes.
Magic Kote effectively prevents bonding of concrete to
forms and formliners. Use of Magic Kote regularly will
increase the life of all forms.
","Positive release
¦ Helps to reduce dusting of concrete
¦ Increases the life of both wood and steel forms
¦ Helps prevent deterioration and corrosion of steel.
","Magic Kote&reg; chemically releases hardened concrete from steel, aluminum, plywood, and composition forms.","","Dayton Superior Magic Kote Pails, Drums & Totes","Magic Kote",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1774|26885","Rebar Chairs|Bar Chairs",89222,"R-22",,"2&quot; Mesh Chair with Sand Plate","","2&quot; Mesh Chair with Sand Plate","Dayton Superior R-22 2&quot; Mesh Chair with Sand Plate",/\R\2\2-Mesh-Chair-with-Sand.jpg,/\R\2\2-Mesh-Chair-with-Sand.jpg,http://www.48ws.com/images/product/R/2/2-Mesh-Chair-with-Sand.jpg,Dayton-Superior-R-22-2-Mesh-Chair-with-Sand-Plate,Dayton-Superior-R-22-2-Mesh-Chair-with-Sand-Plate,,No layout updates.,Block after Info Column,,"2&quot; Mesh Chair with Sand Plate","2&quot; Mesh Chair with Sand Plate",Use config,"http://www.daytonsuperior.com/Lists/Product%20Catalog1/Product.aspx?List=3c62f7a2-1783-4ee6-a0c4-2642507b1472&ID=652",0,,,0,"Dayton Superior",133,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Dayton Superior R-22 2&quot; Mesh Chair with Sand Plate","Plastic mesh chairs are available for mesh support at heights from 1&quot; through 6&quot;. A square base is also available.","","","Dayton Superior R-22 2&quot; Mesh Chair with Sand Plate","2&quot; Mesh Chair with Sand Plate",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"319|26727","Concrete Glue|Concrete Glue",89223,"J-40",,"Acrylic Bonding Agent","","Acrylic Bonding Agent","A ready to use, non-reemulsifiable acrylic admixture and bonding agent designed to improve the adhesion and durability of concrete, masonry, stucco, terrazzo and portland cement-sand mixes to horizontal and vertical concrete and other surfaces.
",/\J\4\Dayton-Superior-J-40-Acrylic-Bonding.jpg,/\J\4\Dayton-Superior-J-40-Acrylic-Bonding.jpg,http://www.48ws.com/images/product/J/4/Dayton-Superior-J-40-Acrylic-Bonding.jpg,Dayton-Superior-J-40-Acrylic-Bonding-Agent,Dayton-Superior-J-40-Acrylic-Bonding-Agent,,No layout updates.,Block after Info Column,,"Acrylic Bonding Agent","Acrylic Bonding Agent",Use config,"http://www.daytonsuperior.com/Lists/Product%20Catalog1/Product.aspx?List=3c62f7a2-1783-4ee6-a0c4-2642507b1472&ID=309",0,,,0,"Dayton Superior",133,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"A ready to use, non-reemulsifiable acrylic admixture and bonding agent designed to improve the adhesion and durability of concrete, masonry, stucco, terrazzo and portland cement-sand mixes to horizontal and vertical concrete and other surfaces.
","<li>Excellent bonding agent with superior adhesive strength</li><li>
Non-reemulsifiable</li><li>
As an admixture - dramatically increases durability, moisture resistance, adhesion, and curing</li><li>
Interior/exterior applications</li><li>
Improves freeze/thaw resistance for mortars, patches and cement based coatings</li><li>
V.O.C. Compliant</li>
<li>Comes in 5gal and 1gal</li>","Acrylic Bonding Agent J40 is an excellent acrylic latex emulsion used for bonding new to new or new to old concrete in interior or exterior applications. Acrylic Bonding Agent J40 is extremely effective when used as an admixture with cementitious products such as patching compounds, masonry coatings, cement plasters, and masonry mortars. As an admixture, it not only promotes a strong bond, but also improves the curing, long term durability and resistance to moisture and cracking of the finished product","","Dayton Superior J-40 Acrylic Bonding Agent","Acrylic Bonding Agent",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"283|26925","Curing Compounds|Curing Compound",89224,"J-11W",,"Dayton Clear Resin Cure","","Dayton Clear Resin Cure","Clear Resin Cure J11W is an all resin, dissipating water-based curing compound.
",/\J\1\Clear-Resin.jpg,/\J\1\Clear-Resin.jpg,http://www.48ws.com/images/product/J/1/Clear-Resin.jpg,Dayton-Superior-J-11W-Clear-Resin-Cure,Dayton-Superior-J-11W-Clear-Resin-Cure,,No layout updates.,Block after Info Column,,"Dayton Clear Resin Cure","Dayton Clear Resin Cure",Use config,"http://www.daytonsuperior.com/docs/default-source/tech-data-sheets/clear_resin_cure_j11w.pdf?sfvrsn=75fbd560_13",0,,,0,"Dayton Superior",133,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Clear Resin Cure J11W is an all resin, dissipating water-based curing compound.
","¦ Water based
¦ Meets ASTM C-309
¦ Approved by numerous state highway departments
¦ Clean-up with water
¦ Dissipating Resin Cure","A ready-to-use dissipating water-based resin curing compound for use on freshly finished horizontal and vertical concrete surfaces. Clear Resin Cure J11W is formulated to provide an effective curing membrane that will begin to dissipate after exposure to sunlight, weathering and/or traffic.
","","Dayton Superior J-11W Clear Resin Cure 55 gal","Dayton Clear Resin Cure",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"284|26927","Form Oil | Releases|Form Treatments",89225,"309372",,"Clean Strip","Clean Strip","Clean Strip","Clean Strip™ J1A chemically releases hardened concrete from steel, aluminum, plywood, and composition forms.
",/\3\0\Clean-Strip.jpg,/\3\0\Clean-Strip.jpg,http://www.48ws.com/images/product/3/0/Clean-Strip.jpg,Dayton-Superior-J-1A-Clean-Strip,Dayton-Superior-J-1A-Clean-Strip,,No layout updates.,Block after Info Column,,"Clean Strip","Clean Strip",Use config,"http://www.daytonsuperior.com/Lists/Product%20Catalog1/Product.aspx?List=3c62f7a2-1783-4ee6-a0c4-2642507b1472&ID=203",0,,,0,"Dayton Superior",133,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Clean Strip&trade; J1A chemically releases hardened concrete from steel, aluminum, plywood, and composition forms.
","<li>Chemically reactive</li><li>
Positive release</li><li>
Increases the life of both wood and steel forms</li><li>
Helps prevent deterioration and corrosion of steel</li><li>
Light citrus scent</li><li>
VOC compliant in all regions</li>","Clean Strip&trade; J1A is a V.O.C. compliant, ready-to-use, petroleum based, chemically reactive concrete form release. Clean Strip&trade; J1A effectively prevents bonding of concrete to forms and formliners. Use of Clean Strip&trade; J1A regularly will increase the life of all forms.
","","275 gallon tote","Clean Strip",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1774|26885","Rebar Chairs|Bar Chairs",89227,"PBC",,"6-3/4&quot; - 7&quot; Tower Bar Chair","","6-3/4&quot; - 7&quot; Tower Bar Chair","Dayton Superior manufactures a complete line of rebar and/or mesh supports. All Dayton Superior rebar supports are manufactured to the recommendations or specifications of the Concrete Reinforcing Steel Institute (CRSI).
",/\P\B\Dayton-Superior-PBC-6-34-7-Tower-Bar.jpg,/\P\B\Dayton-Superior-PBC-6-34-7-Tower-Bar.jpg,http://www.48ws.com/images/product/P/B/Dayton-Superior-PBC-6-34-7-Tower-Bar.jpg,Dayton-Superior-PBC-6-34-7-Tower-Bar-Chair,Dayton-Superior-PBC-6-34-7-Tower-Bar-Chair,,No layout updates.,Block after Info Column,,"6-3/4&quot; - 7&quot; Tower Bar Chair","6-3/4&quot; - 7&quot; Tower Bar Chair",Use config,"http://www.daytonsuperior.com/Lists/Product%20Catalog1/Product.aspx?List=3c62f7a2-1783-4ee6-a0c4-2642507b1472&ID=688",0,,,0,"Dayton Superior",133,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Dayton Superior manufactures a complete line of rebar and/or mesh supports. All Dayton Superior rebar supports are manufactured to the recommendations or specifications of the Concrete Reinforcing Steel Institute (CRSI).
","<li>Standard &quot;Concrete Gray&quot; color</li><li>
Minimal surface contact</li><li>
Designed for maximum aggregate flow and concrete consolidation</li><li>
Fits up to #8 rebar</li><li>
Tower chair straddles lower rebar mat in double mat applications</li><li>Meets all requirements and qualifies as a CRSI Class 1 Bar Support.</li>","<b>Application</b><br>
Single Mat: Rebar or Wire Mesh, Bottom Layer Double Mat: Rebar or Wire Mesh, Tilt Wall, Side-Form Spacer, On-Grade: when used with Sand Plate<br><br>
<b>Cover Height</b><br>
From 3/4&quot; to 10&quot; (1/4&quot; increments)<br><br>","","Dayton Superior PBC 6-3/4&quot; - 7&quot; Tower Bar Chair","6-3/4&quot; - 7&quot; Tower Bar Chair",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"903|26865","Tilt Up (INACTIVE)|Tilt Up",89229,"T-13",,"3/4&quot; x 6&quot; Coil-Anchor","","3/4&quot; x 6&quot; Coil-Anchor","Bracing System",/\T\1\Dayton-Superior-T-13-34-x-6-Coil.jpg,/\T\1\Dayton-Superior-T-13-34-x-6-Coil.jpg,http://www.48ws.com/images/product/T/1/Dayton-Superior-T-13-34-x-6-Coil.jpg,Dayton-Superior-T-13-34-x-6-Coil-Anchor,Dayton-Superior-T-13-34-x-6-Coil-Anchor,,No layout updates.,Block after Info Column,,"3/4&quot; x 6&quot; Coil-Anchor","3/4&quot; x 6&quot; Coil-Anchor",Use config,"http://www.daytonsuperior.com/Lists/Product%20Catalog1/Product.aspx?List=3c62f7a2-1783-4ee6-a0c4-2642507b1472&ID=225",0,,,0,"Dayton Superior",133,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Bracing System","","The Dayton Superior T-13 Coil-Anchor is a drill-in expansion anchor designed for use in the floor slabs of tilt-up buildings to attach and anchor wall braces. Each T-13 plug includes the bolt, one cut washer and one 4 Turn Coil Tang. Available in 3/4&quot; diameter x 4-1/2&quot; or 6&quot; lengths as specified.","","Dayton Superior T-13 3/4&quot; x 6&quot; Coil-Anchor","3/4&quot; x 6&quot; Coil-Anchor",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1774|26885","Rebar Chairs|Bar Chairs",89231,"PSP300",,"For E-Z Chair Size 1&quot; to 2-3/4&quot;","Sand Plates for E-Z Chairs","For E-Z Chair Size 1&quot; to 2-3/4&quot;","E-Z CHAIR™ for slab-on-grade conditions
",/\P\S\For-E-Z-Chair-Size-1-to-2.jpg,/\P\S\For-E-Z-Chair-Size-1-to-2.jpg,http://www.48ws.com/images/product/P/S/For-E-Z-Chair-Size-1-to-2.jpg,For-E-Z-Chair-Size-1-to-2-34,For-E-Z-Chair-Size-1-to-2-34,,No layout updates.,Block after Info Column,,"For E-Z Chair Size 1&quot; to 2-3/4&quot;","For E-Z Chair Size 1&quot; to 2-3/4&quot;",Use config,"http://www.daytonsuperior.com/default.aspx",0,,,0,"Dayton Superior",133,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"E-Z CHAIR&trade; for slab-on-grade conditions
","<li>Provides stable platform</li><li>
Sold separately. Assembly required.</li><li>
Meets all requirements and qualifies as a CRSI Class 1 Bar Support.</li>","Dayton Superior manufactures a complete line of rebar and/or mesh supports. All Dayton Superior rebar supports are manufactured to the recommendations or specifications of the Concrete Reinforcing Steel Institute","","For E-Z Chair Size 1&quot; to 2-3/4&quot;","For E-Z Chair Size 1&quot; to 2-3/4&quot;",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1774|26885","Rebar Chairs|Bar Chairs",89232,"PSP500",,"For E-Z Chair Size 3&quot; to 5&quot;","Sand Plates for E-Z Chairs","For E-Z Chair Size 3&quot; to 5&quot;","E-Z CHAIR™ for slab-on-grade conditions
",/\P\S\For-E-Z-Chair-Size-1-to-2.jpg,/\P\S\For-E-Z-Chair-Size-1-to-2.jpg,http://www.48ws.com/images/product/P/S/For-E-Z-Chair-Size-1-to-2.jpg,For-E-Z-Chair-Size-3-to-5,For-E-Z-Chair-Size-3-to-5,,No layout updates.,Block after Info Column,,"For E-Z Chair Size 3&quot; to 5&quot;","For E-Z Chair Size 3&quot; to 5&quot;",Use config,"http://www.daytonsuperior.com/default.aspx",0,,,0,"Dayton Superior",133,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"For E-Z Chair Size 3&quot; to 5&quot;","<li>Provides stable platform</li><li>
Sold separately. Assembly required.</li><li>
Meets all requirements and qualifies as a CRSI Class 1 Bar Support.</li>","Dayton Superior manufactures a complete line of rebar and/or mesh supports. All Dayton Superior rebar supports are manufactured to the recommendations or specifications of the Concrete Reinforcing Steel Institute","","For E-Z Chair Size 3&quot; to 5&quot;","For E-Z Chair Size 3&quot; to 5&quot;",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1775|26889","Rebar Wheels|Rebar Wheels",89234,"122841",,"E-Z Lok Wheel","E-Z Lok Wheel","E-Z Lok Wheel","3/4&quot; Spacer Wheel For #2-#4 Rebar",/\P\L\Dayton-Superior-PLW-E-Z-LOK.jpg,/\P\L\Dayton-Superior-PLW-E-Z-LOK.jpg,http://www.48ws.com/images/product/P/L/Dayton-Superior-PLW-E-Z-LOK.jpg,Dayton-Superior-PLW-E-Z-LOK-Wheel,Dayton-Superior-PLW-E-Z-LOK-Wheel,,No layout updates.,Block after Info Column,,"E-Z Lok Wheel","E-Z Lok Wheel",Use config,"http://www.daytonsuperior.com/Lists/Product%20Catalog1/Product.aspx?List=3c62f7a2-1783-4ee6-a0c4-2642507b1472&ID=725&NodeI",0,,,0,"Dayton Superior",133,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Dayton Superior manufactures a complete line of rebar and/or mesh supports. All Dayton Superior rebar supports are manufactured to the recommendations or specifications of the Concrete Reinforcing Steel Institute (CRSI).","<li>Multiple hub diameter for rebar sizes #3 to #6</li><li>
Designed for medium- to heavy-duty projects</li><li>
Wider locking hub eliminates &quot;racking&quot; and will not fall off</li><li>
Industry choice for use in heavy columns</li><li>
Once locked onto rebar, this wheel will not change shape and will always provide uniform cover</li><li>
Meets all requirements and qualifies as a CRSI Class 1 Bar Support.</li>","Dayton Superior manufactures a complete line of rebar and/or mesh supports. All Dayton Superior rebar supports are manufactured to the recommendations or specifications of the Concrete Reinforcing Steel Institute (CRSI).
<br><br>

Please note: Concrete cover is defined as the distance from where the reinforcement sits in the hub of the wheel to the outside of the wheel (where it contacts the form).
","","1-1/2&quot; #3 - 10MM TO #4 - 13MM STANDARD","E-Z Lok Wheel",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1774|26885","Rebar Chairs|Bar Chairs",89235,"PEZ150",,"1-1/2&quot; Plastic E-Z Chair","E-Z Chairs","1-1/2&quot; Plastic E-Z Chair","Plastic Supports",/\P\E\1-12-Plastic-E-Z.jpg,/\P\E\1-12-Plastic-E-Z.jpg,http://www.48ws.com/images/product/P/E/1-12-Plastic-E-Z.jpg,1-12-Plastic-E-Z-Chair,1-12-Plastic-E-Z-Chair,,No layout updates.,Block after Info Column,,"1-1/2&quot; Plastic E-Z Chair","1-1/2&quot; Plastic E-Z Chair",Use config,"http://www.daytonsuperior.com/Lists/Product%20Catalog1/Product.aspx?List=3c62f7a2-1783-4ee6-a0c4-2642507b1472&ID=700",0,,,0,"Dayton Superior",133,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"Plastic Supports","<li>Standard &quot;Concrete Gray&quot; color (custom colors available - inquire)</li><li>
Minimal surface contact</li><li>
Designed for maximum aggregate flow and concrete consolidation</li><li>
High load capacity</li><li>
Fits up to #8 rebar</li><li>
Does not straddle bottom rebar mat in double mat applications (for straddling applications, see Tower Chair or Straddle Chair)</li><li>
Meets all requirements and qualifies as a CRSI Class 1 Bar Support.</li>","<b>Application:</b><br>
Single Mat: Rebar or Wire Mesh, Bottom Layer Double Mat: Rebar or Wire Mesh, Tilt-Wall, Side-Form Spacer, On-Grade: when used with Sand Plate
 <br><br>
<b>Cover Height:</b><br>
From 3/4&quot; to 6&quot; (1/4&quot; increments)","","1-1/2&quot; Plastic E-Z Chair","1-1/2&quot; Plastic E-Z Chair",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1774|26885","Rebar Chairs|Bar Chairs",89237,"PEZ200",,"2&quot; Plastic E-Z Chair","E-Z Chairs","2&quot; Plastic E-Z Chair","Plastic Supports",/\P\E\1-12-Plastic-E-Z.jpg,/\P\E\1-12-Plastic-E-Z.jpg,http://www.48ws.com/images/product/P/E/1-12-Plastic-E-Z.jpg,2-Plastic-E-Z-Chair,2-Plastic-E-Z-Chair,,No layout updates.,Block after Info Column,,"2&quot; Plastic E-Z Chair","2&quot; Plastic E-Z Chair",Use config,"http://www.daytonsuperior.com/Lists/Product%20Catalog1/Product.aspx?List=3c62f7a2-1783-4ee6-a0c4-2642507b1472&ID=700",0,,,0,"Dayton Superior",133,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"2&quot; Plastic E-Z Chair","<li>Standard &quot;Concrete Gray&quot; color (custom colors available - inquire)</li><li>
Minimal surface contact</li><li>
Designed for maximum aggregate flow and concrete consolidation</li><li>
High load capacity</li><li>
Fits up to #8 rebar</li><li>
Does not straddle bottom rebar mat in double mat applications (for straddling applications, see Tower Chair or Straddle Chair)</li><li>
Meets all requirements and qualifies as a CRSI Class 1 Bar Support.</li>","<b>Application:</b><br>
Single Mat: Rebar or Wire Mesh, Bottom Layer Double Mat: Rebar or Wire Mesh, Tilt-Wall, Side-Form Spacer, On-Grade: when used with Sand Plate
 <br><br>
<b>Cover Height:</b><br>
From 3/4&quot; to 6&quot; (1/4&quot; increments)","","2&quot; Plastic E-Z Chair","2&quot; Plastic E-Z Chair",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
admin,base,Default,simple,"1774|26885","Rebar Chairs|Bar Chairs",89238,"PEZ250",,"2-1/2&quot; Plastic E-Z Chair","E-Z Chairs","2-1/2&quot; Plastic E-Z Chair","Plastic Supports",/\P\E\1-12-Plastic-E-Z.jpg,/\P\E\1-12-Plastic-E-Z.jpg,http://www.48ws.com/images/product/P/E/1-12-Plastic-E-Z.jpg,2-12-Plastic-E-Z-Chair,2-12-Plastic-E-Z-Chair,,No layout updates.,Block after Info Column,,"2-1/2&quot; Plastic E-Z Chair","2-1/2&quot; Plastic E-Z Chair",Use config,"http://www.daytonsuperior.com/Lists/Product%20Catalog1/Product.aspx?List=3c62f7a2-1783-4ee6-a0c4-2642507b1472&ID=700",0,,,0,"Dayton Superior",133,,Enabled,"Catalog, Search",Taxable Goods,Yes,No,"2-1/2&quot; Plastic E-Z Chair","<li>Standard &quot;Concrete Gray&quot; color (custom colors available - inquire)</li><li>
Minimal surface contact</li><li>
Designed for maximum aggregate flow and concrete consolidation</li><li>
High load capacity</li><li>
Fits up to #8 rebar</li><li>
Does not straddle bottom rebar mat in double mat applications (for straddling applications, see Tower Chair or Straddle Chair)</li><li>
Meets all requirements and qualifies as a CRSI Class 1 Bar Support.</li>","<b>Application:</b><br>
Single Mat: Rebar or Wire Mesh, Bottom Layer Double Mat: Rebar or Wire Mesh, Tilt-Wall, Side-Form Spacer, On-Grade: when used with Sand Plate
 <br><br>
<b>Cover Height:</b><br>
From 3/4&quot; to 6&quot; (1/4&quot; increments)","","2-1/2&quot; Plastic E-Z Chair","2-1/2&quot; Plastic E-Z Chair",,,,,,,,1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,,0,simple,,
